Symbol,Date,Open,High,Low,Close,Volume
NBP,01-Jan-2014,58.00,58.40,57.40,58.08,1777500
NBP,02-Jan-2014,58.30,58.90,58.05,58.19,2487000
NBP,03-Jan-2014,58.25,58.88,57.70,57.86,1964500
NBP,06-Jan-2014,57.95,59.20,57.80,58.75,4571000
NBP,07-Jan-2014,58.61,59.42,58.40,58.59,3000500
NBP,08-Jan-2014,58.60,58.89,58.10,58.13,1374000
NBP,09-Jan-2014,58.35,58.85,57.80,58.01,3965500
NBP,10-Jan-2014,58.05,58.50,57.70,57.92,1932500
NBP,13-Jan-2014,58.25,58.45,57.81,58.18,1132500
NBP,15-Jan-2014,58.22,58.70,57.80,57.96,3595500
NBP,16-Jan-2014,58.15,58.30,57.45,57.94,1381000
NBP,17-Jan-2014,58.01,59.50,58.00,58.87,7019500
NBP,20-Jan-2014,58.98,59.10,58.05,58.17,1736500
NBP,21-Jan-2014,58.40,59.20,58.15,58.91,5203000
NBP,22-Jan-2014,59.00,59.75,58.52,58.74,7726000
NBP,23-Jan-2014,58.56,59.54,58.56,58.88,5858500
NBP,24-Jan-2014,59.20,59.20,58.02,58.26,2856500
NBP,27-Jan-2014,58.11,58.67,57.75,58.11,2113000
NBP,28-Jan-2014,58.40,58.45,57.78,58.07,966500
NBP,29-Jan-2014,58.00,58.55,57.88,58.07,2529000
NBP,30-Jan-2014,58.15,58.28,57.80,57.85,1140000
NBP,31-Jan-2014,57.90,58.50,57.90,58.38,3069500
NBP,03-Feb-2014,58.30,58.75,58.10,58.59,1453500
NBP,04-Feb-2014,58.25,58.60,57.93,58.13,773500
NBP,06-Feb-2014,58.25,58.47,57.85,58.25,1149000
NBP,07-Feb-2014,58.35,58.40,57.86,58.09,964500
NBP,10-Feb-2014,58.15,58.24,57.10,57.79,1108500
NBP,11-Feb-2014,57.97,58.30,57.60,58.13,5427000
NBP,12-Feb-2014,58.15,58.90,58.06,58.48,1380000
NBP,13-Feb-2014,58.67,59.30,58.20,58.63,2654000
NBP,14-Feb-2014,58.37,58.60,57.41,57.74,1655000
NBP,17-Feb-2014,57.75,57.75,55.71,56.47,3105500
NBP,18-Feb-2014,56.75,57.25,56.01,57.09,1864000
NBP,19-Feb-2014,57.00,57.50,56.80,56.95,722500
NBP,20-Feb-2014,56.90,57.48,55.91,56.43,1500000
NBP,21-Feb-2014,56.66,57.10,55.85,56.35,2450500
NBP,24-Feb-2014,56.53,57.95,56.49,57.49,2544000
NBP,25-Feb-2014,58.00,58.05,57.11,57.35,881500
NBP,26-Feb-2014,57.50,57.51,57.00,57.18,572000
NBP,27-Feb-2014,57.11,57.40,56.58,56.85,2623000
NBP,28-Feb-2014,56.75,57.25,56.20,56.64,4348500
NBP,03-Mar-2014,56.95,57.15,53.81,55.55,5402500
NBP,04-Mar-2014,52.78,52.78,52.78,52.78,3654500
NBP,05-Mar-2014,50.15,51.00,50.15,50.16,15162500
NBP,06-Mar-2014,50.01,52.66,49.80,52.66,9756000
NBP,07-Mar-2014,52.99,53.07,51.82,52.09,4316500
NBP,10-Mar-2014,52.25,53.10,51.50,52.64,5357500
NBP,11-Mar-2014,52.65,54.50,52.65,53.81,6039000
NBP,12-Mar-2014,54.04,54.63,53.71,54.05,2282000
NBP,13-Mar-2014,54.11,54.35,53.50,53.70,882000
NBP,14-Mar-2014,53.31,53.70,53.00,53.29,1093000
NBP,17-Mar-2014,53.49,53.80,53.12,53.45,1498000
NBP,18-Mar-2014,53.30,54.60,53.25,54.29,3463500
NBP,19-Mar-2014,52.30,53.52,52.30,52.91,4288000
NBP,20-Mar-2014,53.00,53.50,52.75,52.94,1295000
NBP,21-Mar-2014,53.08,53.10,50.90,51.56,1324500
NBP,24-Mar-2014,52.00,53.01,51.01,52.45,1833500
NBP,25-Mar-2014,52.85,53.95,52.65,53.74,1911500
NBP,26-Mar-2014,53.80,54.15,53.45,53.88,3095000
NBP,27-Mar-2014,53.90,56.40,53.90,55.63,7239000
NBP,28-Mar-2014,55.80,55.80,54.40,54.54,2242500
NBP,31-Mar-2014,55.09,55.09,53.85,54.06,1269000
NBP,01-Apr-2014,54.40,54.85,54.10,54.50,1472500
NBP,02-Apr-2014,54.89,55.55,54.65,55.37,4371500
