Symbol,Date,Open,High,Low,Close,Volume
NCML,05-May-2015,3.50,3.50,3.11,3.50,129500
NCML,06-May-2015,4.50,4.50,4.50,4.50,40000
NCML,07-May-2015,5.50,5.50,4.76,5.23,638000
NCML,08-May-2015,4.55,4.56,4.23,4.23,77500
NCML,11-May-2015,3.52,3.65,3.23,3.23,107000
NCML,12-May-2015,3.15,3.90,3.15,3.80,47000
NCML,13-May-2015,4.00,4.00,3.50,3.55,6500
NCML,14-May-2015,3.85,3.85,3.85,3.85,500
NCML,15-May-2015,3.90,3.94,3.60,3.60,6000
NCML,18-May-2015,3.30,3.75,3.30,3.30,2000
NCML,19-May-2015,3.15,3.26,3.15,3.25,2500
NCML,20-May-2015,3.15,3.42,3.00,3.42,9500
NCML,22-May-2015,3.20,3.20,3.20,3.20,2000
NCML,25-May-2015,3.21,3.21,3.10,3.16,10000
NCML,26-May-2015,3.06,4.08,2.76,2.94,101500
NCML,27-May-2015,2.99,3.19,2.91,2.91,18500
NCML,28-May-2015,2.86,2.86,2.81,2.82,7000
NCML,29-May-2015,2.81,3.32,2.80,3.10,14000
NCML,01-Jun-2015,3.00,3.44,2.90,3.27,30500
NCML,03-Jun-2015,3.05,3.35,3.03,3.35,15000
NCML,04-Jun-2015,3.60,3.67,3.35,3.40,12000
NCML,05-Jun-2015,3.70,4.08,3.50,3.50,11000
NCML,08-Jun-2015,3.59,3.90,3.59,3.80,38500
NCML,09-Jun-2015,3.52,3.75,3.35,3.39,17500
NCML,10-Jun-2015,3.21,3.45,3.20,3.38,22500
NCML,11-Jun-2015,3.30,3.99,3.25,3.79,60500
NCML,12-Jun-2015,3.98,3.99,3.98,3.99,1000
NCML,15-Jun-2015,4.00,4.00,3.26,3.35,15500
NCML,16-Jun-2015,3.35,3.35,3.21,3.21,3000
NCML,17-Jun-2015,3.13,3.49,3.13,3.39,23000
NCML,18-Jun-2015,3.30,3.50,3.25,3.50,5000
NCML,25-Jun-2015,3.01,3.42,3.01,3.15,2500
NCML,02-Jul-2015,3.01,3.01,3.00,3.00,2500
NCML,03-Jul-2015,3.00,3.00,3.00,3.00,2500
NCML,06-Jul-2015,2.90,2.90,2.80,2.81,10000
NCML,07-Jul-2015,2.76,3.20,2.76,3.20,11500
NCML,08-Jul-2015,2.85,2.85,2.80,2.83,6000
NCML,09-Jul-2015,2.95,2.95,2.95,2.95,500
NCML,13-Jul-2015,2.55,2.77,2.55,2.71,6500
NCML,14-Jul-2015,2.60,3.39,2.60,3.19,24500
NCML,15-Jul-2015,3.25,3.75,3.25,3.57,44500
NCML,16-Jul-2015,3.51,4.01,3.51,3.75,99500
NCML,22-Jul-2015,3.49,4.10,3.49,4.09,71500
NCML,23-Jul-2015,4.00,4.50,3.85,4.50,47500
NCML,24-Jul-2015,4.38,4.45,4.00,4.00,2500
NCML,27-Jul-2015,4.30,4.30,4.30,4.30,1000
NCML,28-Jul-2015,3.75,3.75,3.67,3.70,7000
NCML,29-Jul-2015,3.70,3.73,3.26,3.38,19500
NCML,30-Jul-2015,3.50,3.74,3.40,3.40,8500
NCML,04-Aug-2015,3.25,3.25,3.25,3.25,500
NCML,10-Aug-2015,3.40,3.40,3.13,3.13,4500
NCML,12-Aug-2015,3.30,3.35,3.30,3.30,3500
NCML,13-Aug-2015,3.40,3.40,3.40,3.40,10000
NCML,19-Aug-2015,3.13,3.25,3.10,3.25,6000
NCML,20-Aug-2015,3.03,3.03,3.00,3.00,4000
NCML,21-Aug-2015,3.00,3.00,3.00,3.00,2500
NCML,24-Aug-2015,2.80,2.95,2.65,2.95,2000
NCML,25-Aug-2015,3.00,3.00,2.80,3.00,18500
NCML,26-Aug-2015,3.10,3.20,3.10,3.20,1000
NCML,27-Aug-2015,3.20,3.35,3.20,3.31,8500
