Symbol,Date,Open,High,Low,Close,Volume
NCPL,01-Jan-2014,35.00,35.48,34.50,35.20,6294500
NCPL,02-Jan-2014,35.50,35.60,34.50,35.18,2222500
NCPL,03-Jan-2014,35.43,36.93,35.43,35.99,4378000
NCPL,06-Jan-2014,36.00,37.00,35.90,35.96,1142000
NCPL,07-Jan-2014,35.90,36.23,35.22,35.98,743500
NCPL,08-Jan-2014,35.61,35.99,35.50,35.97,266000
NCPL,09-Jan-2014,36.05,36.05,35.50,35.51,271500
NCPL,10-Jan-2014,35.36,36.00,35.25,35.89,358500
NCPL,13-Jan-2014,36.38,36.52,36.15,36.50,513500
NCPL,15-Jan-2014,36.50,37.25,36.50,36.58,1225000
NCPL,16-Jan-2014,36.60,36.75,36.40,36.55,207500
NCPL,17-Jan-2014,36.10,37.00,36.10,36.93,330500
NCPL,20-Jan-2014,36.51,37.20,36.50,36.96,238000
NCPL,21-Jan-2014,36.75,37.00,36.51,36.99,117500
NCPL,22-Jan-2014,36.81,37.00,36.75,36.80,54000
NCPL,23-Jan-2014,36.75,36.95,36.56,36.57,194000
NCPL,24-Jan-2014,36.60,37.00,36.60,36.76,121500
NCPL,27-Jan-2014,36.50,37.00,36.50,36.50,276500
NCPL,28-Jan-2014,36.50,36.98,36.20,36.28,101000
NCPL,29-Jan-2014,36.25,36.25,35.90,35.97,166500
NCPL,30-Jan-2014,35.70,36.00,35.70,35.75,88500
NCPL,31-Jan-2014,35.71,36.10,35.70,35.99,75500
NCPL,03-Feb-2014,35.45,36.50,35.45,35.63,194000
NCPL,04-Feb-2014,36.24,36.24,35.65,35.88,101500
NCPL,06-Feb-2014,36.00,36.00,35.95,35.95,41500
NCPL,07-Feb-2014,35.61,35.93,35.35,35.80,61000
NCPL,10-Feb-2014,35.80,35.80,34.80,35.35,63500
NCPL,11-Feb-2014,36.15,36.65,35.96,36.32,184500
NCPL,12-Feb-2014,36.35,37.20,36.35,36.97,552000
NCPL,13-Feb-2014,36.99,37.19,36.70,36.82,186500
NCPL,14-Feb-2014,36.61,36.99,36.50,36.53,21500
NCPL,17-Feb-2014,36.12,36.47,35.39,35.48,107500
NCPL,18-Feb-2014,36.50,36.75,35.45,36.66,433000
NCPL,19-Feb-2014,37.00,37.39,36.50,36.75,532500
NCPL,20-Feb-2014,36.80,37.00,36.01,36.66,342500
NCPL,21-Feb-2014,36.99,37.25,36.61,36.98,223000
NCPL,24-Feb-2014,36.56,36.60,36.50,36.51,37000
NCPL,25-Feb-2014,36.50,37.10,36.49,37.00,145000
NCPL,26-Feb-2014,37.00,37.44,36.60,36.93,73500
NCPL,27-Feb-2014,36.60,36.60,35.75,35.92,409500
NCPL,28-Feb-2014,35.92,36.00,35.75,35.98,79500
NCPL,03-Mar-2014,36.00,36.93,35.98,36.48,816000
NCPL,04-Mar-2014,36.20,36.50,36.03,36.47,25500
NCPL,05-Mar-2014,36.50,37.00,36.00,36.05,145000
NCPL,06-Mar-2014,36.40,37.10,36.35,37.00,882500
NCPL,07-Mar-2014,36.99,38.85,36.35,37.21,314000
NCPL,10-Mar-2014,37.25,37.25,37.00,37.14,5000
NCPL,11-Mar-2014,36.80,37.50,36.80,37.23,115000
NCPL,12-Mar-2014,35.73,36.00,35.00,35.78,893000
NCPL,13-Mar-2014,36.00,36.00,35.11,35.12,125000
NCPL,14-Mar-2014,35.88,35.95,35.13,35.51,632000
NCPL,17-Mar-2014,35.50,35.97,35.32,35.66,43000
NCPL,18-Mar-2014,35.50,35.51,35.35,35.40,19500
NCPL,19-Mar-2014,35.50,35.99,35.30,35.91,47500
NCPL,20-Mar-2014,35.51,35.55,35.21,35.26,42000
NCPL,21-Mar-2014,35.20,35.99,35.16,35.70,39500
NCPL,24-Mar-2014,35.11,35.67,34.50,35.50,15500
NCPL,25-Mar-2014,35.60,35.60,35.20,35.40,33500
NCPL,26-Mar-2014,35.49,35.55,35.45,35.48,17500
NCPL,27-Mar-2014,35.57,35.61,35.50,35.55,44000
NCPL,28-Mar-2014,35.20,37.32,35.20,36.35,331000
NCPL,31-Mar-2014,36.00,36.20,36.00,36.09,183500
NCPL,01-Apr-2014,36.20,36.40,36.01,36.40,22500
NCPL,02-Apr-2014,36.10,36.25,36.10,36.25,9500
NCPL,03-Apr-2014,36.25,37.00,36.25,36.30,555000
NCPL,04-Apr-2014,36.15,36.80,36.15,36.75,12500
NCPL,07-Apr-2014,36.50,36.90,36.50,36.80,23000
NCPL,08-Apr-2014,36.80,37.00,36.75,36.96,541000
NCPL,09-Apr-2014,36.80,37.00,36.80,37.00,2342000
NCPL,10-Apr-2014,36.50,37.25,36.50,37.23,781500
NCPL,11-Apr-2014,37.00,37.50,37.00,37.24,1022500
NCPL,14-Apr-2014,37.00,37.10,36.46,36.50,67500
NCPL,15-Apr-2014,36.60,36.60,36.11,36.17,87500
NCPL,16-Apr-2014,37.00,37.00,36.30,36.43,184500
NCPL,17-Apr-2014,36.04,36.04,35.40,35.79,473500
NCPL,18-Apr-2014,35.80,36.01,35.53,36.00,135000
NCPL,21-Apr-2014,35.80,36.35,35.75,36.05,406500
NCPL,22-Apr-2014,35.85,36.80,35.85,36.50,311500
NCPL,23-Apr-2014,36.98,37.00,36.65,36.82,69500
NCPL,24-Apr-2014,36.99,37.00,36.60,36.78,508500
NCPL,25-Apr-2014,37.50,37.50,36.50,36.75,323000
NCPL,28-Apr-2014,36.52,38.00,36.50,37.87,642000
NCPL,29-Apr-2014,38.25,38.25,37.50,37.64,107500
NCPL,30-Apr-2014,38.00,38.80,37.85,38.17,347500
NCPL,02-May-2014,38.25,38.50,38.00,38.15,509000
NCPL,05-May-2014,38.40,38.89,38.01,38.81,321000
NCPL,06-May-2014,38.90,39.20,38.70,38.87,292500
NCPL,07-May-2014,38.50,39.39,38.50,38.80,298000
NCPL,08-May-2014,39.00,39.20,38.75,39.15,96000
NCPL,09-May-2014,39.25,39.49,39.00,39.24,361000
NCPL,12-May-2014,39.20,39.47,39.20,39.26,94000
NCPL,13-May-2014,39.01,39.50,39.01,39.40,233500
NCPL,14-May-2014,39.01,39.50,39.01,39.10,17000
NCPL,15-May-2014,39.10,39.25,39.00,39.12,33500
NCPL,16-May-2014,39.16,39.40,39.12,39.35,11500
NCPL,19-May-2014,39.45,39.50,39.00,39.40,85000
NCPL,20-May-2014,39.20,39.50,39.05,39.40,40000
NCPL,21-May-2014,39.16,39.20,38.75,39.00,79000
NCPL,22-May-2014,39.10,39.50,39.01,39.49,147000
NCPL,23-May-2014,39.50,40.98,39.50,40.72,782500
NCPL,26-May-2014,40.97,41.10,40.35,40.90,77000
NCPL,27-May-2014,40.05,40.78,39.65,40.46,135500
NCPL,28-May-2014,40.59,40.74,40.01,40.31,180000
NCPL,29-May-2014,40.20,40.70,40.20,40.58,42000
NCPL,30-May-2014,40.85,41.50,40.60,41.00,96000
NCPL,02-Jun-2014,41.00,41.65,40.75,41.38,83000
NCPL,03-Jun-2014,41.50,41.99,41.00,41.24,312000
NCPL,04-Jun-2014,41.00,41.60,40.30,40.53,228500
NCPL,05-Jun-2014,41.09,41.50,41.00,41.30,176500
NCPL,06-Jun-2014,41.50,41.80,41.00,41.44,305500
NCPL,09-Jun-2014,39.00,39.48,38.01,39.28,344000
NCPL,10-Jun-2014,39.00,39.10,38.36,38.60,276000
NCPL,11-Jun-2014,39.00,39.00,38.50,38.57,265000
NCPL,12-Jun-2014,38.75,39.00,38.30,38.83,206000
NCPL,13-Jun-2014,39.25,39.65,38.45,38.76,167000
NCPL,16-Jun-2014,38.03,38.25,37.75,37.88,216000
