Symbol,Date,Open,High,Low,Close,Volume
NESTLE,01-Jan-2014,7670.00,7926.50,7670.00,7926.50,40
NESTLE,02-Jan-2014,8000.00,8299.99,8000.00,8200.00,120
NESTLE,03-Jan-2014,8500.00,8610.00,8450.00,8475.00,540
NESTLE,06-Jan-2014,8898.00,8898.75,8750.00,8898.75,960
NESTLE,07-Jan-2014,8751.00,9275.00,8700.00,9259.80,500
NESTLE,08-Jan-2014,9100.00,9100.00,9000.00,9090.00,140
NESTLE,09-Jan-2014,9090.00,9389.00,9000.00,9100.00,480
NESTLE,10-Jan-2014,9000.00,9300.00,9000.00,9280.00,160
NESTLE,13-Jan-2014,9348.99,9700.00,9299.00,9639.85,2640
NESTLE,15-Jan-2014,10100.00,10121.84,9700.00,9910.83,2460
NESTLE,16-Jan-2014,9680.00,9985.00,9680.00,9700.00,60
NESTLE,17-Jan-2014,9499.00,9500.00,9220.00,9220.00,80
NESTLE,20-Jan-2014,8790.00,9400.00,8790.00,9399.99,1340
NESTLE,21-Jan-2014,9300.00,9869.98,9300.00,9864.43,2800
NESTLE,22-Jan-2014,10140.00,10356.65,9900.00,10332.97,2900
NESTLE,23-Jan-2014,10510.00,10849.61,10500.00,10745.68,4680
NESTLE,24-Jan-2014,10800.00,11280.00,10800.00,11125.71,2460
NESTLE,27-Jan-2014,11300.00,11681.00,11000.00,11418.25,2580
NESTLE,28-Jan-2014,11450.00,11989.16,11300.00,11989.00,3040
NESTLE,29-Jan-2014,12000.00,12588.45,12000.00,12588.45,4540
NESTLE,30-Jan-2014,13120.00,13120.00,12800.00,12800.00,2900
NESTLE,31-Jan-2014,12635.00,12635.00,12160.00,12480.00,760
NESTLE,03-Feb-2014,11900.00,11900.00,11856.00,11856.00,40
NESTLE,04-Feb-2014,11300.01,11300.01,11263.20,11263.20,280
NESTLE,06-Feb-2014,10700.05,11690.00,10700.04,10700.04,680
NESTLE,07-Feb-2014,10500.00,10889.00,10165.10,10505.64,260
NESTLE,10-Feb-2014,10002.00,10299.00,9980.36,10296.50,240
NESTLE,11-Feb-2014,9800.00,10185.00,9800.00,10182.50,320
NESTLE,12-Feb-2014,10575.00,10585.00,9800.00,9920.14,2260
NESTLE,13-Feb-2014,10000.00,10000.00,9900.00,9900.00,1020
NESTLE,14-Feb-2014,9945.00,9945.00,9945.00,9945.00,60
NESTLE,17-Feb-2014,9501.00,9501.00,9447.75,9450.00,180
NESTLE,18-Feb-2014,9500.00,9500.00,9000.00,9334.50,120
NESTLE,19-Feb-2014,9749.00,9749.00,9745.00,9745.00,40
NESTLE,20-Feb-2014,9599.99,9600.00,9257.75,9257.75,200
NESTLE,21-Feb-2014,8805.00,9389.00,8794.87,8801.00,320
NESTLE,24-Feb-2014,8995.00,8999.00,8995.00,8997.00,80
NESTLE,25-Feb-2014,9384.00,9389.00,8547.15,8869.00,4620
NESTLE,26-Feb-2014,9074.99,9312.45,8510.10,9312.45,2800
NESTLE,27-Feb-2014,9500.00,9700.00,9250.00,9625.00,1140
NESTLE,28-Feb-2014,9585.00,9670.00,9150.00,9287.00,460
NESTLE,03-Mar-2014,9061.00,9061.00,8822.65,8847.94,180
NESTLE,04-Mar-2014,8989.00,8989.00,8890.00,8900.00,100
NESTLE,05-Mar-2014,8990.00,8990.00,8990.00,8990.00,40
NESTLE,06-Mar-2014,8999.00,9000.00,8850.00,8850.00,740
NESTLE,07-Mar-2014,8990.00,8990.00,8900.00,8900.00,80
NESTLE,10-Mar-2014,8501.00,8950.00,8501.00,8950.00,60
NESTLE,11-Mar-2014,8810.00,8810.00,8810.00,8810.00,20
NESTLE,12-Mar-2014,8890.00,8890.00,8850.00,8850.00,60
NESTLE,14-Mar-2014,8750.00,8750.00,8750.00,8750.00,20
NESTLE,17-Mar-2014,8900.00,8900.00,8700.00,8700.00,80
NESTLE,18-Mar-2014,8860.00,9134.00,8860.00,8996.00,340
NESTLE,19-Mar-2014,9040.00,9040.00,9040.00,9040.00,20
NESTLE,20-Mar-2014,8990.00,8990.00,8801.00,8801.00,40
NESTLE,21-Mar-2014,8625.00,8980.00,8611.00,8980.00,160
NESTLE,24-Mar-2014,8610.00,8850.00,8610.00,8850.00,280
NESTLE,25-Mar-2014,8950.00,8950.00,8899.00,8950.00,460
NESTLE,27-Mar-2014,8950.00,8950.00,8503.00,8549.80,540
NESTLE,28-Mar-2014,8850.00,8850.00,8575.00,8593.75,240
NESTLE,01-Apr-2014,8201.00,8375.00,8164.07,8164.07,1680
NESTLE,02-Apr-2014,8000.00,8490.00,8000.00,8010.20,1020
NESTLE,03-Apr-2014,8299.99,8299.99,8200.00,8200.00,300
NESTLE,04-Apr-2014,8200.00,8600.00,8175.00,8187.50,1260
NESTLE,07-Apr-2014,8200.00,8200.00,8100.00,8100.00,400
NESTLE,08-Apr-2014,8200.00,8250.00,8175.15,8201.00,1440
NESTLE,09-Apr-2014,8000.00,8290.00,8000.00,8140.00,1620
NESTLE,10-Apr-2014,8100.00,8289.00,8100.00,8200.00,280
NESTLE,11-Apr-2014,8200.00,8590.00,8011.00,8198.00,1620
NESTLE,14-Apr-2014,8300.00,8365.00,7930.00,8046.83,2280
NESTLE,15-Apr-2014,7931.00,8285.00,7931.00,8077.51,1100
NESTLE,16-Apr-2014,8195.00,8195.00,8002.00,8111.00,120
NESTLE,17-Apr-2014,8021.20,8299.00,8000.00,8200.00,260
NESTLE,21-Apr-2014,8100.00,8100.00,8100.00,8100.00,40
NESTLE,22-Apr-2014,8052.00,8052.00,8051.00,8051.00,40
NESTLE,23-Apr-2014,7900.01,8074.00,7850.00,8025.00,160
NESTLE,24-Apr-2014,7901.01,8000.00,7850.01,7900.00,200
NESTLE,28-Apr-2014,8049.99,8295.00,8049.99,8050.00,540
NESTLE,29-Apr-2014,8060.00,8060.00,8060.00,8060.00,20
NESTLE,30-Apr-2014,8100.00,8300.00,8100.00,8300.00,520
NESTLE,05-May-2014,8075.00,8075.00,8075.00,8075.00,20
NESTLE,07-May-2014,8010.00,8010.00,7950.00,8000.00,120
NESTLE,12-May-2014,8000.00,8000.10,7800.00,8000.00,220
NESTLE,15-May-2014,8200.00,8250.00,8200.00,8250.00,120
NESTLE,19-May-2014,8080.00,8080.00,8080.00,8080.00,20
NESTLE,21-May-2014,8000.00,8000.00,8000.00,8000.00,100
NESTLE,22-May-2014,7999.00,8050.00,7999.00,8025.00,200
