Symbol,Date,Open,High,Low,Close,Volume
NICL,01-Jan-2014,7.59,7.65,7.40,7.53,946500
NICL,16-Jan-2014,16.06,16.06,14.70,15.42,1622000
NICL,17-Jan-2014,15.10,15.45,15.05,15.14,183500
NICL,20-Jan-2014,15.00,16.14,15.00,16.10,1607500
NICL,21-Jan-2014,16.20,16.50,16.20,16.29,920500
NICL,22-Jan-2014,16.45,16.50,16.20,16.26,206000
NICL,23-Jan-2014,16.27,16.65,16.25,16.39,440000
NICL,24-Jan-2014,16.30,16.84,16.05,16.54,557500
NICL,27-Jan-2014,16.25,16.34,16.06,16.22,172000
NICL,28-Jan-2014,16.39,17.22,16.21,17.22,1558500
NICL,29-Jan-2014,17.49,18.22,16.90,18.22,1465000
NICL,30-Jan-2014,18.44,19.22,18.44,19.22,1672000
NICL,31-Jan-2014,19.80,19.80,18.22,18.41,694000
NICL,03-Feb-2014,18.30,18.94,18.24,18.39,303500
NICL,04-Feb-2014,18.32,18.39,18.00,18.33,417500
NICL,06-Feb-2014,18.25,19.33,18.25,19.33,891000
NICL,07-Feb-2014,19.50,20.00,18.52,18.81,589000
NICL,10-Feb-2014,18.70,19.81,17.81,19.81,2172000
NICL,11-Feb-2014,19.80,20.70,19.27,19.42,791000
NICL,12-Feb-2014,19.30,19.69,19.10,19.32,300500
NICL,13-Feb-2014,19.72,20.32,19.00,20.25,1714500
NICL,14-Feb-2014,20.10,21.19,19.90,20.15,632500
NICL,17-Feb-2014,20.25,20.50,19.43,19.51,265000
NICL,18-Feb-2014,19.70,20.51,18.51,20.51,896500
NICL,19-Feb-2014,21.00,21.10,19.49,19.49,555000
NICL,20-Feb-2014,19.00,19.50,18.75,18.90,234000
NICL,21-Feb-2014,19.34,19.40,18.35,18.70,223000
NICL,24-Feb-2014,18.70,19.00,18.65,18.76,105500
NICL,25-Feb-2014,18.75,18.94,17.76,17.89,699000
NICL,26-Feb-2014,18.20,18.30,17.27,17.61,199500
NICL,27-Feb-2014,17.90,17.90,17.10,17.35,41000
NICL,28-Feb-2014,17.50,18.00,17.15,17.70,81500
