Symbol,Date,Open,High,Low,Close,Volume
NITG-ETF,24-Mar-2020,9.06,9.06,9.00,9.06,31500
NITG-ETF,25-Mar-2020,8.74,8.77,8.58,8.70,124000
NITG-ETF,26-Mar-2020,8.78,8.88,8.55,8.67,40000
NITG-ETF,27-Mar-2020,8.66,8.80,8.60,8.80,18500
NITG-ETF,30-Mar-2020,8.78,8.78,8.50,8.50,5000
NITG-ETF,31-Mar-2020,8.92,8.92,8.80,8.88,8000
NITG-ETF,01-Apr-2020,9.27,9.27,9.18,9.20,186500
NITG-ETF,02-Apr-2020,9.42,9.42,9.42,9.42,155500
NITG-ETF,03-Apr-2020,10.12,10.12,9.80,10.12,114500
NITG-ETF,06-Apr-2020,10.00,10.00,9.70,9.72,172500
NITG-ETF,07-Apr-2020,9.75,9.87,9.75,9.85,137500
NITG-ETF,08-Apr-2020,9.83,9.85,9.75,9.85,223500
NITG-ETF,09-Apr-2020,10.10,10.25,10.08,10.13,180000
NITG-ETF,10-Apr-2020,9.91,10.07,9.91,9.91,158000
NITG-ETF,13-Apr-2020,10.00,10.07,9.79,9.81,237000
NITG-ETF,14-Apr-2020,9.91,9.91,9.79,9.80,223500
NITG-ETF,15-Apr-2020,9.93,9.93,9.72,9.74,133500
NITG-ETF,16-Apr-2020,9.78,9.78,9.75,9.75,163000
NITG-ETF,17-Apr-2020,10.25,10.48,10.25,10.40,50500
NITG-ETF,20-Apr-2020,10.45,11.10,10.15,10.94,257000
NITG-ETF,21-Apr-2020,10.15,10.33,10.12,10.13,397000
NITG-ETF,22-Apr-2020,9.91,9.95,9.78,9.95,113500
NITG-ETF,23-Apr-2020,10.06,10.07,9.82,10.07,8500
NITG-ETF,24-Apr-2020,10.15,10.15,10.15,10.15,15000
NITG-ETF,27-Apr-2020,10.01,10.06,10.01,10.05,4500
NITG-ETF,28-Apr-2020,9.96,10.09,9.96,10.09,4000
NITG-ETF,29-Apr-2020,10.20,10.20,10.07,10.11,25500
NITG-ETF,30-Apr-2020,10.20,10.69,10.20,10.57,72000
NITG-ETF,04-May-2020,10.42,10.59,10.38,10.46,44000
NITG-ETF,05-May-2020,10.61,10.61,10.61,10.61,5000
NITG-ETF,06-May-2020,10.50,10.50,10.50,10.50,6000
NITG-ETF,07-May-2020,10.46,10.48,10.45,10.47,27500
NITG-ETF,08-May-2020,10.47,10.47,10.21,10.21,8000
NITG-ETF,11-May-2020,10.27,10.27,10.27,10.27,4000
NITG-ETF,12-May-2020,10.23,10.64,10.23,10.64,1000
