Symbol,Date,Open,High,Low,Close,Volume
NITGETF,27-Jul-2021,11.30,11.30,11.30,11.30,10000
NITGETF,28-Jul-2021,11.48,11.48,11.48,11.48,1500
NITGETF,05-Aug-2021,11.50,11.50,11.50,11.50,2000
NITGETF,09-Aug-2021,11.71,11.71,11.71,11.71,1000
NITGETF,10-Aug-2021,11.25,11.90,11.25,11.90,4000
NITGETF,12-Aug-2021,11.30,11.78,11.30,11.64,13000
NITGETF,13-Aug-2021,11.73,11.80,11.72,11.72,15000
NITGETF,16-Aug-2021,11.50,11.50,11.50,11.50,1000
NITGETF,20-Aug-2021,11.43,11.43,11.43,11.43,500
NITGETF,31-Aug-2021,11.55,11.55,11.55,11.55,1000
NITGETF,01-Sep-2021,11.51,11.51,11.51,11.51,500
NITGETF,02-Sep-2021,11.86,11.86,11.86,11.86,500
NITGETF,03-Sep-2021,11.50,11.50,11.50,11.50,500
NITGETF,20-Sep-2021,11.20,11.20,11.20,11.20,1000
NITGETF,22-Sep-2021,10.99,10.99,10.99,10.99,10000
NITGETF,27-Sep-2021,11.18,11.18,11.00,11.00,10000
NITGETF,29-Sep-2021,11.44,11.44,11.44,11.44,2000
NITGETF,30-Sep-2021,11.15,11.15,11.15,11.15,1500
NITGETF,01-Oct-2021,10.78,10.78,10.78,10.78,1000
NITGETF,05-Oct-2021,11.21,11.35,11.18,11.35,442500
NITGETF,28-Oct-2021,11.70,11.70,11.70,11.70,500
NITGETF,29-Oct-2021,11.30,11.30,11.00,11.00,10000
NITGETF,04-Nov-2021,11.34,11.34,11.34,11.34,500
NITGETF,05-Nov-2021,11.86,11.86,11.86,11.86,500
NITGETF,08-Nov-2021,11.90,11.90,11.90,11.90,10000
NITGETF,09-Nov-2021,11.84,11.86,11.75,11.75,17500
NITGETF,12-Nov-2021,11.66,11.66,11.66,11.66,1000
NITGETF,23-Nov-2021,11.20,11.20,11.20,11.20,10000
NITGETF,13-Dec-2021,10.85,10.85,10.85,10.85,500
NITGETF,30-Dec-2021,11.08,11.08,11.08,11.08,500
NITGETF,04-Jan-2022,11.29,11.29,11.29,11.29,500
NITGETF,05-Jan-2022,11.30,11.30,11.30,11.30,500
NITGETF,06-Jan-2022,11.53,11.53,11.32,11.53,10500
NITGETF,07-Jan-2022,11.30,11.33,11.30,11.33,30000
NITGETF,11-Jan-2022,11.33,11.45,11.33,11.45,5000
NITGETF,14-Jan-2022,11.25,11.25,11.25,11.25,500
NITGETF,27-Jan-2022,11.16,11.16,11.16,11.16,10500
NITGETF,03-Feb-2022,11.50,11.50,11.50,11.50,500
NITGETF,04-Feb-2022,11.30,11.30,11.30,11.30,10000
NITGETF,10-Feb-2022,11.35,11.35,11.35,11.35,35000
NITGETF,22-Feb-2022,11.05,11.05,11.05,11.05,500
NITGETF,01-Mar-2022,10.94,11.05,10.94,10.94,11000
NITGETF,02-Mar-2022,10.83,10.83,10.83,10.83,3000
NITGETF,03-Mar-2022,11.10,11.10,11.10,11.10,4000
NITGETF,07-Mar-2022,10.83,10.83,10.83,10.83,1500
NITGETF,08-Mar-2022,10.77,10.77,10.77,10.77,500
NITGETF,09-Mar-2022,10.74,10.74,10.74,10.74,500
NITGETF,10-Mar-2022,10.91,10.91,10.91,10.91,500
NITGETF,14-Mar-2022,10.88,10.88,10.88,10.88,500
NITGETF,15-Mar-2022,10.82,10.82,10.82,10.82,1000
NITGETF,16-Mar-2022,10.84,10.84,10.84,10.84,2000
NITGETF,24-Mar-2022,10.75,10.75,10.75,10.75,500
NITGETF,01-Apr-2022,10.87,11.02,10.87,11.02,100000
NITGETF,05-Apr-2022,10.71,10.71,10.71,10.71,10000
NITGETF,06-Apr-2022,10.69,10.75,10.69,10.75,5500
NITGETF,07-Apr-2022,10.71,10.71,10.71,10.71,5500
NITGETF,08-Apr-2022,10.76,10.76,10.76,10.76,5000
NITGETF,11-Apr-2022,11.13,11.32,11.13,11.32,12500
NITGETF,12-Apr-2022,11.22,11.22,11.22,11.22,500
NITGETF,13-May-2022,10.50,10.50,10.50,10.50,1000
NITGETF,18-May-2022,10.61,10.61,10.61,10.61,1000
NITGETF,06-Jun-2022,10.15,10.15,10.15,10.15,6000
NITGETF,09-Jun-2022,10.36,10.36,10.36,10.36,2000
NITGETF,10-Jun-2022,10.35,10.35,10.35,10.35,1500
NITGETF,24-Jun-2022,9.94,9.94,9.94,9.94,500
NITGETF,30-Jun-2022,9.92,9.92,9.92,9.92,2000
NITGETF,01-Jul-2022,9.97,9.97,9.97,9.97,3500
NITGETF,13-Jul-2022,10.09,10.09,10.09,10.09,10000
NITGETF,18-Jul-2022,10.09,10.09,10.09,10.09,10000
NITGETF,19-Jul-2022,9.97,9.97,9.97,9.97,5000
NITGETF,26-Jul-2022,9.78,9.78,9.78,9.78,500
