Symbol,Date,Open,High,Low,Close,Volume
NMFL,01-Jan-2014,17.77,18.08,17.37,17.51,111500
NMFL,02-Jan-2014,17.10,17.89,17.08,17.51,166000
NMFL,03-Jan-2014,17.84,18.15,17.60,17.67,74500
NMFL,06-Jan-2014,17.50,18.67,17.33,18.67,289500
NMFL,07-Jan-2014,18.99,19.67,18.99,19.24,445500
NMFL,08-Jan-2014,19.69,20.24,19.20,20.24,422000
NMFL,09-Jan-2014,20.84,21.25,20.52,21.25,160500
NMFL,10-Jan-2014,21.75,22.31,21.43,22.31,64500
NMFL,13-Jan-2014,23.42,23.42,23.42,23.42,12500
NMFL,15-Jan-2014,24.59,24.59,24.59,24.59,3500
NMFL,16-Jan-2014,25.81,25.81,25.81,25.81,26000
NMFL,17-Jan-2014,27.10,27.10,25.40,27.10,457000
NMFL,20-Jan-2014,28.44,28.45,28.01,28.45,132000
NMFL,21-Jan-2014,29.87,29.87,29.87,29.87,5500
NMFL,22-Jan-2014,31.36,31.36,31.36,31.36,8500
NMFL,23-Jan-2014,32.92,32.92,32.92,32.92,500
NMFL,24-Jan-2014,34.56,34.56,31.28,31.31,1038500
NMFL,27-Jan-2014,30.01,30.50,29.75,29.75,86500
NMFL,28-Jan-2014,28.27,28.27,28.27,28.27,15000
NMFL,29-Jan-2014,26.86,26.86,26.86,26.86,6000
NMFL,30-Jan-2014,25.52,25.52,25.52,25.52,4000
NMFL,31-Jan-2014,24.25,26.79,24.25,24.45,659500
NMFL,03-Feb-2014,24.20,25.55,23.51,23.78,694000
NMFL,04-Feb-2014,23.70,24.70,23.10,24.20,154000
NMFL,06-Feb-2014,24.10,24.95,24.00,24.04,109000
NMFL,07-Feb-2014,23.91,24.01,22.84,22.84,175000
NMFL,10-Feb-2014,22.56,22.56,21.70,21.70,83000
NMFL,11-Feb-2014,20.62,20.62,20.62,20.62,31500
NMFL,12-Feb-2014,19.59,20.70,19.59,19.88,2646500
NMFL,13-Feb-2014,20.38,20.88,20.00,20.88,573500
NMFL,14-Feb-2014,21.45,21.77,19.84,19.98,1054000
NMFL,17-Feb-2014,19.30,19.60,18.98,18.98,205000
NMFL,18-Feb-2014,18.59,18.70,17.98,18.07,317500
NMFL,19-Feb-2014,17.85,18.44,17.60,17.81,83500
NMFL,20-Feb-2014,17.90,18.30,17.25,17.49,119000
NMFL,21-Feb-2014,17.50,18.40,17.50,18.24,194500
NMFL,24-Feb-2014,18.65,18.68,17.85,17.99,77000
NMFL,25-Feb-2014,17.66,17.90,17.55,17.64,52000
NMFL,26-Feb-2014,17.24,17.60,16.80,17.16,80500
NMFL,27-Feb-2014,17.59,17.59,16.25,16.62,88500
NMFL,28-Feb-2014,16.89,17.62,16.36,17.62,143000
NMFL,03-Mar-2014,17.65,18.62,17.65,18.62,134000
NMFL,04-Mar-2014,19.10,19.19,18.50,18.86,223500
NMFL,05-Mar-2014,18.51,19.35,18.41,18.52,58000
NMFL,06-Mar-2014,18.84,18.84,18.03,18.22,63500
NMFL,07-Mar-2014,18.01,18.25,17.45,17.59,43500
NMFL,10-Mar-2014,17.35,18.19,16.95,17.22,142000
NMFL,11-Mar-2014,17.50,17.69,17.40,17.61,67000
NMFL,12-Mar-2014,17.27,18.00,17.25,17.56,76500
NMFL,13-Mar-2014,17.89,18.56,17.75,18.56,193500
NMFL,14-Mar-2014,19.20,19.56,18.67,18.95,315000
NMFL,17-Mar-2014,19.18,19.25,18.42,18.50,132000
NMFL,18-Mar-2014,18.50,19.50,18.35,18.60,521000
NMFL,19-Mar-2014,18.10,18.35,17.60,17.94,327500
NMFL,20-Mar-2014,18.00,18.15,17.40,17.47,98000
NMFL,21-Mar-2014,18.25,18.25,16.47,16.84,197500
NMFL,24-Mar-2014,17.01,17.01,16.80,16.89,84000
NMFL,25-Mar-2014,17.49,17.50,15.89,16.08,353000
NMFL,26-Mar-2014,16.32,16.32,15.80,15.91,95000
NMFL,27-Mar-2014,16.00,16.33,15.90,15.98,163500
NMFL,28-Mar-2014,16.02,16.19,15.77,15.91,71000
NMFL,31-Mar-2014,15.81,15.87,15.25,15.35,107500
NMFL,01-Apr-2014,15.36,15.90,15.36,15.66,83500
NMFL,02-Apr-2014,15.75,16.65,15.75,16.12,224000
NMFL,03-Apr-2014,16.25,16.45,15.61,15.79,81000
NMFL,04-Apr-2014,15.89,16.20,15.66,15.85,46500
NMFL,07-Apr-2014,15.53,15.90,15.53,15.66,43000
NMFL,08-Apr-2014,16.10,16.40,15.63,15.95,286000
NMFL,09-Apr-2014,16.09,16.30,15.80,15.84,156500
NMFL,10-Apr-2014,16.20,16.20,15.46,15.54,164000
NMFL,11-Apr-2014,15.50,15.64,15.00,15.20,99500
NMFL,14-Apr-2014,15.45,15.49,14.85,15.11,53000
NMFL,15-Apr-2014,15.11,15.20,14.75,14.79,81500
NMFL,16-Apr-2014,14.95,15.25,14.60,14.66,73500
NMFL,17-Apr-2014,14.90,14.99,14.40,14.50,151500
NMFL,18-Apr-2014,14.85,14.89,14.35,14.37,59000
NMFL,21-Apr-2014,14.40,14.40,13.60,13.62,160500
NMFL,22-Apr-2014,14.00,14.32,13.75,14.01,37000
NMFL,23-Apr-2014,13.86,14.15,13.32,13.39,130500
NMFL,24-Apr-2014,13.75,13.75,13.40,13.48,70500
NMFL,25-Apr-2014,13.60,13.80,13.35,13.47,171500
NMFL,28-Apr-2014,13.25,13.50,13.00,13.24,74500
NMFL,29-Apr-2014,13.06,13.47,12.55,12.72,71000
NMFL,30-Apr-2014,13.64,13.72,13.25,13.72,844000
NMFL,02-May-2014,14.72,14.72,14.72,14.72,25500
NMFL,05-May-2014,15.72,15.72,15.00,15.72,1739000
NMFL,06-May-2014,15.98,16.23,15.15,15.23,555500
NMFL,07-May-2014,15.05,15.24,14.45,14.55,173500
NMFL,08-May-2014,14.10,15.40,14.10,15.04,259500
NMFL,09-May-2014,15.28,15.40,14.14,14.48,169000
NMFL,12-May-2014,14.31,14.69,14.16,14.18,80000
NMFL,13-May-2014,14.02,15.18,13.80,15.08,406000
NMFL,14-May-2014,15.87,15.87,14.90,15.03,250500
NMFL,15-May-2014,15.19,15.50,14.91,15.08,123500
NMFL,16-May-2014,15.35,15.35,14.90,15.21,63000
NMFL,19-May-2014,15.48,16.21,15.25,16.21,493000
NMFL,20-May-2014,16.74,16.74,15.82,15.86,295000
NMFL,21-May-2014,15.71,16.25,15.60,15.67,206000
NMFL,22-May-2014,15.50,16.00,15.30,15.48,105500
NMFL,23-May-2014,15.51,15.52,15.16,15.21,65500
NMFL,26-May-2014,15.20,16.21,15.10,16.21,289500
NMFL,27-May-2014,16.65,16.90,16.15,16.23,473500
NMFL,28-May-2014,16.48,16.60,16.08,16.45,152000
NMFL,29-May-2014,16.45,16.95,16.35,16.74,289000
NMFL,30-May-2014,16.84,16.94,16.25,16.31,156500
NMFL,02-Jun-2014,16.25,16.40,15.86,15.97,113500
NMFL,03-Jun-2014,15.83,16.00,14.97,15.41,269500
NMFL,04-Jun-2014,15.60,15.69,15.00,15.59,156000
NMFL,05-Jun-2014,15.51,16.04,15.50,15.70,170500
NMFL,06-Jun-2014,15.51,16.05,15.35,15.42,167000
NMFL,09-Jun-2014,15.50,15.70,15.25,15.27,37000
NMFL,10-Jun-2014,15.45,16.10,15.40,15.91,198000
NMFL,11-Jun-2014,15.99,16.91,15.56,16.89,752500
NMFL,12-Jun-2014,17.09,17.75,17.08,17.46,566500
NMFL,13-Jun-2014,17.50,18.46,17.50,18.46,703000
NMFL,16-Jun-2014,18.74,19.46,18.60,19.46,384500
NMFL,17-Jun-2014,20.10,20.41,18.46,18.61,1109000
NMFL,18-Jun-2014,18.70,19.61,18.20,19.61,830500
NMFL,19-Jun-2014,19.93,20.61,19.11,19.21,893500
NMFL,20-Jun-2014,19.06,19.80,19.02,19.10,286000
NMFL,23-Jun-2014,19.10,19.65,18.79,19.51,425000
NMFL,24-Jun-2014,19.52,20.18,19.25,19.66,347500
NMFL,25-Jun-2014,19.80,19.80,18.85,19.08,220000
NMFL,26-Jun-2014,18.70,19.65,18.65,19.34,223000
NMFL,27-Jun-2014,19.69,19.85,19.10,19.61,484500
NMFL,30-Jun-2014,19.80,19.83,19.00,19.14,200500
NMFL,01-Jul-2014,19.24,19.24,18.85,18.89,61500
NMFL,02-Jul-2014,19.00,19.40,18.60,19.08,123000
NMFL,03-Jul-2014,19.20,19.25,18.96,19.15,91000
NMFL,04-Jul-2014,19.05,19.10,18.70,18.97,71000
NMFL,07-Jul-2014,18.75,19.35,18.75,18.96,84000
NMFL,08-Jul-2014,19.00,19.00,18.77,18.80,3500
NMFL,09-Jul-2014,18.65,18.65,18.11,18.21,46000
NMFL,10-Jul-2014,18.00,18.10,17.50,17.55,67500
NMFL,11-Jul-2014,17.70,18.00,17.65,17.90,27500
NMFL,14-Jul-2014,18.00,18.29,17.80,17.87,49500
NMFL,15-Jul-2014,17.76,17.90,17.52,17.61,37500
NMFL,16-Jul-2014,17.40,17.85,17.31,17.56,87500
NMFL,17-Jul-2014,17.02,18.10,17.02,18.00,88000
NMFL,18-Jul-2014,17.66,18.10,17.66,17.84,45500
NMFL,21-Jul-2014,18.19,18.25,17.80,17.96,111000
NMFL,22-Jul-2014,18.00,18.00,17.77,17.82,46000
NMFL,23-Jul-2014,18.00,18.82,17.85,18.82,408500
NMFL,24-Jul-2014,19.05,19.15,18.26,18.37,108000
