Symbol,Date,Open,High,Low,Close,Volume
NONS,01-Jan-2014,28.11,28.11,28.00,28.11,1500
NONS,02-Jan-2014,28.50,29.51,28.50,29.51,13500
NONS,06-Jan-2014,28.11,30.98,28.04,30.98,26000
NONS,07-Jan-2014,29.51,29.51,29.44,29.44,6000
NONS,08-Jan-2014,27.97,27.97,27.97,27.97,73000
NONS,09-Jan-2014,27.80,27.80,26.58,26.58,5000
NONS,10-Jan-2014,25.53,25.53,25.27,25.27,1500
NONS,13-Jan-2014,24.55,26.53,24.55,26.53,28000
NONS,15-Jan-2014,27.25,27.25,26.50,27.17,6000
NONS,16-Jan-2014,26.50,26.80,26.50,26.50,7500
NONS,17-Jan-2014,26.50,26.50,26.50,26.50,500
NONS,20-Jan-2014,26.50,27.49,26.50,27.49,2500
NONS,21-Jan-2014,27.50,27.50,27.50,27.50,2000
NONS,22-Jan-2014,27.45,28.87,27.45,28.87,50000
NONS,23-Jan-2014,28.05,28.05,28.05,28.87,500
NONS,24-Jan-2014,28.50,28.50,28.50,28.50,500
NONS,27-Jan-2014,28.00,28.00,27.10,27.10,4000
NONS,28-Jan-2014,26.50,26.50,26.50,26.50,1000
NONS,29-Jan-2014,26.05,26.25,26.05,26.11,1500
NONS,30-Jan-2014,26.50,26.50,26.50,26.50,500
NONS,31-Jan-2014,26.01,26.01,26.00,26.00,1500
NONS,03-Feb-2014,25.10,25.10,24.70,24.70,42000
NONS,06-Feb-2014,24.50,24.50,24.00,24.00,2500
NONS,12-Feb-2014,24.99,24.99,24.99,24.99,1000
NONS,13-Feb-2014,25.20,25.25,24.00,24.00,6500
NONS,20-Feb-2014,22.80,22.80,22.80,22.80,1000
NONS,21-Feb-2014,22.00,22.00,22.00,22.00,500
NONS,24-Feb-2014,23.10,23.10,23.10,23.10,1000
NONS,27-Feb-2014,22.25,22.25,22.00,22.00,2000
NONS,28-Feb-2014,23.10,23.10,23.10,23.10,500
NONS,03-Mar-2014,22.02,22.02,21.95,21.95,10500
NONS,06-Mar-2014,23.00,23.04,23.00,23.04,1000
NONS,10-Mar-2014,23.00,23.00,23.00,23.00,15000
NONS,12-Mar-2014,23.55,23.55,23.50,23.50,1500
NONS,13-Mar-2014,24.25,24.25,24.25,24.25,500
NONS,18-Mar-2014,24.88,25.46,24.88,25.46,2500
NONS,20-Mar-2014,26.50,26.73,26.50,26.73,17500
NONS,25-Mar-2014,28.00,28.06,28.00,28.06,4500
NONS,26-Mar-2014,29.00,29.46,29.00,29.46,75000
NONS,28-Mar-2014,28.00,28.25,28.00,28.25,2000
NONS,31-Mar-2014,27.00,27.00,27.00,27.00,500
NONS,01-Apr-2014,26.36,26.36,26.36,26.36,500
NONS,02-Apr-2014,27.00,27.66,27.00,27.66,1500
NONS,03-Apr-2014,28.88,29.04,28.88,29.04,60500
NONS,04-Apr-2014,29.01,29.01,28.99,28.99,83500
NONS,09-Apr-2014,29.35,29.35,29.35,29.35,1000
NONS,10-Apr-2014,29.02,29.75,29.00,29.30,3000
