Symbol,Date,Open,High,Low,Close,Volume
NPL,01-Jan-2014,29.86,30.00,29.75,29.99,836000
NPL,02-Jan-2014,30.00,30.00,29.85,30.00,315000
NPL,03-Jan-2014,30.00,30.55,29.90,29.98,3486500
NPL,06-Jan-2014,30.28,30.39,29.75,30.00,2868000
NPL,07-Jan-2014,30.11,31.10,30.10,30.94,3863500
NPL,08-Jan-2014,30.99,31.05,30.65,30.99,426000
NPL,09-Jan-2014,30.70,31.13,30.70,31.00,2454000
NPL,10-Jan-2014,30.97,32.55,30.80,32.42,2159500
NPL,13-Jan-2014,32.52,33.04,32.36,32.99,1419000
NPL,15-Jan-2014,33.20,34.00,32.60,33.74,690500
NPL,16-Jan-2014,33.84,33.99,33.00,33.22,365500
NPL,17-Jan-2014,33.20,33.20,32.60,32.68,112500
NPL,20-Jan-2014,32.96,33.20,32.96,33.01,398000
NPL,21-Jan-2014,33.17,33.99,32.99,33.81,310500
NPL,22-Jan-2014,33.59,34.05,33.36,34.01,273500
NPL,23-Jan-2014,33.89,33.89,33.52,33.56,79500
NPL,24-Jan-2014,33.41,33.60,33.40,33.50,96500
NPL,27-Jan-2014,33.40,33.40,32.01,32.22,107500
NPL,28-Jan-2014,32.49,32.50,32.25,32.26,705500
NPL,29-Jan-2014,32.20,32.40,32.00,32.01,548000
NPL,30-Jan-2014,31.90,32.01,31.90,32.00,5500
NPL,31-Jan-2014,32.00,32.80,31.91,32.66,217500
NPL,03-Feb-2014,32.40,33.00,32.00,32.02,138500
NPL,04-Feb-2014,32.15,32.50,32.01,32.03,46500
NPL,06-Feb-2014,32.10,32.60,32.00,32.52,173000
NPL,07-Feb-2014,32.31,32.49,32.22,32.22,17000
NPL,10-Feb-2014,32.20,32.60,31.60,32.59,125500
NPL,11-Feb-2014,32.70,33.00,32.50,32.90,59000
NPL,12-Feb-2014,32.50,32.98,32.50,32.88,132000
NPL,13-Feb-2014,33.00,33.50,32.60,33.22,1370500
NPL,14-Feb-2014,33.00,33.10,32.40,32.47,57500
NPL,17-Feb-2014,32.30,32.30,31.70,31.93,134000
NPL,18-Feb-2014,31.75,32.11,31.40,32.01,126000
NPL,19-Feb-2014,31.70,32.11,31.60,31.72,113500
