Symbol,Date,Open,High,Low,Close,Volume
NPSM,06-Jan-2014,17.00,17.00,17.00,17.00,500
NPSM,07-Jan-2014,16.00,18.00,16.00,18.00,4500
NPSM,08-Jan-2014,19.00,19.00,19.00,19.00,500
NPSM,09-Jan-2014,20.00,20.00,20.00,20.00,500
NPSM,10-Jan-2014,21.00,21.00,21.00,21.00,500
NPSM,13-Jan-2014,19.95,22.05,19.95,21.00,3000
NPSM,15-Jan-2014,22.05,22.05,22.05,22.05,1500
NPSM,21-Jan-2014,26.08,26.08,26.08,26.08,500
NPSM,22-Jan-2014,27.38,27.38,27.38,27.38,1000
NPSM,23-Jan-2014,28.74,28.74,28.74,28.74,2500
NPSM,24-Jan-2014,30.17,30.17,30.17,30.17,1500
NPSM,27-Jan-2014,31.65,31.67,30.26,31.67,1500
NPSM,28-Jan-2014,32.50,33.25,32.50,33.25,1000
NPSM,29-Jan-2014,34.91,34.91,34.91,34.91,1000
NPSM,30-Jan-2014,36.65,36.65,36.65,36.65,3500
NPSM,31-Jan-2014,38.48,38.48,38.48,38.48,1000
NPSM,03-Feb-2014,40.40,40.40,40.40,40.40,1500
NPSM,04-Feb-2014,40.50,42.42,40.40,40.75,3000
NPSM,06-Feb-2014,39.40,39.40,38.72,38.72,2000
NPSM,07-Feb-2014,36.79,40.65,36.79,40.65,3000
NPSM,10-Feb-2014,42.25,42.68,42.25,42.68,4500
NPSM,11-Feb-2014,44.50,44.81,44.50,44.81,3000
NPSM,12-Feb-2014,46.55,47.05,46.55,47.05,4000
NPSM,13-Feb-2014,49.40,49.40,49.40,49.40,500
NPSM,14-Feb-2014,51.50,51.87,51.50,51.87,2000
NPSM,17-Feb-2014,54.00,54.46,54.00,54.45,3000
NPSM,18-Feb-2014,53.50,57.17,53.50,57.17,6500
NPSM,19-Feb-2014,59.75,60.02,59.50,60.02,7000
NPSM,20-Feb-2014,62.50,63.02,58.00,61.50,9500
NPSM,21-Feb-2014,64.00,64.00,58.43,61.60,2000
NPSM,24-Feb-2014,62.40,62.40,62.40,62.40,500
NPSM,26-Feb-2014,63.00,63.20,59.28,62.60,5000
NPSM,05-Mar-2014,61.99,61.99,61.99,61.99,500
NPSM,18-Mar-2014,54.50,54.50,54.50,54.50,7500
NPSM,26-Mar-2014,49.49,49.49,49.49,49.49,500
NPSM,03-Apr-2014,44.67,49.00,44.67,49.00,2500
NPSM,07-Apr-2014,49.00,49.00,49.00,49.00,1000
NPSM,08-Apr-2014,48.00,49.90,48.00,49.90,1000
NPSM,09-Apr-2014,49.00,50.00,49.00,50.00,2000
NPSM,10-Apr-2014,49.50,52.20,48.65,48.65,6000
NPSM,11-Apr-2014,50.00,51.08,50.00,51.06,3500
NPSM,14-Apr-2014,51.25,53.60,51.25,53.60,4500
NPSM,15-Apr-2014,51.75,53.90,51.00,53.83,4000
NPSM,16-Apr-2014,54.75,54.90,54.75,54.83,1000
NPSM,17-Apr-2014,55.00,57.00,53.50,53.50,5000
NPSM,18-Apr-2014,56.14,56.14,56.14,56.14,500
NPSM,21-Apr-2014,53.34,53.34,53.34,53.34,2000
NPSM,22-Apr-2014,55.70,55.90,55.70,55.90,1000
NPSM,25-Apr-2014,56.60,56.80,56.60,56.80,9000
NPSM,02-May-2014,58.00,58.30,53.00,53.00,7500
NPSM,08-May-2014,54.75,54.75,54.50,54.75,2000
NPSM,16-May-2014,55.50,55.70,55.50,55.70,6000
NPSM,27-May-2014,55.00,55.84,55.00,55.84,3500
NPSM,28-May-2014,56.50,56.74,54.00,54.00,2500
NPSM,30-May-2014,55.60,55.79,55.60,55.79,2000
NPSM,03-Jun-2014,58.00,58.25,58.00,58.25,2000
