Symbol,Date,Open,High,Low,Close,Volume
NSRM,11-Feb-2014,42.11,42.11,42.11,42.11,500
NSRM,17-Feb-2014,44.21,44.21,44.21,44.21,1500
NSRM,14-Mar-2014,22.14,22.14,22.14,22.14,1500
NSRM,18-Mar-2014,24.40,24.40,24.40,24.40,500
NSRM,19-Mar-2014,25.62,25.62,25.62,25.62,1000
NSRM,20-Mar-2014,26.90,26.90,26.90,26.90,1500
NSRM,25-Mar-2014,31.13,31.13,31.13,31.13,2000
NSRM,27-Mar-2014,34.31,34.31,34.31,34.31,1500
NSRM,31-Mar-2014,37.82,37.82,37.82,37.82,500
NSRM,04-Apr-2014,45.95,45.95,45.95,45.95,500
NSRM,08-Apr-2014,48.24,48.24,48.24,48.24,500
NSRM,09-Apr-2014,48.00,48.00,48.00,48.00,500
NSRM,10-Apr-2014,50.25,50.30,50.25,50.30,1500
NSRM,15-Apr-2014,51.00,51.00,51.00,51.00,500
NSRM,21-Apr-2014,51.99,53.55,51.99,52.77,1000
NSRM,23-Apr-2014,55.39,55.40,55.39,55.40,1000
NSRM,25-Apr-2014,58.16,58.16,58.16,58.16,500
NSRM,16-May-2014,61.03,61.05,61.03,61.04,1500
NSRM,19-May-2014,64.08,64.09,64.08,64.09,1000
NSRM,20-May-2014,67.29,67.29,67.29,67.29,500
NSRM,21-May-2014,63.94,63.94,63.93,63.93,1000
NSRM,22-May-2014,60.74,67.12,60.74,64.99,1500
NSRM,28-May-2014,60.80,60.80,60.80,60.80,500
NSRM,29-May-2014,62.49,62.49,62.49,62.49,500
NSRM,23-Jun-2014,65.59,65.59,65.59,65.59,500
NSRM,24-Jun-2014,64.99,64.99,64.99,64.99,500
NSRM,13-Aug-2014,24.16,24.16,24.16,24.16,3000
NSRM,15-Aug-2014,23.02,23.02,23.02,23.02,500
NSRM,18-Aug-2014,22.01,22.01,22.01,22.01,500
NSRM,20-Aug-2014,22.99,22.99,22.99,22.99,500
NSRM,21-Aug-2014,22.01,22.75,22.01,22.75,1000
NSRM,22-Aug-2014,21.62,21.62,21.62,21.62,500
NSRM,26-Aug-2014,21.25,21.25,21.25,21.25,500
NSRM,28-Aug-2014,20.25,20.25,20.21,20.21,1000
NSRM,29-Aug-2014,20.25,20.25,20.25,20.25,500
NSRM,01-Sep-2014,19.26,19.26,19.26,19.26,500
NSRM,02-Sep-2014,19.10,19.10,19.10,19.10,500
NSRM,03-Sep-2014,19.00,19.00,19.00,19.00,500
NSRM,04-Sep-2014,19.00,19.00,19.00,19.00,8000
NSRM,16-Sep-2014,19.99,19.99,19.99,19.99,500
NSRM,18-Sep-2014,20.94,20.98,20.94,20.98,1000
NSRM,19-Sep-2014,21.94,21.94,21.94,21.94,500
NSRM,23-Sep-2014,23.03,23.03,23.03,23.03,500
NSRM,09-Oct-2014,22.01,22.01,21.92,21.92,2000
NSRM,10-Oct-2014,21.00,21.00,21.00,21.00,500
NSRM,13-Oct-2014,22.00,22.00,22.00,22.00,1000
NSRM,14-Oct-2014,23.10,23.10,23.10,23.10,1000
NSRM,15-Oct-2014,24.00,24.25,24.00,24.25,1500
NSRM,16-Oct-2014,25.46,25.46,25.46,25.46,1000
NSRM,17-Oct-2014,26.73,26.73,26.73,26.73,1500
NSRM,20-Oct-2014,28.06,28.06,26.00,28.06,4500
NSRM,21-Oct-2014,29.44,29.44,29.44,29.44,500
NSRM,22-Oct-2014,27.97,27.97,27.97,27.97,1000
NSRM,23-Oct-2014,26.58,26.60,26.58,26.59,2500
NSRM,29-Oct-2014,25.27,25.50,25.27,25.50,1500
NSRM,31-Oct-2014,24.23,24.25,24.23,24.25,1000
NSRM,05-Nov-2014,25.45,25.45,25.45,25.45,2500
NSRM,07-Nov-2014,26.25,26.25,25.45,25.45,1500
NSRM,10-Nov-2014,24.18,24.18,24.18,24.18,500
NSRM,11-Nov-2014,25.38,25.38,25.38,25.38,3000
NSRM,20-Nov-2014,24.13,24.13,24.12,24.13,1000
NSRM,21-Nov-2014,25.33,25.33,24.12,25.33,1000
NSRM,24-Nov-2014,24.26,24.26,24.26,24.26,500
NSRM,26-Nov-2014,24.10,24.10,24.10,24.10,500
NSRM,05-Dec-2014,25.30,25.30,25.30,25.30,500
NSRM,02-Mar-2015,24.04,24.04,24.04,24.04,500
NSRM,03-Mar-2015,22.84,22.84,22.84,22.84,500
NSRM,04-Mar-2015,21.70,21.70,21.70,21.70,1000
NSRM,01-Apr-2015,19.59,19.59,19.59,19.59,4000
NSRM,08-Apr-2015,20.59,20.59,20.59,20.59,500
NSRM,10-Apr-2015,21.60,21.60,21.60,21.60,500
NSRM,13-Apr-2015,22.66,22.66,22.66,22.66,500
NSRM,17-Apr-2015,23.75,23.75,23.75,23.75,500
NSRM,20-Apr-2015,24.90,24.90,24.90,24.90,500
NSRM,21-Apr-2015,26.12,26.12,26.12,26.12,500
NSRM,22-Apr-2015,26.60,26.65,26.60,26.65,1500
NSRM,24-Apr-2015,27.94,27.94,27.94,27.94,5000
NSRM,27-Apr-2015,26.55,27.00,26.55,27.00,2000
NSRM,29-Apr-2015,25.65,25.65,25.65,25.65,500
NSRM,06-May-2015,24.50,24.50,24.50,24.50,500
NSRM,08-May-2015,25.72,25.72,25.72,25.72,500
NSRM,13-May-2015,27.00,27.00,27.00,27.00,500
NSRM,14-May-2015,26.99,27.00,26.99,27.00,2500
NSRM,15-May-2015,27.00,28.00,26.99,28.00,7500
NSRM,19-May-2015,29.05,29.35,29.05,29.25,11000
NSRM,15-Jun-2015,27.80,30.50,27.80,27.80,2000
NSRM,24-Jun-2015,27.80,27.80,27.80,27.80,500
NSRM,26-Jun-2015,28.15,28.15,28.15,28.15,500
NSRM,24-Jul-2015,28.00,28.00,28.00,28.00,500
NSRM,25-Nov-2015,29.00,29.00,29.00,29.00,500
NSRM,01-Apr-2016,35.32,35.32,35.32,35.32,500
NSRM,04-Apr-2016,37.08,37.08,37.08,37.08,500
NSRM,06-Apr-2016,40.87,40.87,40.87,40.87,500
NSRM,19-Apr-2016,49.61,49.61,49.61,49.61,500
NSRM,21-Apr-2016,54.69,54.69,54.69,54.69,500
NSRM,22-Apr-2016,57.42,57.42,57.42,57.42,500
NSRM,25-Apr-2016,60.29,60.29,60.29,60.29,500
NSRM,27-Apr-2016,66.46,66.46,66.46,66.46,500
NSRM,11-May-2016,92.22,92.22,92.22,92.22,500
NSRM,12-May-2016,96.83,96.83,96.83,96.83,500
NSRM,25-May-2016,143.02,143.02,143.02,143.02,500
NSRM,26-May-2016,150.17,150.17,150.17,150.17,500
NSRM,13-Jun-2016,89.95,89.95,89.95,89.95,500
NSRM,28-Jun-2016,51.21,51.21,51.21,51.21,500
NSRM,14-Jul-2016,37.66,37.66,37.66,37.66,100
NSRM,21-Jul-2016,30.69,30.69,30.69,30.69,500
NSRM,29-Aug-2016,30.69,30.69,30.69,30.69,300
NSRM,02-Sep-2016,32.22,32.22,32.22,32.22,500
NSRM,26-Sep-2016,31.00,31.20,30.61,30.82,8000
NSRM,27-Sep-2016,32.30,32.35,32.30,32.34,1100
NSRM,28-Sep-2016,31.06,33.70,30.73,31.00,9000
NSRM,29-Sep-2016,32.55,32.55,32.55,32.55,1000
NSRM,03-Oct-2016,34.17,34.17,32.01,32.01,1000
NSRM,04-Oct-2016,33.50,33.61,33.50,33.61,1700
NSRM,05-Oct-2016,33.61,33.61,33.61,33.61,100
NSRM,06-Oct-2016,35.27,35.29,35.27,35.29,6200
NSRM,07-Oct-2016,37.05,37.05,37.05,37.05,18600
NSRM,10-Oct-2016,38.88,38.90,38.15,38.70,15200
NSRM,13-Oct-2016,40.63,40.63,40.10,40.63,11800
NSRM,14-Oct-2016,41.00,42.66,41.00,42.66,14100
NSRM,17-Oct-2016,44.79,44.79,40.55,40.84,12800
NSRM,18-Oct-2016,40.84,40.84,40.84,40.84,200
NSRM,19-Oct-2016,38.80,38.80,38.80,38.80,1600
NSRM,20-Oct-2016,38.00,40.74,38.00,40.00,35600
NSRM,21-Oct-2016,41.49,42.00,38.51,40.51,36900
NSRM,24-Oct-2016,42.53,42.53,41.50,42.53,7000
NSRM,26-Oct-2016,44.65,44.65,44.40,44.65,3700
NSRM,27-Oct-2016,46.88,46.88,46.88,46.88,4200
NSRM,28-Oct-2016,49.21,49.22,44.54,49.22,6600
NSRM,31-Oct-2016,51.66,51.68,51.66,51.68,1700
NSRM,01-Nov-2016,54.25,54.26,53.90,54.26,1200
NSRM,02-Nov-2016,56.96,56.97,56.90,56.96,1300
NSRM,03-Nov-2016,59.80,59.80,59.80,59.80,2100
NSRM,04-Nov-2016,62.79,62.79,62.79,62.79,3000
NSRM,07-Nov-2016,65.90,65.92,65.80,65.86,800
NSRM,08-Nov-2016,66.00,69.15,66.00,69.15,5700
NSRM,09-Nov-2016,71.95,71.96,69.15,69.15,300
NSRM,10-Nov-2016,72.00,72.60,72.00,72.60,3900
NSRM,11-Nov-2016,76.23,76.23,76.23,76.23,1200
NSRM,14-Nov-2016,79.27,79.27,79.27,79.27,100
NSRM,15-Nov-2016,80.00,83.23,75.31,77.05,4900
NSRM,16-Nov-2016,77.00,77.05,76.00,77.05,200
NSRM,17-Nov-2016,77.05,77.05,77.05,77.05,100
NSRM,22-Nov-2016,68.14,68.14,68.14,68.14,6200
NSRM,29-Nov-2016,54.69,60.43,54.69,59.96,7800
NSRM,30-Nov-2016,62.95,62.95,60.00,62.92,4300
NSRM,01-Dec-2016,59.78,65.75,59.78,61.52,5600
NSRM,02-Dec-2016,63.99,63.99,61.00,62.20,500
NSRM,05-Dec-2016,59.11,61.50,59.11,60.08,700
NSRM,06-Dec-2016,57.10,61.49,57.08,61.49,1200
NSRM,13-Dec-2016,57.10,57.10,57.05,57.10,1200
NSRM,14-Dec-2016,54.25,54.30,54.25,54.25,2100
NSRM,15-Dec-2016,51.60,52.00,51.54,51.91,1800
NSRM,16-Dec-2016,49.35,49.35,49.35,49.35,3900
NSRM,19-Dec-2016,46.89,49.89,46.89,49.29,2100
NSRM,20-Dec-2016,46.84,48.70,46.84,48.69,2200
NSRM,22-Dec-2016,48.69,48.69,48.69,48.69,200
