Symbol,Date,Open,High,Low,Close,Volume
OBOY,12-Jan-2022,21.70,24.63,21.21,21.21,1119500
OBOY,13-Jan-2022,20.52,20.80,19.62,19.62,399000
OBOY,14-Jan-2022,19.00,21.09,18.15,19.94,838000
OBOY,17-Jan-2022,19.51,20.19,18.71,19.19,278000
OBOY,18-Jan-2022,18.80,20.62,18.80,20.62,263000
OBOY,19-Jan-2022,22.16,22.16,21.70,22.12,582000
OBOY,20-Jan-2022,22.12,23.25,21.11,22.04,377500
OBOY,21-Jan-2022,22.30,22.40,21.26,21.32,328500
OBOY,24-Jan-2022,20.51,22.00,20.50,20.85,222000
OBOY,25-Jan-2022,20.99,21.00,19.29,19.31,148000
OBOY,26-Jan-2022,19.29,19.49,19.00,19.26,40500
OBOY,27-Jan-2022,19.25,19.25,17.82,17.98,108000
OBOY,28-Jan-2022,18.00,18.89,17.50,18.32,138500
OBOY,31-Jan-2022,18.32,18.50,17.80,18.33,34500
OBOY,01-Feb-2022,18.07,19.45,17.66,19.27,101500
OBOY,02-Feb-2022,19.50,20.71,19.41,20.71,200000
OBOY,03-Feb-2022,22.26,22.26,22.20,22.26,219500
OBOY,04-Feb-2022,23.00,23.92,22.01,23.75,779000
OBOY,07-Feb-2022,24.17,24.30,21.97,22.07,306500
OBOY,08-Feb-2022,22.49,22.49,20.50,21.36,232500
OBOY,09-Feb-2022,21.79,22.96,21.26,22.96,212500
OBOY,10-Feb-2022,23.50,23.50,21.50,22.06,260500
OBOY,11-Feb-2022,22.80,22.80,21.76,21.97,35500
OBOY,14-Feb-2022,22.52,22.52,21.00,21.12,84500
OBOY,15-Feb-2022,21.25,21.30,20.40,21.15,78000
OBOY,16-Feb-2022,21.15,22.73,21.15,22.73,251000
OBOY,17-Feb-2022,23.00,24.43,23.00,24.43,461500
OBOY,18-Feb-2022,25.00,26.10,24.43,24.64,536000
OBOY,21-Feb-2022,23.75,25.51,22.80,22.80,362500
OBOY,22-Feb-2022,21.70,22.50,21.09,21.09,178000
OBOY,23-Feb-2022,20.27,20.60,19.55,19.88,392000
OBOY,24-Feb-2022,18.60,19.20,18.39,18.39,199000
OBOY,25-Feb-2022,17.55,18.80,17.02,17.02,217500
OBOY,28-Feb-2022,17.00,18.29,16.00,18.29,270000
OBOY,01-Mar-2022,18.60,19.66,18.60,19.66,207500
OBOY,02-Mar-2022,20.00,20.88,19.00,19.89,232500
OBOY,03-Mar-2022,19.35,20.33,19.35,19.98,119000
OBOY,04-Mar-2022,20.00,20.43,19.50,19.62,45000
OBOY,07-Mar-2022,19.00,19.00,18.15,18.15,138500
OBOY,08-Mar-2022,18.15,18.50,18.00,18.06,39500
OBOY,09-Mar-2022,18.00,18.03,17.10,17.29,42500
OBOY,10-Mar-2022,18.58,18.58,17.29,18.58,4000
OBOY,11-Mar-2022,19.97,19.97,19.51,19.97,437500
OBOY,14-Mar-2022,20.40,20.40,18.48,18.64,92500
OBOY,15-Mar-2022,18.06,19.68,18.00,19.14,210500
OBOY,16-Mar-2022,19.02,19.02,18.26,18.64,117500
OBOY,17-Mar-2022,19.00,19.00,18.10,18.21,18500
OBOY,18-Mar-2022,18.21,18.21,16.85,16.99,126000
OBOY,21-Mar-2022,17.75,18.26,17.75,18.26,63000
OBOY,22-Mar-2022,19.62,19.62,19.25,19.62,305500
OBOY,24-Mar-2022,20.70,20.95,19.50,19.96,303500
OBOY,25-Mar-2022,19.99,20.15,18.98,19.31,158000
OBOY,28-Mar-2022,19.29,19.31,18.40,18.73,32500
OBOY,29-Mar-2022,19.40,19.44,18.50,19.10,119000
OBOY,30-Mar-2022,19.34,19.39,18.20,18.76,49000
OBOY,31-Mar-2022,18.95,18.95,18.60,18.82,17000
OBOY,01-Apr-2022,18.95,20.10,18.95,19.88,108000
OBOY,04-Apr-2022,18.50,19.88,18.50,18.70,13000
OBOY,05-Apr-2022,19.49,19.49,18.45,18.90,36500
OBOY,06-Apr-2022,19.95,19.95,18.50,19.13,14000
OBOY,07-Apr-2022,18.65,18.65,18.00,18.10,51000
OBOY,08-Apr-2022,18.02,18.40,17.00,17.54,305500
OBOY,11-Apr-2022,18.30,18.30,16.23,16.23,869500
OBOY,12-Apr-2022,15.52,15.53,15.02,15.02,217500
OBOY,13-Apr-2022,13.90,13.90,13.90,13.90,55500
OBOY,14-Apr-2022,12.86,12.86,12.86,12.86,54500
OBOY,15-Apr-2022,12.86,13.86,12.55,13.86,927000
OBOY,18-Apr-2022,14.25,14.88,14.02,14.45,489000
OBOY,19-Apr-2022,14.19,14.22,13.37,13.37,166500
OBOY,20-Apr-2022,13.02,13.05,12.37,12.70,231000
OBOY,21-Apr-2022,12.89,13.25,12.40,12.52,429000
OBOY,22-Apr-2022,12.30,12.53,12.10,12.23,176500
OBOY,25-Apr-2022,12.50,12.50,11.50,11.59,162000
