Symbol,Date,Open,High,Low,Close,Volume
OCTOPUS,05-Oct-2021,43.64,43.64,40.60,43.64,81000
OCTOPUS,06-Oct-2021,46.91,46.91,46.91,46.91,8500
OCTOPUS,07-Oct-2021,50.42,50.42,50.42,50.42,10500
OCTOPUS,08-Oct-2021,54.20,54.20,54.20,54.20,10000
OCTOPUS,11-Oct-2021,58.26,58.26,58.26,58.26,40500
OCTOPUS,12-Oct-2021,62.62,62.62,62.62,62.62,388000
OCTOPUS,13-Oct-2021,67.31,67.31,67.31,67.31,435500
OCTOPUS,14-Oct-2021,72.35,72.35,66.65,72.35,7881000
OCTOPUS,15-Oct-2021,76.98,77.77,76.00,77.77,702000
OCTOPUS,18-Oct-2021,81.90,81.90,71.94,72.08,5278500
OCTOPUS,20-Oct-2021,70.51,75.60,70.12,70.72,2827000
OCTOPUS,21-Oct-2021,70.50,71.90,68.20,69.23,2882000
OCTOPUS,22-Oct-2021,69.21,74.42,65.67,73.30,5453000
OCTOPUS,25-Oct-2021,73.99,75.94,71.60,73.30,2000000
OCTOPUS,26-Oct-2021,72.89,74.90,71.15,71.35,1964000
OCTOPUS,27-Oct-2021,72.01,73.80,69.32,70.12,1317500
OCTOPUS,28-Oct-2021,70.89,70.90,69.10,69.42,469000
OCTOPUS,29-Oct-2021,69.30,72.99,68.50,70.70,1294500
OCTOPUS,01-Nov-2021,70.50,72.50,70.20,70.64,715500
OCTOPUS,02-Nov-2021,70.15,71.75,70.00,70.20,401000
OCTOPUS,03-Nov-2021,70.50,72.25,70.00,70.58,785000
OCTOPUS,04-Nov-2021,70.66,74.48,70.50,72.95,2286000
OCTOPUS,05-Nov-2021,72.95,76.60,72.16,74.04,1544000
OCTOPUS,08-Nov-2021,73.10,79.59,73.10,79.59,3886000
OCTOPUS,09-Nov-2021,80.50,82.40,74.98,77.40,4785500
OCTOPUS,10-Nov-2021,77.50,83.20,77.50,80.86,4321000
OCTOPUS,11-Nov-2021,81.00,82.39,78.10,78.50,1906000
OCTOPUS,12-Nov-2021,78.90,79.90,75.40,76.26,1621000
OCTOPUS,15-Nov-2021,76.00,77.27,73.02,73.72,425000
OCTOPUS,16-Nov-2021,74.00,76.45,74.00,75.95,1249500
OCTOPUS,17-Nov-2021,75.89,75.90,73.40,74.05,303500
OCTOPUS,18-Nov-2021,74.90,74.90,71.50,72.20,367500
OCTOPUS,19-Nov-2021,72.00,73.40,71.50,72.72,332500
OCTOPUS,22-Nov-2021,71.00,72.60,70.60,71.13,207000
OCTOPUS,23-Nov-2021,71.77,72.10,67.61,68.43,322500
OCTOPUS,24-Nov-2021,68.20,71.00,66.10,68.85,384500
OCTOPUS,25-Nov-2021,69.10,69.65,67.50,68.17,193000
OCTOPUS,26-Nov-2021,68.38,69.61,66.50,67.77,199500
OCTOPUS,29-Nov-2021,67.15,71.49,66.01,70.46,374500
OCTOPUS,30-Nov-2021,71.90,72.49,69.00,69.56,238000
OCTOPUS,01-Dec-2021,69.60,71.06,69.50,69.96,130500
OCTOPUS,02-Dec-2021,68.60,68.90,64.72,64.77,602000
OCTOPUS,03-Dec-2021,61.00,64.69,60.70,61.64,1083500
OCTOPUS,06-Dec-2021,62.20,63.70,61.00,61.48,180500
OCTOPUS,07-Dec-2021,62.00,66.09,62.00,66.09,898500
OCTOPUS,08-Dec-2021,68.00,68.98,66.00,66.57,502000
OCTOPUS,09-Dec-2021,66.89,67.00,63.15,63.99,253000
OCTOPUS,10-Dec-2021,64.00,64.10,62.00,63.11,231500
OCTOPUS,13-Dec-2021,62.50,63.35,58.70,59.30,429000
OCTOPUS,14-Dec-2021,59.50,63.00,58.01,62.52,230000
OCTOPUS,15-Dec-2021,64.00,67.20,64.00,66.98,574000
OCTOPUS,16-Dec-2021,67.00,68.90,64.50,67.30,679500
OCTOPUS,17-Dec-2021,66.20,69.10,66.00,68.77,537000
OCTOPUS,20-Dec-2021,69.01,73.92,68.00,73.92,1484000
OCTOPUS,21-Dec-2021,75.45,79.45,75.00,75.66,2042500
OCTOPUS,22-Dec-2021,75.79,77.60,75.65,76.01,595000
OCTOPUS,23-Dec-2021,77.00,81.71,76.30,78.63,3272000
OCTOPUS,24-Dec-2021,79.40,81.40,76.50,77.16,1245500
OCTOPUS,27-Dec-2021,77.25,77.95,75.60,77.31,617500
OCTOPUS,28-Dec-2021,77.10,77.33,75.66,76.37,378500
OCTOPUS,29-Dec-2021,76.50,79.70,76.50,77.79,881500
OCTOPUS,30-Dec-2021,79.00,80.49,78.25,78.48,821500
OCTOPUS,31-Dec-2021,78.48,79.00,77.00,77.76,574000
OCTOPUS,03-Jan-2022,78.45,83.59,77.65,83.59,2439000
OCTOPUS,04-Jan-2022,86.90,89.85,86.12,89.85,1749000
OCTOPUS,05-Jan-2022,92.50,96.10,91.00,94.72,5121500
OCTOPUS,06-Jan-2022,93.75,99.30,91.85,92.83,5269500
OCTOPUS,07-Jan-2022,93.25,98.85,93.25,97.75,3289500
OCTOPUS,10-Jan-2022,98.05,104.90,98.05,102.37,3327500
OCTOPUS,11-Jan-2022,102.00,103.83,101.01,102.31,1913000
OCTOPUS,12-Jan-2022,103.10,105.00,100.50,101.64,1848500
OCTOPUS,13-Jan-2022,101.80,105.80,101.49,104.90,3596500
OCTOPUS,14-Jan-2022,107.52,108.95,100.40,101.28,3518000
OCTOPUS,17-Jan-2022,100.05,100.48,95.01,98.35,3257500
OCTOPUS,18-Jan-2022,97.80,101.00,97.05,98.38,2254500
OCTOPUS,19-Jan-2022,98.70,101.98,96.56,99.27,4511500
OCTOPUS,20-Jan-2022,99.90,106.71,97.50,105.77,3031000
OCTOPUS,21-Jan-2022,109.01,113.25,107.51,110.90,3514500
OCTOPUS,24-Jan-2022,111.00,114.74,108.01,110.34,2994000
OCTOPUS,25-Jan-2022,112.46,112.46,102.40,104.72,2676500
OCTOPUS,26-Jan-2022,104.00,106.95,101.65,105.93,2875000
OCTOPUS,27-Jan-2022,106.00,107.90,105.25,106.16,1322500
OCTOPUS,28-Jan-2022,105.94,107.75,105.10,106.33,1017000
OCTOPUS,31-Jan-2022,106.90,108.75,106.35,107.52,1093000
OCTOPUS,01-Feb-2022,107.31,110.79,107.00,108.21,2242500
OCTOPUS,02-Feb-2022,108.11,110.00,108.11,108.51,907500
OCTOPUS,03-Feb-2022,111.00,112.13,109.00,109.34,2823000
OCTOPUS,04-Feb-2022,109.00,109.79,103.98,105.38,2124500
OCTOPUS,07-Feb-2022,105.70,106.30,101.00,101.07,1871510
OCTOPUS,08-Feb-2022,101.20,102.50,99.00,100.19,1288664
OCTOPUS,09-Feb-2022,100.85,102.90,100.13,100.81,1489436
OCTOPUS,10-Feb-2022,101.25,102.00,100.00,100.19,652091
OCTOPUS,11-Feb-2022,100.25,102.85,99.11,100.65,795223
OCTOPUS,14-Feb-2022,100.00,101.74,95.41,96.84,879623
OCTOPUS,15-Feb-2022,98.40,102.88,95.91,102.08,1970432
OCTOPUS,16-Feb-2022,102.00,102.90,99.26,99.83,780558
OCTOPUS,17-Feb-2022,99.28,100.50,97.75,98.85,417963
OCTOPUS,18-Feb-2022,99.00,99.00,97.70,98.38,157371
OCTOPUS,21-Feb-2022,99.00,99.99,95.86,96.11,398905
OCTOPUS,22-Feb-2022,95.50,95.50,89.75,90.89,1192883
OCTOPUS,23-Feb-2022,92.49,94.00,91.90,93.08,912554
OCTOPUS,24-Feb-2022,89.10,89.10,86.10,86.10,1371198
OCTOPUS,25-Feb-2022,84.70,88.50,83.81,84.73,1266579
OCTOPUS,28-Feb-2022,84.80,88.48,83.00,87.85,453028
OCTOPUS,01-Mar-2022,93.00,94.43,90.10,94.43,1845211
OCTOPUS,02-Mar-2022,92.01,94.30,90.16,91.88,2335147
OCTOPUS,03-Mar-2022,92.40,93.00,89.80,90.20,680597
OCTOPUS,04-Mar-2022,90.40,91.40,89.81,90.01,331661
OCTOPUS,07-Mar-2022,90.00,90.79,83.26,83.92,1003863
OCTOPUS,08-Mar-2022,81.15,86.30,81.15,83.94,416306
OCTOPUS,09-Mar-2022,85.75,85.75,82.05,83.50,250832
OCTOPUS,10-Mar-2022,86.00,87.99,85.50,87.20,1011801
OCTOPUS,11-Mar-2022,87.00,87.20,83.21,84.28,411730
