Symbol,Date,Open,High,Low,Close,Volume
OGDC,01-Jan-2014,277.90,280.55,276.50,279.60,366700
OGDC,02-Jan-2014,279.97,283.50,279.00,282.42,1174900
OGDC,03-Jan-2014,282.01,284.10,278.00,283.82,393900
OGDC,06-Jan-2014,283.99,286.50,283.99,285.31,543100
OGDC,07-Jan-2014,286.00,287.11,284.00,285.61,1383400
OGDC,08-Jan-2014,285.22,287.80,284.03,286.13,444700
OGDC,09-Jan-2014,286.75,288.49,285.01,287.74,965700
OGDC,10-Jan-2014,288.50,288.50,285.52,287.00,144000
OGDC,13-Jan-2014,288.83,288.83,286.75,287.83,625100
OGDC,15-Jan-2014,288.40,289.99,287.50,287.84,558600
OGDC,16-Jan-2014,287.80,289.00,286.10,287.00,636800
OGDC,17-Jan-2014,287.70,287.70,285.50,286.93,108900
OGDC,20-Jan-2014,287.01,287.90,284.52,285.55,613400
OGDC,21-Jan-2014,285.50,286.25,284.40,285.04,246600
OGDC,22-Jan-2014,285.70,285.72,278.02,279.91,901500
OGDC,23-Jan-2014,279.00,282.89,279.00,280.25,151500
OGDC,24-Jan-2014,281.80,281.80,277.00,279.53,362100
OGDC,27-Jan-2014,278.00,279.89,273.50,274.89,899300
OGDC,28-Jan-2014,275.00,276.50,272.00,272.94,384600
OGDC,29-Jan-2014,272.54,273.00,267.52,271.27,610800
OGDC,30-Jan-2014,271.00,272.40,269.27,271.38,185100
OGDC,31-Jan-2014,272.30,274.65,270.26,272.54,1185300
OGDC,03-Feb-2014,273.00,275.00,272.10,274.27,802300
OGDC,04-Feb-2014,274.99,274.99,270.00,272.79,226700
OGDC,06-Feb-2014,272.79,276.00,270.52,274.60,718300
OGDC,07-Feb-2014,275.00,275.00,272.50,273.36,125500
OGDC,10-Feb-2014,274.79,274.95,265.65,268.11,300500
OGDC,11-Feb-2014,268.22,269.55,267.01,267.53,108700
OGDC,12-Feb-2014,268.40,274.90,268.00,274.10,425500
OGDC,13-Feb-2014,275.95,276.50,267.00,267.99,631400
OGDC,14-Feb-2014,269.57,270.50,267.50,268.04,53000
OGDC,17-Feb-2014,267.84,269.89,265.16,267.35,109000
OGDC,18-Feb-2014,268.90,269.40,264.50,267.45,67300
OGDC,19-Feb-2014,267.88,268.50,264.09,265.10,225500
OGDC,20-Feb-2014,265.75,267.15,262.94,263.27,390300
OGDC,21-Feb-2014,263.00,265.38,262.00,262.74,1405900
OGDC,24-Feb-2014,263.01,265.48,263.01,263.76,182900
OGDC,25-Feb-2014,264.25,265.00,262.00,262.27,603800
OGDC,26-Feb-2014,263.00,263.00,258.90,259.57,380400
OGDC,27-Feb-2014,260.00,261.89,256.05,258.24,319400
OGDC,28-Feb-2014,259.85,268.00,257.50,262.45,722500
