Symbol,Date,Open,High,Low,Close,Volume
ORIXM,01-Jan-2014,17.00,17.45,17.00,17.28,2000
ORIXM,02-Jan-2014,17.60,17.60,17.60,17.60,500
ORIXM,03-Jan-2014,17.05,17.05,17.00,17.02,50000
ORIXM,06-Jan-2014,17.02,17.25,17.00,17.12,15500
ORIXM,07-Jan-2014,17.00,17.00,17.00,17.00,86500
ORIXM,08-Jan-2014,17.25,17.25,17.05,17.05,5500
ORIXM,10-Jan-2014,17.80,17.80,17.80,17.80,500
ORIXM,13-Jan-2014,17.50,17.50,17.50,17.50,500
ORIXM,15-Jan-2014,17.50,17.80,17.50,17.50,21000
ORIXM,17-Jan-2014,17.80,17.80,17.50,17.51,11000
ORIXM,20-Jan-2014,17.49,17.80,17.49,17.80,18500
ORIXM,22-Jan-2014,17.95,17.95,17.50,17.50,3500
ORIXM,23-Jan-2014,17.50,17.50,17.50,17.50,1000
ORIXM,24-Jan-2014,17.94,17.94,17.94,17.94,500
ORIXM,27-Jan-2014,17.50,17.50,17.50,17.50,26000
ORIXM,28-Jan-2014,17.50,18.50,17.50,18.32,10500
ORIXM,29-Jan-2014,18.50,19.27,18.48,18.88,16500
ORIXM,30-Jan-2014,19.45,19.45,18.50,18.50,1000
ORIXM,31-Jan-2014,19.19,19.19,19.19,19.19,500
ORIXM,03-Feb-2014,19.00,19.20,19.00,19.20,6500
ORIXM,04-Feb-2014,18.50,19.20,18.50,18.50,8500
ORIXM,06-Feb-2014,17.60,18.94,17.60,18.94,4500
ORIXM,07-Feb-2014,18.00,18.00,18.00,18.00,21500
ORIXM,10-Feb-2014,18.00,18.00,18.00,18.00,1000
ORIXM,11-Feb-2014,18.00,18.25,18.00,18.25,4500
ORIXM,12-Feb-2014,18.00,18.00,18.00,18.00,1000
ORIXM,17-Feb-2014,18.25,18.87,18.25,18.25,21500
ORIXM,19-Feb-2014,18.25,18.25,18.25,18.25,1000
ORIXM,20-Feb-2014,18.25,19.25,18.25,19.25,30000
ORIXM,21-Feb-2014,19.75,20.25,19.75,20.02,11500
ORIXM,24-Feb-2014,20.89,21.02,20.65,21.02,22500
ORIXM,25-Feb-2014,21.69,22.07,21.69,22.07,22000
ORIXM,26-Feb-2014,22.19,23.17,22.05,23.17,37000
ORIXM,27-Feb-2014,24.32,24.32,23.13,23.13,38500
ORIXM,28-Feb-2014,22.15,24.25,22.15,23.83,6500
ORIXM,03-Mar-2014,22.70,22.81,22.70,22.79,10500
ORIXM,04-Mar-2014,22.79,23.10,22.25,22.25,9000
ORIXM,05-Mar-2014,22.01,22.10,22.00,22.01,10500
ORIXM,06-Mar-2014,22.25,22.26,22.01,22.06,27500
ORIXM,07-Mar-2014,22.00,22.60,22.00,22.05,10000
ORIXM,10-Mar-2014,22.50,22.50,22.50,22.50,500
ORIXM,11-Mar-2014,22.50,22.50,21.52,22.10,6000
ORIXM,12-Mar-2014,22.25,22.25,22.00,22.00,3500
ORIXM,13-Mar-2014,22.00,22.25,22.00,22.00,1500
ORIXM,14-Mar-2014,22.00,22.00,21.79,21.95,4000
ORIXM,17-Mar-2014,21.98,22.00,21.98,22.00,5000
ORIXM,18-Mar-2014,22.50,22.50,22.01,22.01,2500
ORIXM,19-Mar-2014,22.00,22.15,22.00,22.00,20000
ORIXM,20-Mar-2014,22.10,22.15,22.10,22.15,6000
ORIXM,21-Mar-2014,22.00,22.00,22.00,22.00,1500
