Symbol,Date,Open,High,Low,Close,Volume
ORM,17-Nov-2017,10.05,12.95,10.05,12.50,38000
ORM,20-Nov-2017,11.61,12.93,11.61,12.93,18000
ORM,21-Nov-2017,12.06,12.85,12.06,12.85,1000
ORM,22-Nov-2017,12.77,12.83,12.01,12.01,11500
ORM,23-Nov-2017,11.50,12.20,11.50,12.00,12000
ORM,24-Nov-2017,12.01,12.10,12.01,12.06,2500
ORM,27-Nov-2017,12.49,12.75,12.45,12.71,11000
ORM,28-Nov-2017,12.50,12.60,12.50,12.60,3000
ORM,29-Nov-2017,12.70,12.79,12.51,12.79,1500
ORM,30-Nov-2017,12.50,12.50,12.05,12.11,16000
ORM,05-Dec-2017,12.24,12.25,12.01,12.01,2500
ORM,06-Dec-2017,12.00,12.00,12.00,12.00,8000
ORM,07-Dec-2017,11.98,12.05,11.98,12.03,14500
ORM,08-Dec-2017,12.00,12.01,12.00,12.01,5000
ORM,12-Dec-2017,11.50,11.50,11.50,11.50,1500
ORM,13-Dec-2017,12.50,12.50,12.50,12.50,500
ORM,14-Dec-2017,12.00,12.00,12.00,12.00,500
ORM,15-Dec-2017,12.00,12.00,12.00,12.00,10000
ORM,18-Dec-2017,11.51,11.51,11.51,11.51,500
ORM,19-Dec-2017,12.00,12.25,12.00,12.15,6000
ORM,20-Dec-2017,12.00,12.20,12.00,12.20,2500
ORM,21-Dec-2017,12.50,12.50,12.00,12.00,51500
ORM,22-Dec-2017,12.10,12.40,12.10,12.40,1000
ORM,28-Dec-2017,12.00,12.05,12.00,12.05,2500
ORM,03-Jan-2018,12.25,12.50,12.25,12.50,65000
ORM,04-Jan-2018,12.25,12.25,12.25,12.25,2000
ORM,05-Jan-2018,12.25,12.25,12.25,12.25,1000
ORM,09-Jan-2018,12.01,12.01,12.01,12.01,1000
ORM,10-Jan-2018,12.01,12.05,12.01,12.05,3500
ORM,11-Jan-2018,12.00,12.00,12.00,12.00,500
ORM,12-Jan-2018,12.00,12.00,12.00,12.00,1000
ORM,15-Jan-2018,11.01,12.00,11.01,12.00,1500
ORM,18-Jan-2018,12.05,12.05,12.05,12.05,2000
ORM,19-Jan-2018,11.06,12.05,11.06,12.05,2000
ORM,22-Jan-2018,12.05,12.05,12.05,12.05,1500
ORM,23-Jan-2018,12.20,12.20,12.20,12.20,500
ORM,24-Jan-2018,12.38,12.75,12.38,12.75,1000
ORM,31-Jan-2018,12.06,12.06,12.06,12.06,500
ORM,02-Feb-2018,12.30,12.30,12.30,12.30,500
ORM,06-Feb-2018,12.00,12.00,12.00,12.00,3000
ORM,07-Feb-2018,11.11,11.11,11.01,11.01,16000
ORM,08-Feb-2018,11.50,11.50,11.50,11.50,500
ORM,09-Feb-2018,11.40,11.50,11.10,11.50,1500
ORM,12-Feb-2018,11.50,11.70,11.50,11.70,1500
ORM,13-Feb-2018,11.12,11.69,11.12,11.69,1000
ORM,14-Feb-2018,11.50,11.50,11.21,11.21,8500
ORM,15-Feb-2018,11.05,11.05,11.05,11.05,500
ORM,16-Feb-2018,11.01,11.01,11.01,11.01,2000
ORM,19-Feb-2018,11.21,11.75,11.21,11.75,5500
ORM,20-Feb-2018,11.99,11.99,11.84,11.85,3500
ORM,21-Feb-2018,11.90,11.90,11.70,11.70,3000
ORM,22-Feb-2018,11.89,11.89,11.89,11.89,500
ORM,27-Feb-2018,11.25,11.25,11.06,11.10,14000
ORM,28-Feb-2018,11.11,11.11,11.11,11.11,500
ORM,01-Mar-2018,11.74,11.74,11.74,11.74,500
ORM,05-Mar-2018,11.01,11.04,11.01,11.03,6500
ORM,06-Mar-2018,11.01,11.43,11.01,11.43,3500
ORM,07-Mar-2018,11.20,11.20,11.20,11.20,500
ORM,08-Mar-2018,11.01,11.10,11.01,11.01,2500
ORM,09-Mar-2018,11.01,11.01,11.01,11.01,5500
ORM,12-Mar-2018,11.25,11.25,11.05,11.05,2500
ORM,14-Mar-2018,11.00,11.00,11.00,11.00,1000
ORM,20-Mar-2018,10.15,10.60,10.12,10.60,3000
ORM,26-Mar-2018,10.60,10.60,10.60,10.60,2000
ORM,27-Mar-2018,10.51,10.51,10.51,10.51,2000
ORM,28-Mar-2018,10.00,10.80,10.00,10.75,3000
ORM,03-Apr-2018,10.70,10.70,10.31,10.31,3000
ORM,04-Apr-2018,10.35,10.35,10.35,10.35,57500
ORM,05-Apr-2018,10.10,10.10,10.10,10.10,500
ORM,06-Apr-2018,10.40,10.40,10.40,10.40,2000
ORM,09-Apr-2018,11.20,11.20,11.20,11.20,500
ORM,10-Apr-2018,10.20,10.50,10.20,10.20,108500
ORM,11-Apr-2018,10.40,10.80,10.30,10.80,3000
ORM,12-Apr-2018,10.21,10.21,10.21,10.21,1000
ORM,13-Apr-2018,10.11,10.11,10.11,10.11,500
ORM,16-Apr-2018,10.20,10.20,10.11,10.11,2000
ORM,17-Apr-2018,10.30,10.40,10.30,10.40,2000
ORM,18-Apr-2018,10.15,10.15,10.11,10.11,50500
ORM,19-Apr-2018,10.50,10.50,10.00,10.11,43000
ORM,20-Apr-2018,9.85,9.95,9.80,9.95,25500
ORM,23-Apr-2018,10.10,10.10,10.10,10.10,500
ORM,24-Apr-2018,10.00,10.00,10.00,10.00,1000
ORM,26-Apr-2018,10.30,10.30,10.01,10.01,3000
ORM,27-Apr-2018,10.10,10.20,10.10,10.20,1000
ORM,30-Apr-2018,10.40,10.40,10.16,10.16,2500
ORM,02-May-2018,10.60,10.75,10.21,10.50,24000
ORM,03-May-2018,10.30,10.30,10.30,10.30,15000
ORM,07-May-2018,10.30,10.45,10.25,10.25,3000
ORM,08-May-2018,10.11,10.11,10.11,10.11,500
ORM,10-May-2018,10.25,10.25,10.25,10.25,2500
ORM,14-May-2018,10.10,10.10,10.00,10.10,15000
ORM,15-May-2018,10.10,10.10,10.00,10.01,2000
ORM,18-May-2018,9.75,9.75,9.75,9.75,1000
ORM,21-May-2018,9.80,9.80,9.80,9.80,4000
ORM,22-May-2018,10.00,10.20,10.00,10.20,21000
ORM,23-May-2018,10.30,10.30,10.30,10.30,500
ORM,24-May-2018,10.10,10.15,10.10,10.15,2500
ORM,25-May-2018,10.00,10.00,10.00,10.00,2000
ORM,28-May-2018,10.00,10.00,10.00,10.00,500
ORM,06-Jun-2018,10.45,10.45,10.40,10.40,3000
ORM,07-Jun-2018,10.45,10.45,10.45,10.45,2000
ORM,11-Jun-2018,10.01,10.01,10.01,10.01,1000
ORM,12-Jun-2018,10.00,10.00,10.00,10.00,5500
ORM,14-Jun-2018,10.93,10.93,10.93,10.93,500
ORM,19-Jun-2018,10.50,10.50,10.01,10.01,3500
ORM,20-Jun-2018,10.10,10.50,10.10,10.50,22000
ORM,21-Jun-2018,10.50,10.50,10.50,10.50,7500
ORM,26-Jun-2018,10.25,10.25,10.25,10.25,500
ORM,27-Jun-2018,10.60,10.60,10.25,10.25,1000
ORM,28-Jun-2018,10.73,10.73,10.73,10.73,500
ORM,29-Jun-2018,10.25,10.25,10.25,10.25,500
ORM,02-Jul-2018,10.50,10.50,10.50,10.50,1500
ORM,03-Jul-2018,10.50,10.50,10.49,10.49,2000
ORM,05-Jul-2018,10.25,10.25,10.25,10.25,5000
ORM,06-Jul-2018,10.25,10.25,10.25,10.25,3500
ORM,09-Jul-2018,10.01,10.01,10.01,10.01,6500
ORM,10-Jul-2018,10.00,10.00,10.00,10.00,7500
ORM,12-Jul-2018,10.00,10.00,10.00,10.00,2000
ORM,13-Jul-2018,10.01,10.01,10.00,10.00,4500
ORM,18-Jul-2018,10.00,10.00,10.00,10.00,2000
ORM,19-Jul-2018,10.35,10.35,10.35,10.35,3000
ORM,30-Jul-2018,10.01,10.01,10.01,10.01,3000
ORM,31-Jul-2018,10.02,10.02,10.02,10.02,1000
ORM,01-Aug-2018,10.01,10.01,10.01,10.01,500
ORM,03-Aug-2018,10.01,10.01,10.01,10.01,86500
ORM,08-Aug-2018,10.50,10.50,10.50,10.50,2000
ORM,13-Aug-2018,9.50,9.67,9.50,9.67,1000
ORM,15-Aug-2018,10.30,10.30,10.30,10.30,500
ORM,17-Aug-2018,10.70,10.70,10.70,10.70,500
ORM,28-Aug-2018,9.80,10.20,9.72,10.20,5500
ORM,29-Aug-2018,9.28,10.00,9.27,10.00,5000
ORM,31-Aug-2018,10.20,10.20,10.15,10.15,1000
ORM,03-Sep-2018,9.50,9.85,9.21,9.56,10000
ORM,04-Sep-2018,9.90,9.99,9.81,9.99,6000
ORM,05-Sep-2018,9.99,9.99,9.80,9.80,4000
ORM,10-Sep-2018,9.75,9.75,9.75,9.75,500
ORM,12-Sep-2018,9.80,9.80,9.70,9.80,3500
ORM,13-Sep-2018,9.21,10.00,9.21,10.00,2000
ORM,18-Sep-2018,10.00,10.00,10.00,10.00,3000
ORM,25-Sep-2018,9.80,9.80,9.52,9.55,10000
ORM,27-Sep-2018,9.80,9.80,9.30,9.44,10500
ORM,28-Sep-2018,9.78,9.78,9.78,9.78,500
ORM,01-Oct-2018,9.75,9.75,9.50,9.50,7000
ORM,03-Oct-2018,9.90,9.90,9.90,9.90,500
ORM,10-Oct-2018,9.10,9.10,9.10,9.10,1000
ORM,11-Oct-2018,9.50,9.77,9.50,9.55,2000
ORM,16-Oct-2018,9.50,10.00,9.50,9.50,2000
ORM,17-Oct-2018,9.00,9.00,9.00,9.00,1500
ORM,18-Oct-2018,9.15,9.15,9.15,9.15,1500
ORM,19-Oct-2018,9.99,9.99,8.42,8.42,1000
ORM,22-Oct-2018,8.81,9.00,8.81,9.00,1000
ORM,23-Oct-2018,8.02,9.50,8.02,9.50,1000
ORM,24-Oct-2018,9.90,9.90,9.90,9.90,500
ORM,29-Oct-2018,9.20,9.20,9.20,9.20,500
