Symbol,Date,Open,High,Low,Close,Volume
OTSU,01-Jan-2014,48.50,48.50,47.50,48.00,2500
OTSU,02-Jan-2014,49.00,49.89,47.51,48.13,7000
OTSU,03-Jan-2014,49.00,49.00,47.25,47.41,4500
OTSU,06-Jan-2014,48.50,49.00,48.49,48.50,5000
OTSU,07-Jan-2014,48.75,48.75,47.50,47.75,10500
OTSU,08-Jan-2014,47.99,50.13,47.99,49.98,23500
OTSU,09-Jan-2014,51.00,51.00,47.60,48.13,13500
OTSU,10-Jan-2014,48.00,48.00,47.91,47.97,2500
OTSU,13-Jan-2014,48.50,50.36,48.25,50.36,13500
OTSU,15-Jan-2014,52.87,52.87,51.00,52.87,44500
OTSU,16-Jan-2014,52.50,52.50,51.00,51.99,9000
OTSU,17-Jan-2014,52.50,52.50,50.50,51.50,12500
OTSU,20-Jan-2014,51.40,54.07,51.00,54.07,73500
OTSU,21-Jan-2014,56.00,56.77,55.50,56.73,61500
OTSU,22-Jan-2014,58.90,59.00,55.00,56.07,30500
OTSU,23-Jan-2014,55.80,57.29,54.01,55.38,6500
OTSU,24-Jan-2014,53.00,54.59,53.00,53.05,12500
OTSU,27-Jan-2014,53.00,55.70,52.50,55.70,36000
OTSU,28-Jan-2014,58.48,58.48,58.48,58.48,5000
OTSU,29-Jan-2014,61.40,61.40,61.40,61.40,13500
OTSU,30-Jan-2014,62.90,62.90,58.33,58.40,23000
OTSU,31-Jan-2014,58.00,60.00,55.50,59.50,8000
OTSU,03-Feb-2014,62.00,62.00,57.00,60.29,11500
OTSU,04-Feb-2014,61.00,61.40,59.50,61.00,7500
OTSU,06-Feb-2014,61.00,61.00,60.10,60.40,6000
OTSU,07-Feb-2014,62.99,62.99,58.00,58.00,6000
OTSU,10-Feb-2014,55.12,56.00,55.10,55.10,27000
OTSU,11-Feb-2014,53.00,53.88,52.50,53.29,6000
OTSU,12-Feb-2014,54.69,55.95,54.69,55.00,9000
OTSU,13-Feb-2014,56.00,57.74,56.00,56.90,4500
OTSU,17-Feb-2014,54.45,54.79,54.06,54.06,2500
OTSU,18-Feb-2014,51.40,51.40,51.36,51.36,2500
OTSU,19-Feb-2014,48.80,48.80,48.80,48.80,3000
OTSU,20-Feb-2014,46.36,46.37,46.36,46.36,12500
OTSU,21-Feb-2014,44.30,44.30,44.05,44.10,12500
OTSU,24-Feb-2014,43.00,44.13,41.91,43.74,23500
OTSU,26-Feb-2014,43.50,45.43,42.00,45.41,15000
OTSU,27-Feb-2014,44.45,44.45,43.75,44.44,2500
OTSU,03-Mar-2014,42.50,44.00,42.50,44.00,2000
OTSU,06-Mar-2014,44.50,45.00,44.50,44.81,5500
OTSU,07-Mar-2014,45.00,47.05,44.50,47.05,15000
OTSU,10-Mar-2014,49.30,49.40,49.30,49.40,3500
OTSU,11-Mar-2014,51.83,51.87,50.00,51.40,24000
OTSU,12-Mar-2014,53.90,53.93,53.49,53.49,3000
OTSU,13-Mar-2014,54.20,54.20,53.70,53.70,3000
OTSU,14-Mar-2014,54.00,54.00,54.00,54.00,500
OTSU,18-Mar-2014,54.50,54.50,51.30,53.67,4000
OTSU,19-Mar-2014,51.01,51.10,51.01,51.10,1000
OTSU,21-Mar-2014,53.58,53.58,48.56,50.50,3000
OTSU,24-Mar-2014,49.50,49.50,48.00,48.00,5500
OTSU,25-Mar-2014,48.00,48.00,48.00,48.00,2000
OTSU,26-Mar-2014,48.00,48.00,46.30,46.30,3000
OTSU,28-Mar-2014,47.00,47.44,47.00,47.44,1000
OTSU,31-Mar-2014,49.50,49.81,48.00,48.66,51500
OTSU,01-Apr-2014,48.50,48.50,48.00,48.08,4500
OTSU,02-Apr-2014,47.50,49.89,47.50,49.35,3000
OTSU,03-Apr-2014,49.70,49.75,49.70,49.75,1000
OTSU,04-Apr-2014,51.00,51.00,49.00,49.25,2500
OTSU,07-Apr-2014,50.55,51.71,50.25,51.71,18000
OTSU,08-Apr-2014,52.00,54.29,52.00,54.28,20500
OTSU,09-Apr-2014,54.00,54.00,53.50,53.50,5000
OTSU,10-Apr-2014,55.99,55.99,52.05,52.06,9000
OTSU,11-Apr-2014,50.60,52.00,50.60,52.00,4500
OTSU,14-Apr-2014,50.65,52.00,50.65,50.70,4000
OTSU,16-Apr-2014,51.50,52.00,51.50,52.00,1500
OTSU,17-Apr-2014,51.40,51.40,51.02,51.02,4500
OTSU,18-Apr-2014,51.00,52.00,51.00,51.97,4000
OTSU,21-Apr-2014,51.01,51.50,51.00,51.30,5000
OTSU,22-Apr-2014,50.00,52.00,48.74,49.70,29000
OTSU,23-Apr-2014,48.14,48.14,47.26,47.26,9000
OTSU,24-Apr-2014,45.52,46.90,45.50,46.90,19000
OTSU,28-Apr-2014,47.05,47.05,47.00,47.00,1000
OTSU,29-Apr-2014,47.02,47.02,47.02,47.02,500
OTSU,30-Apr-2014,47.25,47.25,47.25,47.25,1500
OTSU,02-May-2014,47.50,47.50,47.50,47.50,1000
OTSU,14-May-2014,45.15,46.00,45.15,46.00,2500
OTSU,15-May-2014,47.40,48.30,47.40,48.30,6000
OTSU,20-May-2014,49.89,50.71,49.89,50.71,9000
OTSU,21-May-2014,50.00,50.00,50.00,50.00,1000
OTSU,22-May-2014,52.30,52.50,51.00,52.50,14000
OTSU,27-May-2014,52.55,52.55,52.55,52.55,500
OTSU,28-May-2014,53.00,53.00,53.00,53.00,500
OTSU,29-May-2014,53.60,55.65,53.50,55.65,26000
OTSU,30-May-2014,58.43,58.43,58.40,58.43,17000
OTSU,02-Jun-2014,61.35,61.35,61.00,61.35,41500
OTSU,03-Jun-2014,64.41,64.41,62.00,64.41,75000
OTSU,04-Jun-2014,67.00,67.63,66.00,67.63,11000
OTSU,05-Jun-2014,71.01,71.01,65.00,67.46,68000
OTSU,06-Jun-2014,68.00,68.00,64.15,65.13,11000
OTSU,09-Jun-2014,65.00,65.25,64.00,64.00,7000
OTSU,10-Jun-2014,65.00,67.20,65.00,67.20,16000
OTSU,11-Jun-2014,70.56,70.56,70.56,70.56,1500
OTSU,12-Jun-2014,74.08,74.08,74.08,74.08,5000
OTSU,13-Jun-2014,77.78,77.78,74.25,74.45,68500
OTSU,16-Jun-2014,72.00,72.00,70.73,70.74,13000
OTSU,17-Jun-2014,69.10,69.10,67.21,67.21,5000
OTSU,18-Jun-2014,64.10,65.00,63.85,63.85,7000
OTSU,19-Jun-2014,63.00,63.00,60.66,62.89,21500
OTSU,20-Jun-2014,63.00,66.00,59.75,60.40,35000
OTSU,23-Jun-2014,60.00,63.42,59.00,63.42,27000
OTSU,24-Jun-2014,66.45,66.59,62.51,66.59,36500
OTSU,25-Jun-2014,68.00,69.00,64.50,66.94,40500
OTSU,26-Jun-2014,65.25,65.25,63.75,64.44,7000
OTSU,27-Jun-2014,62.06,63.50,62.00,62.30,4000
OTSU,30-Jun-2014,60.60,62.95,60.60,62.01,3000
OTSU,01-Jul-2014,63.95,63.99,61.31,61.31,2500
OTSU,02-Jul-2014,62.99,62.99,62.74,62.75,1500
OTSU,03-Jul-2014,61.35,64.45,61.35,64.45,3000
OTSU,04-Jul-2014,64.90,64.90,62.05,62.05,1000
OTSU,07-Jul-2014,62.00,62.00,59.00,59.92,12500
OTSU,08-Jul-2014,60.95,60.95,59.00,59.00,5000
OTSU,10-Jul-2014,58.01,58.01,56.50,56.50,2500
OTSU,14-Jul-2014,56.00,59.32,56.00,59.32,22500
OTSU,15-Jul-2014,60.25,61.98,60.20,61.98,12500
OTSU,17-Jul-2014,61.70,64.00,61.50,63.00,15000
OTSU,18-Jul-2014,62.00,62.20,60.00,61.56,18500
OTSU,21-Jul-2014,61.50,62.40,61.50,62.40,1000
OTSU,22-Jul-2014,62.00,62.00,60.26,61.64,5000
OTSU,23-Jul-2014,62.00,62.00,62.00,62.00,500
OTSU,24-Jul-2014,61.25,62.35,60.60,61.98,7500
OTSU,28-Jul-2014,60.00,60.95,59.00,60.32,8000
OTSU,04-Aug-2014,58.00,63.33,57.50,60.10,86000
OTSU,05-Aug-2014,62.85,63.10,62.85,63.10,11000
OTSU,06-Aug-2014,65.90,66.25,65.90,66.25,6000
OTSU,07-Aug-2014,69.56,69.56,67.00,68.02,13000
OTSU,08-Aug-2014,71.00,71.40,68.00,68.70,13000
OTSU,11-Aug-2014,71.50,71.50,65.27,65.27,23000
OTSU,12-Aug-2014,62.10,66.20,62.10,63.00,4500
OTSU,13-Aug-2014,60.03,64.00,60.00,60.86,26500
OTSU,15-Aug-2014,61.99,63.49,61.01,63.16,13000
OTSU,18-Aug-2014,61.00,63.70,60.15,62.01,17000
OTSU,19-Aug-2014,60.00,60.98,58.91,60.66,8500
OTSU,20-Aug-2014,62.90,62.90,62.90,62.90,500
OTSU,21-Aug-2014,64.85,66.04,63.50,64.37,37500
OTSU,22-Aug-2014,65.90,67.40,65.00,66.30,8000
OTSU,25-Aug-2014,67.90,69.61,67.50,67.50,30500
OTSU,26-Aug-2014,67.49,67.50,64.13,64.13,16000
OTSU,28-Aug-2014,58.40,63.70,58.40,63.70,6500
OTSU,29-Aug-2014,64.80,66.88,61.00,66.88,72500
OTSU,01-Sep-2014,65.00,70.22,65.00,70.22,27000
OTSU,02-Sep-2014,73.65,73.73,73.65,73.73,25000
OTSU,03-Sep-2014,77.41,77.41,77.41,77.41,16500
OTSU,04-Sep-2014,81.28,81.28,73.54,81.28,229500
OTSU,05-Sep-2014,85.00,85.34,83.50,85.34,77500
OTSU,08-Sep-2014,85.50,87.90,84.00,86.00,19000
OTSU,09-Sep-2014,87.00,90.00,87.00,89.08,54000
OTSU,10-Sep-2014,90.50,93.53,90.13,93.53,43500
OTSU,11-Sep-2014,96.00,96.00,88.86,88.86,95000
OTSU,12-Sep-2014,84.48,93.30,84.42,93.30,297500
OTSU,15-Sep-2014,95.99,96.45,93.50,94.57,35500
OTSU,16-Sep-2014,95.40,98.44,95.00,95.93,34500
OTSU,17-Sep-2014,98.00,100.72,97.90,100.72,52000
OTSU,18-Sep-2014,105.74,105.75,104.01,105.75,63000
OTSU,19-Sep-2014,111.03,111.03,105.00,108.64,93500
