Symbol,Date,Open,High,Low,Close,Volume
PACE,01-Jan-2014,3.80,4.08,3.76,3.91,1653000
PACE,02-Jan-2014,3.85,4.27,3.85,4.17,9535000
PACE,03-Jan-2014,4.23,4.30,4.06,4.10,2410000
PACE,06-Jan-2014,4.11,4.21,4.03,4.08,1505000
PACE,07-Jan-2014,4.15,4.51,4.15,4.32,10652500
PACE,08-Jan-2014,4.28,4.38,4.17,4.24,1731000
PACE,09-Jan-2014,4.25,4.36,4.05,4.15,1665000
PACE,10-Jan-2014,4.15,4.52,4.05,4.42,7484500
PACE,13-Jan-2014,4.48,4.63,4.42,4.45,2937500
PACE,15-Jan-2014,4.43,4.58,4.40,4.45,4317000
PACE,16-Jan-2014,4.50,4.79,4.48,4.71,9675000
PACE,17-Jan-2014,4.75,4.94,4.66,4.71,7317500
PACE,20-Jan-2014,4.68,4.80,4.48,4.51,2732500
PACE,21-Jan-2014,4.55,4.62,4.34,4.37,2374000
PACE,22-Jan-2014,4.40,4.50,4.30,4.41,1408000
PACE,23-Jan-2014,4.48,4.58,4.30,4.32,1728500
PACE,24-Jan-2014,4.20,4.32,4.18,4.20,1022500
PACE,27-Jan-2014,4.20,4.30,4.11,4.19,1417500
PACE,28-Jan-2014,4.24,4.40,4.22,4.25,1459500
PACE,29-Jan-2014,4.23,4.28,4.13,4.16,674500
PACE,30-Jan-2014,4.18,4.42,4.11,4.31,2241000
PACE,31-Jan-2014,4.40,4.45,4.25,4.37,2737000
PACE,03-Feb-2014,4.45,4.63,4.39,4.48,4442500
PACE,04-Feb-2014,4.56,4.80,4.50,4.60,8989000
PACE,06-Feb-2014,4.70,4.86,4.56,4.81,4276500
PACE,07-Feb-2014,4.90,4.97,4.50,4.56,7437000
PACE,10-Feb-2014,4.60,4.66,4.37,4.47,2266500
PACE,11-Feb-2014,4.40,4.55,4.30,4.32,705000
PACE,12-Feb-2014,4.45,4.47,4.35,4.37,896000
PACE,13-Feb-2014,4.45,4.55,4.36,4.40,1474500
PACE,14-Feb-2014,4.40,4.44,4.30,4.31,809500
PACE,17-Feb-2014,4.35,4.35,4.02,4.03,1897000
PACE,18-Feb-2014,4.08,4.19,3.96,4.11,924000
PACE,19-Feb-2014,4.10,4.19,4.02,4.07,267000
PACE,20-Feb-2014,4.00,4.15,3.93,4.04,942000
