Symbol,Date,Open,High,Low,Close,Volume
PAELR3,10-Mar-2022,3.46,3.54,2.38,2.52,35001000
PAELR3,11-Mar-2022,2.25,2.40,1.76,1.82,11907500
PAELR3,14-Mar-2022,1.85,2.15,1.83,2.00,8140500
PAELR3,15-Mar-2022,2.02,2.15,1.87,1.99,4459500
PAELR3,16-Mar-2022,2.04,2.05,1.65,1.76,11953000
PAELR3,17-Mar-2022,1.80,1.81,1.47,1.50,3761500
PAELR3,18-Mar-2022,1.44,1.44,0.89,0.92,7249000
PAELR3,21-Mar-2022,0.91,1.00,0.80,0.91,3729000
PAELR3,22-Mar-2022,0.88,1.15,0.81,1.00,7358500
PAELR3,24-Mar-2022,0.96,1.23,0.81,1.18,8020500
PAELR3,25-Mar-2022,1.22,1.22,0.96,1.04,4639000
PAELR3,28-Mar-2022,0.99,1.15,0.87,1.12,4684000
PAELR3,29-Mar-2022,1.20,2.10,1.12,1.97,37675000
PAELR3,30-Mar-2022,1.90,2.00,1.41,1.65,18379000
PAELR3,31-Mar-2022,1.55,2.07,1.51,1.92,19476500
PAELR3,01-Apr-2022,1.80,2.03,1.52,1.69,21808000
