Symbol,Date,Open,High,Low,Close,Volume
PAEL,01-Jan-2014,20.20,20.64,20.00,20.47,2805500
PAEL,02-Jan-2014,20.46,20.70,20.21,20.26,1680000
PAEL,03-Jan-2014,20.25,20.49,20.10,20.14,1117500
PAEL,06-Jan-2014,20.24,20.69,20.16,20.25,2437500
PAEL,07-Jan-2014,20.39,21.25,20.06,21.00,9868500
PAEL,08-Jan-2014,21.20,21.35,20.71,20.79,3104500
PAEL,09-Jan-2014,20.75,21.11,20.27,20.39,2367000
PAEL,10-Jan-2014,20.35,20.50,20.11,20.19,596500
PAEL,13-Jan-2014,20.30,20.45,20.03,20.06,453000
PAEL,15-Jan-2014,20.25,20.50,19.27,19.43,2968000
PAEL,16-Jan-2014,19.52,19.64,18.92,19.18,1487500
PAEL,17-Jan-2014,19.40,19.50,19.05,19.11,653000
PAEL,20-Jan-2014,19.44,19.98,18.85,19.81,2883500
PAEL,21-Jan-2014,19.90,20.28,19.64,19.85,2556000
PAEL,22-Jan-2014,19.98,20.75,19.60,20.43,5414000
PAEL,23-Jan-2014,20.85,21.25,19.42,19.80,10929000
PAEL,24-Jan-2014,20.06,20.73,19.51,20.09,7886500
PAEL,27-Jan-2014,20.30,20.50,19.09,19.19,10816500
PAEL,28-Jan-2014,19.35,19.55,18.97,19.14,3147000
PAEL,29-Jan-2014,19.20,19.78,19.20,19.46,6445000
PAEL,30-Jan-2014,19.64,19.79,19.30,19.34,2206000
PAEL,31-Jan-2014,19.50,19.65,19.05,19.22,1864500
PAEL,03-Feb-2014,19.44,19.90,19.35,19.55,3161500
PAEL,04-Feb-2014,19.64,20.29,19.01,20.03,7020000
PAEL,06-Feb-2014,20.34,20.75,20.15,20.65,7259000
PAEL,07-Feb-2014,20.75,21.60,20.66,21.40,11252500
PAEL,10-Feb-2014,21.40,21.80,20.55,21.08,9386500
PAEL,11-Feb-2014,21.19,21.30,20.69,20.85,2607000
PAEL,12-Feb-2014,21.00,21.33,20.90,21.01,3526500
PAEL,13-Feb-2014,21.10,21.49,20.87,21.02,6916500
PAEL,14-Feb-2014,20.65,21.20,20.65,20.73,2078500
PAEL,17-Feb-2014,20.65,20.85,19.70,19.70,1563000
PAEL,18-Feb-2014,19.55,19.93,18.70,19.28,4556500
PAEL,19-Feb-2014,19.50,19.74,18.90,19.06,1868500
PAEL,20-Feb-2014,19.10,19.97,19.10,19.81,6297500
PAEL,21-Feb-2014,19.61,20.18,19.39,19.74,2827500
PAEL,24-Feb-2014,19.61,20.14,19.61,19.72,1826000
PAEL,25-Feb-2014,19.72,19.89,19.19,19.30,923500
PAEL,26-Feb-2014,19.44,19.44,18.90,18.97,925500
PAEL,27-Feb-2014,18.91,19.27,18.72,18.87,1767000
PAEL,28-Feb-2014,19.00,19.20,18.80,18.90,465500
PAEL,03-Mar-2014,19.19,19.55,19.05,19.24,1519500
PAEL,04-Mar-2014,19.39,19.59,18.90,19.08,2032500
PAEL,05-Mar-2014,19.11,19.99,19.11,19.82,5209500
PAEL,06-Mar-2014,19.95,20.40,19.86,20.33,5792500
PAEL,07-Mar-2014,20.42,20.64,20.15,20.38,2584000
PAEL,10-Mar-2014,20.48,20.50,20.00,20.21,2653500
PAEL,11-Mar-2014,20.32,20.65,20.05,20.47,2043500
PAEL,12-Mar-2014,20.80,20.99,19.45,19.57,9802000
PAEL,13-Mar-2014,19.36,19.85,19.35,19.73,2305000
PAEL,14-Mar-2014,19.94,19.99,19.60,19.65,932000
PAEL,17-Mar-2014,19.52,19.85,19.52,19.62,437000
PAEL,18-Mar-2014,19.84,19.84,19.60,19.66,250500
PAEL,19-Mar-2014,19.75,20.02,19.68,19.96,1169500
PAEL,20-Mar-2014,20.08,20.38,19.50,19.84,1471000
