Symbol,Date,Open,High,Low,Close,Volume
PAKCEM,01-Jan-2014,8.33,8.89,8.32,8.78,9160500
PAKCEM,02-Jan-2014,8.85,8.93,8.50,8.52,5761500
PAKCEM,03-Jan-2014,8.64,8.69,8.40,8.48,2487500
PAKCEM,06-Jan-2014,8.50,8.65,8.45,8.49,2583000
PAKCEM,07-Jan-2014,8.61,8.96,8.42,8.65,13370000
PAKCEM,08-Jan-2014,8.70,9.65,8.70,9.45,33157500
PAKCEM,09-Jan-2014,9.65,10.45,9.63,10.18,42068000
PAKCEM,10-Jan-2014,10.24,11.05,9.88,10.91,21646000
PAKCEM,13-Jan-2014,11.08,11.15,10.75,10.91,11216000
PAKCEM,15-Jan-2014,11.05,11.22,10.78,11.01,9810000
PAKCEM,16-Jan-2014,11.03,11.13,10.55,10.68,4140500
PAKCEM,17-Jan-2014,10.60,10.85,10.43,10.51,5393500
PAKCEM,20-Jan-2014,10.65,10.79,10.11,10.49,11140000
PAKCEM,21-Jan-2014,10.60,10.61,10.24,10.29,6365500
PAKCEM,22-Jan-2014,10.33,10.70,10.18,10.40,17216000
PAKCEM,23-Jan-2014,10.40,11.40,10.40,11.09,37141500
PAKCEM,24-Jan-2014,11.15,11.38,10.85,11.15,13969000
PAKCEM,27-Jan-2014,11.30,11.30,10.31,10.44,9217000
PAKCEM,28-Jan-2014,10.36,10.70,10.14,10.21,10745500
PAKCEM,29-Jan-2014,10.40,10.72,10.17,10.61,9359500
PAKCEM,30-Jan-2014,10.80,10.85,10.45,10.53,5662500
PAKCEM,31-Jan-2014,10.55,10.92,10.55,10.75,8456000
PAKCEM,03-Feb-2014,10.79,10.98,10.70,10.75,4193000
PAKCEM,04-Feb-2014,10.73,10.91,10.35,10.56,7092000
PAKCEM,06-Feb-2014,10.63,10.72,10.37,10.45,3653000
PAKCEM,07-Feb-2014,10.45,10.57,10.26,10.31,2292500
PAKCEM,10-Feb-2014,10.32,10.44,9.75,10.24,6534500
PAKCEM,11-Feb-2014,10.34,11.00,10.21,10.97,19604000
PAKCEM,12-Feb-2014,11.07,11.15,10.50,10.64,11240500
PAKCEM,13-Feb-2014,10.67,10.79,10.30,10.42,5534000
PAKCEM,14-Feb-2014,10.45,10.60,10.21,10.28,3489000
PAKCEM,17-Feb-2014,10.40,10.44,9.95,10.01,3159500
PAKCEM,18-Feb-2014,10.02,10.60,10.02,10.54,17130500
PAKCEM,19-Feb-2014,10.75,10.92,10.17,10.26,9844500
PAKCEM,20-Feb-2014,10.41,10.77,10.35,10.66,9612500
PAKCEM,21-Feb-2014,10.68,11.66,10.63,11.64,35170000
PAKCEM,24-Feb-2014,12.00,12.15,11.43,11.55,38631500
PAKCEM,25-Feb-2014,11.78,11.85,11.18,11.32,16132000
PAKCEM,26-Feb-2014,11.25,11.44,11.05,11.26,6788500
PAKCEM,27-Feb-2014,11.24,11.63,11.00,11.46,10112500
PAKCEM,28-Feb-2014,11.35,11.60,11.15,11.20,8851500
PAKCEM,03-Mar-2014,11.50,11.50,11.00,11.04,10959500
PAKCEM,04-Mar-2014,11.17,11.45,10.96,11.38,17982000
PAKCEM,05-Mar-2014,11.51,11.90,11.40,11.62,22988500
PAKCEM,06-Mar-2014,11.70,11.90,11.35,11.41,19461500
PAKCEM,07-Mar-2014,11.50,11.67,11.25,11.43,9055500
PAKCEM,10-Mar-2014,11.40,11.59,11.10,11.17,12252500
PAKCEM,11-Mar-2014,11.18,11.42,11.10,11.24,13414000
