Symbol,Date,Open,High,Low,Close,Volume
PAKD,01-Jan-2014,71.90,71.90,70.70,71.00,14500
PAKD,02-Jan-2014,70.01,70.01,70.00,70.00,12000
PAKD,03-Jan-2014,70.02,70.02,70.00,70.01,1000
PAKD,06-Jan-2014,72.00,72.00,72.00,72.00,1000
PAKD,08-Jan-2014,70.52,73.00,70.52,73.00,13500
PAKD,10-Jan-2014,71.00,71.50,71.00,71.50,1000
PAKD,15-Jan-2014,70.30,72.45,70.30,72.45,12000
PAKD,16-Jan-2014,75.90,75.95,69.00,69.40,19500
PAKD,17-Jan-2014,70.00,70.00,70.00,70.00,1000
PAKD,21-Jan-2014,69.99,73.50,69.99,70.61,16000
PAKD,22-Jan-2014,70.25,71.00,70.02,70.06,3500
PAKD,23-Jan-2014,71.50,71.50,70.00,70.06,4000
PAKD,27-Jan-2014,69.00,69.00,69.00,69.00,500
PAKD,29-Jan-2014,68.00,70.95,68.00,70.95,1000
PAKD,30-Jan-2014,69.25,69.25,67.41,67.94,26000
PAKD,31-Jan-2014,70.44,70.44,70.44,70.44,500
PAKD,03-Feb-2014,67.55,67.55,67.55,67.55,12500
PAKD,07-Feb-2014,69.70,69.70,69.70,69.70,1000
PAKD,11-Feb-2014,66.23,70.60,66.23,68.80,2500
PAKD,12-Feb-2014,69.98,69.98,69.98,69.98,500
PAKD,14-Feb-2014,67.05,69.99,66.49,66.49,3000
PAKD,17-Feb-2014,67.00,67.00,67.00,67.00,500
PAKD,18-Feb-2014,65.01,68.98,65.00,68.98,2500
PAKD,19-Feb-2014,65.54,66.50,65.54,65.55,10500
PAKD,20-Feb-2014,64.00,64.00,62.66,62.80,3000
PAKD,25-Feb-2014,64.50,65.94,64.10,64.17,6500
PAKD,26-Feb-2014,65.99,65.99,65.99,65.99,1000
PAKD,27-Feb-2014,63.50,64.00,63.35,64.00,2000
PAKD,28-Feb-2014,62.00,62.00,60.80,60.80,6500
PAKD,03-Mar-2014,62.25,62.50,62.25,62.50,2000
PAKD,04-Mar-2014,63.99,64.00,62.00,63.06,9000
PAKD,05-Mar-2014,64.50,65.00,64.50,64.84,3500
PAKD,06-Mar-2014,64.00,64.00,64.00,64.00,2500
PAKD,07-Mar-2014,64.00,64.00,64.00,64.00,1000
PAKD,13-Mar-2014,66.00,67.20,66.00,67.20,64000
PAKD,14-Mar-2014,70.24,70.56,67.00,68.63,94000
PAKD,17-Mar-2014,68.99,69.89,68.00,69.80,21000
PAKD,18-Mar-2014,68.15,68.84,67.65,68.54,23000
PAKD,19-Mar-2014,66.51,67.99,66.50,67.96,4000
PAKD,20-Mar-2014,68.00,68.00,68.00,68.00,5500
PAKD,21-Mar-2014,64.65,67.95,64.65,67.35,6500
PAKD,25-Mar-2014,67.92,67.99,67.92,67.96,6000
PAKD,26-Mar-2014,67.88,67.94,67.88,67.91,1000
PAKD,27-Mar-2014,67.34,67.34,67.34,67.34,500
PAKD,28-Mar-2014,68.88,69.74,65.00,65.00,5000
PAKD,31-Mar-2014,66.90,66.95,64.92,65.25,6500
PAKD,01-Apr-2014,66.00,66.64,64.85,66.60,4500
PAKD,02-Apr-2014,66.50,66.50,66.50,66.50,500
PAKD,03-Apr-2014,66.00,66.00,65.75,65.80,7000
PAKD,07-Apr-2014,63.15,66.49,63.15,66.45,5000
PAKD,08-Apr-2014,66.90,69.00,66.00,69.00,16500
PAKD,09-Apr-2014,68.80,69.00,66.66,68.77,4500
PAKD,10-Apr-2014,69.00,69.00,68.25,68.60,7500
PAKD,14-Apr-2014,68.00,71.40,68.00,71.30,19500
PAKD,15-Apr-2014,70.10,72.69,70.00,72.43,10000
PAKD,16-Apr-2014,72.00,75.00,72.00,74.95,12500
PAKD,17-Apr-2014,75.00,76.48,73.10,75.33,2000
PAKD,18-Apr-2014,73.00,73.00,73.00,73.00,2500
PAKD,21-Apr-2014,70.16,70.16,70.00,70.11,18500
PAKD,22-Apr-2014,70.11,71.25,70.10,70.10,4500
PAKD,23-Apr-2014,73.60,73.60,71.49,73.49,6500
PAKD,24-Apr-2014,69.82,73.99,69.82,73.99,7000
PAKD,25-Apr-2014,71.00,71.00,71.00,71.00,1000
PAKD,29-Apr-2014,69.00,69.00,69.00,69.00,1000
PAKD,06-May-2014,68.00,68.00,68.00,68.00,500
PAKD,07-May-2014,68.00,68.00,68.00,68.00,500
PAKD,12-May-2014,68.00,68.00,68.00,68.00,4000
PAKD,19-May-2014,68.00,68.00,68.00,68.00,500
PAKD,20-May-2014,68.50,68.50,67.50,67.50,1000
PAKD,21-May-2014,69.75,69.85,69.00,69.00,4500
PAKD,27-May-2014,71.90,71.99,69.00,69.00,3000
PAKD,29-May-2014,72.30,72.40,72.30,72.40,1000
PAKD,30-May-2014,74.80,74.89,74.80,74.89,1000
PAKD,02-Jun-2014,74.00,74.00,73.00,73.00,1000
PAKD,04-Jun-2014,70.01,70.01,70.01,70.01,500
PAKD,05-Jun-2014,72.50,72.60,72.50,72.55,1000
PAKD,09-Jun-2014,70.00,70.00,70.00,70.00,500
PAKD,10-Jun-2014,71.00,71.40,70.75,71.08,2000
PAKD,12-Jun-2014,72.75,72.99,72.50,72.50,2500
PAKD,13-Jun-2014,72.00,72.00,72.00,72.00,500
PAKD,19-Jun-2014,68.40,68.40,68.40,68.40,500
PAKD,20-Jun-2014,66.05,70.88,66.05,70.84,1500
PAKD,23-Jun-2014,73.90,73.98,72.49,72.50,2500
PAKD,24-Jun-2014,73.89,73.89,73.00,73.00,1500
PAKD,27-Jun-2014,76.50,76.50,76.50,76.50,500
PAKD,07-Jul-2014,72.70,73.50,72.68,72.68,5000
PAKD,08-Jul-2014,74.65,74.74,74.65,74.70,1000
PAKD,09-Jul-2014,74.47,74.47,74.47,74.47,500
PAKD,18-Jul-2014,78.00,78.10,78.00,78.10,1000
PAKD,21-Jul-2014,74.20,75.50,74.20,75.50,3000
PAKD,22-Jul-2014,73.01,75.00,73.00,74.00,9500
PAKD,23-Jul-2014,73.00,74.98,73.00,74.98,1500
PAKD,24-Jul-2014,77.90,77.99,74.00,74.00,2500
PAKD,28-Jul-2014,72.00,72.00,71.01,71.01,1000
PAKD,04-Aug-2014,72.50,72.55,70.00,71.67,5500
PAKD,05-Aug-2014,73.85,73.95,73.85,73.95,1000
PAKD,06-Aug-2014,71.00,73.80,71.00,73.80,3000
PAKD,07-Aug-2014,72.50,73.74,70.55,73.00,5000
PAKD,11-Aug-2014,70.56,73.00,70.56,72.99,1500
PAKD,15-Aug-2014,70.00,70.10,70.00,70.10,1000
PAKD,18-Aug-2014,73.50,73.60,73.50,73.60,1000
PAKD,20-Aug-2014,70.00,70.00,70.00,70.00,1000
PAKD,22-Aug-2014,73.49,73.49,73.40,73.40,1000
PAKD,25-Aug-2014,76.98,76.98,76.98,76.98,500
PAKD,29-Aug-2014,78.90,78.99,72.35,72.35,1500
PAKD,01-Sep-2014,68.74,71.97,68.74,71.94,1500
PAKD,02-Sep-2014,74.90,74.97,71.00,72.00,3000
PAKD,03-Sep-2014,72.00,73.30,71.90,72.65,4500
PAKD,04-Sep-2014,75.90,75.99,75.90,75.99,1000
PAKD,05-Sep-2014,79.70,79.70,79.60,79.60,1000
PAKD,08-Sep-2014,75.62,75.62,75.62,75.62,3000
PAKD,09-Sep-2014,72.00,75.48,72.00,72.50,5500
PAKD,10-Sep-2014,72.00,74.97,72.00,74.97,2000
PAKD,15-Sep-2014,74.49,75.90,74.49,75.80,1500
PAKD,16-Sep-2014,76.90,76.90,76.90,76.90,500
PAKD,17-Sep-2014,76.99,76.99,76.99,76.99,500
PAKD,18-Sep-2014,75.00,80.83,75.00,79.58,14000
PAKD,19-Sep-2014,81.40,82.70,78.00,78.00,3000
PAKD,22-Sep-2014,81.15,81.90,77.00,81.88,16500
PAKD,23-Sep-2014,83.99,83.99,81.00,82.20,7000
PAKD,24-Sep-2014,82.99,83.49,79.50,83.49,9500
PAKD,25-Sep-2014,84.99,84.99,83.90,83.95,2000
PAKD,26-Sep-2014,83.00,88.14,80.00,86.57,45500
PAKD,29-Sep-2014,86.90,90.85,85.11,86.89,17000
PAKD,30-Sep-2014,89.69,89.69,82.55,82.55,21000
PAKD,01-Oct-2014,79.00,81.94,78.43,78.54,16500
PAKD,02-Oct-2014,82.00,82.45,82.00,82.45,3000
PAKD,03-Oct-2014,81.00,85.24,81.00,83.74,9000
PAKD,09-Oct-2014,83.95,86.00,83.95,84.16,4500
PAKD,10-Oct-2014,86.00,87.95,84.00,85.90,11500
PAKD,13-Oct-2014,85.00,85.00,81.61,81.89,27000
PAKD,14-Oct-2014,80.00,80.00,76.00,76.11,7000
PAKD,15-Oct-2014,75.20,77.90,75.00,76.89,5500
PAKD,16-Oct-2014,79.50,79.50,79.50,79.50,500
PAKD,17-Oct-2014,82.49,82.49,76.00,78.00,3500
PAKD,20-Oct-2014,74.10,74.50,74.10,74.10,1500
PAKD,21-Oct-2014,77.79,77.79,77.35,77.38,5500
PAKD,22-Oct-2014,80.99,80.99,75.00,75.00,2500
PAKD,24-Oct-2014,72.51,72.51,72.50,72.51,1500
PAKD,27-Oct-2014,71.05,71.05,71.01,71.03,1000
PAKD,28-Oct-2014,71.51,71.51,70.00,70.00,6500
PAKD,29-Oct-2014,72.90,73.50,70.25,73.50,17000
PAKD,31-Oct-2014,73.00,75.89,73.00,75.89,2500
PAKD,06-Nov-2014,76.99,76.99,73.13,75.95,2000
PAKD,07-Nov-2014,74.99,74.99,74.99,74.99,500
PAKD,10-Nov-2014,75.99,76.95,74.05,75.97,42500
PAKD,11-Nov-2014,77.39,77.39,77.39,77.39,500
PAKD,12-Nov-2014,77.50,81.25,77.47,80.96,104000
PAKD,13-Nov-2014,83.65,83.65,79.00,79.00,9000
PAKD,14-Nov-2014,81.75,81.75,78.51,79.78,9500
PAKD,17-Nov-2014,81.99,81.99,75.80,76.18,14500
PAKD,18-Nov-2014,75.00,75.00,74.00,74.00,4500
PAKD,19-Nov-2014,73.00,73.00,71.05,71.08,3500
PAKD,20-Nov-2014,74.25,74.25,74.20,74.20,1000
PAKD,21-Nov-2014,75.80,75.96,72.00,72.20,7500
PAKD,24-Nov-2014,72.60,72.60,72.60,72.60,1000
PAKD,26-Nov-2014,75.00,75.09,72.60,72.60,3000
PAKD,27-Nov-2014,74.80,74.90,73.30,73.30,3500
PAKD,28-Nov-2014,72.25,72.25,72.25,72.25,1000
PAKD,01-Dec-2014,74.44,75.86,74.44,75.86,6000
PAKD,02-Dec-2014,75.50,76.35,75.00,76.08,4000
PAKD,03-Dec-2014,76.50,77.50,76.25,76.50,3000
PAKD,04-Dec-2014,76.55,77.89,76.50,77.26,3500
PAKD,05-Dec-2014,77.00,78.00,77.00,77.11,1500
PAKD,09-Dec-2014,78.10,78.95,77.00,78.00,3500
PAKD,10-Dec-2014,77.50,78.78,76.00,76.60,9500
PAKD,11-Dec-2014,77.00,77.00,75.00,75.00,6000
PAKD,12-Dec-2014,74.11,74.11,74.00,74.06,1000
PAKD,16-Dec-2014,73.25,75.00,72.00,72.65,4500
PAKD,17-Dec-2014,72.90,73.99,72.90,73.99,1000
PAKD,18-Dec-2014,76.10,76.20,76.10,76.20,1000
PAKD,19-Dec-2014,72.40,72.40,72.40,72.40,1000
PAKD,26-Dec-2014,75.90,75.97,75.90,75.97,1000
PAKD,29-Dec-2014,75.05,75.05,75.05,75.05,1000
PAKD,30-Dec-2014,74.01,74.01,74.00,74.00,5000
PAKD,31-Dec-2014,75.99,77.70,75.99,77.70,3000
PAKD,05-Jan-2015,76.00,76.00,76.00,76.00,1500
PAKD,06-Jan-2015,78.50,78.50,78.50,78.50,500
PAKD,08-Jan-2015,77.00,82.40,77.00,82.40,19000
PAKD,09-Jan-2015,86.52,86.52,86.52,86.52,500
PAKD,12-Jan-2015,84.70,84.70,82.20,82.20,7000
PAKD,13-Jan-2015,83.59,83.59,83.59,83.59,500
PAKD,14-Jan-2015,84.99,84.99,84.99,84.99,500
PAKD,15-Jan-2015,82.00,83.75,81.50,83.00,6500
PAKD,16-Jan-2015,81.00,81.00,81.00,81.00,500
PAKD,20-Jan-2015,82.85,84.99,82.85,84.99,9000
