Symbol,Date,Open,High,Low,Close,Volume
PAKT,01-Jan-2014,555.00,588.00,555.00,585.42,21600
PAKT,02-Jan-2014,584.00,605.00,581.00,596.09,24900
PAKT,03-Jan-2014,596.25,625.89,596.25,625.89,59800
PAKT,06-Jan-2014,630.00,657.18,630.00,657.18,55700
PAKT,07-Jan-2014,675.00,684.00,661.00,664.25,11000
PAKT,08-Jan-2014,685.00,697.46,680.00,697.46,69100
PAKT,09-Jan-2014,715.00,732.00,703.00,727.51,30300
PAKT,10-Jan-2014,735.00,763.88,735.00,763.88,39500
PAKT,13-Jan-2014,795.00,802.07,785.01,799.08,40400
PAKT,15-Jan-2014,820.00,820.00,763.02,774.19,8900
PAKT,16-Jan-2014,797.97,797.97,735.49,735.49,7000
PAKT,17-Jan-2014,700.00,760.00,699.00,755.47,33800
PAKT,20-Jan-2014,762.01,770.00,717.70,717.70,14600
PAKT,21-Jan-2014,719.00,750.00,706.50,707.81,80900
PAKT,22-Jan-2014,723.00,723.00,672.42,676.65,8800
PAKT,23-Jan-2014,699.00,710.48,683.00,698.34,107400
PAKT,24-Jan-2014,698.00,715.00,682.00,682.00,32900
PAKT,27-Jan-2014,651.21,665.00,647.90,647.90,6100
PAKT,28-Jan-2014,640.00,640.00,620.00,630.51,4100
PAKT,29-Jan-2014,627.00,645.00,608.00,634.02,14200
PAKT,30-Jan-2014,640.00,665.00,625.00,663.33,20200
PAKT,31-Jan-2014,675.00,690.80,650.00,654.25,53700
PAKT,03-Feb-2014,650.01,650.01,621.54,622.84,6200
PAKT,04-Feb-2014,613.00,625.00,601.00,603.86,2100
PAKT,06-Feb-2014,605.00,612.00,602.50,605.12,6500
PAKT,07-Feb-2014,603.00,603.00,580.00,580.54,7800
PAKT,10-Feb-2014,580.00,600.00,560.00,567.80,42500
PAKT,11-Feb-2014,586.00,596.19,586.00,596.19,18900
PAKT,12-Feb-2014,617.00,625.99,617.00,625.99,17500
PAKT,13-Feb-2014,635.00,657.28,635.00,657.28,5000
PAKT,14-Feb-2014,689.99,690.14,660.10,690.14,12500
PAKT,17-Feb-2014,694.99,710.00,655.64,655.64,14200
PAKT,18-Feb-2014,660.00,670.00,622.86,641.99,14700
PAKT,19-Feb-2014,625.00,660.00,609.90,621.06,26600
PAKT,20-Feb-2014,600.10,645.00,600.01,640.00,17900
PAKT,21-Feb-2014,620.10,672.00,620.00,672.00,20000
PAKT,24-Feb-2014,690.00,705.60,690.00,705.60,20600
PAKT,25-Feb-2014,715.00,715.00,690.00,692.00,2700
PAKT,26-Feb-2014,680.01,726.60,680.00,726.60,13700
PAKT,27-Feb-2014,757.49,762.93,755.00,762.93,32400
PAKT,28-Feb-2014,797.00,801.07,775.00,801.07,29200
PAKT,03-Mar-2014,811.00,811.00,800.00,800.00,3300
PAKT,04-Mar-2014,775.00,803.99,775.00,800.00,2200
PAKT,05-Mar-2014,809.00,809.00,790.10,800.00,2300
PAKT,06-Mar-2014,805.00,809.00,790.00,801.53,19300
PAKT,07-Mar-2014,805.00,815.00,799.00,799.79,17400
PAKT,10-Mar-2014,804.00,815.00,800.10,810.06,29000
PAKT,11-Mar-2014,812.00,817.00,801.00,814.90,22300
PAKT,12-Mar-2014,815.00,850.00,815.00,840.74,26400
PAKT,13-Mar-2014,836.00,860.00,830.26,838.00,6900
PAKT,14-Mar-2014,830.00,879.90,830.00,879.90,44600
PAKT,17-Mar-2014,887.00,923.89,885.00,916.75,112000
PAKT,18-Mar-2014,940.00,962.58,931.00,962.58,14700
PAKT,19-Mar-2014,980.00,1008.00,980.00,999.10,9000
PAKT,20-Mar-2014,1034.00,1049.05,1020.00,1045.20,33800
PAKT,21-Mar-2014,1040.00,1055.00,1000.00,1047.74,8100
PAKT,24-Mar-2014,1044.00,1048.00,1038.00,1040.25,7300
PAKT,25-Mar-2014,1010.00,1092.00,1000.00,1079.31,26600
PAKT,26-Mar-2014,1098.00,1133.27,1090.00,1131.36,37100
PAKT,27-Mar-2014,1140.00,1185.00,1140.00,1162.89,17600
PAKT,28-Mar-2014,1184.00,1221.03,1143.00,1219.00,55900
PAKT,31-Mar-2014,1260.00,1279.95,1240.00,1275.69,41800
PAKT,01-Apr-2014,1289.05,1332.00,1285.00,1317.21,45400
PAKT,02-Apr-2014,1319.89,1360.00,1319.89,1352.51,34200
PAKT,03-Apr-2014,1358.00,1420.00,1358.00,1419.00,25100
PAKT,04-Apr-2014,1424.99,1487.99,1423.00,1466.65,39900
PAKT,07-Apr-2014,1500.35,1538.99,1393.32,1453.73,32700
PAKT,08-Apr-2014,1475.00,1475.00,1412.00,1447.83,32100
PAKT,09-Apr-2014,1420.01,1500.00,1401.10,1466.45,13100
PAKT,10-Apr-2014,1453.10,1455.00,1425.01,1450.00,7400
PAKT,11-Apr-2014,1455.00,1455.00,1445.00,1445.00,3500
PAKT,14-Apr-2014,1440.00,1450.00,1372.75,1385.10,1800
PAKT,15-Apr-2014,1325.00,1410.00,1315.00,1379.00,10500
PAKT,16-Apr-2014,1390.00,1400.00,1361.05,1385.68,3000
PAKT,17-Apr-2014,1331.00,1400.00,1331.00,1390.50,1400
PAKT,18-Apr-2014,1365.00,1365.00,1350.00,1356.00,300
PAKT,21-Apr-2014,1398.00,1400.00,1370.00,1370.00,1500
PAKT,22-Apr-2014,1325.00,1438.50,1311.00,1355.00,12300
PAKT,23-Apr-2014,1397.00,1400.00,1287.26,1309.00,7100
PAKT,24-Apr-2014,1300.00,1300.05,1251.00,1291.00,9200
PAKT,25-Apr-2014,1250.00,1251.50,1246.00,1249.46,2900
PAKT,28-Apr-2014,1295.00,1295.00,1221.00,1251.38,2100
PAKT,29-Apr-2014,1250.00,1313.94,1225.00,1299.21,6600
PAKT,30-Apr-2014,1301.50,1364.17,1299.00,1354.73,53700
PAKT,02-May-2014,1340.00,1400.00,1340.00,1364.00,5500
PAKT,05-May-2014,1315.05,1350.00,1315.05,1350.00,500
PAKT,06-May-2014,1399.00,1399.00,1303.00,1310.00,400
PAKT,07-May-2014,1261.10,1261.10,1244.50,1244.50,700
PAKT,08-May-2014,1200.25,1239.00,1182.28,1239.00,3300
PAKT,09-May-2014,1201.00,1247.00,1178.00,1205.43,2500
PAKT,12-May-2014,1228.90,1265.70,1200.00,1255.00,6200
PAKT,13-May-2014,1216.05,1249.93,1201.00,1249.92,800
PAKT,14-May-2014,1250.00,1300.00,1250.00,1280.39,2800
PAKT,15-May-2014,1300.00,1344.40,1300.00,1320.00,6800
PAKT,16-May-2014,1340.00,1386.00,1330.00,1349.88,5600
PAKT,19-May-2014,1311.00,1311.00,1282.39,1282.39,6400
PAKT,20-May-2014,1282.00,1282.00,1218.28,1250.35,5300
PAKT,21-May-2014,1216.50,1250.00,1200.00,1201.80,2700
PAKT,22-May-2014,1200.00,1240.00,1200.00,1230.00,1400
PAKT,23-May-2014,1230.00,1240.00,1212.00,1225.73,1300
PAKT,26-May-2014,1242.00,1250.00,1239.50,1245.00,16800
PAKT,27-May-2014,1235.00,1235.00,1215.01,1215.01,300
PAKT,28-May-2014,1200.00,1215.00,1200.00,1215.00,4700
PAKT,29-May-2014,1200.00,1275.75,1200.00,1275.75,13300
PAKT,30-May-2014,1309.99,1310.00,1261.01,1303.08,49200
PAKT,02-Jun-2014,1310.00,1315.00,1280.00,1295.71,25900
PAKT,03-Jun-2014,1308.00,1308.00,1250.00,1270.00,2700
PAKT,04-Jun-2014,1290.00,1290.00,1213.00,1249.50,2200
PAKT,05-Jun-2014,1258.00,1258.00,1190.00,1209.55,1400
PAKT,06-Jun-2014,1236.00,1270.02,1236.00,1270.02,3000
PAKT,09-Jun-2014,1328.00,1332.90,1290.00,1290.00,2900
PAKT,10-Jun-2014,1300.00,1350.99,1300.00,1336.50,34200
PAKT,11-Jun-2014,1355.00,1361.00,1355.00,1355.10,700
PAKT,12-Jun-2014,1382.00,1382.00,1370.00,1375.11,1000
PAKT,13-Jun-2014,1370.00,1380.00,1370.00,1380.00,1000
PAKT,16-Jun-2014,1320.00,1375.00,1320.00,1360.00,1000
PAKT,17-Jun-2014,1360.00,1399.00,1360.00,1391.00,3800
PAKT,18-Jun-2014,1381.99,1390.00,1381.99,1387.33,1200
PAKT,19-Jun-2014,1318.00,1370.00,1318.00,1322.67,48100
PAKT,20-Jun-2014,1320.00,1320.00,1320.00,1320.00,1700
PAKT,23-Jun-2014,1320.00,1320.00,1320.00,1320.00,1800
PAKT,24-Jun-2014,1320.00,1320.00,1300.00,1303.00,2300
PAKT,26-Jun-2014,1300.00,1310.00,1300.00,1300.00,2100
PAKT,27-Jun-2014,1298.00,1364.00,1298.00,1331.46,2600
PAKT,30-Jun-2014,1265.00,1265.00,1265.00,1265.00,100
PAKT,02-Jul-2014,1210.00,1249.50,1203.00,1223.61,620
PAKT,03-Jul-2014,1247.79,1247.79,1163.00,1199.00,580
PAKT,07-Jul-2014,1199.00,1199.00,1199.00,1199.00,20
PAKT,09-Jul-2014,1195.00,1195.00,1155.00,1180.00,1280
PAKT,10-Jul-2014,1179.00,1179.00,1179.00,1179.00,200
PAKT,11-Jul-2014,1200.00,1200.00,1200.00,1200.00,800
PAKT,14-Jul-2014,1195.00,1210.00,1152.00,1192.00,1860
PAKT,15-Jul-2014,1189.00,1189.90,1189.00,1189.45,40
PAKT,16-Jul-2014,1199.00,1199.00,1197.80,1198.40,60
PAKT,17-Jul-2014,1190.00,1190.00,1153.00,1171.50,160
PAKT,18-Jul-2014,1130.00,1160.00,1130.00,1152.42,800
PAKT,22-Jul-2014,1100.01,1100.02,1100.00,1100.01,220
PAKT,24-Jul-2014,1154.99,1154.99,1154.99,1154.99,100
PAKT,05-Aug-2014,1154.99,1154.99,1154.99,1154.99,20
PAKT,06-Aug-2014,1100.00,1100.00,1097.25,1097.25,180
PAKT,13-Aug-2014,1040.00,1040.00,1025.00,1025.00,440
PAKT,15-Aug-2014,1040.00,1040.00,1035.00,1039.00,120
PAKT,18-Aug-2014,995.00,1038.00,988.00,1000.51,300
PAKT,19-Aug-2014,951.00,1004.00,951.00,1004.00,100
PAKT,20-Aug-2014,1044.95,1054.20,1000.00,1000.00,500
PAKT,21-Aug-2014,1045.00,1045.00,1000.00,1022.50,40
PAKT,22-Aug-2014,1022.50,1022.50,1022.50,1022.50,40
PAKT,25-Aug-2014,1022.50,1022.50,1022.50,1022.50,20
PAKT,27-Aug-2014,972.00,1005.00,972.00,1002.50,80
PAKT,28-Aug-2014,1043.80,1052.60,1039.00,1048.81,2080
PAKT,29-Aug-2014,1100.00,1101.25,1100.00,1101.00,580
PAKT,01-Sep-2014,1144.99,1150.00,1144.99,1150.00,400
PAKT,02-Sep-2014,1180.00,1200.00,1150.00,1184.31,7780
PAKT,03-Sep-2014,1200.00,1200.00,1200.00,1200.00,4580
PAKT,04-Sep-2014,1160.00,1200.00,1140.02,1150.00,5720
PAKT,08-Sep-2014,1140.00,1150.00,1140.00,1150.00,220
PAKT,09-Sep-2014,1150.00,1200.00,1100.00,1100.00,1940
PAKT,10-Sep-2014,1100.00,1100.00,1100.00,1100.00,20
PAKT,11-Sep-2014,1139.99,1139.99,1045.02,1045.02,140
PAKT,12-Sep-2014,1000.00,1000.00,992.77,993.81,620
PAKT,15-Sep-2014,993.81,993.81,993.81,993.81,20
PAKT,16-Sep-2014,990.00,1010.00,990.00,1000.00,320
PAKT,19-Sep-2014,1000.00,1000.00,1000.00,1000.00,220
PAKT,22-Sep-2014,952.10,952.10,950.00,950.00,620
PAKT,23-Sep-2014,969.00,970.00,902.50,902.50,500
PAKT,24-Sep-2014,912.00,915.00,905.00,905.00,440
PAKT,25-Sep-2014,900.00,935.00,900.00,934.90,1100
PAKT,26-Sep-2014,930.00,930.00,915.00,927.31,1060
PAKT,29-Sep-2014,881.55,950.00,881.55,927.31,40
PAKT,01-Oct-2014,927.31,927.31,927.31,927.31,40
PAKT,02-Oct-2014,970.00,970.00,895.00,920.00,460
PAKT,03-Oct-2014,950.00,950.00,900.00,900.00,960
PAKT,09-Oct-2014,865.00,865.00,855.00,855.50,240
PAKT,10-Oct-2014,870.00,894.00,870.00,894.00,380
PAKT,13-Oct-2014,870.01,895.00,849.30,849.30,860
PAKT,14-Oct-2014,865.20,891.76,850.00,891.76,3620
PAKT,15-Oct-2014,936.00,936.34,915.00,931.94,3180
PAKT,16-Oct-2014,969.00,969.00,914.00,926.00,960
PAKT,17-Oct-2014,945.00,945.00,905.00,922.00,60
PAKT,20-Oct-2014,922.00,922.00,922.00,922.00,60
PAKT,21-Oct-2014,946.00,955.00,930.00,930.00,1100
PAKT,22-Oct-2014,929.50,934.94,891.00,923.50,900
PAKT,23-Oct-2014,928.00,930.00,891.00,891.00,320
PAKT,24-Oct-2014,851.00,900.00,847.00,895.83,700
