Symbol,Date,Open,High,Low,Close,Volume
PECO,20-Jan-2014,51.45,51.45,51.45,51.45,500
PECO,06-Feb-2014,54.00,54.00,54.00,54.00,500
PECO,07-Feb-2014,56.50,56.70,56.50,56.70,1000
PECO,13-Feb-2014,56.70,56.70,56.70,56.70,500
PECO,21-Feb-2014,52.25,52.25,52.25,52.25,1000
PECO,24-Feb-2014,52.25,52.25,52.25,52.25,500
PECO,25-Feb-2014,52.25,52.25,52.25,52.25,500
PECO,26-Feb-2014,54.00,54.00,54.00,54.00,500
PECO,27-Feb-2014,56.50,56.70,56.50,56.70,1500
PECO,28-Feb-2014,54.00,54.00,54.00,54.00,500
PECO,04-Mar-2014,56.70,56.70,56.70,56.70,500
PECO,05-Mar-2014,58.50,59.53,58.50,59.53,2500
PECO,06-Mar-2014,62.50,62.50,62.50,62.50,5000
PECO,12-Mar-2014,68.90,68.90,68.90,68.90,500
PECO,13-Mar-2014,72.30,72.30,72.30,72.30,500
PECO,14-Mar-2014,75.90,75.91,75.90,75.91,1000
PECO,17-Mar-2014,73.00,73.00,73.00,73.00,10000
PECO,18-Mar-2014,76.50,76.65,76.50,76.65,17000
PECO,20-Mar-2014,75.00,75.00,73.00,73.00,2500
PECO,21-Mar-2014,76.50,76.65,76.50,76.65,1500
PECO,24-Mar-2014,80.48,80.48,80.48,80.48,57000
PECO,25-Mar-2014,84.50,84.50,84.50,84.50,3000
PECO,26-Mar-2014,88.72,88.72,84.50,88.72,9000
PECO,27-Mar-2014,93.15,93.15,93.15,93.15,6000
PECO,28-Mar-2014,97.80,97.80,97.80,97.80,1000
PECO,31-Mar-2014,102.69,102.69,93.50,94.38,24500
PECO,01-Apr-2014,93.00,93.00,93.00,93.00,500
PECO,02-Apr-2014,93.00,93.00,93.00,93.00,3000
PECO,04-Apr-2014,89.00,89.00,88.50,88.50,2000
PECO,07-Apr-2014,89.99,90.00,89.99,90.00,1500
PECO,11-Apr-2014,90.00,90.00,90.00,90.00,500
PECO,16-Apr-2014,90.00,90.00,90.00,90.00,500
PECO,23-Apr-2014,90.00,90.00,90.00,90.00,500
PECO,04-Jun-2014,89.50,89.50,84.27,84.27,51000
PECO,05-Jun-2014,87.99,87.99,87.00,87.00,1500
PECO,09-Jun-2014,83.00,84.99,83.00,84.99,10000
PECO,11-Jun-2014,89.20,89.20,84.00,84.00,18500
PECO,16-Jun-2014,81.95,81.95,81.95,81.95,500
PECO,03-Jul-2014,80.00,83.50,80.00,83.50,5500
PECO,14-Jul-2014,86.50,87.65,86.50,87.65,2000
PECO,16-Jul-2014,89.99,89.99,89.99,89.99,3000
PECO,17-Jul-2014,91.99,91.99,91.99,91.99,1000
PECO,19-Aug-2014,77.85,78.00,77.85,78.00,2500
PECO,29-Aug-2014,81.90,81.90,81.90,81.90,1000
PECO,04-Sep-2014,85.99,85.99,85.99,85.99,500
PECO,08-Sep-2014,89.99,89.99,89.99,89.99,500
PECO,12-Sep-2014,93.99,93.99,93.99,93.99,500
PECO,19-Sep-2014,94.96,94.96,86.10,86.10,1500
PECO,26-Sep-2014,83.00,84.00,83.00,83.00,3000
PECO,01-Oct-2014,79.00,79.00,79.00,79.00,500
PECO,10-Oct-2014,78.00,78.00,78.00,78.00,1500
PECO,17-Oct-2014,76.00,76.00,76.00,76.00,1000
PECO,24-Oct-2014,72.00,74.00,72.00,74.00,8500
PECO,28-Oct-2014,77.70,77.70,77.70,77.70,1000
PECO,29-Oct-2014,78.00,78.00,78.00,78.00,6000
PECO,05-Nov-2014,81.90,81.90,81.90,81.90,1000
PECO,07-Nov-2014,90.28,90.28,90.28,90.28,500
PECO,11-Nov-2014,99.52,99.52,99.52,99.52,500
PECO,12-Nov-2014,104.49,104.49,102.00,104.49,11000
PECO,13-Nov-2014,109.71,109.71,109.40,109.71,11000
PECO,14-Nov-2014,115.19,115.19,112.50,115.19,14500
PECO,17-Nov-2014,120.94,120.94,120.94,120.94,500
PECO,19-Nov-2014,133.32,133.32,131.00,133.00,7000
PECO,20-Nov-2014,126.35,126.35,126.35,126.35,1000
PECO,21-Nov-2014,121.35,129.00,120.04,120.25,4500
PECO,24-Nov-2014,114.25,114.25,114.25,114.25,500
PECO,26-Nov-2014,119.90,119.96,117.10,119.95,2500
PECO,27-Nov-2014,125.50,125.94,125.50,125.94,3000
PECO,28-Nov-2014,132.23,132.23,132.22,132.23,3000
PECO,01-Dec-2014,138.84,138.84,138.83,138.84,6000
