Symbol,Date,Open,High,Low,Close,Volume
PHDL,10-Jan-2014,58.00,58.00,58.00,58.00,2000
PHDL,06-Feb-2014,62.60,62.60,62.60,65.85,1000
PHDL,10-Feb-2014,62.75,62.75,62.75,65.85,1000
PHDL,11-Feb-2014,69.14,69.14,69.14,69.14,2500
PHDL,10-Apr-2014,76.21,76.21,76.21,76.21,500
PHDL,28-Apr-2014,75.00,80.02,75.00,75.00,1500
PHDL,02-May-2014,73.51,73.51,73.51,73.51,500
PHDL,08-May-2014,77.18,77.18,77.18,77.18,500
PHDL,23-Jul-2014,80.67,80.67,80.67,80.67,500
PHDL,11-Sep-2014,84.70,84.70,84.70,84.70,500
PHDL,12-Sep-2014,88.93,88.93,85.18,87.40,8000
PHDL,15-Sep-2014,91.00,91.00,88.00,88.00,1500
PHDL,18-Sep-2014,85.01,85.01,85.00,85.01,1000
PHDL,19-Sep-2014,85.00,88.50,85.00,86.75,2000
PHDL,24-Sep-2014,84.00,90.99,84.00,90.99,1000
PHDL,25-Sep-2014,89.90,91.15,86.50,86.50,2500
PHDL,26-Sep-2014,82.31,82.31,82.30,82.30,1500
PHDL,29-Sep-2014,86.41,86.41,80.00,86.41,2500
PHDL,30-Sep-2014,90.73,90.73,90.73,90.73,63000
PHDL,01-Oct-2014,93.00,93.00,86.20,89.19,43500
PHDL,02-Oct-2014,85.00,87.99,84.74,87.95,12500
PHDL,03-Oct-2014,84.00,84.00,84.00,84.00,500
PHDL,10-Oct-2014,79.80,87.40,79.80,86.96,7000
PHDL,13-Oct-2014,87.00,87.00,82.62,82.67,17000
PHDL,14-Oct-2014,86.39,86.39,86.39,86.39,500
PHDL,15-Oct-2014,82.08,82.08,82.08,82.08,500
PHDL,16-Oct-2014,77.98,80.00,77.98,80.00,1000
PHDL,17-Oct-2014,76.00,84.00,76.00,79.75,33500
PHDL,23-Oct-2014,80.00,82.90,77.55,82.36,32000
PHDL,24-Oct-2014,86.20,86.20,84.50,84.50,13000
PHDL,27-Oct-2014,83.95,84.00,80.50,80.50,5000
PHDL,28-Oct-2014,83.50,84.50,77.71,77.71,14500
PHDL,29-Oct-2014,74.00,78.97,74.00,74.00,1500
PHDL,30-Oct-2014,71.00,71.00,71.00,71.00,500
PHDL,31-Oct-2014,67.51,72.79,67.51,72.79,2000
PHDL,05-Nov-2014,70.00,75.90,70.00,75.90,2000
PHDL,06-Nov-2014,72.11,72.11,72.11,72.11,500
PHDL,07-Nov-2014,71.00,71.00,71.00,71.00,1000
PHDL,10-Nov-2014,71.00,71.00,71.00,71.00,1500
PHDL,11-Nov-2014,67.45,72.99,67.45,72.99,1000
PHDL,12-Nov-2014,69.35,69.50,69.35,69.50,1000
PHDL,13-Nov-2014,69.95,69.95,69.95,69.95,1000
PHDL,19-Nov-2014,70.00,70.00,70.00,70.00,1000
PHDL,21-Nov-2014,73.00,73.00,73.00,73.00,1000
PHDL,27-Nov-2014,69.99,69.99,69.99,69.99,1000
PHDL,28-Nov-2014,66.50,66.50,66.50,66.50,4000
PHDL,05-Dec-2014,69.82,69.82,69.82,69.82,500
PHDL,10-Dec-2014,66.66,69.00,66.56,69.00,2000
PHDL,16-Dec-2014,66.10,70.00,66.01,69.98,3000
PHDL,19-Dec-2014,67.00,67.00,67.00,67.00,500
PHDL,23-Dec-2014,70.35,70.35,65.00,65.63,4000
PHDL,24-Dec-2014,68.91,68.91,62.50,68.90,19500
PHDL,26-Dec-2014,72.00,72.34,72.00,72.34,1500
PHDL,29-Dec-2014,75.80,75.95,75.80,75.95,1500
PHDL,06-Jan-2015,75.90,79.74,75.90,79.50,9000
PHDL,07-Jan-2015,83.41,83.47,75.65,83.47,16500
PHDL,08-Jan-2015,87.64,87.64,85.00,85.00,11000
PHDL,09-Jan-2015,81.50,89.00,81.50,89.00,1000
PHDL,12-Jan-2015,93.45,93.45,93.45,93.45,9500
PHDL,21-Jan-2015,88.78,88.78,88.78,88.78,500
PHDL,26-Jan-2015,84.35,84.35,84.35,84.35,500
PHDL,28-Jan-2015,80.14,80.14,80.14,80.14,500
PHDL,11-Feb-2015,84.14,84.14,84.14,84.14,4500
PHDL,12-Feb-2015,88.34,88.34,88.34,88.34,1000
PHDL,16-Feb-2015,88.10,88.10,88.10,88.10,500
PHDL,17-Feb-2015,92.46,92.47,92.46,92.47,1000
PHDL,18-Feb-2015,93.95,93.95,93.95,93.95,3000
PHDL,23-Feb-2015,93.00,93.00,93.00,93.00,1500
PHDL,25-Feb-2015,85.00,85.00,84.55,84.55,4500
PHDL,27-Feb-2015,83.50,83.50,83.50,83.50,500
PHDL,18-Mar-2015,79.33,79.33,79.33,79.33,2000
PHDL,24-Mar-2015,75.40,83.29,75.40,83.29,5500
PHDL,31-Mar-2015,80.10,87.45,80.00,87.44,11500
PHDL,01-Apr-2015,86.00,88.50,85.90,88.50,5500
PHDL,02-Apr-2015,84.10,84.10,84.10,84.10,3000
PHDL,07-Apr-2015,88.25,88.25,87.95,87.95,1000
PHDL,08-Apr-2015,92.00,92.34,92.00,92.34,4000
PHDL,09-Apr-2015,96.95,96.95,96.95,96.95,1500
PHDL,10-Apr-2015,101.79,101.79,101.75,101.79,8500
PHDL,13-Apr-2015,105.99,105.99,105.99,105.99,4500
PHDL,14-Apr-2015,109.80,109.99,109.80,109.99,2000
PHDL,16-Apr-2015,104.50,104.50,104.50,104.50,6500
PHDL,17-Apr-2015,99.28,103.70,99.28,99.28,2500
PHDL,22-Apr-2015,103.50,103.75,103.50,103.75,2000
PHDL,16-Jun-2015,95.00,99.94,94.88,95.51,9000
PHDL,17-Jun-2015,90.74,90.75,90.74,90.74,2500
PHDL,23-Jun-2015,92.92,92.92,92.00,92.00,1000
PHDL,09-Jul-2015,93.92,93.93,93.92,93.93,1000
PHDL,15-Jul-2015,90.00,95.95,90.00,95.95,1500
PHDL,03-Aug-2015,91.16,91.16,91.16,91.16,1000
PHDL,17-Aug-2015,92.00,92.00,92.00,92.00,5500
PHDL,26-Aug-2015,91.91,92.00,91.91,92.00,1500
PHDL,28-Aug-2015,94.94,96.60,94.94,95.85,2000
PHDL,01-Sep-2015,91.06,91.06,91.06,91.06,500
PHDL,02-Sep-2015,95.61,95.61,95.61,95.61,1000
PHDL,03-Sep-2015,99.90,100.39,99.90,100.39,7500
PHDL,04-Sep-2015,101.00,101.00,101.00,101.00,1500
PHDL,14-Sep-2015,101.00,101.00,101.00,101.00,500
PHDL,21-Sep-2015,106.00,106.00,106.00,106.00,500
PHDL,12-Oct-2015,104.00,104.00,104.00,104.00,500
PHDL,16-Oct-2015,108.00,108.00,108.00,108.00,500
PHDL,29-Oct-2015,99.00,99.00,99.00,99.00,500
PHDL,08-Dec-2015,99.99,99.99,99.99,99.99,500
PHDL,14-Dec-2015,103.90,104.98,103.90,104.98,2000
PHDL,15-Dec-2015,110.00,110.22,110.00,110.22,3000
