Symbol,Date,Open,High,Low,Close,Volume
PIAA,01-Jan-2014,8.50,8.55,8.33,8.40,2760500
PIAA,02-Jan-2014,8.40,8.49,8.30,8.38,2794500
PIAA,03-Jan-2014,8.25,8.72,8.25,8.46,7177500
PIAA,06-Jan-2014,8.71,9.46,8.71,9.19,38049000
PIAA,07-Jan-2014,9.23,9.69,8.85,9.55,28439500
PIAA,08-Jan-2014,9.70,9.88,9.53,9.63,17868000
PIAA,09-Jan-2014,10.55,10.55,9.81,9.97,37630500
PIAA,10-Jan-2014,10.00,10.05,9.70,9.80,11089500
PIAA,13-Jan-2014,9.85,9.88,9.57,9.61,4839000
PIAA,15-Jan-2014,9.56,9.99,9.35,9.45,10595000
PIAA,16-Jan-2014,9.41,9.55,9.16,9.21,4954000
PIAA,17-Jan-2014,9.30,9.47,9.20,9.29,3241500
PIAA,20-Jan-2014,9.35,9.82,9.31,9.69,13506500
PIAA,21-Jan-2014,9.74,9.82,9.47,9.73,6934500
PIAA,22-Jan-2014,10.01,10.23,9.80,9.85,17821000
PIAA,23-Jan-2014,9.89,9.97,9.53,9.59,3615000
PIAA,24-Jan-2014,9.65,9.67,9.40,9.48,2051500
PIAA,27-Jan-2014,9.50,9.86,9.10,9.64,7838000
PIAA,28-Jan-2014,9.64,10.05,9.55,9.85,8518500
PIAA,29-Jan-2014,10.15,10.20,9.42,9.59,9878500
PIAA,30-Jan-2014,9.53,9.60,9.31,9.37,3294000
PIAA,31-Jan-2014,9.31,9.47,9.16,9.22,2253500
PIAA,03-Feb-2014,9.30,9.40,9.24,9.27,1443000
PIAA,04-Feb-2014,9.39,9.57,9.30,9.38,4444500
PIAA,06-Feb-2014,9.45,9.57,9.30,9.33,2290500
PIAA,07-Feb-2014,9.33,9.44,9.10,9.17,2425500
PIAA,10-Feb-2014,9.16,9.25,8.65,8.79,4618000
PIAA,11-Feb-2014,8.80,9.14,8.79,8.93,3677000
PIAA,12-Feb-2014,9.01,9.15,8.89,9.05,2085500
