Symbol,Date,Open,High,Low,Close,Volume
PIAB,15-Jan-2014,6.42,6.42,6.42,5.42,500
PIAB,29-Dec-2015,3.80,3.80,3.80,3.80,500
PIAB,17-Jun-2020,2.80,4.80,2.80,4.80,1000
PIAB,18-Nov-2020,5.80,5.80,5.80,5.80,500
PIAB,20-Nov-2020,4.80,6.80,4.80,6.80,1000
PIAB,24-Nov-2020,7.80,7.80,7.80,7.80,1000
PIAB,09-Dec-2020,15.85,18.41,15.85,18.41,1000
PIAB,10-Dec-2020,19.79,19.79,19.79,19.79,500
PIAB,18-Dec-2020,27.24,27.24,27.24,27.24,500
PIAB,08-Feb-2022,76.16,76.16,76.16,76.16,1000
PIAB,11-Mar-2024,70.45,81.87,70.45,81.87,2000
