Symbol,Date,Open,High,Low,Close,Volume
PIBTL,01-Jan-2014,19.66,19.66,19.66,19.66,500
PIBTL,27-Jan-2014,44.25,44.25,44.25,44.25,210500
PIBTL,28-Jan-2014,46.46,46.46,46.00,46.45,455500
PIBTL,29-Jan-2014,48.77,48.77,48.00,48.77,538000
PIBTL,30-Jan-2014,51.00,51.00,46.34,46.37,715000
PIBTL,31-Jan-2014,46.49,46.49,44.06,44.12,560500
PIBTL,03-Feb-2014,44.00,46.32,43.12,44.77,620500
PIBTL,04-Feb-2014,44.00,45.90,44.00,44.85,151000
PIBTL,06-Feb-2014,45.48,46.50,43.50,44.46,165000
PIBTL,07-Feb-2014,44.99,45.34,44.50,44.84,108500
PIBTL,10-Feb-2014,45.00,45.25,43.02,44.02,233000
PIBTL,11-Feb-2014,44.10,45.90,44.10,45.20,179500
PIBTL,12-Feb-2014,45.80,47.46,45.65,47.46,191000
PIBTL,13-Feb-2014,49.69,49.83,48.90,49.83,265500
PIBTL,14-Feb-2014,51.50,52.32,51.05,52.32,139000
PIBTL,17-Feb-2014,54.93,54.93,54.93,54.93,2000
PIBTL,18-Feb-2014,57.67,57.67,57.67,57.67,13000
PIBTL,19-Feb-2014,60.55,60.55,56.50,60.55,421000
PIBTL,20-Feb-2014,63.57,63.57,63.57,63.57,119000
PIBTL,21-Feb-2014,65.97,66.74,60.75,61.52,696000
PIBTL,24-Feb-2014,61.02,64.59,59.50,59.88,697500
PIBTL,25-Feb-2014,60.00,60.30,57.00,57.27,161500
PIBTL,26-Feb-2014,57.50,59.90,55.80,56.14,221500
PIBTL,27-Feb-2014,56.00,56.90,53.34,53.34,182500
PIBTL,28-Feb-2014,51.62,52.50,50.70,50.97,136000
PIBTL,03-Mar-2014,51.88,52.49,50.22,50.49,68000
PIBTL,04-Mar-2014,50.75,52.89,50.50,51.65,217000
PIBTL,05-Mar-2014,51.90,54.23,51.70,54.23,278000
PIBTL,06-Mar-2014,55.24,56.94,55.24,56.94,70500
PIBTL,07-Mar-2014,59.50,59.78,58.25,59.78,286000
PIBTL,10-Mar-2014,60.66,61.75,56.80,56.81,453000
PIBTL,11-Mar-2014,56.80,59.65,55.50,59.65,230500
PIBTL,12-Mar-2014,61.89,61.89,59.60,60.49,343000
PIBTL,13-Mar-2014,61.40,61.40,59.05,60.74,102500
PIBTL,14-Mar-2014,60.75,63.77,60.75,61.66,689500
PIBTL,17-Mar-2014,62.50,63.51,61.15,61.56,301000
PIBTL,18-Mar-2014,61.43,64.63,61.43,63.87,1076500
PIBTL,19-Mar-2014,64.10,67.06,64.10,66.94,1765000
PIBTL,20-Mar-2014,68.30,69.00,64.88,65.78,740500
PIBTL,21-Mar-2014,65.89,67.25,65.40,65.97,250500
PIBTL,24-Mar-2014,66.90,69.26,66.00,69.26,655500
PIBTL,25-Mar-2014,70.80,72.72,70.80,72.72,640500
PIBTL,26-Mar-2014,74.05,76.35,74.00,76.35,440000
PIBTL,27-Mar-2014,80.16,80.16,73.00,74.61,1120000
PIBTL,28-Mar-2014,76.75,76.75,70.88,70.94,773500
PIBTL,31-Mar-2014,69.16,70.10,67.40,67.46,231500
PIBTL,01-Apr-2014,66.00,69.74,65.55,68.40,188500
PIBTL,02-Apr-2014,68.11,71.82,68.10,71.82,153000
PIBTL,03-Apr-2014,74.99,75.41,74.50,75.41,72500
PIBTL,04-Apr-2014,79.18,79.18,79.18,79.18,151000
PIBTL,07-Apr-2014,83.13,83.13,83.13,83.13,17500
PIBTL,08-Apr-2014,87.28,87.28,80.60,83.25,905000
PIBTL,09-Apr-2014,83.75,87.41,82.00,87.41,263500
PIBTL,10-Apr-2014,91.78,91.78,91.78,91.78,16500
PIBTL,11-Apr-2014,96.00,96.36,92.00,96.16,1073500
PIBTL,14-Apr-2014,100.96,100.96,100.96,100.96,56500
PIBTL,15-Apr-2014,106.00,106.00,106.00,106.00,4000
PIBTL,16-Apr-2014,111.30,111.30,111.30,111.30,5000
PIBTL,17-Apr-2014,116.86,116.86,116.86,116.86,500
PIBTL,18-Apr-2014,122.70,122.70,122.70,122.70,543000
PIBTL,21-Apr-2014,128.83,128.83,128.83,128.83,267000
PIBTL,22-Apr-2014,135.27,135.27,127.00,135.27,1296000
PIBTL,23-Apr-2014,139.00,142.03,137.50,142.03,915000
PIBTL,24-Apr-2014,143.99,145.99,135.01,136.26,1084000
PIBTL,25-Apr-2014,20.08,20.08,20.08,20.08,8000
PIBTL,28-Apr-2014,21.08,21.08,21.08,21.08,500
PIBTL,29-Apr-2014,22.13,22.13,22.13,22.13,500
PIBTL,30-Apr-2014,23.23,23.23,23.23,23.23,1000
PIBTL,02-May-2014,24.39,24.39,24.39,24.39,78000
PIBTL,05-May-2014,25.60,25.60,25.60,25.60,18500
PIBTL,06-May-2014,26.88,26.88,26.88,26.88,27500
PIBTL,07-May-2014,28.22,28.22,28.22,28.22,36500
PIBTL,08-May-2014,29.63,29.63,29.63,29.63,686000
PIBTL,09-May-2014,31.11,31.11,31.11,31.11,87500
PIBTL,12-May-2014,32.66,32.66,29.56,29.62,2781000
PIBTL,13-May-2014,28.75,28.80,28.14,28.14,269500
PIBTL,14-May-2014,26.74,26.74,26.74,26.74,18500
PIBTL,15-May-2014,25.41,25.41,25.41,25.41,26000
PIBTL,16-May-2014,25.01,26.68,25.01,26.68,1050000
PIBTL,19-May-2014,28.01,28.01,27.50,28.01,1094500
PIBTL,20-May-2014,28.44,29.20,27.40,28.54,1179500
PIBTL,21-May-2014,28.45,28.45,27.21,27.89,430000
PIBTL,22-May-2014,27.80,27.91,26.85,27.13,443000
PIBTL,23-May-2014,27.05,28.48,25.78,25.87,1161500
PIBTL,26-May-2014,25.75,25.98,24.58,24.58,333500
PIBTL,27-May-2014,23.91,24.00,23.36,23.36,195000
PIBTL,28-May-2014,22.60,24.52,22.60,24.38,1352500
PIBTL,29-May-2014,24.70,25.01,24.35,24.67,437500
PIBTL,30-May-2014,24.31,24.67,23.75,24.10,257000
PIBTL,02-Jun-2014,23.85,25.19,23.85,24.10,466000
PIBTL,03-Jun-2014,24.30,24.65,22.90,23.41,390500
PIBTL,04-Jun-2014,23.45,24.20,23.03,23.39,195500
PIBTL,05-Jun-2014,23.99,24.18,23.50,23.68,375500
PIBTL,06-Jun-2014,23.90,24.86,23.85,24.86,517000
PIBTL,09-Jun-2014,26.10,26.10,26.10,26.10,84500
PIBTL,10-Jun-2014,27.40,27.40,25.92,27.40,2603000
PIBTL,11-Jun-2014,28.00,28.77,27.50,28.77,1480000
PIBTL,12-Jun-2014,29.98,30.20,29.11,30.04,1467000
PIBTL,13-Jun-2014,30.80,31.54,30.50,31.54,1873500
PIBTL,16-Jun-2014,33.11,33.11,33.11,33.11,160500
PIBTL,17-Jun-2014,34.76,34.76,34.76,34.76,351000
PIBTL,18-Jun-2014,36.49,36.49,33.03,33.03,2126500
PIBTL,19-Jun-2014,31.38,31.38,31.38,31.38,15000
PIBTL,20-Jun-2014,29.82,29.82,29.82,29.82,26000
PIBTL,23-Jun-2014,28.33,31.31,28.33,31.31,1102000
PIBTL,24-Jun-2014,32.15,32.87,31.80,32.70,1089500
PIBTL,25-Jun-2014,33.20,33.40,31.07,32.32,2217500
PIBTL,26-Jun-2014,31.80,32.79,31.52,32.02,937500
PIBTL,27-Jun-2014,31.80,32.15,30.80,31.03,403500
PIBTL,30-Jun-2014,30.25,30.79,29.48,29.48,480000
PIBTL,01-Jul-2014,28.71,30.20,28.70,29.28,301500
PIBTL,02-Jul-2014,29.02,29.35,27.82,28.04,503000
PIBTL,03-Jul-2014,28.25,29.44,28.25,29.44,378500
PIBTL,04-Jul-2014,30.45,30.91,30.00,30.91,449000
PIBTL,07-Jul-2014,31.89,32.00,29.65,30.15,732000
PIBTL,08-Jul-2014,29.50,30.23,29.26,29.42,340000
PIBTL,09-Jul-2014,29.75,29.78,28.50,28.71,244000
PIBTL,10-Jul-2014,28.85,28.90,27.64,27.77,715500
PIBTL,11-Jul-2014,27.51,27.95,27.00,27.40,396000
PIBTL,14-Jul-2014,26.03,26.03,26.03,26.03,121000
PIBTL,15-Jul-2014,24.73,24.73,24.73,24.73,116500
PIBTL,16-Jul-2014,23.50,23.50,23.50,23.50,67500
PIBTL,17-Jul-2014,23.12,24.67,23.12,24.62,8210000
PIBTL,18-Jul-2014,25.10,25.19,24.00,24.58,3916000
PIBTL,21-Jul-2014,24.40,24.55,23.40,23.80,2875500
PIBTL,22-Jul-2014,23.95,24.40,23.45,24.15,2385500
PIBTL,23-Jul-2014,24.80,25.35,24.57,25.35,6525000
PIBTL,24-Jul-2014,25.51,25.94,24.61,24.77,4244500
PIBTL,28-Jul-2014,24.60,24.65,24.00,24.47,1244500
PIBTL,04-Aug-2014,24.00,24.00,23.25,23.25,1148500
PIBTL,05-Aug-2014,22.80,23.50,22.61,22.94,2402500
PIBTL,06-Aug-2014,23.00,23.40,22.62,23.09,3109500
PIBTL,07-Aug-2014,23.02,24.24,22.66,24.05,5625000
PIBTL,08-Aug-2014,23.91,24.09,23.40,23.51,2106500
PIBTL,11-Aug-2014,22.34,22.34,22.34,22.34,102500
PIBTL,12-Aug-2014,21.60,22.34,21.25,21.55,4735000
PIBTL,13-Aug-2014,21.49,22.25,21.21,21.61,2962000
PIBTL,15-Aug-2014,21.88,22.05,21.50,21.73,3025500
PIBTL,18-Aug-2014,21.51,21.85,21.31,21.44,2320000
PIBTL,19-Aug-2014,20.85,21.15,20.37,20.53,3516500
PIBTL,20-Aug-2014,20.45,20.99,20.06,20.49,2905500
PIBTL,21-Aug-2014,21.00,21.30,20.40,20.62,3555500
PIBTL,22-Aug-2014,20.70,21.10,20.70,20.88,1391000
PIBTL,25-Aug-2014,20.88,21.20,20.66,20.84,2175000
PIBTL,26-Aug-2014,20.70,20.81,20.31,20.46,1026000
PIBTL,27-Aug-2014,20.40,20.45,19.56,19.98,1621000
PIBTL,28-Aug-2014,19.70,20.10,19.30,19.93,1618000
PIBTL,29-Aug-2014,20.70,20.93,20.01,20.36,2676500
PIBTL,01-Sep-2014,19.83,20.64,19.65,20.36,1684000
PIBTL,02-Sep-2014,20.40,21.37,20.40,21.37,2967000
PIBTL,03-Sep-2014,21.60,22.43,21.40,22.39,5711500
PIBTL,04-Sep-2014,22.55,23.28,22.05,22.66,4985500
PIBTL,05-Sep-2014,22.60,22.86,22.03,22.14,2530500
PIBTL,08-Sep-2014,22.10,22.25,21.60,21.65,2225500
PIBTL,09-Sep-2014,21.64,22.05,21.60,21.64,1396000
PIBTL,10-Sep-2014,21.62,21.70,21.25,21.30,989000
PIBTL,11-Sep-2014,21.37,21.99,21.13,21.67,2462000
PIBTL,12-Sep-2014,21.70,22.24,21.15,21.74,3231500
PIBTL,15-Sep-2014,21.49,21.60,21.06,21.16,1552500
PIBTL,16-Sep-2014,21.20,21.32,20.73,20.77,1796000
PIBTL,17-Sep-2014,20.90,20.93,20.50,20.55,904000
PIBTL,18-Sep-2014,20.51,20.85,20.30,20.49,1376500
PIBTL,19-Sep-2014,20.65,20.78,20.32,20.60,1014500
PIBTL,22-Sep-2014,20.69,21.59,20.69,21.32,2837000
PIBTL,23-Sep-2014,21.36,22.28,21.00,22.12,5771000
PIBTL,24-Sep-2014,22.39,22.45,21.69,21.74,3318500
PIBTL,25-Sep-2014,21.70,21.75,21.22,21.31,1608000
PIBTL,26-Sep-2014,21.49,21.58,21.00,21.03,1360000
PIBTL,29-Sep-2014,21.03,21.24,20.51,20.61,939000
PIBTL,30-Sep-2014,20.66,21.00,20.65,20.85,710000
PIBTL,01-Oct-2014,21.00,21.24,20.62,20.75,786000
PIBTL,02-Oct-2014,20.70,21.08,20.62,20.67,768500
PIBTL,03-Oct-2014,20.85,21.35,20.75,21.08,2634500
PIBTL,09-Oct-2014,21.28,21.90,20.91,21.56,4172500
PIBTL,10-Oct-2014,21.72,22.15,21.50,21.80,4992500
PIBTL,13-Oct-2014,22.21,22.45,21.99,22.05,3850000
PIBTL,14-Oct-2014,22.18,22.24,21.50,21.62,1548000
PIBTL,15-Oct-2014,21.66,22.07,21.38,21.45,2410500
PIBTL,16-Oct-2014,21.52,22.52,21.33,22.52,5402500
PIBTL,17-Oct-2014,23.01,23.64,22.90,23.64,3669000
PIBTL,20-Oct-2014,23.99,23.99,22.46,22.63,6889500
PIBTL,21-Oct-2014,22.74,23.12,22.10,22.61,4518000
PIBTL,22-Oct-2014,22.70,22.99,22.31,22.42,1536500
PIBTL,23-Oct-2014,22.51,22.65,22.15,22.21,1526000
PIBTL,24-Oct-2014,22.40,22.75,21.68,21.77,3170500
PIBTL,27-Oct-2014,21.65,22.25,21.61,21.94,997000
PIBTL,28-Oct-2014,22.01,22.90,22.01,22.41,3102000
PIBTL,29-Oct-2014,22.70,22.74,22.05,22.14,763000
PIBTL,30-Oct-2014,22.25,22.25,21.87,21.91,897500
PIBTL,31-Oct-2014,22.00,22.42,21.91,22.20,1766000
PIBTL,05-Nov-2014,22.30,22.90,22.10,22.51,2626500
PIBTL,06-Nov-2014,22.62,22.85,22.20,22.27,2951500
PIBTL,07-Nov-2014,22.35,22.65,22.26,22.34,2419000
PIBTL,10-Nov-2014,22.64,23.45,22.50,23.30,23205500
PIBTL,11-Nov-2014,23.50,23.50,22.75,22.79,7476000
PIBTL,12-Nov-2014,22.89,23.39,22.80,23.05,5620000
PIBTL,13-Nov-2014,23.25,24.20,22.80,23.91,20171000
PIBTL,14-Nov-2014,24.15,24.50,23.60,23.72,8140000
PIBTL,17-Nov-2014,23.84,24.40,23.65,24.25,6057500
PIBTL,18-Nov-2014,24.40,25.34,24.23,25.04,14124000
PIBTL,19-Nov-2014,25.39,26.08,24.95,25.51,13534500
PIBTL,20-Nov-2014,25.70,25.88,24.70,24.78,7858500
PIBTL,21-Nov-2014,24.85,25.78,24.85,25.39,6097500
PIBTL,24-Nov-2014,25.57,26.24,25.25,25.92,7448500
PIBTL,25-Nov-2014,26.00,26.28,25.62,25.84,3410500
PIBTL,26-Nov-2014,26.09,26.40,25.90,26.16,5341500
PIBTL,27-Nov-2014,26.27,26.60,25.56,25.90,7505500
PIBTL,28-Nov-2014,25.51,25.72,24.61,24.61,6914000
PIBTL,01-Dec-2014,24.30,25.09,23.62,24.88,8853000
PIBTL,02-Dec-2014,25.10,26.10,25.10,25.70,9031000
PIBTL,03-Dec-2014,25.89,26.01,25.35,25.44,3486000
PIBTL,04-Dec-2014,25.74,25.95,25.29,25.36,3884500
PIBTL,05-Dec-2014,25.60,25.82,25.26,25.55,2788500
PIBTL,08-Dec-2014,25.56,25.80,25.21,25.27,1663000
PIBTL,09-Dec-2014,25.30,25.65,25.15,25.53,1796500
PIBTL,10-Dec-2014,25.74,25.83,25.05,25.13,2481500
PIBTL,11-Dec-2014,25.35,25.49,24.65,24.92,2368000
PIBTL,12-Dec-2014,24.85,25.20,24.56,24.81,1318000
PIBTL,15-Dec-2014,24.97,25.25,24.80,24.99,1040000
PIBTL,16-Dec-2014,25.00,25.19,24.26,24.42,1746500
PIBTL,17-Dec-2014,24.85,24.90,24.05,24.24,759000
PIBTL,18-Dec-2014,24.68,25.00,24.30,24.40,990500
PIBTL,19-Dec-2014,24.46,24.58,24.24,24.29,547500
PIBTL,22-Dec-2014,24.35,24.59,24.10,24.37,820000
PIBTL,23-Dec-2014,24.53,25.05,24.41,24.65,2251500
PIBTL,24-Dec-2014,24.76,25.15,24.60,24.81,2476500
PIBTL,26-Dec-2014,24.95,24.98,24.65,24.73,813500
PIBTL,29-Dec-2014,24.96,25.05,24.51,24.58,820000
PIBTL,30-Dec-2014,24.62,24.81,24.45,24.63,511000
PIBTL,31-Dec-2014,24.62,24.95,24.60,24.69,1158500
PIBTL,01-Jan-2015,24.70,25.18,24.70,25.03,1517500
PIBTL,02-Jan-2015,25.10,26.28,25.10,26.28,9114500
PIBTL,05-Jan-2015,26.74,27.59,26.40,27.59,7532500
PIBTL,06-Jan-2015,28.09,28.96,27.80,28.96,5846000
PIBTL,07-Jan-2015,30.40,30.40,30.00,30.40,3304000
PIBTL,08-Jan-2015,31.92,31.92,31.92,31.92,172000
PIBTL,09-Jan-2015,33.51,33.51,33.51,33.51,79500
PIBTL,12-Jan-2015,34.50,35.18,31.90,35.18,26635000
PIBTL,13-Jan-2015,35.20,36.93,34.15,36.93,14980500
PIBTL,14-Jan-2015,37.50,38.77,37.01,38.05,16641000
PIBTL,15-Jan-2015,37.80,39.45,37.20,38.23,13745000
PIBTL,16-Jan-2015,38.20,38.90,37.55,37.72,7025500
PIBTL,19-Jan-2015,38.00,38.25,35.95,36.36,9266000
PIBTL,20-Jan-2015,36.35,37.49,35.32,36.93,12474500
PIBTL,21-Jan-2015,37.35,38.32,37.21,37.51,10805000
PIBTL,22-Jan-2015,37.70,38.24,36.25,36.67,7861500
PIBTL,23-Jan-2015,36.71,36.93,35.75,36.02,5534000
PIBTL,26-Jan-2015,37.50,37.50,36.31,36.45,6363000
PIBTL,27-Jan-2015,36.70,37.98,36.61,36.99,17478500
PIBTL,28-Jan-2015,36.94,37.20,36.25,36.43,6455500
PIBTL,29-Jan-2015,36.56,36.85,36.01,36.18,5671000
PIBTL,30-Jan-2015,36.00,37.25,36.00,36.84,12193500
PIBTL,02-Feb-2015,37.25,38.42,37.20,38.23,22202000
PIBTL,03-Feb-2015,38.65,40.14,38.65,40.14,34731000
PIBTL,04-Feb-2015,41.09,42.14,40.63,41.07,33085500
PIBTL,06-Feb-2015,41.49,42.39,41.38,41.57,17482500
PIBTL,09-Feb-2015,42.20,42.85,41.81,42.01,14453500
PIBTL,10-Feb-2015,42.49,42.50,39.91,40.59,17887000
PIBTL,11-Feb-2015,41.00,41.32,39.53,39.93,16368500
PIBTL,12-Feb-2015,39.89,39.95,37.94,38.02,15979000
PIBTL,13-Feb-2015,38.29,38.70,37.40,37.76,11512000
PIBTL,16-Feb-2015,37.98,38.24,36.50,36.84,5342000
PIBTL,17-Feb-2015,36.85,37.80,35.91,36.53,11029000
PIBTL,18-Feb-2015,36.90,36.93,35.65,36.19,5844500
PIBTL,19-Feb-2015,36.05,37.99,36.05,37.99,10304500
PIBTL,20-Feb-2015,38.53,39.28,38.00,38.56,14712000
PIBTL,23-Feb-2015,38.80,38.88,36.80,37.03,7981500
PIBTL,24-Feb-2015,36.90,37.00,36.00,36.19,4856000
PIBTL,25-Feb-2015,36.31,37.10,35.06,35.51,7325500
PIBTL,26-Feb-2015,35.51,37.25,35.51,36.19,11576000
PIBTL,27-Feb-2015,36.49,36.49,34.39,34.39,6971000
PIBTL,02-Mar-2015,34.00,34.18,32.68,33.16,9971500
PIBTL,03-Mar-2015,33.55,34.65,32.10,34.05,10043500
PIBTL,04-Mar-2015,34.55,34.69,33.63,33.87,5892000
PIBTL,05-Mar-2015,33.89,34.59,33.50,33.69,5795500
PIBTL,06-Mar-2015,33.75,35.10,33.75,34.57,7471000
PIBTL,09-Mar-2015,34.80,35.25,34.56,34.83,4771500
PIBTL,10-Mar-2015,35.10,35.26,33.80,34.08,4629500
PIBTL,11-Mar-2015,33.40,34.25,32.80,33.93,6183500
PIBTL,12-Mar-2015,34.20,34.60,33.80,34.11,4536000
PIBTL,13-Mar-2015,34.30,34.70,34.23,34.41,3278500
PIBTL,16-Mar-2015,34.42,34.49,32.73,32.97,3634000
PIBTL,17-Mar-2015,33.00,33.40,32.00,32.59,4553500
