Symbol,Date,Open,High,Low,Close,Volume
PIM,16-Feb-2016,8.76,8.76,8.76,8.76,500
PIM,18-Aug-2016,2.00,2.00,2.00,2.00,1000
PIM,29-Aug-2016,2.00,2.00,2.00,2.00,1000
PIM,18-Oct-2016,3.00,3.00,3.00,3.00,500
PIM,19-Oct-2016,3.99,4.00,3.99,4.00,1000
PIM,21-Oct-2016,5.24,5.24,5.24,5.24,3000
PIM,24-Oct-2016,5.90,5.90,5.90,5.90,500
PIM,25-Oct-2016,6.00,6.00,6.00,6.00,500
PIM,01-Nov-2016,5.00,5.00,5.00,5.00,500
PIM,02-Nov-2016,5.00,5.00,4.00,4.00,1500
PIM,03-Nov-2016,3.25,3.25,3.25,3.25,500
PIM,11-Nov-2016,4.50,4.50,4.50,4.50,500
PIM,16-Nov-2016,5.50,5.50,5.50,5.50,10000
PIM,18-Nov-2016,5.25,5.25,4.50,4.50,1000
PIM,24-Nov-2016,3.50,3.50,3.50,3.50,2000
PIM,29-Nov-2016,3.57,4.50,3.55,4.50,6000
PIM,30-Nov-2016,4.00,4.00,4.00,4.00,500
PIM,02-Dec-2016,3.40,4.50,3.40,4.50,1000
PIM,09-Dec-2016,5.50,5.50,4.00,4.50,2000
PIM,21-Dec-2016,3.50,5.00,3.50,5.00,1000
PIM,22-Dec-2016,4.75,4.75,4.75,4.75,500
PIM,23-Dec-2016,4.01,4.10,4.01,4.10,1500
PIM,26-Dec-2016,4.55,4.55,4.55,4.55,500
PIM,27-Dec-2016,5.50,5.50,5.50,5.50,2000
PIM,29-Dec-2016,4.72,5.01,4.71,4.83,2500
PIM,30-Dec-2016,4.02,4.02,4.02,4.02,500
PIM,02-Jan-2017,4.90,5.02,4.90,5.02,3500
PIM,03-Jan-2017,4.51,4.51,4.51,4.51,500
PIM,05-Jan-2017,3.71,3.71,3.71,3.71,500
PIM,06-Jan-2017,4.70,4.70,4.70,4.70,1500
PIM,13-Jan-2017,3.81,3.81,3.81,3.81,500
PIM,24-Jan-2017,3.51,3.51,3.51,3.51,1000
PIM,30-Jan-2017,4.51,4.51,2.92,3.72,1000
