Symbol,Date,Open,High,Low,Close,Volume
PKGS,01-Jan-2014,273.00,273.00,270.00,270.92,13900
PKGS,02-Jan-2014,272.95,284.46,272.95,283.71,148700
PKGS,03-Jan-2014,286.00,290.00,280.00,288.06,78600
PKGS,06-Jan-2014,286.00,288.00,282.00,282.92,11000
PKGS,07-Jan-2014,283.99,288.90,282.00,286.21,59400
PKGS,08-Jan-2014,285.00,300.52,285.00,290.83,174300
PKGS,09-Jan-2014,292.90,295.80,291.10,292.40,33600
PKGS,10-Jan-2014,292.50,293.00,290.00,290.21,6200
PKGS,13-Jan-2014,290.00,290.15,286.50,287.68,14700
PKGS,15-Jan-2014,287.00,302.06,286.99,298.62,95300
PKGS,16-Jan-2014,306.00,311.90,300.00,305.54,57300
PKGS,17-Jan-2014,310.00,315.00,301.15,304.00,30000
PKGS,20-Jan-2014,300.00,314.60,300.00,305.26,143000
PKGS,21-Jan-2014,306.00,314.98,303.00,312.97,72200
PKGS,22-Jan-2014,314.50,320.80,311.00,317.08,64900
PKGS,23-Jan-2014,319.99,324.50,315.05,316.46,69800
PKGS,24-Jan-2014,314.00,316.00,310.00,310.53,14500
PKGS,27-Jan-2014,306.10,306.10,298.10,299.96,31000
PKGS,28-Jan-2014,304.99,310.00,304.99,308.65,55100
PKGS,29-Jan-2014,314.00,316.00,303.00,310.56,94300
PKGS,30-Jan-2014,314.00,326.08,310.00,326.08,292600
PKGS,31-Jan-2014,342.38,342.38,342.38,342.38,46900
PKGS,03-Feb-2014,359.49,359.49,332.15,336.72,267600
PKGS,04-Feb-2014,332.21,341.00,319.89,336.62,264900
PKGS,06-Feb-2014,339.80,342.99,330.00,332.66,51900
PKGS,07-Feb-2014,336.00,336.50,322.10,331.12,46300
PKGS,10-Feb-2014,331.99,331.99,314.57,319.08,59500
PKGS,11-Feb-2014,320.00,320.00,313.06,316.09,10600
PKGS,12-Feb-2014,316.00,322.25,316.00,321.33,53200
PKGS,13-Feb-2014,321.99,327.40,317.55,319.96,14000
PKGS,14-Feb-2014,320.00,330.00,312.00,319.14,26900
PKGS,17-Feb-2014,320.00,320.00,303.19,303.38,33500
PKGS,18-Feb-2014,302.00,305.00,297.00,303.87,54400
PKGS,19-Feb-2014,303.00,304.35,290.25,295.25,80700
PKGS,20-Feb-2014,291.15,295.00,291.00,292.52,19200
PKGS,21-Feb-2014,291.00,297.00,290.00,291.35,94500
PKGS,24-Feb-2014,294.00,295.90,290.00,291.00,4600
PKGS,25-Feb-2014,291.00,291.00,289.00,289.97,44100
PKGS,26-Feb-2014,288.00,295.00,285.00,290.40,38800
PKGS,27-Feb-2014,286.01,286.99,285.10,285.74,9200
PKGS,28-Feb-2014,290.00,300.02,283.00,297.63,28900
PKGS,03-Mar-2014,298.90,305.00,295.00,295.28,24500
PKGS,04-Mar-2014,292.00,310.04,292.00,309.78,113100
PKGS,05-Mar-2014,313.70,320.00,312.00,317.50,30900
PKGS,06-Mar-2014,324.00,324.00,316.80,317.10,37200
PKGS,07-Mar-2014,315.05,330.00,309.70,321.11,39500
PKGS,10-Mar-2014,322.10,324.76,315.15,320.13,11200
PKGS,11-Mar-2014,317.10,327.50,315.00,325.61,146100
PKGS,12-Mar-2014,325.00,327.50,320.60,320.79,8300
PKGS,13-Mar-2014,320.50,325.00,316.25,317.68,104000
PKGS,14-Mar-2014,315.50,326.00,315.00,318.03,51200
PKGS,17-Mar-2014,323.50,325.70,320.00,321.11,43200
PKGS,18-Mar-2014,323.90,335.40,323.90,328.58,170600
PKGS,19-Mar-2014,323.00,334.00,323.00,332.45,116400
PKGS,20-Mar-2014,334.89,337.00,328.01,332.31,73100
PKGS,21-Mar-2014,332.00,338.00,324.00,333.25,233400
PKGS,24-Mar-2014,330.05,330.05,325.10,327.05,6600
PKGS,25-Mar-2014,324.00,334.00,311.00,328.21,14800
PKGS,26-Mar-2014,330.00,341.77,330.00,338.50,95600
PKGS,27-Mar-2014,335.15,338.75,330.10,333.50,42400
PKGS,28-Mar-2014,337.99,339.00,332.50,335.71,7000
PKGS,31-Mar-2014,334.00,348.00,331.00,343.72,66900
PKGS,01-Apr-2014,345.00,360.90,343.05,360.90,215600
PKGS,02-Apr-2014,366.00,378.94,366.00,376.47,400400
PKGS,03-Apr-2014,379.80,381.99,372.10,373.76,272400
