Symbol,Date,Open,High,Low,Close,Volume
PMRS,01-Jan-2014,72.50,74.97,72.50,74.97,8500
PMRS,02-Jan-2014,78.71,78.71,78.71,78.71,4000
PMRS,03-Jan-2014,82.60,82.60,74.78,74.78,1500
PMRS,06-Jan-2014,71.05,76.99,71.05,71.05,10500
PMRS,07-Jan-2014,72.00,74.60,72.00,74.60,14000
PMRS,13-Jan-2014,75.40,77.99,75.40,77.87,5000
PMRS,15-Jan-2014,81.76,81.76,81.76,77.87,2000
PMRS,20-Jan-2014,81.76,81.76,81.76,81.76,1000
PMRS,21-Jan-2014,81.75,85.84,81.75,85.82,12500
PMRS,22-Jan-2014,90.11,90.11,90.00,90.11,19500
PMRS,23-Jan-2014,94.61,94.61,94.61,94.61,500
PMRS,24-Jan-2014,99.25,99.30,99.25,99.28,1000
PMRS,27-Jan-2014,99.00,103.49,98.50,103.42,3000
PMRS,28-Jan-2014,101.00,101.00,101.00,101.00,11000
PMRS,29-Jan-2014,106.05,106.05,106.05,101.00,1000
PMRS,03-Feb-2014,94.00,94.00,94.00,95.99,500
PMRS,13-Feb-2014,83.60,83.60,83.60,83.60,4000
PMRS,14-Feb-2014,79.42,79.42,79.42,79.42,500
PMRS,12-Mar-2014,75.24,75.24,75.24,75.24,500
PMRS,03-Apr-2014,77.22,77.22,77.22,77.22,500
PMRS,10-Apr-2014,68.10,68.10,68.10,68.10,500
PMRS,16-Apr-2014,71.25,71.50,71.25,71.38,1000
PMRS,17-Apr-2014,67.82,67.82,67.82,67.82,500
PMRS,18-Apr-2014,66.00,71.19,66.00,71.10,2000
PMRS,22-Apr-2014,74.50,74.60,74.50,74.55,1000
PMRS,23-Apr-2014,70.83,74.59,70.83,74.55,1500
PMRS,09-May-2014,70.83,70.83,70.83,70.83,500
PMRS,12-May-2014,67.32,71.99,67.32,71.95,2500
PMRS,22-May-2014,68.52,68.52,68.51,68.51,3500
PMRS,23-May-2014,65.09,70.99,65.09,68.99,6000
PMRS,26-May-2014,65.55,67.99,65.55,67.95,1500
PMRS,27-May-2014,64.56,67.49,64.56,67.45,1500
PMRS,28-May-2014,64.08,64.08,64.08,64.08,500
PMRS,29-May-2014,62.00,62.00,62.00,62.00,500
PMRS,17-Jun-2014,62.00,62.00,62.00,62.00,3500
PMRS,19-Jun-2014,65.10,65.10,65.10,65.10,500
PMRS,23-Jun-2014,61.85,61.85,61.85,61.85,500
PMRS,25-Jun-2014,64.94,64.94,64.94,64.94,7000
PMRS,21-Jul-2014,68.00,68.15,68.00,68.08,1000
PMRS,21-Aug-2014,64.71,64.71,64.71,64.71,1500
PMRS,04-Sep-2014,67.90,67.94,67.90,67.92,1500
PMRS,11-Sep-2014,71.00,71.00,66.00,66.20,8000
PMRS,16-Sep-2014,69.20,69.35,69.20,69.28,3500
PMRS,17-Sep-2014,72.74,72.74,66.01,67.00,6500
PMRS,18-Sep-2014,70.00,70.35,69.00,70.35,4500
PMRS,19-Sep-2014,73.86,73.86,73.86,73.86,1000
PMRS,22-Sep-2014,73.85,77.55,73.85,77.55,13500
PMRS,23-Sep-2014,75.55,81.42,75.55,81.42,2000
PMRS,24-Sep-2014,80.00,80.00,78.00,78.38,5500
PMRS,01-Oct-2014,82.15,82.29,80.00,80.29,10000
PMRS,10-Oct-2014,76.31,76.31,76.28,76.28,3500
PMRS,13-Oct-2014,77.00,80.09,77.00,80.09,1500
PMRS,14-Oct-2014,84.09,84.09,78.00,79.00,2000
PMRS,15-Oct-2014,80.00,80.11,79.50,79.50,2500
PMRS,17-Oct-2014,80.10,83.47,80.00,83.47,17500
PMRS,20-Oct-2014,80.00,85.98,80.00,85.94,3500
PMRS,22-Oct-2014,89.85,89.94,89.85,89.90,1000
PMRS,23-Oct-2014,90.00,92.99,90.00,92.95,2500
PMRS,28-Oct-2014,88.31,94.00,88.31,94.00,4500
PMRS,30-Oct-2014,89.30,98.70,89.30,98.70,4000
PMRS,05-Nov-2014,99.90,99.90,93.77,93.77,1000
PMRS,11-Nov-2014,93.00,98.45,93.00,97.99,11000
PMRS,12-Nov-2014,102.50,102.50,102.00,102.00,1000
PMRS,13-Nov-2014,98.00,98.00,98.00,98.00,1500
PMRS,14-Nov-2014,102.90,102.90,98.00,98.00,1000
PMRS,17-Nov-2014,96.00,100.00,95.00,100.00,6500
