Symbol,Date,Open,High,Low,Close,Volume
PNSC,01-Jan-2014,86.00,88.33,85.25,88.17,476500
PNSC,02-Jan-2014,86.00,90.00,86.00,89.62,79500
PNSC,03-Jan-2014,90.00,90.99,89.00,90.07,25000
PNSC,06-Jan-2014,93.99,94.57,89.26,90.19,277500
PNSC,07-Jan-2014,90.50,93.90,88.90,92.18,176500
PNSC,08-Jan-2014,92.25,92.50,88.26,89.06,50500
PNSC,09-Jan-2014,90.50,90.50,87.25,87.25,26000
PNSC,10-Jan-2014,88.10,88.10,85.00,85.26,42000
PNSC,13-Jan-2014,84.00,87.20,84.00,86.25,5500
PNSC,15-Jan-2014,86.20,86.20,81.94,82.97,157000
PNSC,16-Jan-2014,85.00,85.85,82.00,84.23,619000
PNSC,17-Jan-2014,86.00,88.44,86.00,88.44,169000
PNSC,20-Jan-2014,89.15,92.86,89.00,91.60,367500
PNSC,21-Jan-2014,90.25,91.00,88.50,89.90,39500
PNSC,22-Jan-2014,90.00,90.00,87.00,87.75,24000
PNSC,23-Jan-2014,86.13,86.35,85.20,86.01,22000
PNSC,24-Jan-2014,83.41,86.74,83.25,85.00,29000
PNSC,27-Jan-2014,84.00,84.75,83.05,84.47,6000
PNSC,28-Jan-2014,82.26,82.60,82.10,82.51,9500
PNSC,29-Jan-2014,80.15,82.99,78.39,81.01,12000
PNSC,30-Jan-2014,79.25,80.00,78.75,80.00,26000
PNSC,31-Jan-2014,79.50,80.10,79.00,79.50,17500
PNSC,03-Feb-2014,79.90,80.00,79.90,80.00,2000
PNSC,04-Feb-2014,80.01,80.01,76.50,76.88,16000
PNSC,06-Feb-2014,77.00,78.99,76.00,78.98,19000
PNSC,07-Feb-2014,78.01,78.01,77.00,77.00,12000
PNSC,10-Feb-2014,75.98,75.98,73.15,73.15,56000
PNSC,11-Feb-2014,73.00,73.15,71.80,71.80,1500
PNSC,12-Feb-2014,75.00,75.39,74.99,75.39,8000
PNSC,13-Feb-2014,77.00,79.05,76.15,78.38,12500
PNSC,14-Feb-2014,75.20,75.30,75.00,75.15,6000
PNSC,17-Feb-2014,77.25,78.90,77.00,77.00,25500
PNSC,18-Feb-2014,74.05,74.05,73.15,73.15,20500
PNSC,19-Feb-2014,70.15,70.99,69.50,69.54,27500
PNSC,20-Feb-2014,69.50,70.00,68.55,69.52,14000
PNSC,21-Feb-2014,68.16,69.00,68.16,68.50,4000
PNSC,24-Feb-2014,68.12,69.78,68.10,68.10,4500
PNSC,25-Feb-2014,68.10,71.50,68.10,71.50,63500
PNSC,26-Feb-2014,70.50,71.00,69.01,71.00,32500
PNSC,27-Feb-2014,71.00,71.00,68.00,68.00,10000
PNSC,28-Feb-2014,70.00,70.50,70.00,70.25,1500
PNSC,03-Mar-2014,70.25,70.25,70.25,70.25,500
PNSC,04-Mar-2014,71.00,71.00,70.00,70.03,9000
PNSC,05-Mar-2014,71.00,71.00,71.00,71.00,500
PNSC,06-Mar-2014,72.00,72.90,72.00,72.00,6500
PNSC,07-Mar-2014,72.00,72.15,72.00,72.00,9500
PNSC,10-Mar-2014,75.60,75.60,75.60,75.60,36000
PNSC,11-Mar-2014,79.38,79.38,79.38,79.38,10000
PNSC,12-Mar-2014,83.30,83.34,80.51,81.06,37500
PNSC,14-Mar-2014,77.11,80.00,77.11,78.01,7500
PNSC,17-Mar-2014,77.50,77.50,77.01,77.01,2000
PNSC,18-Mar-2014,77.00,77.00,74.50,75.60,2500
PNSC,19-Mar-2014,74.50,74.50,74.50,74.50,500
PNSC,20-Mar-2014,74.12,76.98,73.26,76.98,5000
PNSC,21-Mar-2014,74.50,75.75,74.01,75.75,1500
PNSC,24-Mar-2014,74.99,75.00,73.25,74.17,2000
PNSC,25-Mar-2014,74.50,74.50,72.99,73.35,5000
PNSC,26-Mar-2014,73.25,75.00,73.25,73.86,22000
PNSC,27-Mar-2014,74.50,74.50,70.17,70.49,20000
PNSC,28-Mar-2014,70.00,70.50,69.90,69.95,2000
PNSC,31-Mar-2014,72.00,73.44,72.00,73.44,8500
PNSC,01-Apr-2014,73.70,74.00,73.50,74.00,2500
PNSC,02-Apr-2014,74.50,77.70,74.50,77.00,20500
PNSC,03-Apr-2014,78.50,80.85,78.35,79.00,36500
PNSC,04-Apr-2014,79.00,79.00,77.00,78.01,9000
PNSC,07-Apr-2014,79.88,80.00,79.88,79.96,12000
PNSC,08-Apr-2014,79.55,80.00,79.00,79.17,15000
PNSC,09-Apr-2014,79.99,80.00,79.00,79.00,4500
PNSC,10-Apr-2014,79.00,79.00,79.00,79.00,10000
PNSC,11-Apr-2014,78.00,79.35,75.36,79.35,10000
PNSC,14-Apr-2014,79.35,79.35,76.80,77.00,4000
PNSC,15-Apr-2014,75.00,78.90,74.00,75.41,75000
PNSC,16-Apr-2014,76.50,78.99,75.50,75.92,62500
PNSC,17-Apr-2014,78.39,78.39,74.30,74.44,28500
PNSC,18-Apr-2014,75.50,75.50,73.50,73.50,6000
PNSC,21-Apr-2014,72.00,72.00,72.00,72.00,7000
PNSC,22-Apr-2014,73.00,75.40,70.00,75.25,22000
PNSC,23-Apr-2014,76.00,76.05,73.00,73.00,27500
PNSC,24-Apr-2014,74.49,74.49,74.49,74.49,500
PNSC,25-Apr-2014,75.95,78.21,75.49,76.62,201500
PNSC,28-Apr-2014,77.00,77.85,73.70,74.14,40000
PNSC,29-Apr-2014,71.20,73.80,70.44,73.42,11000
PNSC,30-Apr-2014,74.05,74.15,73.98,73.98,2500
PNSC,02-May-2014,75.70,75.80,72.00,72.93,8500
PNSC,05-May-2014,74.80,74.90,71.20,71.20,6000
PNSC,06-May-2014,71.98,71.98,70.00,70.00,8500
PNSC,07-May-2014,73.30,73.40,73.30,73.40,3000
PNSC,08-May-2014,74.60,74.70,74.60,74.70,2000
PNSC,09-May-2014,76.00,76.10,71.03,72.02,17000
PNSC,12-May-2014,73.80,73.90,69.00,69.91,8000
PNSC,13-May-2014,70.80,71.88,70.00,70.10,15500
PNSC,14-May-2014,71.00,71.00,70.00,70.00,1500
PNSC,15-May-2014,71.50,72.00,71.50,72.00,4500
PNSC,16-May-2014,71.00,72.50,70.02,71.04,52000
PNSC,19-May-2014,72.90,72.99,70.60,70.76,5500
PNSC,20-May-2014,71.00,74.29,71.00,74.29,83500
PNSC,21-May-2014,75.99,77.99,73.00,73.94,56500
PNSC,22-May-2014,72.25,72.25,71.50,71.50,5500
PNSC,23-May-2014,72.00,73.90,70.55,70.80,32500
PNSC,26-May-2014,71.90,72.00,71.69,72.00,5500
PNSC,27-May-2014,72.00,72.85,71.25,71.25,4500
PNSC,28-May-2014,71.50,72.00,70.82,70.89,22500
PNSC,29-May-2014,71.00,74.35,71.00,72.48,62000
PNSC,30-May-2014,72.00,73.00,71.61,72.25,18500
PNSC,02-Jun-2014,73.00,74.99,72.00,72.73,45500
PNSC,03-Jun-2014,72.50,73.95,70.00,71.95,30500
PNSC,04-Jun-2014,74.00,75.00,72.22,72.85,30000
PNSC,05-Jun-2014,74.00,75.35,73.00,73.90,23500
PNSC,06-Jun-2014,74.00,75.00,73.00,73.20,36000
PNSC,09-Jun-2014,73.20,73.90,72.99,73.14,16000
PNSC,10-Jun-2014,73.01,74.00,73.00,73.05,19500
PNSC,11-Jun-2014,73.10,73.10,72.99,72.99,25500
PNSC,12-Jun-2014,72.00,72.90,72.00,72.00,3000
PNSC,13-Jun-2014,71.30,72.85,71.00,72.26,6500
PNSC,16-Jun-2014,73.99,73.99,71.50,72.50,14500
PNSC,17-Jun-2014,72.30,74.00,70.01,70.48,29500
PNSC,18-Jun-2014,70.25,72.45,69.00,72.45,36500
