Symbol,Date,Open,High,Low,Close,Volume
POWERPS,21-Sep-2020,10.30,10.49,10.05,10.06,197500
POWERPS,22-Sep-2020,10.00,10.14,10.00,10.00,533500
POWERPS,23-Sep-2020,10.00,10.03,10.00,10.00,660500
POWERPS,24-Sep-2020,10.01,10.15,10.00,10.02,2398000
POWERPS,25-Sep-2020,10.01,10.49,10.00,10.02,252500
POWERPS,28-Sep-2020,10.44,10.44,10.00,10.00,300500
POWERPS,29-Sep-2020,10.00,10.10,10.00,10.00,165500
POWERPS,30-Sep-2020,10.01,10.05,9.90,10.00,184500
POWERPS,01-Oct-2020,9.81,9.90,9.80,9.80,67000
POWERPS,02-Oct-2020,9.80,9.80,9.50,9.50,67500
POWERPS,05-Oct-2020,9.00,9.44,9.00,9.25,188500
POWERPS,06-Oct-2020,9.25,9.40,9.25,9.36,143000
POWERPS,07-Oct-2020,9.90,10.04,9.90,10.00,284000
POWERPS,08-Oct-2020,10.00,10.13,10.00,10.11,221000
POWERPS,09-Oct-2020,10.11,10.11,10.11,10.11,64500
POWERPS,12-Oct-2020,10.11,10.11,10.10,10.11,210000
POWERPS,13-Oct-2020,10.00,10.00,10.00,10.00,2000
POWERPS,14-Oct-2020,10.88,10.88,10.00,10.00,15000
POWERPS,15-Oct-2020,10.34,10.34,10.00,10.00,51000
POWERPS,19-Oct-2020,10.00,10.00,10.00,10.00,500
POWERPS,20-Oct-2020,10.02,10.02,10.02,10.02,500
POWERPS,21-Oct-2020,10.20,10.47,10.20,10.30,75500
POWERPS,22-Oct-2020,10.30,10.30,10.30,10.30,28500
POWERPS,23-Oct-2020,10.35,10.60,10.35,10.50,173000
POWERPS,26-Oct-2020,10.51,11.05,10.51,11.03,501500
POWERPS,27-Oct-2020,10.90,10.90,10.75,10.75,1500
POWERPS,28-Oct-2020,10.75,10.75,10.50,10.51,541000
POWERPS,29-Oct-2020,10.30,10.30,10.02,10.02,101000
POWERPS,02-Nov-2020,10.05,10.05,10.05,10.05,2000
POWERPS,03-Nov-2020,10.79,11.05,10.30,10.87,64000
POWERPS,04-Nov-2020,11.00,11.00,10.60,10.60,201500
POWERPS,06-Nov-2020,10.26,11.40,10.26,11.38,323500
POWERPS,09-Nov-2020,11.40,11.90,11.25,11.79,362500
POWERPS,10-Nov-2020,11.50,11.56,11.26,11.50,281000
POWERPS,11-Nov-2020,11.30,11.77,11.30,11.46,65500
POWERPS,12-Nov-2020,11.25,11.25,11.25,11.25,5000
POWERPS,13-Nov-2020,11.25,11.25,11.25,11.25,25000
POWERPS,16-Nov-2020,10.50,10.50,10.50,10.50,2000
POWERPS,17-Nov-2020,10.56,11.00,10.56,11.00,31500
POWERPS,18-Nov-2020,10.56,10.56,10.56,10.56,1500
POWERPS,19-Nov-2020,10.52,11.00,10.52,11.00,16500
POWERPS,20-Nov-2020,10.51,10.51,10.50,10.51,6500
