Symbol,Date,Open,High,Low,Close,Volume
PPL,01-Jan-2014,214.00,216.70,214.00,216.06,1139700
PPL,02-Jan-2014,216.50,219.45,216.50,218.05,2294100
PPL,03-Jan-2014,218.26,220.75,218.25,219.15,2891400
PPL,06-Jan-2014,219.70,221.35,218.95,219.34,1833600
PPL,07-Jan-2014,219.10,220.06,217.51,219.15,1362100
PPL,08-Jan-2014,219.48,220.28,218.50,218.57,1027800
PPL,09-Jan-2014,219.50,220.00,217.06,217.82,988400
PPL,10-Jan-2014,218.50,218.50,216.10,216.65,1311900
PPL,13-Jan-2014,217.01,217.24,216.10,216.58,557500
PPL,15-Jan-2014,216.60,218.94,216.60,217.48,1228000
PPL,16-Jan-2014,218.00,218.35,216.00,217.32,1066300
PPL,17-Jan-2014,217.45,218.80,217.10,218.19,1023000
PPL,20-Jan-2014,218.01,221.25,216.70,219.86,2843000
PPL,21-Jan-2014,220.51,222.69,220.50,221.11,1849000
PPL,22-Jan-2014,222.00,222.68,219.11,219.89,1164900
PPL,23-Jan-2014,220.25,220.90,218.55,219.09,1237600
PPL,24-Jan-2014,219.00,221.90,217.80,221.22,2974200
PPL,27-Jan-2014,221.50,222.85,219.00,219.61,2187100
PPL,28-Jan-2014,219.65,221.44,219.50,220.13,942600
PPL,29-Jan-2014,220.13,220.84,218.82,219.89,1922500
PPL,30-Jan-2014,220.00,220.50,218.52,218.84,1012400
PPL,31-Jan-2014,219.39,221.51,219.01,221.11,1660600
PPL,03-Feb-2014,221.99,223.90,220.11,223.40,1929500
PPL,04-Feb-2014,223.90,223.90,220.55,221.14,820900
PPL,06-Feb-2014,221.95,222.00,220.01,220.66,502500
PPL,07-Feb-2014,221.00,221.30,219.21,219.44,375000
PPL,10-Feb-2014,220.50,221.11,217.01,217.83,1088500
PPL,11-Feb-2014,218.90,219.00,216.75,217.03,553000
PPL,12-Feb-2014,218.80,220.55,217.70,220.05,1158800
PPL,13-Feb-2014,220.47,220.50,219.00,219.67,591900
PPL,14-Feb-2014,219.25,219.99,218.01,218.70,411800
PPL,17-Feb-2014,218.75,219.40,217.00,217.60,523600
PPL,18-Feb-2014,217.75,219.25,216.65,218.53,641100
PPL,19-Feb-2014,217.85,218.98,217.24,217.52,205700
PPL,20-Feb-2014,218.00,218.69,216.02,216.67,508400
PPL,21-Feb-2014,216.26,217.30,213.60,215.09,1143400
PPL,24-Feb-2014,216.40,217.25,215.61,216.05,293600
PPL,25-Feb-2014,216.05,216.85,215.70,216.01,263700
PPL,26-Feb-2014,215.60,217.00,215.60,216.63,263600
PPL,27-Feb-2014,216.50,217.00,213.55,214.47,726000
PPL,28-Feb-2014,215.00,218.30,214.24,217.89,846100
PPL,03-Mar-2014,218.80,219.50,218.25,218.50,360800
PPL,04-Mar-2014,219.19,227.50,218.90,226.10,3794700
PPL,05-Mar-2014,221.80,232.15,220.90,230.20,3783100
PPL,06-Mar-2014,230.00,236.00,230.00,234.08,2587800
PPL,07-Mar-2014,232.50,235.65,231.70,232.80,911000
