Symbol,Date,Open,High,Low,Close,Volume
PPVC,01-Jan-2014,4.65,5.30,4.65,5.15,44000
PPVC,02-Jan-2014,5.10,5.80,4.95,5.46,92500
PPVC,03-Jan-2014,5.55,6.39,5.40,5.97,199500
PPVC,06-Jan-2014,6.20,6.97,6.15,6.97,290500
PPVC,07-Jan-2014,7.45,7.95,7.20,7.82,364000
PPVC,08-Jan-2014,7.71,7.90,6.82,7.15,97500
PPVC,09-Jan-2014,7.60,7.60,6.31,6.81,160500
PPVC,10-Jan-2014,6.70,6.82,6.22,6.36,43500
PPVC,13-Jan-2014,6.40,6.80,6.21,6.77,45500
PPVC,15-Jan-2014,7.00,7.00,6.35,6.44,49000
PPVC,16-Jan-2014,6.26,6.29,6.00,6.09,8500
PPVC,17-Jan-2014,6.10,6.40,6.10,6.10,20000
PPVC,20-Jan-2014,6.39,7.10,6.12,7.10,150500
PPVC,21-Jan-2014,7.60,8.10,7.25,7.44,425500
PPVC,22-Jan-2014,7.27,7.38,7.00,7.32,125000
PPVC,23-Jan-2014,7.32,7.90,7.32,7.45,114000
PPVC,24-Jan-2014,6.83,7.30,6.45,7.16,77500
PPVC,27-Jan-2014,7.03,7.03,6.70,6.75,17000
PPVC,28-Jan-2014,6.70,7.00,6.70,6.86,52000
PPVC,29-Jan-2014,6.75,6.75,6.50,6.50,9500
PPVC,30-Jan-2014,6.45,7.50,6.30,7.50,260500
PPVC,31-Jan-2014,7.20,8.50,7.20,8.50,469000
PPVC,03-Feb-2014,8.31,8.89,7.90,8.03,161500
PPVC,04-Feb-2014,7.62,7.99,7.03,7.63,87000
PPVC,06-Feb-2014,7.84,8.48,7.80,8.03,55500
PPVC,07-Feb-2014,8.00,8.00,7.50,7.53,27000
PPVC,10-Feb-2014,7.36,7.36,6.90,7.11,40500
PPVC,11-Feb-2014,7.24,7.24,7.00,7.12,10500
PPVC,12-Feb-2014,7.35,7.44,7.15,7.30,16500
PPVC,13-Feb-2014,7.10,7.80,7.08,7.80,29500
PPVC,14-Feb-2014,7.36,7.36,7.10,7.11,46000
PPVC,17-Feb-2014,7.44,7.44,6.81,6.99,7000
PPVC,18-Feb-2014,6.71,6.71,6.01,6.69,19500
PPVC,19-Feb-2014,6.74,7.43,6.47,6.52,23500
PPVC,20-Feb-2014,6.52,6.78,6.50,6.75,87000
PPVC,21-Feb-2014,7.00,7.23,6.70,7.15,170000
PPVC,24-Feb-2014,7.00,7.00,6.35,6.45,91000
PPVC,25-Feb-2014,6.01,6.60,6.00,6.58,23000
