Symbol,Date,Open,High,Low,Close,Volume
PSO,01-Jan-2014,332.48,336.50,331.15,334.71,833000
PSO,02-Jan-2014,336.49,338.00,334.01,336.21,964900
PSO,03-Jan-2014,337.48,340.70,336.05,338.01,2543100
PSO,06-Jan-2014,338.10,344.35,338.10,341.02,2363800
PSO,07-Jan-2014,342.00,343.25,335.35,338.07,1465100
PSO,08-Jan-2014,338.80,342.85,338.01,338.81,1436800
PSO,09-Jan-2014,339.89,340.65,336.40,337.03,948100
PSO,10-Jan-2014,337.10,338.75,334.80,335.37,677400
PSO,13-Jan-2014,336.00,345.50,335.25,344.75,3223300
PSO,15-Jan-2014,347.11,350.40,345.51,346.22,2390600
PSO,16-Jan-2014,346.90,347.50,343.00,344.77,894800
PSO,17-Jan-2014,345.99,346.50,342.51,343.40,736800
PSO,20-Jan-2014,343.50,349.49,341.10,348.21,1335400
PSO,21-Jan-2014,348.25,353.89,348.25,351.29,3019300
PSO,22-Jan-2014,350.01,352.98,344.24,344.84,1624000
PSO,23-Jan-2014,345.38,345.75,340.20,341.76,744600
PSO,24-Jan-2014,341.99,344.44,338.65,341.01,1335400
PSO,27-Jan-2014,341.00,341.05,331.01,336.36,1138400
PSO,28-Jan-2014,336.75,338.42,333.12,334.26,696000
PSO,29-Jan-2014,334.80,335.40,329.00,330.65,1079500
PSO,30-Jan-2014,331.00,337.00,329.52,335.80,2228100
PSO,31-Jan-2014,336.10,343.50,336.10,341.83,2287400
PSO,03-Feb-2014,343.49,347.75,342.75,345.58,1736200
PSO,04-Feb-2014,346.80,352.00,345.00,348.77,2277600
PSO,06-Feb-2014,349.75,353.90,347.51,348.71,1492000
PSO,07-Feb-2014,348.99,350.80,341.52,343.78,1216800
PSO,10-Feb-2014,344.00,344.80,334.50,337.63,1132400
PSO,11-Feb-2014,338.99,339.90,335.25,337.20,586400
PSO,12-Feb-2014,338.75,353.74,338.75,352.99,2983200
PSO,13-Feb-2014,354.00,359.95,349.52,354.47,3580100
PSO,14-Feb-2014,352.00,353.10,347.00,348.10,1114900
PSO,17-Feb-2014,348.00,352.99,342.51,350.07,2325300
PSO,18-Feb-2014,350.99,353.20,345.25,350.07,1366200
PSO,19-Feb-2014,351.25,352.75,342.13,344.41,1257700
PSO,20-Feb-2014,344.75,346.25,337.00,340.07,1225000
PSO,21-Feb-2014,340.00,345.75,337.30,343.89,840800
PSO,24-Feb-2014,344.10,346.86,342.01,342.94,802900
PSO,25-Feb-2014,342.99,343.99,339.50,341.43,806600
PSO,26-Feb-2014,341.89,348.35,340.00,344.63,1685400
PSO,27-Feb-2014,346.00,347.50,341.50,343.31,601300
PSO,28-Feb-2014,344.00,360.47,343.55,360.47,5693900
PSO,03-Mar-2014,374.00,376.00,364.25,365.67,5685500
PSO,04-Mar-2014,365.06,370.88,363.00,369.83,3105700
PSO,05-Mar-2014,370.00,387.80,369.15,385.10,7350800
PSO,06-Mar-2014,386.25,390.40,385.99,387.39,2907600
PSO,07-Mar-2014,388.05,396.90,383.50,392.60,2834700
PSO,10-Mar-2014,394.00,412.23,392.05,411.41,5998600
PSO,11-Mar-2014,415.00,417.00,409.25,412.04,4352400
PSO,12-Mar-2014,413.00,419.50,410.50,413.27,4228600
PSO,13-Mar-2014,414.40,417.34,409.10,410.51,2757700
PSO,14-Mar-2014,410.00,418.50,410.00,417.05,2975300
PSO,17-Mar-2014,419.00,421.25,416.03,417.31,1086100
PSO,18-Mar-2014,417.98,425.00,416.10,422.64,2205300
PSO,19-Mar-2014,424.00,424.90,417.76,420.18,1570000
PSO,20-Mar-2014,420.15,429.99,419.00,428.69,2936800
PSO,21-Mar-2014,430.00,434.50,426.40,429.18,2422700
PSO,24-Mar-2014,428.40,428.40,418.76,420.39,1899300
PSO,25-Mar-2014,421.90,426.38,421.11,422.82,1395600
PSO,26-Mar-2014,423.25,425.50,420.05,421.94,828600
PSO,27-Mar-2014,423.80,425.25,420.00,421.54,1635300
PSO,28-Mar-2014,421.89,425.53,420.50,422.20,1346100
PSO,31-Mar-2014,421.02,428.99,421.00,426.71,1886600
PSO,01-Apr-2014,427.49,444.80,426.01,441.75,2634300
PSO,02-Apr-2014,443.50,445.50,441.25,442.20,1617200
PSO,03-Apr-2014,443.49,456.99,443.00,452.43,2294900
PSO,04-Apr-2014,410.99,419.50,410.00,418.37,3140900
PSO,07-Apr-2014,420.85,420.85,413.01,415.55,1521700
PSO,08-Apr-2014,415.60,423.75,414.02,420.25,2092200
PSO,09-Apr-2014,419.00,424.00,417.26,420.98,1232100
PSO,10-Apr-2014,423.00,442.02,422.03,442.02,5036000
PSO,11-Apr-2014,444.50,455.99,438.06,446.81,7052700
PSO,14-Apr-2014,448.00,453.24,447.00,448.91,3380600
PSO,15-Apr-2014,449.00,449.00,440.01,442.51,2999600
PSO,16-Apr-2014,444.00,448.50,443.62,446.15,2104400
PSO,17-Apr-2014,447.01,450.50,432.10,437.52,2920000
PSO,18-Apr-2014,439.90,444.00,422.40,423.32,2417400
PSO,21-Apr-2014,423.01,423.01,414.11,415.68,1507800
PSO,22-Apr-2014,417.70,424.40,416.69,420.79,3141800
PSO,23-Apr-2014,422.20,424.00,399.76,399.76,5390600
PSO,24-Apr-2014,397.50,399.50,390.15,393.01,3950000
PSO,25-Apr-2014,395.00,408.00,394.02,405.57,4594700
PSO,28-Apr-2014,407.24,407.30,395.15,397.43,1893200
PSO,29-Apr-2014,396.90,396.90,386.00,392.09,2950300
PSO,30-Apr-2014,394.00,407.80,393.11,405.69,3455500
PSO,02-May-2014,405.50,415.20,403.00,406.28,3935100
PSO,05-May-2014,406.00,406.98,388.51,393.18,3095100
PSO,06-May-2014,392.60,393.75,384.00,385.92,2831700
PSO,07-May-2014,385.40,388.50,379.05,380.92,3552600
PSO,08-May-2014,382.70,391.99,382.00,389.66,3114300
PSO,09-May-2014,391.24,394.50,385.50,387.22,2472700
PSO,12-May-2014,388.65,390.90,381.01,381.96,1225100
PSO,13-May-2014,382.75,385.89,378.60,383.82,2465800
PSO,14-May-2014,384.50,386.45,382.00,382.52,1066500
PSO,15-May-2014,384.20,396.85,384.20,394.16,3877400
PSO,16-May-2014,396.50,399.40,389.00,393.16,3004700
PSO,19-May-2014,392.48,393.35,387.71,392.14,1748100
PSO,20-May-2014,393.20,395.90,388.70,393.52,2314800
PSO,21-May-2014,394.00,394.20,389.25,390.45,1009200
PSO,22-May-2014,390.20,395.60,390.02,392.20,1823600
PSO,23-May-2014,394.50,395.25,390.51,393.43,1482800
PSO,26-May-2014,395.00,397.90,393.81,396.24,1437600
PSO,27-May-2014,397.50,401.69,396.99,397.37,2960300
PSO,28-May-2014,398.80,399.55,395.01,395.31,1579100
PSO,29-May-2014,396.40,415.07,394.50,413.66,6552900
PSO,30-May-2014,415.99,424.80,412.51,421.56,7079700
PSO,02-Jun-2014,421.00,427.50,413.11,416.89,5018600
PSO,03-Jun-2014,415.40,419.60,396.51,412.95,5183100
PSO,04-Jun-2014,414.50,419.30,409.00,414.94,3379100
PSO,05-Jun-2014,419.00,427.49,416.02,419.34,5499200
PSO,06-Jun-2014,421.00,424.60,413.00,413.85,2847300
PSO,09-Jun-2014,417.10,418.80,413.35,415.44,2277800
PSO,10-Jun-2014,417.00,422.99,416.01,421.06,3985300
PSO,11-Jun-2014,425.90,427.00,419.40,420.47,2852200
PSO,12-Jun-2014,420.99,422.60,418.00,418.56,1884100
