Symbol,Date,Open,High,Low,Close,Volume
PSYL,03-Jan-2014,16.90,16.90,16.90,16.90,1000
PSYL,06-Jan-2014,16.50,16.75,16.50,16.75,3000
PSYL,09-Jan-2014,16.75,16.99,16.55,16.55,3000
PSYL,10-Jan-2014,16.90,17.49,16.90,17.49,5000
PSYL,13-Jan-2014,17.40,17.40,17.40,17.40,500
PSYL,15-Jan-2014,17.20,17.20,17.20,17.20,500
PSYL,21-Jan-2014,17.20,17.20,17.00,17.20,2000
PSYL,22-Jan-2014,17.00,17.80,17.00,17.75,9500
PSYL,23-Jan-2014,17.60,17.99,17.60,17.95,6000
PSYL,24-Jan-2014,17.67,18.87,17.55,18.65,12000
PSYL,27-Jan-2014,18.89,19.39,18.70,19.19,10500
PSYL,28-Jan-2014,18.55,19.87,18.34,19.87,8500
PSYL,29-Jan-2014,18.90,19.69,18.87,19.69,7000
PSYL,30-Jan-2014,18.75,19.88,18.75,19.29,7000
PSYL,31-Jan-2014,18.50,19.68,18.29,19.68,6500
PSYL,07-Feb-2014,18.68,20.18,18.68,19.85,7000
PSYL,10-Feb-2014,19.00,19.19,18.85,19.16,6000
PSYL,12-Feb-2014,18.90,18.90,18.18,18.56,2500
PSYL,13-Feb-2014,18.20,19.50,17.72,19.01,22500
PSYL,14-Feb-2014,20.01,20.01,18.01,19.15,10500
PSYL,17-Feb-2014,18.80,18.89,18.17,18.53,3500
PSYL,18-Feb-2014,18.00,18.00,17.95,17.99,4500
PSYL,19-Feb-2014,17.16,17.96,17.00,17.53,8000
PSYL,20-Feb-2014,16.67,17.79,16.67,17.79,4000
PSYL,21-Feb-2014,16.80,18.77,16.79,18.46,12000
PSYL,24-Feb-2014,18.60,19.29,18.60,19.29,4500
PSYL,25-Feb-2014,18.29,19.19,18.29,19.06,7500
PSYL,26-Feb-2014,18.08,18.79,18.08,18.79,1500
PSYL,27-Feb-2014,18.01,19.78,18.01,19.78,5500
PSYL,03-Mar-2014,18.78,18.78,18.78,18.78,2500
PSYL,04-Mar-2014,17.80,19.74,17.78,19.14,15000
PSYL,05-Mar-2014,18.15,18.29,18.14,18.14,2500
