Symbol,Date,Open,High,Low,Close,Volume
PTC,01-Jan-2014,28.70,29.05,28.57,28.88,3885500
PTC,02-Jan-2014,29.02,29.83,29.02,29.73,10075500
PTC,03-Jan-2014,29.56,30.60,29.50,30.15,12568500
PTC,06-Jan-2014,30.30,30.40,29.75,29.92,3424500
PTC,07-Jan-2014,30.00,30.00,29.00,29.47,5849500
PTC,08-Jan-2014,29.84,29.87,29.45,29.50,2994500
PTC,09-Jan-2014,29.84,29.90,28.91,29.09,3788500
PTC,10-Jan-2014,29.24,29.24,28.80,28.84,1545500
PTC,13-Jan-2014,28.90,29.09,28.70,28.76,585500
PTC,15-Jan-2014,28.78,29.13,28.60,28.65,4280000
PTC,16-Jan-2014,28.79,28.97,28.45,28.59,3311000
PTC,17-Jan-2014,28.75,29.60,28.53,29.45,6989000
PTC,20-Jan-2014,29.56,29.91,29.25,29.53,4840500
PTC,21-Jan-2014,29.70,29.85,29.20,29.39,3253000
PTC,22-Jan-2014,29.47,30.85,29.47,30.25,24609000
PTC,23-Jan-2014,30.05,30.60,29.03,29.43,7458000
PTC,24-Jan-2014,29.20,29.48,28.80,29.02,11600500
PTC,27-Jan-2014,29.00,29.00,28.50,28.59,3429000
PTC,28-Jan-2014,28.51,28.94,28.50,28.55,2654000
PTC,29-Jan-2014,28.61,28.85,28.25,28.39,4675000
PTC,30-Jan-2014,28.70,28.70,28.25,28.40,3381000
PTC,31-Jan-2014,28.55,28.74,28.45,28.63,4393500
PTC,03-Feb-2014,28.80,29.91,28.80,29.77,10250500
PTC,04-Feb-2014,29.86,29.90,29.12,29.24,4342000
PTC,06-Feb-2014,29.39,29.50,29.01,29.25,2490000
PTC,07-Feb-2014,29.25,29.35,28.70,28.81,3857500
PTC,10-Feb-2014,28.89,28.90,28.30,28.48,1452500
PTC,11-Feb-2014,28.70,29.90,28.57,29.09,10212500
PTC,12-Feb-2014,29.33,29.85,29.11,29.68,7168500
PTC,13-Feb-2014,29.80,29.94,29.36,29.60,5737000
PTC,14-Feb-2014,29.51,29.85,28.86,28.95,2957000
PTC,17-Feb-2014,29.03,29.05,27.83,28.00,5051000
PTC,18-Feb-2014,28.14,28.29,27.62,28.04,1663000
PTC,19-Feb-2014,28.30,28.54,27.90,28.00,1999000
PTC,20-Feb-2014,28.01,28.25,27.40,27.59,2294500
PTC,21-Feb-2014,27.84,28.25,27.45,28.08,1433500
PTC,24-Feb-2014,28.95,29.19,28.80,28.86,3283500
PTC,25-Feb-2014,29.00,29.09,28.33,28.47,1351500
PTC,26-Feb-2014,28.20,29.48,28.20,29.00,5630000
PTC,27-Feb-2014,28.85,29.28,28.70,29.00,973000
PTC,28-Feb-2014,29.01,29.40,29.01,29.25,3730000
PTC,03-Mar-2014,29.40,29.79,29.00,29.11,2644000
PTC,04-Mar-2014,29.11,30.42,29.11,30.34,10029500
PTC,05-Mar-2014,30.10,30.65,30.04,30.18,4293000
PTC,06-Mar-2014,30.48,30.60,30.10,30.18,1616500
PTC,07-Mar-2014,30.16,30.44,29.93,30.25,2277000
PTC,10-Mar-2014,30.49,31.34,30.01,31.25,7377500
PTC,11-Mar-2014,31.15,31.63,31.05,31.12,5824500
PTC,12-Mar-2014,31.20,31.73,30.76,30.86,9692500
PTC,13-Mar-2014,30.90,31.35,30.44,30.61,5305500
PTC,14-Mar-2014,31.10,31.34,30.91,31.01,2430000
PTC,17-Mar-2014,31.20,31.33,30.86,30.96,985000
PTC,18-Mar-2014,30.80,31.05,30.71,30.81,809500
PTC,19-Mar-2014,30.97,31.09,30.56,30.82,1517000
PTC,20-Mar-2014,31.00,31.37,30.75,30.86,4659500
PTC,21-Mar-2014,30.76,31.12,30.40,30.51,2317500
PTC,24-Mar-2014,30.60,30.66,30.18,30.30,1014000
PTC,25-Mar-2014,30.60,30.65,30.42,30.61,1259000
PTC,26-Mar-2014,30.70,30.83,30.40,30.52,1524000
