Symbol,Date,Open,High,Low,Close,Volume
PTL,22-Feb-2021,70.73,70.73,65.80,70.73,94500
PTL,23-Feb-2021,75.00,75.00,71.80,72.25,8626000
PTL,24-Feb-2021,72.50,74.60,69.00,72.21,4305500
PTL,25-Feb-2021,72.40,74.00,71.41,71.58,1489000
PTL,26-Feb-2021,70.73,71.94,69.61,69.89,548000
PTL,01-Mar-2021,69.11,72.00,68.51,70.77,717500
PTL,02-Mar-2021,70.10,72.50,69.75,70.20,1112000
PTL,03-Mar-2021,70.70,72.49,69.80,71.01,832000
PTL,04-Mar-2021,69.00,70.50,68.60,69.07,712000
PTL,05-Mar-2021,69.24,70.00,68.25,69.64,411500
PTL,08-Mar-2021,71.00,71.00,67.55,67.95,440500
PTL,09-Mar-2021,68.00,68.00,65.30,65.72,1467500
PTL,10-Mar-2021,65.27,65.99,62.51,63.24,1102500
PTL,11-Mar-2021,63.25,63.76,58.50,58.79,2079500
PTL,12-Mar-2021,60.95,63.19,60.00,62.80,1545500
PTL,15-Mar-2021,64.30,67.51,63.60,66.90,1728000
PTL,16-Mar-2021,67.25,67.25,65.25,66.46,470000
PTL,17-Mar-2021,66.85,67.24,65.51,66.53,445500
PTL,18-Mar-2021,66.31,67.12,63.90,64.22,389500
PTL,19-Mar-2021,63.65,65.25,63.65,64.49,130500
PTL,22-Mar-2021,64.50,65.00,63.45,64.47,537500
PTL,24-Mar-2021,64.70,65.89,64.70,65.33,234500
PTL,25-Mar-2021,65.40,65.40,64.00,64.55,215000
PTL,26-Mar-2021,64.00,64.50,60.10,63.36,127000
PTL,29-Mar-2021,63.00,63.00,61.00,62.00,368500
PTL,30-Mar-2021,61.50,65.89,60.66,63.49,369000
PTL,31-Mar-2021,65.44,66.00,63.65,64.45,926000
PTL,01-Apr-2021,63.50,66.85,63.50,64.69,506000
PTL,02-Apr-2021,65.20,65.49,63.30,63.58,97500
PTL,05-Apr-2021,63.55,65.00,62.70,62.90,166000
PTL,06-Apr-2021,63.00,66.90,63.00,65.42,326000
PTL,07-Apr-2021,64.13,65.90,64.00,64.27,80000
PTL,08-Apr-2021,64.02,68.60,64.00,67.92,675500
PTL,09-Apr-2021,68.20,68.90,67.25,68.02,505000
PTL,12-Apr-2021,66.10,70.02,66.10,67.53,306500
PTL,13-Apr-2021,67.25,67.90,65.00,65.67,153500
PTL,14-Apr-2021,65.35,66.49,64.00,64.10,190000
PTL,15-Apr-2021,63.90,66.05,63.90,65.27,358000
PTL,16-Apr-2021,65.00,65.85,64.55,65.00,64000
PTL,19-Apr-2021,63.60,65.03,63.50,64.11,101000
PTL,20-Apr-2021,65.69,66.20,65.04,65.82,422500
PTL,21-Apr-2021,65.11,67.25,65.11,66.33,329000
PTL,22-Apr-2021,65.60,66.62,64.70,64.96,184500
PTL,23-Apr-2021,64.02,64.99,64.00,64.07,78500
PTL,26-Apr-2021,63.58,68.75,63.00,67.85,790000
PTL,27-Apr-2021,67.51,67.51,66.00,66.13,310000
PTL,28-Apr-2021,65.40,65.98,64.00,64.43,154000
PTL,29-Apr-2021,64.52,65.20,64.00,64.10,37500
PTL,30-Apr-2021,64.10,64.48,63.50,63.94,54500
PTL,03-May-2021,62.65,64.30,62.65,63.01,67000
PTL,04-May-2021,63.01,63.49,62.50,62.99,128500
PTL,05-May-2021,63.00,63.00,59.99,60.77,1109000
PTL,06-May-2021,61.40,61.95,61.00,61.51,266000
PTL,17-May-2021,61.81,62.70,61.70,61.96,67500
PTL,18-May-2021,62.01,62.23,61.40,61.86,89500
PTL,19-May-2021,61.75,63.00,61.35,62.72,147000
PTL,20-May-2021,62.85,63.00,61.90,62.04,74500
PTL,21-May-2021,62.25,62.79,62.20,62.23,10500
PTL,24-May-2021,62.06,63.50,61.90,62.22,214500
PTL,25-May-2021,61.90,62.79,61.75,62.31,86000
PTL,26-May-2021,62.02,64.00,61.80,62.95,163500
PTL,27-May-2021,62.12,66.00,62.12,64.22,160500
PTL,28-May-2021,63.22,65.80,63.05,64.90,253500
PTL,31-May-2021,65.29,66.50,64.01,66.18,616000
PTL,01-Jun-2021,66.00,66.79,65.50,65.99,271500
PTL,02-Jun-2021,64.70,66.00,64.70,65.69,182500
PTL,03-Jun-2021,65.47,66.70,65.47,65.87,195500
PTL,04-Jun-2021,66.72,68.70,66.05,67.95,2178500
PTL,07-Jun-2021,68.50,69.89,67.55,68.73,1826500
PTL,08-Jun-2021,69.00,70.90,68.60,70.48,2163000
PTL,09-Jun-2021,71.00,71.70,68.35,68.59,1213000
PTL,10-Jun-2021,68.71,70.24,68.50,68.58,577000
PTL,11-Jun-2021,69.19,69.50,68.50,68.78,146000
