Symbol,Date,Open,High,Low,Close,Volume
QUAT,17-Jan-2014,71.29,71.29,71.29,71.29,500
QUAT,21-Jan-2014,78.20,78.20,78.20,78.20,3000
QUAT,23-Jan-2014,85.04,85.04,84.99,85.04,1500
QUAT,27-Jan-2014,91.57,91.57,91.57,91.57,1000
QUAT,30-Jan-2014,100.90,100.93,100.90,100.93,1000
QUAT,31-Jan-2014,105.90,105.90,105.85,105.85,1500
QUAT,03-Feb-2014,105.00,110.90,105.00,110.90,2000
QUAT,04-Feb-2014,116.40,116.40,116.00,116.00,1000
QUAT,06-Feb-2014,121.00,121.00,110.20,110.20,1500
QUAT,13-Feb-2014,85.80,94.75,85.80,94.38,3500
QUAT,17-Feb-2014,99.00,99.00,99.00,99.00,500
QUAT,18-Feb-2014,94.05,97.00,94.05,94.21,6000
QUAT,19-Feb-2014,98.80,98.88,98.80,98.88,1000
QUAT,20-Feb-2014,103.75,103.80,103.75,103.80,1000
QUAT,21-Feb-2014,108.75,108.84,98.62,98.62,1500
QUAT,27-Feb-2014,103.00,103.00,103.00,103.00,500
QUAT,28-Feb-2014,108.00,108.10,108.00,108.10,1000
QUAT,05-Mar-2014,113.41,113.48,108.99,108.99,1500
QUAT,07-Mar-2014,109.00,109.00,109.00,109.00,500
QUAT,10-Mar-2014,113.50,113.95,103.56,103.56,1500
QUAT,14-Mar-2014,102.00,103.99,102.00,103.99,1000
QUAT,24-Mar-2014,92.00,92.00,92.00,92.00,500
QUAT,25-Mar-2014,87.75,94.90,87.40,94.85,2500
QUAT,26-Mar-2014,90.11,90.11,90.11,90.11,1000
QUAT,27-Mar-2014,85.75,85.75,85.65,85.65,1500
QUAT,14-Apr-2014,89.50,89.50,89.50,89.50,500
QUAT,30-Apr-2014,85.05,85.05,85.05,85.05,500
QUAT,09-May-2014,89.00,89.00,89.00,89.00,500
QUAT,12-May-2014,93.44,93.44,93.44,93.44,500
QUAT,13-May-2014,98.00,98.00,98.00,98.00,500
QUAT,14-May-2014,102.75,102.75,102.75,102.75,500
QUAT,15-May-2014,107.75,107.75,107.75,107.75,500
QUAT,18-Jun-2014,94.66,94.66,94.66,94.66,500
QUAT,11-Aug-2014,106.23,106.23,106.23,106.23,17000
QUAT,12-Aug-2014,106.23,106.23,106.23,106.23,1500
QUAT,13-Aug-2014,106.23,106.23,106.23,106.23,800
QUAT,18-Aug-2014,106.23,111.54,106.23,109.27,700
QUAT,19-Aug-2014,106.23,114.65,106.23,114.65,600
QUAT,21-Aug-2014,120.38,120.38,120.38,120.38,500
QUAT,01-Sep-2014,114.37,114.37,114.37,114.37,200
QUAT,03-Sep-2014,107.00,115.50,107.00,111.25,400
QUAT,04-Sep-2014,116.80,116.80,116.80,116.80,400
QUAT,09-Sep-2014,106.23,106.23,106.23,106.23,500
QUAT,10-Sep-2014,106.23,106.23,106.23,106.23,900
QUAT,11-Sep-2014,106.23,106.23,106.23,106.23,500
QUAT,12-Sep-2014,106.23,106.23,106.23,106.23,500
QUAT,16-Sep-2014,106.23,106.23,106.23,106.23,100
QUAT,19-Sep-2014,106.23,106.23,106.23,106.23,500
QUAT,22-Sep-2014,106.23,106.23,106.23,106.23,1800
QUAT,25-Sep-2014,106.23,106.23,106.23,106.23,1200
QUAT,01-Oct-2014,106.23,106.23,106.23,106.23,1000
QUAT,02-Oct-2014,106.23,106.23,106.23,106.23,500
QUAT,10-Oct-2014,106.23,106.23,106.23,106.23,700
