Symbol,Date,Open,High,Low,Close,Volume
QUET,01-Jan-2014,65.04,65.05,64.90,65.04,47000
QUET,02-Jan-2014,68.29,68.29,65.00,67.35,34000
QUET,03-Jan-2014,65.10,66.98,63.99,65.02,14500
QUET,06-Jan-2014,62.00,64.98,62.00,62.03,15000
QUET,07-Jan-2014,60.15,60.51,59.15,59.18,7000
QUET,08-Jan-2014,60.00,62.13,60.00,62.13,21000
QUET,09-Jan-2014,65.19,65.20,61.30,64.98,7500
QUET,13-Jan-2014,66.50,68.22,63.30,63.30,16000
QUET,15-Jan-2014,65.97,66.20,65.97,66.12,1500
QUET,17-Jan-2014,66.20,66.50,66.20,66.50,2000
QUET,20-Jan-2014,69.70,69.82,66.20,68.98,29000
QUET,21-Jan-2014,70.00,71.89,69.30,70.60,5000
QUET,22-Jan-2014,70.00,74.13,68.51,74.00,62500
QUET,23-Jan-2014,75.90,77.70,70.40,70.40,37000
QUET,24-Jan-2014,72.99,72.99,72.99,72.99,500
QUET,28-Jan-2014,75.99,76.00,75.99,76.00,2000
QUET,29-Jan-2014,73.00,73.00,73.00,73.00,500
QUET,30-Jan-2014,69.40,70.90,69.40,69.40,5500
QUET,31-Jan-2014,70.99,70.99,70.99,70.99,500
QUET,03-Feb-2014,71.00,71.50,71.00,71.50,9000
QUET,06-Feb-2014,68.01,70.45,68.00,70.45,2500
QUET,10-Feb-2014,68.85,68.95,68.85,68.95,1000
QUET,12-Feb-2014,65.52,65.52,65.51,65.51,4000
QUET,17-Feb-2014,64.00,67.98,64.00,67.98,1500
QUET,18-Feb-2014,67.35,67.35,67.35,67.35,500
QUET,19-Feb-2014,67.99,67.99,67.99,67.99,500
QUET,21-Feb-2014,67.80,67.90,63.96,63.96,6000
QUET,26-Feb-2014,60.80,62.99,60.77,62.99,1500
QUET,27-Feb-2014,59.85,59.85,59.85,59.85,1000
QUET,28-Feb-2014,62.84,62.84,56.86,58.99,4000
QUET,03-Mar-2014,56.05,58.89,56.05,58.89,1000
QUET,04-Mar-2014,55.95,58.00,55.95,58.00,11000
QUET,05-Mar-2014,58.00,58.00,58.00,58.00,500
QUET,06-Mar-2014,57.01,57.01,57.00,57.00,1000
QUET,11-Mar-2014,54.16,58.97,54.15,58.97,1500
QUET,12-Mar-2014,56.22,56.22,56.22,56.22,1000
QUET,14-Mar-2014,53.41,53.42,53.41,53.42,2000
QUET,17-Mar-2014,51.05,51.05,50.75,50.75,5000
QUET,19-Mar-2014,53.20,53.20,53.20,53.20,500
QUET,24-Mar-2014,50.54,50.54,50.54,50.54,500
QUET,26-Mar-2014,48.02,52.90,48.02,52.90,11000
QUET,02-Apr-2014,48.99,48.99,48.99,48.99,500
QUET,03-Apr-2014,49.97,49.97,46.55,48.90,12500
QUET,04-Apr-2014,51.00,51.00,51.00,51.00,500
QUET,07-Apr-2014,48.45,48.45,48.45,48.45,4000
QUET,08-Apr-2014,46.05,46.10,46.03,46.03,10500
QUET,09-Apr-2014,45.00,46.95,44.12,46.95,4000
QUET,10-Apr-2014,45.00,46.44,44.61,44.61,16500
QUET,14-Apr-2014,42.39,42.39,42.38,42.38,10500
QUET,16-Apr-2014,41.00,41.21,40.27,40.27,9000
QUET,18-Apr-2014,40.70,42.28,40.70,42.00,14500
QUET,24-Apr-2014,43.99,43.99,43.99,43.99,500
QUET,28-Apr-2014,41.80,43.95,41.80,43.95,10000
QUET,02-May-2014,41.42,41.42,39.36,39.36,14500
QUET,05-May-2014,37.40,37.40,37.40,37.40,500
QUET,08-May-2014,39.27,39.27,39.27,39.27,500
QUET,14-May-2014,37.31,41.20,37.31,39.26,1000
QUET,16-May-2014,41.00,41.00,40.00,41.00,23000
QUET,20-May-2014,41.00,42.00,41.00,42.00,8500
QUET,27-May-2014,40.00,41.40,39.90,41.40,1500
QUET,30-May-2014,40.00,40.00,40.00,40.00,2500
QUET,02-Jun-2014,38.10,39.84,38.00,39.84,3500
QUET,03-Jun-2014,38.25,40.99,38.00,40.99,1500
