Symbol,Date,Open,High,Low,Close,Volume
RAVT,01-Jan-2014,4.45,5.14,4.40,5.14,1959500
RAVT,02-Jan-2014,5.90,5.99,5.20,5.28,2094500
RAVT,03-Jan-2014,5.00,5.10,4.70,4.78,407000
RAVT,06-Jan-2014,4.81,5.70,4.80,5.45,853500
RAVT,07-Jan-2014,5.50,6.45,5.45,6.45,1950500
RAVT,08-Jan-2014,6.90,7.45,6.75,7.45,1058000
RAVT,09-Jan-2014,8.33,8.35,6.45,7.18,2577500
RAVT,10-Jan-2014,7.40,7.82,6.50,7.38,1131000
RAVT,13-Jan-2014,7.70,7.80,7.15,7.37,373500
RAVT,15-Jan-2014,7.60,7.60,6.95,6.99,459500
RAVT,16-Jan-2014,6.85,6.85,6.44,6.49,271000
RAVT,17-Jan-2014,6.18,6.99,6.05,6.75,529000
RAVT,20-Jan-2014,6.41,6.95,6.41,6.58,166500
RAVT,21-Jan-2014,6.83,6.90,6.45,6.53,196000
RAVT,22-Jan-2014,6.53,7.14,6.42,6.92,586500
RAVT,23-Jan-2014,7.00,7.47,6.62,6.73,708000
RAVT,24-Jan-2014,6.68,7.20,6.40,6.78,336000
RAVT,27-Jan-2014,6.50,6.90,6.50,6.64,83000
RAVT,28-Jan-2014,6.61,6.89,6.60,6.70,92500
RAVT,29-Jan-2014,6.69,7.20,6.68,6.74,329000
RAVT,30-Jan-2014,6.65,6.99,6.65,6.83,107000
RAVT,31-Jan-2014,6.99,7.15,6.30,6.49,115500
RAVT,03-Feb-2014,6.50,6.59,6.32,6.45,87500
RAVT,04-Feb-2014,6.20,6.49,6.16,6.22,61000
RAVT,06-Feb-2014,6.38,6.38,6.00,6.11,59500
RAVT,07-Feb-2014,6.29,6.29,5.86,5.95,192000
RAVT,10-Feb-2014,5.31,5.79,5.30,5.35,106000
RAVT,11-Feb-2014,5.45,5.45,5.25,5.31,30000
RAVT,12-Feb-2014,5.05,5.99,5.05,5.71,87500
RAVT,13-Feb-2014,5.41,5.70,5.41,5.48,85000
RAVT,14-Feb-2014,5.30,5.50,5.00,5.06,49000
RAVT,17-Feb-2014,4.98,4.98,4.40,4.52,75000
RAVT,18-Feb-2014,3.81,4.50,3.81,4.37,82000
RAVT,19-Feb-2014,4.48,4.79,4.23,4.74,79500
RAVT,20-Feb-2014,4.41,4.65,4.33,4.65,20000
RAVT,21-Feb-2014,4.50,4.75,4.50,4.75,5000
RAVT,24-Feb-2014,4.99,4.99,4.30,4.80,37500
RAVT,25-Feb-2014,4.35,4.45,4.22,4.34,26000
RAVT,26-Feb-2014,4.30,4.35,4.25,4.25,10000
RAVT,27-Feb-2014,4.28,4.28,4.28,4.28,1000
RAVT,28-Feb-2014,3.75,4.10,3.75,4.04,62000
RAVT,03-Mar-2014,4.15,4.15,4.00,4.00,17500
RAVT,04-Mar-2014,3.50,4.50,3.50,4.40,93500
RAVT,05-Mar-2014,4.45,4.45,4.10,4.14,39500
RAVT,06-Mar-2014,4.35,4.79,4.30,4.54,126500
RAVT,07-Mar-2014,4.61,5.09,4.60,4.96,174500
RAVT,10-Mar-2014,5.18,5.20,4.88,4.89,70000
RAVT,11-Mar-2014,4.70,4.90,4.64,4.64,45500
RAVT,12-Mar-2014,4.46,4.51,4.00,4.15,29500
RAVT,13-Mar-2014,4.11,4.40,4.11,4.25,95500
RAVT,14-Mar-2014,4.44,4.70,4.28,4.30,27000
RAVT,17-Mar-2014,4.50,4.74,4.40,4.43,40500
RAVT,18-Mar-2014,4.35,5.39,4.30,4.60,86000
RAVT,19-Mar-2014,4.80,4.80,4.53,4.60,14000
RAVT,20-Mar-2014,4.51,4.51,4.50,4.50,15000
RAVT,21-Mar-2014,4.74,4.74,4.74,4.74,500
RAVT,24-Mar-2014,4.51,4.56,4.51,4.54,34500
RAVT,25-Mar-2014,4.53,4.65,4.53,4.65,14000
RAVT,26-Mar-2014,4.50,4.65,4.37,4.50,11000
RAVT,27-Mar-2014,4.25,4.49,4.22,4.40,14500
RAVT,28-Mar-2014,4.31,4.35,4.20,4.23,6500
RAVT,31-Mar-2014,4.75,4.75,4.31,4.34,14500
RAVT,01-Apr-2014,4.48,4.88,4.48,4.51,47500
RAVT,02-Apr-2014,4.70,4.70,4.50,4.55,19000
RAVT,03-Apr-2014,4.41,4.50,4.40,4.49,12500
RAVT,04-Apr-2014,4.59,4.59,4.06,4.37,39500
RAVT,07-Apr-2014,4.40,4.40,4.40,4.40,7000
RAVT,08-Apr-2014,4.35,4.98,4.35,4.70,129000
RAVT,09-Apr-2014,4.75,4.84,4.70,4.75,43000
RAVT,10-Apr-2014,4.85,4.95,4.55,4.60,102500
RAVT,11-Apr-2014,4.69,4.69,4.45,4.50,7500
RAVT,14-Apr-2014,4.35,4.45,4.15,4.23,34000
RAVT,15-Apr-2014,4.20,4.23,4.10,4.19,53000
RAVT,16-Apr-2014,4.25,4.39,4.10,4.20,27000
RAVT,17-Apr-2014,4.15,4.18,3.95,3.97,134000
RAVT,18-Apr-2014,4.25,4.97,4.25,4.51,204000
RAVT,21-Apr-2014,4.65,4.65,4.15,4.23,38000
RAVT,22-Apr-2014,4.26,4.26,4.05,4.18,50000
RAVT,23-Apr-2014,4.38,4.38,4.00,4.02,42500
RAVT,24-Apr-2014,4.00,4.03,3.99,4.00,49000
RAVT,25-Apr-2014,4.00,4.00,3.91,3.91,20500
RAVT,28-Apr-2014,3.86,3.99,3.85,3.99,3000
RAVT,29-Apr-2014,3.85,3.99,3.85,3.99,1500
RAVT,30-Apr-2014,3.81,4.00,3.81,4.00,7500
RAVT,02-May-2014,4.08,4.08,3.84,3.88,20500
RAVT,05-May-2014,3.85,3.85,3.50,3.75,35500
RAVT,06-May-2014,3.85,3.85,3.75,3.75,8500
RAVT,07-May-2014,3.75,3.75,3.55,3.75,7000
RAVT,08-May-2014,3.70,3.95,3.65,3.80,15000
RAVT,12-May-2014,3.70,3.70,3.60,3.60,10500
RAVT,13-May-2014,3.61,4.15,3.61,3.79,5500
RAVT,14-May-2014,3.80,3.98,3.70,3.70,16000
RAVT,15-May-2014,3.74,3.75,3.74,3.75,8000
RAVT,16-May-2014,3.90,4.45,3.90,4.25,145500
RAVT,19-May-2014,4.10,4.28,4.04,4.13,40000
RAVT,20-May-2014,4.14,4.15,3.82,3.99,12000
RAVT,21-May-2014,3.65,4.12,3.65,3.83,24500
RAVT,22-May-2014,3.99,4.40,3.99,4.10,46500
RAVT,23-May-2014,3.92,4.00,3.92,4.00,1500
RAVT,26-May-2014,4.09,4.10,4.00,4.08,38000
RAVT,27-May-2014,4.01,4.09,4.00,4.09,10000
RAVT,28-May-2014,4.00,4.00,3.90,3.98,23000
RAVT,29-May-2014,3.95,4.15,3.95,4.09,25500
RAVT,30-May-2014,4.00,4.23,3.85,3.96,24500
RAVT,02-Jun-2014,3.83,3.99,3.82,3.99,4500
RAVT,03-Jun-2014,4.01,4.19,3.95,3.95,63500
RAVT,04-Jun-2014,4.45,4.70,4.20,4.44,195000
RAVT,05-Jun-2014,4.59,4.75,4.30,4.38,17500
RAVT,06-Jun-2014,4.10,4.55,3.61,4.01,25500
RAVT,09-Jun-2014,4.05,4.05,4.05,4.05,1500
RAVT,10-Jun-2014,3.70,4.00,3.70,3.88,13500
RAVT,11-Jun-2014,4.17,4.17,3.88,3.88,8000
RAVT,12-Jun-2014,4.00,4.19,4.00,4.09,28500
RAVT,13-Jun-2014,4.08,4.13,3.90,4.05,18000
RAVT,16-Jun-2014,3.81,3.95,3.80,3.88,7500
RAVT,17-Jun-2014,4.18,4.20,3.80,3.87,21500
RAVT,18-Jun-2014,3.90,3.99,3.70,3.80,28000
RAVT,19-Jun-2014,3.51,3.99,3.16,3.29,111000
RAVT,20-Jun-2014,3.40,3.69,3.30,3.36,24500
RAVT,23-Jun-2014,3.50,3.50,3.25,3.45,6500
