Symbol,Date,Open,High,Low,Close,Volume
RCML,01-Jan-2014,97.00,101.60,97.00,101.60,3000
RCML,02-Jan-2014,101.00,105.90,101.00,104.97,2000
RCML,03-Jan-2014,99.75,99.75,99.75,104.97,500
RCML,06-Jan-2014,105.00,105.00,105.00,105.00,1000
RCML,20-Jan-2014,100.00,100.00,100.00,100.00,3000
RCML,21-Jan-2014,104.35,104.35,95.40,98.50,9000
RCML,22-Jan-2014,101.90,103.24,101.90,103.18,4500
RCML,23-Jan-2014,105.00,108.33,105.00,108.33,13000
RCML,24-Jan-2014,113.74,113.74,113.74,113.74,1000
RCML,27-Jan-2014,119.42,119.42,119.42,119.42,500
RCML,29-Jan-2014,131.45,131.45,118.94,119.47,9500
RCML,30-Jan-2014,125.44,125.44,124.00,125.44,3000
RCML,31-Jan-2014,127.00,131.71,126.00,131.30,18000
RCML,03-Feb-2014,131.50,131.50,124.74,124.87,11500
RCML,04-Feb-2014,120.00,120.02,118.63,118.63,4000
RCML,07-Feb-2014,120.00,120.00,120.00,120.00,500
RCML,10-Feb-2014,123.99,123.99,114.00,114.00,8500
RCML,11-Feb-2014,114.00,114.00,108.30,108.37,4500
RCML,12-Feb-2014,109.55,113.78,109.55,113.78,1000
RCML,13-Feb-2014,113.78,113.78,113.78,113.78,500
RCML,14-Feb-2014,110.00,110.00,109.00,109.00,2000
RCML,17-Feb-2014,103.55,105.00,103.55,104.03,1500
RCML,18-Feb-2014,105.00,105.00,105.00,105.00,500
RCML,19-Feb-2014,105.00,105.00,105.00,105.00,500
RCML,20-Feb-2014,99.75,99.75,99.75,99.75,1000
RCML,21-Feb-2014,95.00,95.00,95.00,95.00,1000
RCML,24-Feb-2014,99.70,99.70,99.70,99.70,500
RCML,27-Feb-2014,94.72,103.80,94.72,103.00,2500
RCML,03-Mar-2014,102.00,105.90,100.00,105.90,1500
RCML,04-Mar-2014,100.61,111.00,100.61,100.63,4000
RCML,05-Mar-2014,102.50,103.00,102.00,102.00,2000
RCML,06-Mar-2014,102.00,105.00,102.00,105.00,2000
RCML,07-Mar-2014,102.00,102.00,102.00,102.00,3000
RCML,10-Mar-2014,102.00,103.00,102.00,103.00,3000
RCML,11-Mar-2014,99.00,99.00,99.00,99.00,1000
RCML,13-Mar-2014,95.00,95.00,95.00,95.00,500
RCML,14-Mar-2014,93.50,98.00,93.50,98.00,1000
RCML,17-Mar-2014,96.00,102.80,96.00,102.80,1000
RCML,18-Mar-2014,103.00,103.00,103.00,103.00,500
RCML,19-Mar-2014,98.25,98.25,97.85,97.85,1000
RCML,21-Mar-2014,97.85,97.85,97.85,97.85,1000
RCML,25-Mar-2014,93.55,93.55,93.55,93.55,1000
RCML,03-Apr-2014,90.00,97.90,90.00,97.90,1000
RCML,05-May-2014,91.00,91.00,91.00,91.00,1500
RCML,06-May-2014,90.00,90.00,90.00,90.00,500
RCML,19-May-2014,88.00,88.00,88.00,88.00,500
RCML,30-May-2014,84.50,84.50,80.28,84.50,2000
RCML,02-Jun-2014,80.28,86.90,80.28,86.90,1000
RCML,04-Jun-2014,91.00,91.00,83.05,90.00,1500
RCML,05-Jun-2014,85.51,91.80,85.51,89.00,2000
RCML,06-Jun-2014,85.00,85.00,85.00,85.00,1000
RCML,09-Jun-2014,85.00,85.00,85.00,85.00,1000
RCML,11-Jun-2014,84.20,84.20,84.20,84.20,500
RCML,16-Jun-2014,82.00,82.00,82.00,82.00,1000
RCML,18-Jun-2014,80.00,80.00,80.00,80.00,1000
RCML,19-Jun-2014,80.00,80.00,80.00,80.00,3000
RCML,20-Jun-2014,84.00,84.00,84.00,84.00,500
RCML,25-Jun-2014,80.25,86.90,80.25,86.90,1000
RCML,07-Jul-2014,82.56,82.56,82.56,82.56,500
RCML,14-Jul-2014,77.00,77.00,77.00,77.00,500
RCML,15-Jul-2014,73.25,73.25,73.25,73.25,500
RCML,21-Jul-2014,69.59,69.59,69.59,69.59,500
RCML,24-Jul-2014,67.25,73.05,66.25,66.25,1500
RCML,11-Aug-2014,62.95,62.95,62.95,62.95,500
RCML,19-Aug-2014,60.00,60.00,60.00,60.00,4000
RCML,03-Sep-2014,58.00,63.00,58.00,63.00,1000
RCML,04-Sep-2014,64.00,66.15,64.00,66.15,1500
RCML,05-Sep-2014,69.45,69.45,64.01,64.01,1500
RCML,08-Sep-2014,65.00,67.21,65.00,67.21,2000
RCML,11-Sep-2014,66.00,70.57,66.00,70.57,1000
RCML,12-Sep-2014,67.10,74.09,67.10,74.09,1000
RCML,15-Sep-2014,71.50,77.75,71.50,77.75,1500
RCML,16-Sep-2014,74.00,81.63,74.00,81.63,1000
RCML,17-Sep-2014,78.15,85.01,78.15,85.01,1000
RCML,18-Sep-2014,82.00,82.00,80.80,80.80,1500
RCML,19-Sep-2014,84.75,84.75,76.76,80.38,4000
RCML,23-Sep-2014,83.90,83.90,83.90,83.90,500
RCML,25-Sep-2014,80.00,87.90,80.00,87.90,2000
RCML,03-Oct-2014,88.00,92.00,83.51,83.51,3000
RCML,30-Oct-2014,82.00,82.00,77.90,77.90,2000
RCML,31-Oct-2014,74.10,81.79,74.09,81.79,3000
RCML,21-Nov-2014,79.00,85.80,79.00,85.80,1000
RCML,26-Nov-2014,82.00,90.00,82.00,86.00,1000
RCML,11-Dec-2014,83.00,89.90,83.00,89.90,1000
RCML,19-Dec-2014,85.41,85.41,85.41,85.41,500
RCML,22-Dec-2014,89.68,89.68,89.68,89.68,500
RCML,07-Jan-2015,85.50,93.90,85.50,89.70,1000
RCML,08-Jan-2015,90.00,93.90,90.00,93.90,1000
RCML,13-Jan-2015,90.00,90.00,90.00,90.00,2000
RCML,14-Jan-2015,85.60,85.60,85.60,85.60,1000
RCML,19-Jan-2015,89.88,89.88,89.88,89.88,1500
RCML,27-Jan-2015,85.41,85.41,85.41,85.41,5500
RCML,11-Feb-2015,89.68,89.68,89.68,89.68,1500
RCML,02-Mar-2015,85.20,85.20,85.20,85.20,500
RCML,09-Mar-2015,81.10,81.10,81.10,81.10,500
RCML,10-Mar-2015,77.11,77.11,77.10,77.10,1000
RCML,17-Mar-2015,73.30,73.30,73.30,73.30,500
RCML,19-Mar-2015,73.30,73.30,73.30,73.30,500
RCML,24-Mar-2015,70.10,70.10,70.10,70.10,500
RCML,14-Apr-2015,66.60,66.60,66.60,66.60,1000
RCML,22-Apr-2015,69.50,69.50,69.50,69.50,3000
RCML,23-Apr-2015,72.90,72.97,72.90,72.97,1000
RCML,27-Apr-2015,76.61,76.61,76.61,76.61,500
RCML,28-May-2015,72.78,72.78,72.78,72.78,1000
RCML,08-Jun-2015,70.00,76.41,70.00,76.41,1500
RCML,11-Jun-2015,80.23,80.23,80.23,80.23,500
RCML,22-Jun-2015,80.00,84.24,80.00,84.24,1000
RCML,23-Jun-2015,88.45,88.45,88.45,88.45,500
RCML,24-Jun-2015,92.87,92.87,92.87,92.87,500
RCML,06-Jul-2015,88.30,88.30,88.30,88.30,1000
RCML,08-Jul-2015,84.10,84.10,84.10,84.10,1000
RCML,14-Jul-2015,80.10,80.10,80.10,80.10,500
RCML,29-Jul-2015,77.10,77.10,77.10,77.10,1000
RCML,07-Aug-2015,75.10,75.10,75.10,75.10,500
RCML,24-Aug-2015,83.36,83.36,83.36,83.36,500
RCML,04-Sep-2015,96.22,96.22,96.22,96.22,3500
RCML,07-Sep-2015,96.30,101.03,96.30,101.03,3500
RCML,08-Sep-2015,106.08,106.08,106.08,106.08,500
RCML,11-Sep-2015,111.38,111.38,111.38,111.38,1000
RCML,28-Sep-2015,110.00,110.00,110.00,110.00,1000
RCML,12-Oct-2015,102.00,102.00,102.00,102.00,1500
RCML,14-Oct-2015,104.00,104.00,104.00,104.00,500
RCML,27-Jan-2016,98.75,98.75,89.35,89.35,2500
RCML,27-Apr-2016,84.89,84.89,84.89,84.89,500
RCML,09-May-2016,80.65,80.65,80.65,80.65,500
RCML,18-May-2016,84.68,84.68,84.68,84.68,1000
RCML,30-May-2016,82.00,82.00,82.00,82.00,500
RCML,02-Jun-2016,86.10,86.10,86.10,86.10,500
RCML,24-Jun-2016,82.20,82.20,82.20,82.20,500
RCML,14-Jul-2016,86.31,86.31,86.31,86.31,500
RCML,18-Jul-2016,90.62,90.62,90.62,90.62,1000
RCML,09-Aug-2016,95.00,95.00,95.00,95.00,1000
RCML,15-Aug-2016,99.75,99.75,99.75,99.75,1000
RCML,24-Aug-2016,104.73,104.73,104.73,104.73,500
RCML,25-Aug-2016,109.96,109.96,109.96,109.96,500
RCML,16-Sep-2016,109.00,109.00,109.00,109.00,1000
RCML,28-Sep-2016,109.99,114.45,109.99,111.48,1500
RCML,06-Oct-2016,117.05,117.05,117.00,117.00,2000
RCML,07-Oct-2016,117.00,122.84,117.00,122.84,1000
RCML,13-Oct-2016,123.00,123.00,123.00,123.00,500
RCML,17-Oct-2016,124.50,125.00,124.50,124.75,1500
RCML,20-Oct-2016,121.00,125.73,121.00,125.73,3000
RCML,21-Oct-2016,129.90,130.00,129.90,130.00,1000
RCML,25-Oct-2016,136.50,136.50,136.50,136.50,2500
RCML,26-Oct-2016,143.32,143.32,143.32,143.32,500
RCML,27-Oct-2016,150.48,150.48,149.90,149.90,8000
RCML,28-Oct-2016,157.38,157.38,155.00,155.00,1000
RCML,31-Oct-2016,150.00,152.00,147.25,147.25,3500
RCML,01-Nov-2016,154.60,154.60,142.00,150.99,1500
RCML,02-Nov-2016,145.00,145.00,143.45,144.25,3000
RCML,03-Nov-2016,145.00,145.00,145.00,145.00,500
RCML,08-Nov-2016,140.00,140.00,140.00,140.00,500
RCML,22-Nov-2016,140.00,140.00,140.00,140.00,500
RCML,24-Nov-2016,146.00,147.00,146.00,147.00,2500
RCML,28-Nov-2016,145.50,145.50,145.50,145.50,1000
RCML,29-Nov-2016,145.10,145.10,145.00,145.00,1500
RCML,13-Dec-2016,138.10,138.10,138.10,138.10,500
RCML,15-Dec-2016,145.00,145.00,145.00,145.00,1500
RCML,29-Dec-2016,143.00,145.00,143.00,145.00,16500
RCML,30-Dec-2016,151.90,151.90,151.90,151.90,500
RCML,02-Jan-2017,148.00,148.00,148.00,148.00,1000
RCML,05-Jan-2017,141.10,141.10,141.10,141.10,500
RCML,10-Jan-2017,148.15,148.15,148.15,148.15,1000
RCML,18-Jan-2017,143.00,149.00,143.00,149.00,500
RCML,19-Jan-2017,156.45,156.45,156.45,156.45,200
RCML,20-Jan-2017,150.00,150.00,150.00,150.00,500
RCML,13-Feb-2017,149.00,157.00,149.00,157.00,1000
RCML,18-Apr-2017,150.00,150.00,150.00,150.00,200
RCML,20-Apr-2017,145.00,145.00,145.00,145.00,100
RCML,24-Apr-2017,137.75,137.75,137.75,137.75,26200
RCML,03-May-2017,131.10,131.12,131.10,131.11,500
RCML,28-Aug-2017,125.35,125.35,125.35,125.35,300
RCML,14-Sep-2017,125.35,125.35,125.35,125.35,100
RCML,20-Sep-2017,125.35,125.35,125.35,125.35,100
RCML,21-Sep-2017,119.09,125.35,119.09,125.35,200
RCML,06-Dec-2017,123.85,123.85,123.85,123.85,100
RCML,13-Dec-2017,124.99,125.00,124.99,125.00,3200
RCML,14-Dec-2017,131.25,131.25,131.25,131.25,6600
RCML,27-Dec-2017,125.00,125.00,125.00,125.00,300
RCML,03-Jan-2018,119.00,119.00,119.00,119.00,1000
RCML,05-Jan-2018,119.00,119.00,119.00,119.00,100
RCML,08-Jan-2018,124.95,124.95,124.95,124.95,500
RCML,09-Jan-2018,130.00,130.00,130.00,130.00,600
RCML,10-Jan-2018,136.50,136.50,136.50,136.50,2200
RCML,11-Jan-2018,143.29,143.29,143.29,143.29,200
RCML,12-Jan-2018,149.99,149.99,149.99,149.99,200
RCML,15-Jan-2018,157.47,157.47,157.47,157.47,200
RCML,18-Jan-2018,143.28,143.28,143.28,143.28,600
RCML,19-Jan-2018,136.12,136.12,136.12,136.12,600
RCML,22-Jan-2018,142.92,142.92,142.92,142.92,200
RCML,23-Jan-2018,135.79,135.79,135.79,135.79,200
RCML,24-Jan-2018,129.51,130.50,129.50,129.90,700
RCML,25-Jan-2018,123.42,136.39,123.42,131.50,900
RCML,26-Jan-2018,124.94,138.07,124.94,138.07,700
RCML,29-Jan-2018,131.18,131.18,131.18,131.18,200
RCML,31-Jan-2018,130.01,137.77,130.01,137.77,1100
RCML,01-Feb-2018,144.65,144.65,144.65,144.65,4300
RCML,02-Feb-2018,151.88,151.88,151.88,151.88,3000
RCML,06-Feb-2018,159.46,159.46,159.46,159.46,200
RCML,07-Feb-2018,151.49,159.89,151.49,159.89,700
RCML,09-Feb-2018,151.90,151.90,151.90,151.90,3100
RCML,12-Feb-2018,145.01,145.01,145.01,145.01,200
RCML,14-Feb-2018,152.26,152.26,144.00,144.00,700
RCML,15-Feb-2018,136.80,136.80,136.80,136.80,200
RCML,16-Feb-2018,131.01,143.64,131.01,137.33,300
RCML,22-Feb-2018,130.80,144.19,130.80,144.19,700
RCML,28-Feb-2018,136.99,136.99,136.99,136.99,200
RCML,02-Mar-2018,131.01,131.01,131.01,131.01,200
RCML,06-Mar-2018,131.01,131.01,131.01,131.01,100
RCML,07-Mar-2018,131.10,131.10,131.10,131.10,100
RCML,08-Mar-2018,132.00,137.65,130.00,137.65,3000
RCML,12-Mar-2018,144.53,144.53,144.53,144.53,800
RCML,13-Mar-2018,144.53,144.53,144.53,144.53,1200
RCML,14-Mar-2018,151.75,151.75,151.75,151.75,9000
RCML,15-Mar-2018,159.31,159.33,159.31,159.33,1000
RCML,19-Mar-2018,159.33,159.33,159.33,159.33,100
RCML,22-Mar-2018,159.33,159.33,159.33,159.33,100
RCML,27-Mar-2018,159.33,159.33,159.33,159.33,100
RCML,28-Mar-2018,159.33,159.59,159.33,159.59,400
RCML,30-Apr-2018,159.59,159.59,159.59,159.59,100
RCML,02-Aug-2018,135.38,135.38,135.38,135.38,1000
RCML,29-Aug-2018,142.27,142.27,142.27,142.27,100
RCML,31-Oct-2018,141.00,144.00,141.00,142.50,200
RCML,01-Nov-2018,142.50,142.50,142.50,142.50,100
RCML,08-Nov-2018,142.50,142.50,142.50,142.50,100
RCML,12-Nov-2018,145.00,149.00,145.00,148.03,7000
RCML,30-Nov-2018,141.10,141.10,141.10,141.10,500
RCML,06-Dec-2018,143.33,143.33,143.33,143.33,400
RCML,02-Jan-2019,143.33,143.33,143.33,143.33,100
RCML,18-Jan-2019,149.50,149.50,149.50,149.50,500
RCML,13-Mar-2019,148.00,148.00,147.00,147.50,200
RCML,14-Mar-2019,154.87,154.87,154.87,154.87,200
RCML,25-Mar-2019,149.00,149.00,147.30,147.78,500
RCML,01-Apr-2019,146.10,146.10,145.00,145.07,1000
RCML,28-May-2019,146.00,146.00,146.00,146.00,500
RCML,29-May-2019,146.10,146.60,141.60,141.60,5700
RCML,30-May-2019,146.00,146.00,146.00,146.00,200
RCML,30-Sep-2019,138.70,138.70,138.70,138.70,800
RCML,14-Oct-2019,138.70,138.70,138.70,138.70,100
RCML,16-Oct-2019,138.70,138.70,138.70,138.70,100
RCML,19-Nov-2019,130.70,130.70,130.70,130.70,100
RCML,09-Dec-2019,140.00,140.00,140.00,140.00,500
RCML,10-Dec-2019,145.00,145.00,145.00,145.00,200
RCML,27-Dec-2019,135.00,135.00,135.00,135.00,500
RCML,22-Jan-2020,128.00,128.00,128.00,128.00,500
RCML,07-Feb-2020,125.00,125.00,125.00,125.00,300
RCML,10-Feb-2020,125.00,125.00,125.00,125.00,100
RCML,07-Aug-2020,128.50,128.50,128.50,128.50,100
RCML,23-Sep-2020,123.00,130.00,123.00,126.50,200
RCML,12-Oct-2020,132.99,135.95,132.99,135.95,1000
RCML,22-Dec-2020,126.00,135.00,126.00,130.50,200
RCML,30-Dec-2020,130.50,130.50,130.50,130.50,100
RCML,08-Jan-2021,140.28,140.28,140.27,140.28,1100
RCML,20-Jan-2021,150.00,150.80,150.00,150.80,1300
RCML,21-Jan-2021,160.00,162.10,160.00,162.10,1800
RCML,22-Jan-2021,170.10,174.25,170.10,174.25,1900
RCML,25-Jan-2021,187.31,187.31,187.30,187.31,3900
RCML,26-Jan-2021,187.00,199.98,173.28,180.09,2000
RCML,27-Jan-2021,170.01,170.01,166.59,166.59,1800
RCML,28-Jan-2021,155.02,156.30,155.00,155.70,900
RCML,29-Jan-2021,166.00,167.37,155.70,167.37,3300
RCML,01-Feb-2021,165.00,170.00,165.00,170.00,900
RCML,03-Feb-2021,165.05,173.00,163.00,168.00,400
RCML,04-Feb-2021,168.00,168.00,168.00,168.00,100
RCML,09-Feb-2021,165.00,170.00,165.00,165.01,800
RCML,11-Feb-2021,165.01,165.01,165.01,165.01,100
RCML,19-Feb-2021,160.00,170.00,160.00,170.00,400
RCML,22-Feb-2021,158.00,160.00,158.00,159.00,300
RCML,24-Feb-2021,157.00,157.00,157.00,157.00,300
RCML,25-Feb-2021,162.00,164.99,162.00,163.50,200
RCML,08-Mar-2021,163.50,163.50,163.50,163.50,100
RCML,09-Mar-2021,160.00,160.00,155.00,157.50,2800
RCML,25-Mar-2021,157.50,157.50,157.50,157.50,100
RCML,27-Apr-2021,169.71,169.71,157.88,169.71,3400
RCML,28-Apr-2021,175.00,182.40,175.00,179.70,300
RCML,29-Apr-2021,190.00,193.17,188.10,188.10,3400
RCML,30-Apr-2021,190.00,201.00,190.00,193.67,600
RCML,31-May-2021,193.67,193.67,193.67,193.67,100
RCML,02-Jun-2021,194.00,194.99,193.99,194.49,300
RCML,17-Jun-2021,180.00,180.00,180.00,180.00,200
RCML,18-Jun-2021,180.00,180.00,180.00,180.00,100
RCML,25-Jun-2021,193.70,193.70,193.70,193.70,500
RCML,14-Jul-2021,181.10,181.10,180.00,180.84,500
RCML,03-Aug-2021,175.00,180.84,175.00,180.84,1900
RCML,05-Aug-2021,180.84,180.84,180.84,180.84,100
RCML,09-Aug-2021,180.84,180.84,180.84,180.84,100
RCML,16-Sep-2021,180.84,180.84,180.84,180.84,100
RCML,22-Sep-2021,189.99,190.00,189.99,190.00,3600
RCML,23-Sep-2021,204.25,204.25,200.00,200.00,500
