Symbol,Date,Open,High,Low,Close,Volume
REDCO,01-Jan-2014,4.90,5.57,4.62,5.51,333500
REDCO,02-Jan-2014,5.60,6.40,5.15,5.70,645500
REDCO,03-Jan-2014,6.00,6.08,5.60,5.92,402500
REDCO,06-Jan-2014,5.99,6.20,5.61,5.92,501000
REDCO,07-Jan-2014,5.95,6.92,5.90,6.92,1298000
REDCO,08-Jan-2014,7.25,7.92,7.00,7.58,1626000
REDCO,09-Jan-2014,7.88,7.88,6.60,6.95,731000
REDCO,10-Jan-2014,7.20,7.25,6.70,6.79,228500
REDCO,13-Jan-2014,7.08,7.30,6.91,7.04,186500
REDCO,15-Jan-2014,7.00,7.24,6.60,6.70,140500
REDCO,16-Jan-2014,6.51,6.70,6.08,6.24,67500
REDCO,17-Jan-2014,6.20,6.40,5.99,6.00,94000
REDCO,20-Jan-2014,6.01,6.24,5.99,6.02,93000
REDCO,21-Jan-2014,6.05,6.65,6.05,6.31,103500
REDCO,22-Jan-2014,6.49,7.30,6.26,7.02,510000
REDCO,23-Jan-2014,7.15,7.24,6.75,6.76,159000
REDCO,24-Jan-2014,6.61,6.90,6.61,6.80,65000
REDCO,27-Jan-2014,6.55,6.75,6.40,6.65,88000
REDCO,28-Jan-2014,6.90,6.90,6.40,6.79,52000
REDCO,29-Jan-2014,6.35,6.92,6.35,6.89,50500
REDCO,30-Jan-2014,6.25,6.89,6.25,6.79,20500
REDCO,31-Jan-2014,6.80,6.80,6.35,6.63,24500
REDCO,03-Feb-2014,6.36,6.40,6.35,6.35,10500
REDCO,04-Feb-2014,6.26,6.26,6.15,6.16,46000
REDCO,06-Feb-2014,6.05,6.40,5.90,6.01,112000
REDCO,07-Feb-2014,5.86,5.86,5.61,5.79,4000
REDCO,10-Feb-2014,5.45,5.66,5.21,5.66,20000
REDCO,11-Feb-2014,5.31,5.55,4.95,5.05,182500
REDCO,12-Feb-2014,5.20,5.55,5.20,5.39,63000
REDCO,13-Feb-2014,5.35,5.35,5.01,5.24,44500
REDCO,14-Feb-2014,5.01,5.50,5.01,5.21,463000
REDCO,17-Feb-2014,5.12,5.20,4.64,5.14,33500
REDCO,18-Feb-2014,5.15,5.19,5.15,5.18,3000
REDCO,19-Feb-2014,5.20,5.20,5.00,5.10,32000
REDCO,20-Feb-2014,5.01,5.01,5.00,5.00,1500
REDCO,21-Feb-2014,5.00,5.00,5.00,5.00,6500
REDCO,24-Feb-2014,5.05,5.05,5.00,5.00,4500
REDCO,25-Feb-2014,4.80,5.45,4.80,5.15,48500
REDCO,26-Feb-2014,5.20,5.20,4.91,5.00,14000
REDCO,27-Feb-2014,5.00,5.00,4.75,4.75,12500
REDCO,28-Feb-2014,4.60,4.94,4.41,4.52,55500
REDCO,03-Mar-2014,4.99,5.00,4.99,5.00,2000
REDCO,04-Mar-2014,4.89,4.90,4.67,4.87,4000
REDCO,05-Mar-2014,4.95,4.95,4.80,4.82,11000
REDCO,06-Mar-2014,4.99,5.24,4.99,5.22,65500
REDCO,07-Mar-2014,5.34,5.34,5.05,5.07,12500
