Symbol,Date,Open,High,Low,Close,Volume
RICL,01-Jan-2014,8.05,8.25,8.05,8.09,28000
RICL,06-Jan-2014,8.45,8.45,8.29,8.29,2500
RICL,07-Jan-2014,8.25,8.29,8.20,8.25,17000
RICL,08-Jan-2014,8.45,8.45,8.25,8.38,39000
RICL,09-Jan-2014,8.39,8.50,8.25,8.25,26500
RICL,10-Jan-2014,8.40,8.40,8.40,8.40,500
RICL,13-Jan-2014,8.50,8.50,8.40,8.45,7000
RICL,15-Jan-2014,8.40,9.40,8.40,8.78,128000
RICL,16-Jan-2014,8.90,8.95,8.58,8.77,4000
RICL,17-Jan-2014,8.95,9.35,8.64,9.11,52000
RICL,20-Jan-2014,9.49,9.70,9.30,9.44,35000
RICL,21-Jan-2014,9.49,10.44,9.49,10.42,231500
RICL,22-Jan-2014,10.50,10.96,10.50,10.56,111000
RICL,23-Jan-2014,10.70,10.70,10.00,10.01,25500
RICL,24-Jan-2014,10.00,10.00,9.75,9.90,7000
RICL,27-Jan-2014,9.85,10.88,9.79,10.52,230500
RICL,28-Jan-2014,10.63,10.63,10.25,10.25,6000
RICL,29-Jan-2014,10.01,11.10,10.00,11.10,47500
RICL,30-Jan-2014,11.48,11.48,10.50,10.50,6500
RICL,31-Jan-2014,10.99,10.99,10.12,10.21,10500
RICL,03-Feb-2014,10.88,10.88,10.07,10.60,10000
RICL,06-Feb-2014,9.99,10.33,9.99,10.19,1500
RICL,10-Feb-2014,9.90,10.16,9.40,10.16,4000
RICL,11-Feb-2014,10.50,10.86,10.50,10.86,1000
RICL,12-Feb-2014,10.30,10.44,10.30,10.44,3500
RICL,13-Feb-2014,10.50,10.50,10.00,10.35,6000
RICL,14-Feb-2014,10.00,10.38,10.00,10.20,8000
RICL,17-Feb-2014,9.40,9.90,9.40,9.90,1500
RICL,19-Feb-2014,9.50,9.55,9.00,9.40,7000
RICL,20-Feb-2014,9.10,9.40,9.10,9.40,3500
RICL,21-Feb-2014,9.45,9.50,8.91,9.45,19500
RICL,24-Feb-2014,9.60,9.60,9.60,9.60,1000
RICL,25-Feb-2014,9.27,9.27,9.26,9.26,1500
RICL,26-Feb-2014,9.01,9.01,9.00,9.00,1500
RICL,27-Feb-2014,9.00,9.00,8.40,8.60,12000
RICL,28-Feb-2014,8.60,8.89,8.45,8.58,20500
