Symbol,Date,Open,High,Low,Close,Volume
RMPL,01-Jan-2014,7900.00,8000.00,7900.00,8000.00,140
RMPL,07-Jan-2014,7700.00,7700.00,7700.00,8000.00,40
RMPL,08-Jan-2014,7625.00,7700.00,7625.00,7675.00,100
RMPL,09-Jan-2014,7770.00,7770.00,7600.00,7610.00,80
RMPL,15-Jan-2014,7940.00,7940.00,7940.00,7940.00,20
RMPL,17-Jan-2014,7800.00,7900.00,7765.00,7765.00,60
RMPL,23-Jan-2014,7850.00,7875.00,7850.00,7875.00,40
RMPL,24-Jan-2014,7880.00,7900.00,7875.00,7900.00,80
RMPL,27-Jan-2014,7610.00,7610.00,7505.00,7505.00,440
RMPL,28-Jan-2014,7401.00,7401.00,7355.00,7372.00,60
RMPL,29-Jan-2014,7100.00,7100.00,7003.40,7003.40,60
RMPL,07-Feb-2014,6700.00,6700.00,6700.00,6700.00,20
RMPL,10-Feb-2014,6365.10,6365.10,6365.00,6365.00,120
RMPL,11-Feb-2014,6683.25,6683.25,6683.25,6683.25,480
RMPL,12-Feb-2014,7017.41,7017.41,7017.41,7017.41,600
RMPL,13-Feb-2014,7368.28,7368.28,7368.28,7368.28,40
RMPL,14-Feb-2014,7736.69,7736.69,7736.69,7736.69,640
RMPL,17-Feb-2014,8123.52,8123.52,7800.00,7800.00,440
RMPL,18-Feb-2014,7410.00,7490.00,7410.00,7490.00,180
RMPL,20-Feb-2014,7600.00,7600.00,7275.08,7275.08,40
RMPL,21-Feb-2014,7500.00,7635.00,7500.00,7559.12,340
RMPL,26-Feb-2014,7300.00,7300.00,7280.01,7300.00,80
RMPL,27-Feb-2014,7300.00,7300.00,7300.00,7300.00,20
RMPL,03-Mar-2014,7310.00,7499.00,7310.00,7499.00,40
RMPL,04-Mar-2014,7500.00,7873.95,7500.00,7794.73,460
RMPL,05-Mar-2014,7600.00,7800.00,7501.00,7655.00,180
RMPL,06-Mar-2014,7749.00,7801.00,7749.00,7800.00,220
RMPL,10-Mar-2014,7610.00,7750.00,7500.00,7750.00,160
RMPL,12-Mar-2014,7650.00,7651.00,7650.00,7651.00,40
RMPL,13-Mar-2014,7700.00,7750.00,7700.00,7750.00,60
RMPL,19-Mar-2014,7700.00,7800.00,7500.00,7775.00,380
RMPL,21-Mar-2014,7700.00,8100.00,7700.00,7999.80,140
RMPL,24-Mar-2014,7800.00,8395.00,7599.81,8100.00,2100
RMPL,25-Mar-2014,8389.00,8505.00,8150.01,8496.50,1460
RMPL,26-Mar-2014,8300.01,8600.00,8300.01,8600.00,140
RMPL,27-Mar-2014,8999.99,9030.00,8999.99,9030.00,380
RMPL,28-Mar-2014,9481.50,9481.50,9481.50,9481.50,480
RMPL,31-Mar-2014,9110.00,9110.00,9110.00,9110.00,20
RMPL,02-Apr-2014,8775.00,8775.00,8700.00,8700.00,60
RMPL,03-Apr-2014,8600.00,8600.00,8600.00,8600.00,20
RMPL,04-Apr-2014,8300.00,8300.00,8225.00,8225.00,60
RMPL,07-Apr-2014,8125.00,8636.25,8100.00,8636.25,460
RMPL,08-Apr-2014,8600.00,9068.00,8600.00,9060.28,440
RMPL,09-Apr-2014,9513.00,9513.29,9500.00,9500.00,580
RMPL,10-Apr-2014,9200.00,9499.99,9200.00,9350.00,40
RMPL,11-Apr-2014,9000.03,9500.00,9000.00,9470.00,220
RMPL,14-Apr-2014,9800.00,9943.50,9799.99,9943.50,780
RMPL,15-Apr-2014,10000.00,10430.00,10000.00,10430.00,40
RMPL,16-Apr-2014,10880.00,10951.50,10880.00,10951.50,460
RMPL,17-Apr-2014,10500.00,10500.00,10500.00,10500.00,100
RMPL,18-Apr-2014,10000.01,10000.01,10000.00,10000.00,100
RMPL,21-Apr-2014,10450.00,10500.00,10450.00,10500.00,380
RMPL,22-Apr-2014,10600.00,11000.00,10600.00,10740.00,300
RMPL,23-Apr-2014,10203.00,10300.00,10203.00,10300.00,120
RMPL,24-Apr-2014,9800.00,10815.00,9785.00,10416.67,920
RMPL,29-Apr-2014,10000.00,10500.00,10000.00,10450.00,140
RMPL,30-Apr-2014,10500.00,10500.00,10200.00,10200.00,100
RMPL,02-May-2014,10299.99,10299.99,10299.99,10299.99,20
RMPL,06-May-2014,9805.00,10484.99,9800.00,10484.99,480
RMPL,07-May-2014,10000.00,10400.00,10000.00,10400.00,3360
RMPL,08-May-2014,10500.00,10800.00,10500.00,10650.00,40
RMPL,09-May-2014,10300.00,10300.00,10117.50,10117.50,240
RMPL,12-May-2014,9800.00,9800.00,9800.00,9800.00,20
RMPL,13-May-2014,10150.00,10280.00,10150.00,10150.00,120
RMPL,15-May-2014,10490.00,10490.00,10490.00,10490.00,40
RMPL,16-May-2014,10000.00,10600.00,10000.00,10221.00,360
RMPL,20-May-2014,10050.00,10500.00,10050.00,10499.25,300
RMPL,21-May-2014,10350.01,10900.00,10300.01,10750.00,1140
RMPL,22-May-2014,10899.99,11287.50,10899.99,11287.50,1420
RMPL,23-May-2014,11851.87,11851.87,11400.00,11400.00,880
RMPL,26-May-2014,11599.99,11600.00,11499.99,11500.00,200
RMPL,29-May-2014,11000.00,11700.00,11000.00,11700.00,540
RMPL,03-Jun-2014,11202.00,11898.99,11200.00,11700.00,1980
RMPL,04-Jun-2014,11600.00,11900.00,11220.00,11700.00,320
RMPL,05-Jun-2014,11500.00,12200.00,11500.00,12000.00,180
RMPL,09-Jun-2014,12600.00,12600.00,12000.00,12000.00,60
RMPL,12-Jun-2014,12000.00,12000.00,11400.00,11410.00,120
RMPL,13-Jun-2014,11400.00,11400.00,11400.00,11400.00,40
RMPL,16-Jun-2014,10830.00,10830.00,10830.00,10830.00,180
RMPL,18-Jun-2014,10600.00,10600.00,10600.00,10600.00,300
RMPL,19-Jun-2014,10799.00,10799.00,10799.00,10799.00,20
RMPL,23-Jun-2014,10355.00,10799.00,10355.00,10799.00,40
RMPL,24-Jun-2014,10500.00,10999.00,10500.00,10999.00,340
RMPL,25-Jun-2014,10449.06,11190.00,10449.06,11190.00,40
RMPL,27-Jun-2014,10630.50,11739.49,10630.50,11674.90,120
RMPL,30-Jun-2014,11092.00,11799.99,11092.00,11799.99,60
RMPL,01-Jul-2014,11600.00,11600.00,11600.00,11600.00,40
RMPL,04-Jul-2014,11021.00,11449.00,11020.00,11127.50,80
RMPL,14-Jul-2014,11257.96,11683.87,11257.96,11683.87,1000
RMPL,15-Jul-2014,11099.68,11499.99,11099.68,11299.84,40
RMPL,16-Jul-2014,11600.00,11750.00,10740.00,11300.00,380
RMPL,17-Jul-2014,11299.00,11300.00,11299.00,11300.00,160
RMPL,18-Jul-2014,11300.00,11300.00,11300.00,11300.00,140
RMPL,21-Jul-2014,11300.00,11300.00,11300.00,11300.00,20
RMPL,22-Jul-2014,11300.00,11599.00,11300.00,11300.00,100
RMPL,24-Jul-2014,11250.00,11250.00,11250.00,11250.00,40
RMPL,04-Aug-2014,11701.00,11701.00,11701.00,11701.00,20
RMPL,05-Aug-2014,11200.00,11200.00,11149.00,11149.00,240
RMPL,06-Aug-2014,11149.00,11149.00,11149.00,11149.00,100
RMPL,07-Aug-2014,11230.00,11230.00,11200.00,11210.00,80
RMPL,08-Aug-2014,10800.00,10800.00,10800.00,10800.00,100
RMPL,11-Aug-2014,10260.00,10260.00,10260.00,10260.00,20
RMPL,13-Aug-2014,9747.00,10100.00,9747.00,10100.00,160
RMPL,15-Aug-2014,10200.00,10400.00,10200.00,10400.00,140
RMPL,18-Aug-2014,10500.00,10500.00,10500.00,10500.00,100
RMPL,19-Aug-2014,10120.00,10120.00,10100.00,10120.00,60
RMPL,20-Aug-2014,10610.00,10626.00,10500.00,10626.00,480
RMPL,22-Aug-2014,10950.00,11150.00,10801.00,10975.50,120
RMPL,25-Aug-2014,10800.00,11000.00,10800.00,10922.50,140
RMPL,26-Aug-2014,10800.00,10890.00,10800.00,10822.50,160
RMPL,27-Aug-2014,10500.00,10700.00,10400.00,10700.00,560
RMPL,28-Aug-2014,10500.00,10890.00,10500.00,10501.00,160
RMPL,29-Aug-2014,10800.00,10800.00,10750.00,10775.00,40
RMPL,01-Sep-2014,10500.00,10500.00,10500.00,10500.00,40
RMPL,02-Sep-2014,10600.00,10750.00,10600.00,10750.00,120
RMPL,03-Sep-2014,10800.00,10800.00,10700.00,10700.00,60
RMPL,04-Sep-2014,10700.00,10700.00,10500.00,10500.00,400
RMPL,05-Sep-2014,10500.00,10600.00,10500.00,10562.50,160
RMPL,08-Sep-2014,10400.00,10400.00,10380.00,10390.00,180
RMPL,09-Sep-2014,10400.00,10400.00,10400.00,10400.00,20
RMPL,10-Sep-2014,10400.00,10400.00,10400.00,10400.00,40
RMPL,11-Sep-2014,10550.00,10550.00,10400.00,10500.00,1060
RMPL,15-Sep-2014,10550.00,10570.00,10550.00,10561.11,180
RMPL,16-Sep-2014,10400.00,10400.00,10400.00,10400.00,620
RMPL,17-Sep-2014,10500.00,10700.00,10495.00,10700.00,620
RMPL,18-Sep-2014,11200.00,11235.00,11200.00,11235.00,100
RMPL,22-Sep-2014,10500.00,10900.00,10500.00,10900.00,180
RMPL,25-Sep-2014,10900.00,10900.00,10401.00,10646.73,340
RMPL,26-Sep-2014,10300.00,11178.97,10114.40,10650.56,1060
RMPL,29-Sep-2014,10500.00,10900.00,10500.00,10900.00,40
RMPL,30-Sep-2014,10500.00,11445.00,10500.00,11145.45,600
RMPL,01-Oct-2014,11000.00,11200.00,11000.00,11200.00,140
RMPL,02-Oct-2014,11200.00,11250.00,11200.00,11250.00,100
RMPL,03-Oct-2014,11450.00,11450.00,11450.00,11450.00,20
RMPL,10-Oct-2014,11990.00,12000.00,11990.00,11999.95,140
RMPL,13-Oct-2014,11400.00,11400.00,11400.00,11400.00,20
RMPL,14-Oct-2014,11050.00,11399.00,11050.00,11334.43,480
RMPL,17-Oct-2014,11400.00,11401.00,11400.00,11400.00,260
RMPL,22-Oct-2014,11699.99,11699.99,11699.99,11699.99,20
RMPL,23-Oct-2014,11115.20,11395.00,11115.20,11395.00,360
RMPL,24-Oct-2014,11000.00,11000.00,11000.00,11000.00,20
RMPL,27-Oct-2014,11449.99,11449.99,11449.99,11449.99,20
RMPL,28-Oct-2014,11000.50,11000.50,11000.50,11000.50,100
RMPL,29-Oct-2014,10999.99,10999.99,10999.99,10999.99,100
RMPL,30-Oct-2014,10700.00,10700.00,10700.00,10700.00,20
RMPL,31-Oct-2014,11200.00,11235.00,11200.00,11235.00,80
RMPL,05-Nov-2014,11225.00,11225.00,10800.00,10850.00,140
RMPL,06-Nov-2014,10460.00,10800.00,10460.00,10791.67,140
RMPL,07-Nov-2014,10900.00,11300.00,10900.00,11085.00,80
RMPL,10-Nov-2014,11200.00,11200.00,11200.00,11200.00,40
RMPL,11-Nov-2014,11760.00,11760.00,10825.00,10825.00,60
RMPL,12-Nov-2014,11099.00,11366.25,11099.00,11144.21,120
RMPL,13-Nov-2014,10700.02,10700.02,10700.00,10700.01,60
RMPL,18-Nov-2014,10460.00,10460.00,10380.00,10380.00,40
RMPL,19-Nov-2014,10225.00,10225.00,10100.00,10100.00,200
RMPL,20-Nov-2014,10000.00,10594.00,10000.00,10421.33,180
RMPL,21-Nov-2014,10900.00,10900.00,10500.00,10900.00,100
RMPL,24-Nov-2014,10356.01,10400.00,10356.01,10400.00,200
RMPL,25-Nov-2014,10650.00,10700.00,10300.00,10300.00,320
RMPL,26-Nov-2014,10400.00,10400.00,10400.00,10400.00,100
RMPL,27-Nov-2014,10000.00,10200.00,9999.00,10200.00,80
RMPL,01-Dec-2014,9875.00,10500.00,9826.00,10255.00,200
RMPL,02-Dec-2014,10400.00,10550.00,10400.00,10457.50,120
RMPL,03-Dec-2014,10400.00,10400.00,10200.00,10250.00,200
RMPL,04-Dec-2014,10215.00,10475.00,10200.00,10352.60,320
RMPL,05-Dec-2014,10500.00,10520.00,10500.00,10501.82,240
RMPL,10-Dec-2014,10100.00,10325.00,10080.00,10325.00,60
RMPL,11-Dec-2014,10325.00,10500.00,10050.00,10200.00,540
RMPL,16-Dec-2014,9930.00,9930.00,9900.00,9900.00,80
RMPL,17-Dec-2014,10200.00,10200.00,10200.00,10200.00,20
RMPL,19-Dec-2014,10275.00,10275.00,10275.00,10275.00,17020
RMPL,22-Dec-2014,10000.00,10010.00,10000.00,10000.78,300
RMPL,23-Dec-2014,9825.00,10000.00,9825.00,10000.00,40
RMPL,24-Dec-2014,10000.00,10499.95,10000.00,10317.58,140
RMPL,26-Dec-2014,10480.00,10650.00,10100.00,10283.33,120
RMPL,29-Dec-2014,10249.00,10797.49,9902.00,10187.07,740
RMPL,30-Dec-2014,10655.00,10696.42,10655.00,10684.19,340
RMPL,31-Dec-2014,10700.00,11218.39,10700.00,11203.80,620
RMPL,01-Jan-2015,10651.00,11000.00,10651.00,11000.00,60
RMPL,02-Jan-2015,11391.00,11391.00,10500.00,11100.00,22140
RMPL,07-Jan-2015,10545.00,10545.00,10545.00,10545.00,40
RMPL,08-Jan-2015,10450.00,10500.00,10450.00,10500.00,40
RMPL,09-Jan-2015,10840.00,11025.00,10840.00,10972.14,200
RMPL,12-Jan-2015,11400.00,11520.00,11000.00,11500.00,2300
RMPL,13-Jan-2015,11102.00,11500.00,11102.00,11500.00,16820
RMPL,14-Jan-2015,11750.00,11750.00,11750.00,11750.00,40
RMPL,15-Jan-2015,12000.00,12000.00,12000.00,12000.00,6940
RMPL,16-Jan-2015,11450.00,12000.00,11450.00,11892.50,200
RMPL,22-Jan-2015,11500.00,11500.00,11300.00,11300.00,40
RMPL,26-Jan-2015,11860.00,11860.00,11860.00,11860.00,20
RMPL,29-Jan-2015,11300.00,11300.00,11300.00,11300.00,40
RMPL,30-Jan-2015,11000.00,11800.00,11000.00,11646.88,300
RMPL,02-Feb-2015,11500.00,11800.00,11500.00,11633.33,120
RMPL,06-Feb-2015,11300.00,11300.00,11100.00,11100.00,60
RMPL,12-Feb-2015,11199.99,11200.00,11199.99,11200.00,100
RMPL,13-Feb-2015,11100.00,11100.00,11100.00,11100.00,20
RMPL,17-Feb-2015,10601.01,10700.00,10601.00,10700.00,60
RMPL,19-Feb-2015,10200.00,10949.00,10200.00,10949.00,40
RMPL,20-Feb-2015,11000.00,11200.00,11000.00,11200.00,60
RMPL,23-Feb-2015,10655.00,10949.00,10655.00,10949.00,40
RMPL,25-Feb-2015,10899.00,10900.00,10701.11,10701.11,160
RMPL,04-Mar-2015,10490.00,10490.00,10490.00,10490.00,420
RMPL,05-Mar-2015,10000.00,10390.00,9970.00,10350.00,140
RMPL,06-Mar-2015,10001.00,10385.00,9900.00,10385.00,600
RMPL,09-Mar-2015,9980.00,10350.00,9980.00,10350.00,40
RMPL,13-Mar-2015,9832.50,10450.00,9832.50,10450.00,80
RMPL,16-Mar-2015,10850.00,10850.00,10850.00,10850.00,20
RMPL,17-Mar-2015,10310.00,10351.00,10307.50,10307.50,80
RMPL,18-Mar-2015,9850.00,9850.00,9850.00,9850.00,20
RMPL,20-Mar-2015,9899.99,10200.00,9899.00,9919.29,620
RMPL,24-Mar-2015,9556.00,10199.00,9556.00,10199.00,40
RMPL,27-Mar-2015,9701.00,9701.00,9701.00,9701.00,20
RMPL,31-Mar-2015,9600.00,10150.00,9600.00,9889.86,140
RMPL,08-Apr-2015,9650.00,9650.00,9650.00,9650.00,40
RMPL,09-Apr-2015,10132.50,10132.50,9700.00,9700.00,40
RMPL,10-Apr-2015,9450.00,9700.00,9450.00,9700.00,40
RMPL,16-Apr-2015,9300.00,9330.00,9300.00,9320.00,100
RMPL,20-Apr-2015,9250.00,9300.00,9250.00,9300.00,60
RMPL,21-Apr-2015,9600.00,9600.00,9300.00,9300.00,40
RMPL,22-Apr-2015,9400.00,9400.00,9400.00,9400.00,20
RMPL,27-Apr-2015,9200.00,9200.00,9200.00,9200.00,40
RMPL,28-Apr-2015,9210.00,9210.00,9210.00,9210.00,40
RMPL,29-Apr-2015,9499.00,9499.00,9200.00,9200.00,40
RMPL,30-Apr-2015,9200.00,9200.00,9200.00,9200.00,20
RMPL,05-May-2015,9056.00,9056.00,9056.00,9056.00,20
RMPL,26-May-2015,8701.00,8998.00,8701.00,8998.00,300
RMPL,28-May-2015,8812.00,8819.00,8811.99,8819.00,60
RMPL,29-May-2015,8949.00,9000.00,8949.00,9000.00,280
