Symbol,Date,Open,High,Low,Close,Volume
RPL,28-Feb-2017,86.70,86.70,81.94,81.94,978500
RPL,01-Mar-2017,79.99,81.30,77.85,78.02,1779500
RPL,02-Mar-2017,78.25,81.92,78.25,81.92,1345000
RPL,03-Mar-2017,83.00,86.01,82.30,83.49,2078500
RPL,06-Mar-2017,83.90,84.38,81.00,81.28,302500
RPL,07-Mar-2017,81.02,82.01,80.27,80.83,341500
RPL,08-Mar-2017,81.05,82.50,80.52,80.91,423000
RPL,09-Mar-2017,80.50,81.25,78.00,78.73,353000
RPL,10-Mar-2017,77.50,78.80,76.50,77.43,416500
RPL,13-Mar-2017,77.10,77.74,76.45,76.57,207000
RPL,14-Mar-2017,77.00,77.30,74.17,75.24,453000
RPL,15-Mar-2017,75.90,76.00,71.70,72.03,951000
RPL,16-Mar-2017,72.74,74.87,70.50,73.72,723000
RPL,17-Mar-2017,74.19,74.98,72.50,72.68,354500
RPL,20-Mar-2017,72.66,74.44,72.30,73.97,467000
RPL,21-Mar-2017,74.00,77.66,74.00,77.66,1421500
RPL,22-Mar-2017,77.89,80.20,76.55,78.03,1314500
RPL,24-Mar-2017,77.70,78.70,76.70,76.96,235000
RPL,27-Mar-2017,78.00,78.00,76.51,76.72,246000
RPL,28-Mar-2017,76.15,80.00,76.15,78.38,1750000
RPL,29-Mar-2017,79.00,80.30,77.60,78.16,486500
RPL,30-Mar-2017,77.75,78.15,74.26,74.26,322000
RPL,31-Mar-2017,70.56,72.40,70.55,71.56,842000
RPL,03-Apr-2017,72.05,73.50,72.00,72.30,148500
RPL,04-Apr-2017,72.30,72.90,71.51,71.93,89500
RPL,05-Apr-2017,72.00,72.25,70.56,70.95,141500
RPL,06-Apr-2017,71.40,71.60,70.00,70.40,83500
RPL,07-Apr-2017,70.11,70.95,70.00,70.84,49000
RPL,10-Apr-2017,70.73,71.88,69.05,69.93,253000
RPL,11-Apr-2017,69.31,71.00,69.20,70.36,213500
RPL,12-Apr-2017,70.50,71.15,70.00,70.64,185500
RPL,13-Apr-2017,70.68,70.68,69.81,70.06,169500
RPL,14-Apr-2017,70.25,70.40,69.00,69.04,95500
RPL,17-Apr-2017,69.00,69.50,66.00,66.24,258500
RPL,18-Apr-2017,66.39,67.50,65.60,66.23,137500
RPL,19-Apr-2017,65.25,66.70,63.51,65.65,183500
RPL,20-Apr-2017,65.06,68.93,65.05,68.93,407000
RPL,21-Apr-2017,71.00,72.00,70.48,71.20,525000
RPL,24-Apr-2017,71.55,71.79,70.10,70.26,321000
RPL,25-Apr-2017,70.80,70.98,68.99,69.40,1230000
RPL,26-Apr-2017,69.50,69.90,68.81,69.25,999000
RPL,27-Apr-2017,69.51,72.71,69.00,69.63,778000
RPL,28-Apr-2017,69.25,69.60,67.14,67.67,143500
RPL,02-May-2017,67.16,67.75,66.00,66.41,148500
RPL,03-May-2017,67.16,69.45,66.60,67.87,188000
RPL,04-May-2017,68.50,68.95,67.00,67.24,182500
RPL,05-May-2017,67.49,67.90,66.70,66.81,197000
RPL,08-May-2017,66.99,68.75,66.65,67.28,424500
RPL,09-May-2017,67.75,67.75,66.45,66.85,208500
RPL,10-May-2017,67.16,68.30,67.00,67.46,592000
RPL,11-May-2017,67.98,69.00,67.56,68.30,467000
RPL,12-May-2017,68.10,69.90,67.76,68.60,413500
RPL,15-May-2017,68.98,69.80,68.10,68.24,288500
RPL,16-May-2017,68.01,68.55,67.30,67.51,142500
RPL,17-May-2017,67.51,67.89,66.55,66.69,192500
RPL,18-May-2017,67.00,67.80,66.66,67.06,179000
RPL,19-May-2017,67.25,67.88,67.00,67.09,172500
RPL,22-May-2017,67.68,68.25,66.70,67.30,333500
RPL,23-May-2017,67.80,70.66,67.75,70.66,650000
RPL,24-May-2017,73.00,73.50,69.26,70.09,612500
RPL,25-May-2017,70.00,70.00,68.80,68.97,452500
RPL,26-May-2017,68.30,69.50,68.13,68.89,286000
RPL,29-May-2017,67.52,68.49,67.50,67.85,122000
RPL,30-May-2017,67.74,67.94,66.51,66.99,98000
RPL,31-May-2017,66.50,67.18,65.06,66.27,153000
RPL,01-Jun-2017,65.20,66.79,62.96,64.39,434500
RPL,02-Jun-2017,63.05,63.05,61.18,62.04,282500
RPL,05-Jun-2017,62.75,65.04,62.00,64.96,132500
RPL,06-Jun-2017,64.52,65.49,64.00,64.26,140000
RPL,07-Jun-2017,65.00,65.00,64.30,64.38,79000
RPL,08-Jun-2017,64.48,64.88,64.20,64.27,169000
RPL,09-Jun-2017,64.00,64.39,64.00,64.17,178500
RPL,12-Jun-2017,64.00,64.29,62.72,62.84,558000
RPL,13-Jun-2017,63.30,63.88,60.99,61.74,214000
RPL,14-Jun-2017,62.85,62.85,60.95,60.95,981500
RPL,15-Jun-2017,60.90,63.00,60.90,61.96,126000
RPL,16-Jun-2017,62.00,62.33,60.95,61.07,92500
RPL,19-Jun-2017,61.00,61.93,60.92,61.05,137500
RPL,20-Jun-2017,61.00,61.20,58.00,58.00,403000
RPL,21-Jun-2017,55.50,59.99,55.26,58.06,139000
RPL,22-Jun-2017,59.49,59.49,56.81,58.02,207000
RPL,29-Jun-2017,56.50,58.49,56.50,56.82,330500
RPL,30-Jun-2017,56.25,57.75,56.01,56.17,112500
RPL,03-Jul-2017,56.01,56.02,54.15,54.61,88500
RPL,04-Jul-2017,55.00,55.30,54.00,54.87,189000
RPL,05-Jul-2017,54.55,55.98,54.55,54.95,131000
RPL,06-Jul-2017,55.57,55.57,53.50,53.63,80500
RPL,07-Jul-2017,53.63,54.40,52.70,54.02,70000
RPL,10-Jul-2017,53.80,54.79,53.10,54.56,178500
RPL,11-Jul-2017,52.55,54.37,51.84,51.84,95000
RPL,12-Jul-2017,50.55,52.50,50.00,51.34,171000
RPL,13-Jul-2017,51.50,52.19,50.15,50.67,67500
RPL,14-Jul-2017,51.01,53.20,51.01,53.19,155000
RPL,17-Jul-2017,53.80,55.84,52.50,55.84,68500
RPL,18-Jul-2017,58.49,58.63,58.00,58.63,115500
RPL,19-Jul-2017,61.30,61.30,59.03,60.04,337000
RPL,20-Jul-2017,61.30,61.40,57.04,57.10,233000
RPL,21-Jul-2017,56.35,59.00,55.70,57.26,103500
RPL,24-Jul-2017,57.50,57.89,56.73,57.01,62500
RPL,25-Jul-2017,57.17,58.70,57.17,57.85,64500
RPL,26-Jul-2017,58.00,60.74,57.56,60.74,283500
RPL,27-Jul-2017,61.75,61.98,59.00,59.54,238000
RPL,28-Jul-2017,57.56,60.30,56.90,59.16,206000
RPL,31-Jul-2017,60.90,61.50,59.00,59.65,230500
RPL,01-Aug-2017,60.30,61.00,60.00,60.85,118000
RPL,02-Aug-2017,61.39,61.72,61.00,61.32,186500
RPL,03-Aug-2017,61.88,61.90,60.31,61.09,169500
RPL,04-Aug-2017,61.00,64.14,60.80,64.14,328500
RPL,07-Aug-2017,65.70,66.50,62.06,62.70,207000
RPL,08-Aug-2017,62.10,62.69,59.57,59.64,138000
RPL,09-Aug-2017,59.51,60.38,58.51,59.32,137500
RPL,10-Aug-2017,59.40,60.39,58.63,58.93,92500
RPL,11-Aug-2017,59.40,59.44,58.66,58.85,43500
RPL,15-Aug-2017,58.20,60.29,56.10,56.71,96500
RPL,16-Aug-2017,57.45,58.57,56.53,57.34,43500
RPL,17-Aug-2017,57.01,57.11,55.25,55.50,46000
RPL,18-Aug-2017,55.00,56.50,54.32,56.11,101000
RPL,21-Aug-2017,55.61,55.61,53.31,53.34,132500
RPL,22-Aug-2017,52.85,54.00,50.68,51.81,105000
RPL,23-Aug-2017,53.00,54.40,52.82,54.40,125000
RPL,24-Aug-2017,55.50,55.89,54.25,54.41,91500
RPL,25-Aug-2017,52.31,55.49,52.30,54.46,129500
RPL,28-Aug-2017,54.95,54.95,53.50,53.67,25000
RPL,29-Aug-2017,53.50,54.46,53.36,53.50,54000
RPL,30-Aug-2017,53.50,54.21,53.50,53.75,32500
RPL,31-Aug-2017,52.55,54.20,52.55,53.85,29500
RPL,05-Sep-2017,54.89,54.89,53.55,54.65,14000
RPL,06-Sep-2017,55.01,55.99,54.53,55.36,79500
RPL,07-Sep-2017,55.25,55.25,53.00,53.08,54000
RPL,08-Sep-2017,54.60,54.60,53.12,53.74,33500
RPL,11-Sep-2017,53.41,53.94,53.00,53.26,27500
RPL,12-Sep-2017,53.00,53.03,52.05,52.47,29500
RPL,13-Sep-2017,52.03,53.75,52.02,53.30,62000
RPL,14-Sep-2017,53.49,54.50,53.30,53.89,119500
RPL,15-Sep-2017,54.00,54.50,53.03,53.39,53000
RPL,18-Sep-2017,53.05,53.20,52.60,53.20,13500
RPL,19-Sep-2017,53.10,54.94,53.00,54.01,1120000
RPL,20-Sep-2017,54.20,55.00,53.50,53.98,138500
RPL,21-Sep-2017,53.31,54.00,53.25,53.34,59000
RPL,22-Sep-2017,53.11,54.25,53.10,53.39,202500
RPL,25-Sep-2017,53.89,53.99,52.52,53.23,85500
RPL,26-Sep-2017,52.52,53.75,52.52,53.29,32000
RPL,27-Sep-2017,53.00,53.38,51.30,51.57,109500
RPL,28-Sep-2017,52.20,52.85,51.10,52.66,92000
RPL,29-Sep-2017,52.25,53.00,52.01,52.05,38000
RPL,02-Oct-2017,51.80,53.49,51.80,53.11,77000
RPL,03-Oct-2017,53.00,53.00,51.57,52.05,59500
RPL,04-Oct-2017,51.45,52.00,50.70,51.61,40000
RPL,05-Oct-2017,52.55,52.99,50.65,50.96,42500
RPL,06-Oct-2017,51.50,51.60,50.65,51.13,39500
RPL,09-Oct-2017,50.61,51.50,50.60,50.72,35000
RPL,10-Oct-2017,51.12,51.12,49.50,49.65,41000
RPL,11-Oct-2017,49.20,49.75,47.47,47.97,93000
RPL,12-Oct-2017,47.94,48.48,45.58,45.73,72500
RPL,13-Oct-2017,44.03,44.96,43.45,44.30,153000
RPL,16-Oct-2017,45.99,46.51,45.00,46.51,44000
RPL,17-Oct-2017,47.47,48.00,46.00,46.14,99500
RPL,18-Oct-2017,45.10,48.44,45.06,48.25,190500
RPL,19-Oct-2017,49.50,50.00,48.40,49.40,384000
RPL,20-Oct-2017,49.98,50.90,49.00,50.29,124000
RPL,23-Oct-2017,50.00,50.05,48.90,49.08,100500
RPL,24-Oct-2017,48.90,49.09,48.23,48.88,66000
RPL,25-Oct-2017,49.99,50.00,49.26,49.50,24500
RPL,26-Oct-2017,49.50,49.84,48.65,48.73,87500
RPL,27-Oct-2017,48.30,48.85,48.10,48.27,38000
RPL,30-Oct-2017,48.00,48.10,47.75,47.85,55500
RPL,31-Oct-2017,47.07,48.00,47.07,47.48,60500
