Symbol,Date,Open,High,Low,Close,Volume
RUPL,01-Jan-2014,19.60,19.90,19.55,19.55,4000
RUPL,02-Jan-2014,19.62,19.62,19.62,19.62,500
RUPL,03-Jan-2014,19.05,20.30,19.05,20.30,1500
RUPL,06-Jan-2014,20.40,21.30,20.40,20.77,3500
RUPL,07-Jan-2014,21.40,21.40,21.40,21.40,1000
RUPL,09-Jan-2014,20.45,22.40,20.33,22.40,4000
RUPL,10-Jan-2014,22.50,22.50,22.50,22.50,500
RUPL,13-Jan-2014,23.55,23.55,23.10,23.10,1000
RUPL,15-Jan-2014,21.95,23.49,21.95,23.49,1000
RUPL,22-Jan-2014,22.50,22.95,22.50,22.80,1500
RUPL,23-Jan-2014,22.20,22.20,22.20,22.20,500
RUPL,28-Jan-2014,21.10,21.10,21.10,21.10,1000
RUPL,29-Jan-2014,20.10,21.25,20.10,21.16,4000
RUPL,31-Jan-2014,20.12,20.12,20.11,20.12,1000
RUPL,07-Feb-2014,20.50,20.50,20.50,20.50,500
RUPL,10-Feb-2014,19.99,19.99,19.99,19.99,500
RUPL,11-Feb-2014,19.50,19.50,19.50,19.50,500
RUPL,12-Feb-2014,20.00,20.00,20.00,20.00,6500
RUPL,13-Feb-2014,20.00,20.00,20.00,20.00,5000
RUPL,18-Feb-2014,19.65,19.65,19.60,19.60,2500
RUPL,20-Feb-2014,19.75,19.75,18.60,18.60,8500
RUPL,21-Feb-2014,18.90,19.00,18.90,19.00,1000
RUPL,03-Mar-2014,19.00,19.00,19.00,19.00,500
RUPL,05-Mar-2014,19.00,19.00,19.00,19.00,1000
RUPL,06-Mar-2014,19.00,19.00,19.00,19.00,5000
RUPL,10-Mar-2014,19.99,20.00,19.99,20.00,1500
RUPL,11-Mar-2014,19.50,19.50,19.50,19.50,105500
RUPL,27-Mar-2014,18.71,18.71,18.50,18.50,4000
RUPL,28-Mar-2014,18.50,18.50,18.00,18.00,50500
RUPL,31-Mar-2014,18.02,18.05,18.00,18.00,52500
RUPL,01-Apr-2014,17.00,18.00,17.00,18.00,52000
RUPL,02-Apr-2014,18.50,18.50,18.50,18.50,1500
RUPL,11-Apr-2014,18.50,18.50,18.50,18.50,1500
RUPL,14-Apr-2014,18.50,18.50,18.00,18.11,78000
RUPL,15-Apr-2014,18.00,18.01,18.00,18.00,15500
RUPL,16-Apr-2014,18.00,18.90,18.00,18.90,1500
RUPL,17-Apr-2014,17.95,17.95,17.95,17.95,500
RUPL,29-Apr-2014,17.00,18.39,16.95,18.39,12000
RUPL,05-Jun-2014,18.00,18.00,17.95,17.95,26500
RUPL,17-Jun-2014,17.10,17.10,17.10,17.10,90000
RUPL,09-Jul-2014,16.21,16.21,16.20,16.20,1000
RUPL,17-Jul-2014,16.50,16.50,16.00,16.00,2000
RUPL,21-Jul-2014,16.00,16.00,16.00,16.00,3000
RUPL,22-Jul-2014,15.10,15.10,15.00,15.00,2500
RUPL,23-Jul-2014,15.50,15.50,15.50,15.50,500
RUPL,08-Aug-2014,15.94,15.94,15.94,15.94,5000
RUPL,21-Aug-2014,16.00,16.84,16.00,16.00,12000
RUPL,22-Aug-2014,15.20,15.20,15.20,15.20,500
RUPL,27-Aug-2014,15.99,15.99,14.45,14.48,2000
RUPL,12-Sep-2014,14.50,15.00,14.50,15.00,2000
RUPL,15-Sep-2014,15.45,16.00,15.45,16.00,13500
RUPL,16-Sep-2014,16.00,16.00,16.00,16.00,6000
RUPL,18-Sep-2014,16.10,16.15,16.00,16.01,14000
RUPL,23-Sep-2014,16.35,16.35,16.35,16.35,500
RUPL,24-Sep-2014,16.95,17.35,16.25,17.25,346000
RUPL,25-Sep-2014,17.35,17.35,17.30,17.35,33000
RUPL,26-Sep-2014,18.30,18.35,17.50,17.50,9000
RUPL,29-Sep-2014,16.55,18.40,16.55,16.55,1000
RUPL,30-Sep-2014,15.60,16.25,15.60,15.76,3000
RUPL,02-Oct-2014,15.15,15.64,15.00,15.00,40000
RUPL,10-Oct-2014,15.50,15.50,15.50,15.50,500
RUPL,13-Oct-2014,15.99,15.99,15.60,15.60,13500
RUPL,14-Oct-2014,15.80,16.60,15.80,16.60,47500
RUPL,20-Oct-2014,15.75,15.75,15.60,15.60,6500
RUPL,22-Oct-2014,15.80,16.00,14.70,15.15,17500
RUPL,29-Oct-2014,15.20,15.20,14.15,14.16,8000
RUPL,31-Oct-2014,14.90,14.90,14.90,14.90,500
