Symbol,Date,Open,High,Low,Close,Volume
SAIF,01-Jan-2014,39.95,41.71,39.02,41.71,262000
SAIF,02-Jan-2014,42.80,43.79,42.05,43.79,241000
SAIF,03-Jan-2014,44.49,44.88,41.61,41.87,91000
SAIF,06-Jan-2014,42.00,43.50,42.00,43.00,70500
SAIF,07-Jan-2014,42.00,43.85,41.25,42.50,106500
SAIF,08-Jan-2014,42.90,42.90,41.99,42.00,51500
SAIF,09-Jan-2014,42.00,42.89,40.00,40.08,149500
SAIF,10-Jan-2014,40.00,40.75,38.50,39.26,45000
SAIF,13-Jan-2014,39.10,40.25,39.00,39.07,77000
SAIF,15-Jan-2014,39.51,39.51,37.60,38.16,141000
SAIF,16-Jan-2014,38.80,38.90,37.00,37.02,79500
SAIF,17-Jan-2014,37.50,38.87,37.50,38.87,56500
SAIF,20-Jan-2014,39.25,40.81,38.00,40.81,172500
SAIF,21-Jan-2014,42.40,42.85,42.40,42.85,288000
SAIF,22-Jan-2014,43.50,44.99,43.15,44.99,88500
SAIF,23-Jan-2014,46.99,46.99,43.55,45.18,261500
SAIF,24-Jan-2014,43.51,45.30,43.00,44.92,169000
SAIF,27-Jan-2014,43.50,43.50,42.68,42.79,92000
SAIF,28-Jan-2014,43.00,44.00,41.40,41.85,30000
SAIF,29-Jan-2014,41.01,43.40,40.10,42.20,8500
SAIF,30-Jan-2014,42.00,43.73,41.20,43.58,29000
SAIF,31-Jan-2014,43.60,45.75,42.25,45.46,119000
SAIF,03-Feb-2014,45.25,47.73,45.25,47.73,149500
SAIF,04-Feb-2014,48.01,48.01,45.40,45.66,98000
SAIF,06-Feb-2014,45.99,46.00,45.01,45.95,26000
SAIF,07-Feb-2014,45.02,45.50,44.75,45.04,24500
SAIF,10-Feb-2014,43.30,44.00,42.79,43.83,48500
SAIF,11-Feb-2014,43.06,44.50,42.51,43.47,10500
SAIF,12-Feb-2014,45.49,45.49,44.00,44.64,24000
SAIF,13-Feb-2014,43.51,44.00,42.41,43.38,25500
SAIF,14-Feb-2014,42.05,43.45,42.05,42.75,1000
SAIF,17-Feb-2014,41.00,41.26,40.62,40.66,44500
SAIF,18-Feb-2014,39.70,40.65,38.75,40.65,24000
SAIF,19-Feb-2014,40.00,40.00,39.10,39.10,9500
SAIF,21-Feb-2014,40.49,40.75,40.49,40.70,2000
SAIF,24-Feb-2014,40.00,40.00,39.25,39.25,2500
SAIF,25-Feb-2014,39.00,39.00,39.00,39.00,10000
SAIF,26-Feb-2014,38.00,38.01,38.00,38.01,24000
SAIF,27-Feb-2014,37.27,38.00,36.11,36.11,56000
SAIF,28-Feb-2014,34.31,35.00,34.31,34.31,145500
SAIF,03-Mar-2014,33.03,34.00,32.71,33.00,83000
SAIF,04-Mar-2014,31.60,33.99,31.56,33.54,124500
SAIF,05-Mar-2014,33.25,35.21,33.25,35.21,87000
SAIF,06-Mar-2014,36.60,36.97,36.10,36.55,136500
SAIF,07-Mar-2014,36.85,38.19,35.90,36.18,73500
SAIF,10-Mar-2014,34.71,35.90,34.71,35.88,2000
SAIF,11-Mar-2014,34.79,34.98,34.09,34.12,31000
SAIF,12-Mar-2014,33.00,33.10,32.42,32.70,63000
SAIF,13-Mar-2014,31.80,33.00,31.35,32.20,50000
SAIF,14-Mar-2014,33.45,33.70,32.50,33.30,42000
SAIF,17-Mar-2014,34.05,34.45,33.21,33.21,36000
SAIF,18-Mar-2014,32.71,32.75,32.71,32.75,14500
SAIF,19-Mar-2014,32.28,32.28,31.71,31.91,42500
SAIF,20-Mar-2014,31.55,31.55,30.32,30.35,85500
SAIF,21-Mar-2014,29.66,30.00,29.60,29.95,12500
SAIF,24-Mar-2014,30.01,30.01,30.00,30.00,3500
SAIF,25-Mar-2014,30.00,30.01,29.50,30.00,13000
SAIF,26-Mar-2014,30.00,30.75,29.80,30.04,18000
SAIF,27-Mar-2014,30.00,30.00,29.58,29.61,13500
SAIF,28-Mar-2014,30.20,30.30,29.30,29.30,6500
SAIF,31-Mar-2014,29.30,29.99,29.00,29.22,5500
SAIF,01-Apr-2014,30.20,30.40,29.71,30.00,9000
SAIF,02-Apr-2014,30.40,30.50,29.90,30.00,57000
SAIF,03-Apr-2014,30.00,30.00,29.99,30.00,11000
SAIF,04-Apr-2014,29.99,30.00,29.99,30.00,6000
SAIF,07-Apr-2014,30.00,30.00,29.52,29.55,1500
SAIF,08-Apr-2014,29.70,30.74,29.70,30.01,166000
SAIF,09-Apr-2014,30.00,30.45,29.75,29.89,101500
SAIF,10-Apr-2014,30.00,30.15,28.54,28.54,48500
SAIF,11-Apr-2014,29.00,29.00,27.60,28.11,29500
SAIF,14-Apr-2014,28.00,28.09,27.50,27.60,11500
SAIF,15-Apr-2014,26.72,27.10,26.35,27.10,2000
SAIF,16-Apr-2014,27.11,27.11,26.55,26.90,44500
SAIF,17-Apr-2014,26.58,26.58,25.60,25.60,19000
SAIF,18-Apr-2014,26.88,26.88,26.60,26.88,56000
SAIF,21-Apr-2014,27.75,27.80,27.00,27.00,63000
SAIF,22-Apr-2014,27.00,27.00,26.25,26.50,63500
SAIF,23-Apr-2014,26.26,26.40,25.50,25.61,13500
SAIF,24-Apr-2014,25.00,25.65,24.35,24.37,28500
SAIF,25-Apr-2014,24.01,25.20,24.01,25.05,6000
SAIF,28-Apr-2014,25.11,25.15,24.90,25.03,57500
SAIF,29-Apr-2014,24.05,25.20,23.81,24.35,61000
SAIF,30-Apr-2014,24.50,25.39,24.00,24.06,78500
SAIF,02-May-2014,24.30,25.14,24.30,24.58,31000
SAIF,05-May-2014,24.05,24.05,23.60,24.00,6500
SAIF,06-May-2014,24.00,24.00,24.00,24.00,500
SAIF,07-May-2014,23.80,23.99,23.80,23.99,1000
SAIF,08-May-2014,23.75,23.75,23.71,23.71,3500
SAIF,09-May-2014,23.80,24.00,23.25,23.25,7000
SAIF,12-May-2014,23.65,24.41,23.50,24.41,22500
SAIF,13-May-2014,25.00,25.50,23.81,23.83,16500
SAIF,14-May-2014,23.81,23.81,23.53,23.53,2500
SAIF,15-May-2014,24.00,24.24,24.00,24.00,18000
SAIF,16-May-2014,23.80,25.20,23.80,25.20,38500
SAIF,19-May-2014,25.19,26.18,24.65,26.04,44500
SAIF,20-May-2014,26.25,26.25,25.42,25.85,9000
SAIF,21-May-2014,26.10,26.50,25.80,25.83,18000
SAIF,22-May-2014,26.00,26.15,25.40,25.42,17000
SAIF,23-May-2014,25.88,25.88,25.25,25.27,3000
