Symbol,Date,Open,High,Low,Close,Volume
SALT,01-Jan-2014,201.00,201.00,201.00,210.00,1000
SALT,02-Jan-2014,210.00,210.00,203.75,203.75,1300
SALT,06-Jan-2014,200.25,210.00,200.25,210.00,1100
SALT,07-Jan-2014,202.25,202.25,199.50,199.90,1400
SALT,08-Jan-2014,190.11,191.00,189.91,190.00,1800
SALT,09-Jan-2014,199.45,199.45,190.00,197.09,400
SALT,10-Jan-2014,188.00,188.00,187.24,187.24,900
SALT,13-Jan-2014,185.00,196.60,180.00,196.60,700
SALT,15-Jan-2014,205.00,206.43,203.00,205.74,1600
SALT,16-Jan-2014,208.00,216.00,208.00,214.16,1000
SALT,21-Jan-2014,215.00,215.00,215.00,215.00,3300
SALT,22-Jan-2014,215.00,215.10,215.00,215.00,4100
SALT,24-Jan-2014,224.50,225.75,224.50,225.75,2800
SALT,27-Jan-2014,237.03,237.03,235.00,237.03,5100
SALT,28-Jan-2014,245.95,248.88,240.00,248.88,3200
SALT,29-Jan-2014,261.32,261.32,261.32,261.32,1100
SALT,30-Jan-2014,274.38,274.38,274.38,274.38,2300
SALT,31-Jan-2014,288.08,288.09,280.00,288.09,5400
SALT,03-Feb-2014,297.00,302.49,296.00,296.00,500
SALT,04-Feb-2014,306.00,307.00,306.00,307.00,200
SALT,11-Feb-2014,310.00,310.00,310.00,310.00,200
SALT,19-Feb-2014,294.50,314.75,294.50,314.00,500
SALT,04-Mar-2014,237.85,239.64,237.85,239.64,100
SALT,05-Mar-2014,227.66,250.00,227.66,227.66,2800
SALT,06-Mar-2014,216.28,217.50,216.28,216.28,700
SALT,07-Mar-2014,214.49,215.00,205.47,205.49,2800
SALT,10-Mar-2014,209.80,214.90,209.80,212.40,400
SALT,11-Mar-2014,203.00,203.00,201.78,202.06,300
SALT,12-Mar-2014,200.00,200.00,191.96,191.96,900
SALT,13-Mar-2014,182.37,201.55,182.37,190.70,4100
SALT,14-Mar-2014,199.90,200.23,199.90,200.07,200
SALT,17-Mar-2014,190.07,210.00,190.07,191.88,1100
SALT,19-Mar-2014,191.88,191.88,191.88,191.88,100
SALT,20-Mar-2014,191.88,191.88,191.88,191.88,100
SALT,21-Mar-2014,191.88,191.88,191.88,191.88,2000
SALT,25-Mar-2014,182.29,182.29,182.29,182.29,300
SALT,31-Mar-2014,189.95,190.00,189.95,190.00,500
SALT,01-Apr-2014,180.50,196.00,180.50,190.50,300
SALT,02-Apr-2014,182.00,189.90,180.98,183.47,1800
SALT,03-Apr-2014,183.47,183.47,183.47,183.47,100
SALT,04-Apr-2014,191.00,191.00,180.00,180.00,400
SALT,11-Apr-2014,180.00,180.00,180.00,180.00,100
SALT,14-Apr-2014,171.00,171.00,171.00,171.00,400
SALT,16-Apr-2014,165.00,170.00,165.00,167.50,1000
SALT,22-Apr-2014,167.50,167.50,167.50,167.50,100
SALT,24-Apr-2014,170.00,170.00,167.50,168.75,200
SALT,30-Apr-2014,168.75,168.75,168.75,168.75,100
SALT,08-May-2014,161.00,162.00,161.00,162.00,400
SALT,12-May-2014,166.60,166.60,166.00,166.30,200
SALT,13-May-2014,166.30,166.30,166.30,166.30,100
SALT,15-May-2014,157.28,157.28,157.28,157.28,300
SALT,16-May-2014,165.14,165.14,165.00,165.07,300
SALT,19-May-2014,156.82,168.99,156.82,164.50,1000
SALT,20-May-2014,164.50,164.50,164.50,164.50,100
SALT,21-May-2014,156.28,159.00,156.28,157.19,1500
SALT,22-May-2014,156.50,156.50,150.11,150.12,400
SALT,23-May-2014,145.50,145.50,142.62,142.62,1300
SALT,29-May-2014,142.62,142.62,142.62,142.62,100
SALT,30-May-2014,142.62,142.62,142.62,142.62,200
