Symbol,Date,Open,High,Low,Close,Volume
SANE,01-Jan-2014,7.49,7.70,7.01,7.70,20000
SANE,02-Jan-2014,8.70,8.70,8.05,8.70,84000
SANE,03-Jan-2014,9.50,9.69,9.01,9.60,73500
SANE,06-Jan-2014,9.00,9.60,9.00,9.09,15500
SANE,08-Jan-2014,9.00,10.09,9.00,10.09,136000
SANE,09-Jan-2014,10.99,11.09,10.99,11.09,61000
SANE,10-Jan-2014,12.08,12.09,11.75,12.09,108500
SANE,13-Jan-2014,12.90,12.90,11.20,11.31,34000
SANE,15-Jan-2014,12.20,12.20,10.31,11.60,27000
SANE,16-Jan-2014,11.90,11.90,11.00,11.14,6500
SANE,17-Jan-2014,11.00,11.35,11.00,11.00,3000
SANE,20-Jan-2014,11.00,11.45,11.00,11.45,5000
SANE,21-Jan-2014,11.00,11.00,11.00,11.00,3500
SANE,22-Jan-2014,10.55,10.60,10.30,10.30,32000
SANE,23-Jan-2014,10.10,10.49,9.90,10.11,27000
SANE,24-Jan-2014,9.61,10.20,9.61,10.18,6500
SANE,27-Jan-2014,9.75,10.00,9.75,10.00,36500
SANE,28-Jan-2014,10.00,10.00,9.76,9.77,7500
SANE,29-Jan-2014,10.00,10.40,10.00,10.40,12000
SANE,30-Jan-2014,9.47,11.25,9.47,10.47,25000
SANE,31-Jan-2014,10.50,11.00,10.01,10.01,14000
SANE,03-Feb-2014,9.62,9.76,9.62,9.76,2500
SANE,04-Feb-2014,9.51,9.70,9.51,9.63,5000
SANE,06-Feb-2014,9.36,10.49,9.35,9.99,15500
SANE,07-Feb-2014,9.36,9.98,9.07,9.07,30500
SANE,10-Feb-2014,8.07,8.80,8.07,8.33,10000
SANE,11-Feb-2014,8.30,8.30,8.30,8.30,1000
SANE,12-Feb-2014,8.50,9.30,8.50,9.18,36500
SANE,13-Feb-2014,9.50,9.50,9.50,9.50,4500
SANE,14-Feb-2014,9.00,9.00,8.50,8.50,11500
SANE,17-Feb-2014,8.51,8.51,7.50,7.50,42000
SANE,18-Feb-2014,7.01,8.50,7.00,8.00,18500
SANE,19-Feb-2014,7.50,7.51,7.50,7.50,18000
SANE,21-Feb-2014,6.85,7.50,6.85,7.50,2500
SANE,26-Feb-2014,6.50,7.89,6.50,6.50,2500
SANE,27-Feb-2014,7.50,7.50,7.49,7.49,14500
SANE,28-Feb-2014,7.50,8.20,7.50,8.10,2000
SANE,03-Mar-2014,9.10,9.10,9.10,8.10,2000
SANE,04-Mar-2014,8.40,8.47,7.25,8.04,16500
SANE,05-Mar-2014,8.70,8.78,8.70,8.74,5000
SANE,06-Mar-2014,8.30,8.64,8.30,8.64,8000
SANE,07-Mar-2014,8.30,8.89,7.66,8.45,30000
SANE,10-Mar-2014,8.50,8.50,7.75,7.75,3500
SANE,11-Mar-2014,7.75,7.75,7.75,7.75,10000
SANE,12-Mar-2014,7.75,7.90,7.25,7.90,8500
SANE,14-Mar-2014,6.85,7.35,6.85,7.35,5500
SANE,21-Mar-2014,6.35,6.35,6.35,6.35,500
SANE,26-Mar-2014,6.75,6.75,6.75,6.75,500
SANE,31-Mar-2014,7.00,7.00,7.00,7.00,4000
SANE,01-Apr-2014,6.50,6.88,6.06,6.13,20000
SANE,02-Apr-2014,6.98,6.99,6.98,6.99,1000
SANE,04-Apr-2014,7.69,7.69,7.69,7.69,4000
SANE,07-Apr-2014,7.00,7.00,7.00,7.00,1000
SANE,08-Apr-2014,7.00,7.00,7.00,7.00,2000
SANE,09-Apr-2014,6.71,6.71,6.71,6.71,2000
SANE,10-Apr-2014,6.26,6.26,5.81,5.97,10500
SANE,11-Apr-2014,6.50,6.50,5.25,6.48,7500
SANE,17-Apr-2014,5.61,6.99,5.50,6.42,27500
SANE,18-Apr-2014,7.00,7.00,6.00,6.00,8000
SANE,23-Apr-2014,6.00,6.00,6.00,6.00,4000
SANE,24-Apr-2014,5.55,6.13,5.55,6.13,1500
SANE,25-Apr-2014,5.51,6.24,5.50,6.24,6500
SANE,30-Apr-2014,5.25,5.87,5.24,5.24,1500
SANE,02-May-2014,5.50,5.51,5.00,5.15,10000
SANE,05-May-2014,4.76,5.50,4.76,5.50,1000
SANE,07-May-2014,5.00,5.00,5.00,5.00,500
SANE,08-May-2014,5.03,5.89,5.03,5.89,1000
SANE,15-May-2014,5.00,5.72,5.00,5.00,7000
SANE,19-May-2014,5.90,5.97,5.90,5.94,2000
SANE,23-May-2014,6.49,6.49,6.49,6.49,500
SANE,26-May-2014,6.19,6.19,6.19,6.19,2500
SANE,27-May-2014,5.19,5.55,5.19,5.21,29500
SANE,28-May-2014,5.25,5.25,5.01,5.06,16500
SANE,30-May-2014,5.20,5.20,5.20,5.20,500
SANE,02-Jun-2014,5.10,5.10,5.10,5.10,500
SANE,03-Jun-2014,5.15,5.15,4.90,4.90,1500
SANE,04-Jun-2014,5.50,5.53,5.50,5.52,1500
SANE,05-Jun-2014,5.11,5.11,5.11,5.11,1500
SANE,11-Jun-2014,4.88,4.88,4.88,4.88,1000
SANE,17-Jun-2014,4.90,4.90,4.90,4.90,1500
SANE,18-Jun-2014,4.80,4.80,4.80,4.80,500
SANE,19-Jun-2014,5.40,5.40,5.40,5.40,12000
SANE,20-Jun-2014,5.05,5.47,5.05,5.47,3000
SANE,24-Jun-2014,5.60,5.60,5.60,5.60,500
