Symbol,Date,Open,High,Low,Close,Volume
SAPT,01-Jan-2014,400.00,400.00,400.00,400.00,100
SAPT,02-Jan-2014,400.00,400.00,390.00,390.00,2800
SAPT,06-Jan-2014,399.99,399.99,399.99,399.99,600
SAPT,07-Jan-2014,400.00,400.00,399.00,399.00,2500
SAPT,09-Jan-2014,395.00,395.00,390.00,390.00,1100
SAPT,10-Jan-2014,399.99,399.99,399.99,399.99,400
SAPT,15-Jan-2014,395.00,395.00,390.00,390.00,400
SAPT,17-Jan-2014,400.00,401.00,399.99,400.00,3300
SAPT,20-Jan-2014,400.00,401.00,390.00,390.00,79500
SAPT,21-Jan-2014,400.00,409.50,400.00,409.50,10000
SAPT,22-Jan-2014,429.97,429.97,429.97,429.97,3200
SAPT,23-Jan-2014,451.00,451.46,447.75,451.46,22200
SAPT,24-Jan-2014,473.99,473.99,445.00,458.25,9000
SAPT,27-Jan-2014,445.00,480.00,435.34,480.00,8700
SAPT,28-Jan-2014,479.88,500.00,479.00,491.54,44000
SAPT,29-Jan-2014,509.00,514.50,475.01,475.86,1200
SAPT,31-Jan-2014,452.10,466.99,452.10,454.00,1000
SAPT,03-Feb-2014,460.00,460.00,460.00,460.00,300
SAPT,04-Feb-2014,482.00,482.00,482.00,482.00,200
SAPT,13-Feb-2014,460.00,460.00,460.00,460.00,100
SAPT,14-Feb-2014,438.00,438.00,438.00,438.00,200
SAPT,17-Feb-2014,416.10,416.10,416.10,416.10,100
SAPT,19-Feb-2014,395.30,395.30,395.30,395.30,100
SAPT,20-Feb-2014,375.55,375.55,375.54,375.54,700
SAPT,21-Feb-2014,356.77,356.80,356.77,356.77,1900
SAPT,26-Feb-2014,340.00,340.00,340.00,340.00,300
SAPT,27-Feb-2014,357.00,357.00,323.00,324.25,4100
SAPT,28-Feb-2014,311.00,311.00,310.00,310.00,500
SAPT,03-Mar-2014,300.00,300.00,297.00,297.25,700
SAPT,04-Mar-2014,312.00,312.11,312.00,312.11,300
SAPT,05-Mar-2014,327.71,327.71,327.71,327.71,100
SAPT,06-Mar-2014,330.00,344.00,330.00,344.00,200
SAPT,10-Mar-2014,330.00,344.00,330.00,330.00,700
SAPT,12-Mar-2014,314.00,314.00,314.00,314.00,100
SAPT,14-Mar-2014,325.00,325.00,325.00,325.00,100
SAPT,17-Mar-2014,320.00,320.00,318.00,318.01,1100
SAPT,19-Mar-2014,320.00,320.00,320.00,320.00,500
SAPT,31-Mar-2014,320.00,320.00,320.00,320.00,200
SAPT,01-Apr-2014,325.00,333.00,310.00,310.00,800
SAPT,03-Apr-2014,310.00,310.00,310.00,310.00,200
SAPT,04-Apr-2014,301.00,301.00,301.00,301.00,300
SAPT,07-Apr-2014,300.00,300.00,300.00,300.00,100
