Symbol,Date,Open,High,Low,Close,Volume
SBL,01-Jan-2014,4.68,4.68,4.38,4.41,388000
SBL,02-Jan-2014,4.60,4.75,4.50,4.68,504000
SBL,03-Jan-2014,4.88,4.88,4.51,4.55,80500
SBL,06-Jan-2014,4.54,4.80,4.54,4.59,105500
SBL,07-Jan-2014,4.56,4.60,4.46,4.50,103000
SBL,08-Jan-2014,4.71,4.74,4.25,4.40,520000
SBL,09-Jan-2014,4.50,4.60,4.48,4.55,238000
SBL,10-Jan-2014,4.65,4.65,4.40,4.42,25500
SBL,13-Jan-2014,4.50,4.50,4.42,4.50,25500
SBL,15-Jan-2014,4.60,4.63,4.45,4.52,67500
SBL,16-Jan-2014,4.46,4.73,4.43,4.65,253000
SBL,17-Jan-2014,4.75,4.80,4.51,4.51,249500
SBL,20-Jan-2014,4.55,4.70,4.55,4.65,24500
SBL,21-Jan-2014,4.64,4.74,4.58,4.74,135000
SBL,22-Jan-2014,4.52,4.80,4.51,4.75,545500
SBL,23-Jan-2014,4.98,4.98,4.75,4.76,61500
SBL,24-Jan-2014,4.75,4.82,4.56,4.74,21000
SBL,27-Jan-2014,4.60,4.75,4.53,4.62,255500
SBL,28-Jan-2014,4.70,4.75,4.60,4.65,17500
SBL,29-Jan-2014,4.60,4.69,4.58,4.58,25000
SBL,30-Jan-2014,4.58,4.60,4.48,4.50,85500
SBL,31-Jan-2014,4.70,4.75,4.55,4.55,35000
SBL,03-Feb-2014,4.75,4.75,4.75,4.75,500
SBL,04-Feb-2014,4.58,4.65,4.58,4.65,32500
SBL,06-Feb-2014,4.65,5.15,4.65,5.09,795500
SBL,07-Feb-2014,5.25,5.84,5.12,5.50,2730000
SBL,10-Feb-2014,5.70,6.50,5.60,5.96,4394500
SBL,11-Feb-2014,5.98,6.12,5.36,5.52,2010500
SBL,12-Feb-2014,5.75,5.75,5.25,5.37,467500
SBL,13-Feb-2014,5.26,5.53,5.20,5.40,753500
SBL,14-Feb-2014,5.49,5.65,5.40,5.50,299500
SBL,17-Feb-2014,5.59,5.59,5.00,5.08,112500
SBL,18-Feb-2014,5.01,5.14,4.72,4.83,142000
SBL,19-Feb-2014,5.10,5.14,4.90,4.95,174500
SBL,20-Feb-2014,4.82,5.00,4.80,4.90,82000
SBL,21-Feb-2014,4.95,4.97,4.80,4.91,59500
SBL,24-Feb-2014,4.80,4.85,4.61,4.66,197000
SBL,25-Feb-2014,4.61,5.66,4.55,5.34,1305000
SBL,26-Feb-2014,5.58,5.70,5.00,5.23,294000
SBL,27-Feb-2014,5.15,5.94,5.15,5.69,1060500
SBL,28-Feb-2014,5.65,5.80,5.00,5.21,423500
SBL,03-Mar-2014,5.01,5.28,5.01,5.28,31500
SBL,04-Mar-2014,5.20,5.25,5.10,5.15,19500
SBL,05-Mar-2014,5.15,5.23,5.00,5.00,99500
SBL,06-Mar-2014,5.01,5.20,5.00,5.19,186000
SBL,07-Mar-2014,5.01,5.20,5.00,5.15,62500
SBL,10-Mar-2014,5.15,5.23,5.02,5.02,56000
SBL,11-Mar-2014,5.00,5.30,5.00,5.05,135000
SBL,12-Mar-2014,5.20,5.20,5.10,5.10,60500
SBL,13-Mar-2014,5.10,5.20,5.10,5.20,28500
SBL,14-Mar-2014,5.01,5.19,5.01,5.06,79500
SBL,17-Mar-2014,5.20,5.27,5.10,5.15,74500
SBL,18-Mar-2014,5.10,5.10,5.04,5.05,31500
SBL,19-Mar-2014,5.06,5.31,5.06,5.26,153500
SBL,20-Mar-2014,5.13,5.13,5.10,5.10,116500
SBL,21-Mar-2014,5.10,5.49,5.05,5.18,51000
SBL,24-Mar-2014,5.11,5.15,5.10,5.10,13000
SBL,25-Mar-2014,5.15,5.35,5.00,5.02,175000
SBL,26-Mar-2014,5.05,5.30,5.05,5.15,94500
SBL,27-Mar-2014,5.20,5.61,5.15,5.57,1062000
SBL,28-Mar-2014,5.60,5.60,5.40,5.43,167500
SBL,31-Mar-2014,5.80,5.81,5.45,5.79,573500
SBL,01-Apr-2014,5.87,6.60,5.65,6.48,2410000
SBL,02-Apr-2014,6.69,6.74,6.25,6.32,544500
SBL,03-Apr-2014,6.25,7.09,6.25,6.92,2586500
SBL,04-Apr-2014,6.80,6.83,6.50,6.63,368000
SBL,07-Apr-2014,6.50,7.62,6.35,7.39,2564500
SBL,08-Apr-2014,7.60,8.25,7.50,7.66,4318500
SBL,09-Apr-2014,7.75,7.80,7.31,7.49,220500
SBL,10-Apr-2014,7.75,7.90,7.11,7.79,666500
SBL,11-Apr-2014,7.40,8.04,7.40,7.76,1425500
SBL,14-Apr-2014,7.74,7.90,7.40,7.76,678000
SBL,15-Apr-2014,7.75,7.85,7.50,7.61,3892000
SBL,16-Apr-2014,7.90,8.61,7.70,8.61,9484000
SBL,17-Apr-2014,8.87,9.61,8.40,9.58,11490500
SBL,18-Apr-2014,9.70,9.89,8.93,9.05,1426500
SBL,21-Apr-2014,9.10,9.15,8.45,8.57,381500
SBL,22-Apr-2014,8.65,8.90,8.55,8.85,1463500
SBL,23-Apr-2014,8.95,9.25,8.50,8.50,485500
SBL,24-Apr-2014,8.50,8.65,7.50,7.76,1497000
SBL,25-Apr-2014,8.00,8.25,7.80,8.06,327500
SBL,28-Apr-2014,8.25,8.25,8.00,8.08,77500
SBL,29-Apr-2014,7.80,7.81,7.50,7.65,173500
SBL,30-Apr-2014,7.61,8.14,7.61,8.05,98500
SBL,02-May-2014,8.00,8.39,7.65,7.95,106500
SBL,05-May-2014,8.00,8.15,8.00,8.05,865000
SBL,06-May-2014,8.01,8.05,7.70,7.72,25500
SBL,07-May-2014,7.72,7.90,7.40,7.72,59500
SBL,08-May-2014,7.66,7.72,7.60,7.72,26500
SBL,09-May-2014,7.60,7.60,7.53,7.54,14500
SBL,12-May-2014,7.98,7.98,7.50,7.50,87500
SBL,13-May-2014,7.25,7.30,7.25,7.25,132000
SBL,14-May-2014,7.06,7.25,7.06,7.16,95000
SBL,15-May-2014,7.25,7.50,7.21,7.25,165500
SBL,16-May-2014,7.25,7.70,7.05,7.08,121000
SBL,19-May-2014,7.19,7.38,7.19,7.38,24500
SBL,20-May-2014,7.11,7.30,7.11,7.24,372500
SBL,21-May-2014,7.25,7.50,7.25,7.26,182000
SBL,22-May-2014,7.25,7.40,7.20,7.30,54500
SBL,23-May-2014,7.35,7.55,7.25,7.48,199000
SBL,26-May-2014,7.35,7.80,7.25,7.32,544000
SBL,27-May-2014,7.40,7.55,7.20,7.22,121500
SBL,28-May-2014,7.11,7.35,7.11,7.30,238000
SBL,29-May-2014,7.47,8.15,7.47,7.92,664000
SBL,30-May-2014,7.71,7.80,7.61,7.73,164500
SBL,02-Jun-2014,7.60,7.70,7.34,7.51,216500
SBL,03-Jun-2014,7.30,7.45,7.20,7.20,87500
SBL,04-Jun-2014,7.40,7.40,7.25,7.30,204500
SBL,05-Jun-2014,7.37,7.37,7.05,7.10,182500
SBL,06-Jun-2014,7.15,7.26,7.15,7.24,275000
SBL,09-Jun-2014,7.30,7.32,7.00,7.05,307000
SBL,10-Jun-2014,7.06,7.24,7.00,7.01,494000
SBL,11-Jun-2014,6.78,7.01,6.78,7.00,55000
SBL,12-Jun-2014,7.00,7.02,6.80,6.87,22000
SBL,13-Jun-2014,7.10,7.10,6.83,6.88,57000
SBL,16-Jun-2014,6.85,7.00,6.85,6.86,39000
SBL,17-Jun-2014,6.85,6.90,6.75,6.83,105000
SBL,18-Jun-2014,6.60,6.83,6.51,6.79,17000
SBL,19-Jun-2014,6.50,6.50,6.01,6.25,178000
SBL,20-Jun-2014,6.48,6.99,6.48,6.75,16500
SBL,23-Jun-2014,6.70,6.73,6.60,6.73,242500
SBL,24-Jun-2014,6.80,6.89,6.50,6.60,333000
SBL,25-Jun-2014,6.50,6.80,6.50,6.62,315500
SBL,26-Jun-2014,6.79,7.15,6.79,7.06,5446500
SBL,27-Jun-2014,7.05,7.15,7.00,7.05,103000
SBL,30-Jun-2014,7.00,7.00,6.51,6.66,12500
SBL,01-Jul-2014,6.99,7.02,6.90,6.92,164000
SBL,02-Jul-2014,7.00,7.00,6.66,6.94,14000
SBL,03-Jul-2014,6.80,6.90,6.71,6.80,335500
SBL,04-Jul-2014,6.63,6.90,6.63,6.80,26000
SBL,07-Jul-2014,6.65,6.77,6.61,6.61,15000
SBL,08-Jul-2014,6.69,6.70,6.67,6.67,8500
SBL,09-Jul-2014,6.52,6.75,6.50,6.51,17000
SBL,10-Jul-2014,6.51,6.64,6.31,6.42,5000
SBL,11-Jul-2014,6.72,6.72,6.25,6.50,73500
SBL,14-Jul-2014,6.31,6.65,6.31,6.52,3500
SBL,15-Jul-2014,6.35,6.41,6.35,6.41,2000
SBL,16-Jul-2014,6.25,6.75,6.25,6.41,17000
SBL,17-Jul-2014,6.50,6.50,6.50,6.50,41000
SBL,18-Jul-2014,6.55,6.55,6.50,6.50,269500
SBL,21-Jul-2014,6.65,6.82,6.50,6.61,109500
SBL,22-Jul-2014,6.66,7.15,6.65,7.02,196000
SBL,23-Jul-2014,6.75,7.00,6.75,6.80,24000
SBL,24-Jul-2014,7.00,7.00,6.70,6.99,12500
SBL,28-Jul-2014,6.51,6.65,6.50,6.65,24000
SBL,04-Aug-2014,6.50,6.50,6.25,6.25,66500
SBL,05-Aug-2014,6.50,6.50,6.25,6.25,100500
SBL,06-Aug-2014,6.00,6.29,6.00,6.20,112500
SBL,07-Aug-2014,6.25,6.44,6.25,6.41,34500
SBL,08-Aug-2014,6.25,6.25,6.25,6.25,2000
SBL,11-Aug-2014,6.00,6.00,5.25,5.59,951000
SBL,12-Aug-2014,5.75,6.09,5.75,6.01,114000
