Symbol,Date,Open,High,Low,Close,Volume
SCBPL,01-Jan-2014,25.00,25.00,24.80,24.83,33500
SCBPL,02-Jan-2014,25.10,25.15,24.55,25.00,38500
SCBPL,03-Jan-2014,25.00,25.00,24.75,24.98,31000
SCBPL,06-Jan-2014,24.75,25.40,24.75,25.40,25000
SCBPL,07-Jan-2014,25.01,25.65,25.01,25.01,7500
SCBPL,08-Jan-2014,25.00,25.10,24.60,24.60,9000
SCBPL,09-Jan-2014,24.89,24.90,24.50,24.78,24500
SCBPL,10-Jan-2014,24.60,24.99,24.60,24.93,8500
SCBPL,13-Jan-2014,25.00,25.00,24.70,24.95,7500
SCBPL,15-Jan-2014,24.72,24.75,24.50,24.75,18500
SCBPL,16-Jan-2014,24.75,24.90,24.65,24.65,10500
SCBPL,17-Jan-2014,24.74,24.75,24.55,24.58,12500
SCBPL,20-Jan-2014,24.60,25.40,24.50,24.57,55000
SCBPL,21-Jan-2014,24.50,24.50,24.25,24.39,9500
SCBPL,22-Jan-2014,24.40,25.50,24.40,25.42,124500
SCBPL,23-Jan-2014,24.90,25.40,24.75,25.00,17500
SCBPL,24-Jan-2014,24.90,25.10,24.55,24.80,9500
SCBPL,27-Jan-2014,24.35,25.00,24.35,24.85,3000
SCBPL,28-Jan-2014,25.00,25.00,24.52,24.52,17500
SCBPL,29-Jan-2014,24.34,25.00,23.75,23.77,92000
SCBPL,30-Jan-2014,24.00,24.00,23.71,23.71,9000
SCBPL,31-Jan-2014,23.81,23.81,23.50,23.50,4500
SCBPL,03-Feb-2014,23.30,23.99,23.26,23.94,3000
SCBPL,04-Feb-2014,23.40,23.40,22.75,22.75,50500
SCBPL,06-Feb-2014,22.76,23.25,22.52,23.14,47500
SCBPL,07-Feb-2014,23.25,24.25,23.25,24.07,67000
SCBPL,10-Feb-2014,23.55,23.90,23.01,23.09,20500
SCBPL,11-Feb-2014,23.00,23.00,22.89,23.00,45500
SCBPL,12-Feb-2014,23.50,23.75,23.02,23.75,24500
SCBPL,13-Feb-2014,23.50,23.50,23.25,23.25,31000
SCBPL,14-Feb-2014,23.00,23.00,22.60,22.91,43500
SCBPL,17-Feb-2014,22.35,22.35,22.35,22.35,500
SCBPL,18-Feb-2014,22.05,22.25,22.00,22.10,12000
SCBPL,19-Feb-2014,23.00,23.00,23.00,23.00,500
SCBPL,20-Feb-2014,22.11,22.70,22.11,22.70,2000
SCBPL,21-Feb-2014,22.50,22.50,22.50,22.50,2000
SCBPL,24-Feb-2014,22.96,23.15,22.90,22.90,1500
SCBPL,25-Feb-2014,22.50,22.50,21.76,21.76,177000
SCBPL,26-Feb-2014,21.10,21.10,20.68,20.68,47500
SCBPL,27-Feb-2014,20.06,20.60,19.65,19.70,510500
SCBPL,28-Feb-2014,20.05,20.35,19.60,20.15,17500
SCBPL,03-Mar-2014,20.25,20.25,19.80,20.00,59000
SCBPL,04-Mar-2014,19.50,20.20,19.45,19.72,159500
SCBPL,05-Mar-2014,20.00,20.72,20.00,20.69,278000
SCBPL,06-Mar-2014,21.72,21.72,21.72,21.72,18500
SCBPL,07-Mar-2014,22.80,22.80,22.80,22.80,408500
SCBPL,10-Mar-2014,23.05,23.94,23.00,23.77,174000
SCBPL,11-Mar-2014,24.00,24.14,23.90,23.94,89000
SCBPL,12-Mar-2014,23.70,23.97,23.52,23.61,39000
SCBPL,13-Mar-2014,23.13,23.90,23.13,23.89,113000
SCBPL,14-Mar-2014,24.00,24.00,23.65,23.92,86000
SCBPL,17-Mar-2014,23.98,24.20,23.75,24.00,200000
SCBPL,18-Mar-2014,24.00,24.10,23.82,23.91,64000
SCBPL,19-Mar-2014,24.00,24.10,23.54,23.73,59500
SCBPL,20-Mar-2014,22.44,22.44,21.23,21.36,40500
SCBPL,21-Mar-2014,21.11,21.15,20.30,21.15,30500
SCBPL,24-Mar-2014,21.00,21.25,20.50,21.25,27500
SCBPL,25-Mar-2014,21.10,21.59,21.10,21.57,14500
SCBPL,26-Mar-2014,21.25,21.30,20.50,20.69,161500
SCBPL,27-Mar-2014,21.48,21.72,20.90,20.96,520000
SCBPL,28-Mar-2014,21.00,21.10,20.30,20.58,108000
SCBPL,31-Mar-2014,20.10,21.10,20.05,21.07,71000
SCBPL,01-Apr-2014,21.01,21.45,20.90,20.91,163000
SCBPL,02-Apr-2014,21.00,21.25,20.80,21.17,119500
SCBPL,03-Apr-2014,21.20,21.64,21.20,21.55,130500
SCBPL,04-Apr-2014,21.80,21.80,21.50,21.73,121000
SCBPL,07-Apr-2014,21.26,21.80,21.00,21.51,47500
SCBPL,08-Apr-2014,21.40,21.90,21.40,21.52,32500
SCBPL,09-Apr-2014,21.22,22.50,21.22,22.02,148000
SCBPL,10-Apr-2014,22.98,22.98,22.10,22.51,121000
SCBPL,11-Apr-2014,22.60,23.24,22.50,22.76,177500
SCBPL,14-Apr-2014,22.99,22.99,22.52,22.60,11500
SCBPL,15-Apr-2014,22.21,22.50,22.20,22.35,38000
SCBPL,16-Apr-2014,22.98,23.25,22.67,23.11,87000
SCBPL,17-Apr-2014,23.40,23.46,22.90,23.10,49500
SCBPL,18-Apr-2014,23.40,23.50,23.01,23.50,99500
SCBPL,21-Apr-2014,23.95,24.00,23.26,23.26,25000
SCBPL,22-Apr-2014,22.65,23.60,22.65,23.49,34500
SCBPL,23-Apr-2014,23.59,24.05,23.50,23.99,238500
SCBPL,24-Apr-2014,24.00,24.40,23.52,24.37,135500
SCBPL,25-Apr-2014,24.50,24.50,23.99,24.00,78000
SCBPL,28-Apr-2014,24.25,24.25,23.01,23.11,81500
SCBPL,29-Apr-2014,23.10,23.60,23.00,23.38,16000
SCBPL,30-Apr-2014,23.25,24.49,23.00,24.05,143500
SCBPL,02-May-2014,24.25,24.47,23.76,23.83,18500
SCBPL,05-May-2014,23.80,23.95,23.55,23.75,46000
SCBPL,06-May-2014,23.51,23.72,23.50,23.59,28000
SCBPL,07-May-2014,23.40,23.65,23.40,23.63,24500
SCBPL,08-May-2014,23.99,23.99,23.67,23.69,13500
SCBPL,09-May-2014,23.99,23.99,23.67,23.72,7500
SCBPL,12-May-2014,24.44,24.44,23.45,23.90,18000
SCBPL,13-May-2014,23.80,23.90,23.55,23.55,18500
SCBPL,14-May-2014,23.65,24.70,23.65,24.47,45500
SCBPL,15-May-2014,24.12,24.45,23.75,23.76,39500
SCBPL,16-May-2014,24.35,24.44,23.76,24.29,6500
SCBPL,19-May-2014,24.01,24.99,24.01,24.65,44500
SCBPL,20-May-2014,24.60,24.70,24.26,24.66,5000
SCBPL,21-May-2014,24.70,24.70,24.26,24.26,15500
SCBPL,22-May-2014,24.01,24.25,23.75,24.04,29500
SCBPL,23-May-2014,24.00,24.05,23.85,24.05,13000
SCBPL,26-May-2014,23.76,24.49,23.76,24.02,7500
SCBPL,27-May-2014,24.01,24.01,23.76,24.00,4500
SCBPL,28-May-2014,23.76,24.45,23.76,24.00,45500
SCBPL,29-May-2014,24.00,24.19,24.00,24.10,24000
SCBPL,30-May-2014,24.00,24.05,24.00,24.00,110000
SCBPL,02-Jun-2014,24.01,24.30,24.00,24.01,266500
SCBPL,03-Jun-2014,24.01,24.20,24.00,24.00,45500
SCBPL,04-Jun-2014,23.80,23.80,23.80,23.80,500
SCBPL,05-Jun-2014,24.25,24.40,24.00,24.36,18500
SCBPL,06-Jun-2014,24.30,24.30,24.10,24.29,34000
SCBPL,09-Jun-2014,24.15,24.15,23.60,23.81,262500
SCBPL,10-Jun-2014,24.10,24.74,23.95,24.27,375000
SCBPL,11-Jun-2014,24.50,25.25,24.50,25.00,87500
SCBPL,12-Jun-2014,25.00,25.20,24.80,25.00,45000
SCBPL,13-Jun-2014,25.01,25.25,25.00,25.00,9500
SCBPL,16-Jun-2014,24.50,25.10,24.50,25.00,366000
SCBPL,17-Jun-2014,24.51,25.25,24.51,24.92,6500
SCBPL,18-Jun-2014,24.60,24.60,24.51,24.53,4500
SCBPL,19-Jun-2014,24.50,25.00,24.25,24.72,11000
SCBPL,20-Jun-2014,24.40,24.40,24.40,24.40,1500
SCBPL,23-Jun-2014,24.40,24.50,24.00,24.11,11500
SCBPL,24-Jun-2014,24.40,24.50,24.01,24.01,7000
SCBPL,25-Jun-2014,24.10,24.50,24.00,24.05,66000
SCBPL,26-Jun-2014,24.50,24.95,24.50,24.58,4000
SCBPL,27-Jun-2014,24.50,24.89,24.01,24.45,2000
SCBPL,30-Jun-2014,24.26,24.26,24.25,24.25,12500
SCBPL,01-Jul-2014,24.50,24.50,24.50,24.50,500
SCBPL,02-Jul-2014,24.01,24.05,24.00,24.05,5000
SCBPL,03-Jul-2014,24.15,24.30,24.10,24.27,26000
SCBPL,04-Jul-2014,24.10,24.10,24.05,24.05,4500
SCBPL,07-Jul-2014,23.90,23.91,23.90,23.90,3000
SCBPL,08-Jul-2014,24.20,24.20,24.00,24.00,2000
SCBPL,09-Jul-2014,24.20,24.50,24.00,24.00,32500
SCBPL,10-Jul-2014,24.00,24.10,24.00,24.00,15500
SCBPL,11-Jul-2014,24.01,24.01,24.00,24.00,21500
SCBPL,14-Jul-2014,24.49,24.49,24.01,24.03,53000
SCBPL,15-Jul-2014,24.25,24.25,24.10,24.25,7000
SCBPL,16-Jul-2014,24.05,24.50,24.00,24.50,26500
SCBPL,17-Jul-2014,24.05,24.80,24.03,24.61,19000
SCBPL,18-Jul-2014,24.30,24.79,24.25,24.61,29500
SCBPL,21-Jul-2014,24.40,24.40,24.40,24.40,500
SCBPL,23-Jul-2014,24.10,24.10,24.10,24.10,500
SCBPL,24-Jul-2014,24.45,24.45,24.45,24.45,1000
SCBPL,28-Jul-2014,24.01,24.01,23.80,23.80,12000
SCBPL,04-Aug-2014,22.76,24.40,22.76,23.50,29500
SCBPL,05-Aug-2014,24.00,24.00,24.00,24.00,500
SCBPL,06-Aug-2014,24.40,24.40,23.51,23.51,18000
SCBPL,07-Aug-2014,23.98,24.00,23.98,23.99,10000
SCBPL,08-Aug-2014,23.78,23.78,23.65,23.65,20500
SCBPL,11-Aug-2014,22.47,23.40,22.47,22.60,27000
SCBPL,12-Aug-2014,22.75,22.75,22.50,22.50,9000
SCBPL,13-Aug-2014,22.05,23.62,22.05,23.50,46000
SCBPL,15-Aug-2014,24.00,24.20,23.81,24.20,21500
SCBPL,18-Aug-2014,24.10,24.49,23.76,24.13,4000
SCBPL,20-Aug-2014,24.49,24.89,23.61,23.76,6000
SCBPL,21-Aug-2014,24.05,24.05,23.83,23.90,9000
SCBPL,22-Aug-2014,23.30,25.00,23.26,24.74,30000
SCBPL,25-Aug-2014,24.01,24.01,23.90,23.90,16500
SCBPL,26-Aug-2014,23.00,24.00,23.00,23.45,5500
SCBPL,27-Aug-2014,23.95,24.62,23.80,24.37,26500
SCBPL,28-Aug-2014,23.20,23.50,23.16,23.20,49000
SCBPL,29-Aug-2014,24.20,24.20,23.35,23.35,58000
SCBPL,01-Sep-2014,24.48,24.48,23.00,23.75,5500
SCBPL,02-Sep-2014,23.50,24.00,23.20,24.00,5000
SCBPL,03-Sep-2014,23.51,23.95,23.40,23.95,11000
SCBPL,04-Sep-2014,23.61,23.61,23.60,23.60,11500
SCBPL,05-Sep-2014,23.99,24.25,23.99,24.25,106000
SCBPL,08-Sep-2014,25.25,25.25,23.51,24.19,2500
SCBPL,09-Sep-2014,24.00,24.00,23.80,23.92,18500
SCBPL,10-Sep-2014,23.78,23.78,23.78,23.78,4000
SCBPL,11-Sep-2014,23.61,24.00,23.58,24.00,25000
SCBPL,12-Sep-2014,24.00,24.20,23.80,24.18,5000
SCBPL,15-Sep-2014,24.00,24.10,24.00,24.08,15500
SCBPL,16-Sep-2014,24.01,25.00,24.00,24.52,134000
SCBPL,17-Sep-2014,23.98,23.99,23.00,23.50,69500
SCBPL,18-Sep-2014,23.50,23.74,23.50,23.72,27000
SCBPL,19-Sep-2014,23.79,23.79,23.65,23.65,6000
SCBPL,22-Sep-2014,23.70,24.20,23.70,24.20,63500
SCBPL,23-Sep-2014,24.20,24.40,24.00,24.01,17500
SCBPL,24-Sep-2014,24.02,24.24,23.60,24.24,11000
SCBPL,25-Sep-2014,24.00,24.05,23.66,23.88,13500
SCBPL,26-Sep-2014,23.51,24.00,23.51,24.00,25500
SCBPL,29-Sep-2014,23.75,23.95,23.50,23.54,11500
SCBPL,30-Sep-2014,23.25,23.50,23.25,23.50,7000
SCBPL,01-Oct-2014,23.50,23.97,23.50,23.72,18500
SCBPL,02-Oct-2014,23.11,23.90,23.11,23.85,9500
SCBPL,03-Oct-2014,23.90,23.90,23.56,23.74,11500
SCBPL,09-Oct-2014,24.00,24.00,23.60,23.98,154500
SCBPL,10-Oct-2014,23.51,24.00,23.50,24.00,8000
SCBPL,13-Oct-2014,23.75,24.00,23.75,24.00,56500
SCBPL,14-Oct-2014,24.20,24.30,23.80,24.20,212000
SCBPL,15-Oct-2014,24.10,24.10,23.85,24.08,24000
SCBPL,16-Oct-2014,23.50,24.00,23.50,23.95,68000
SCBPL,17-Oct-2014,24.05,24.19,24.05,24.15,5000
SCBPL,20-Oct-2014,23.53,24.00,23.53,23.99,35000
SCBPL,21-Oct-2014,24.00,24.08,24.00,24.00,12000
SCBPL,22-Oct-2014,24.17,24.20,24.17,24.20,20000
SCBPL,23-Oct-2014,24.16,24.25,24.16,24.20,40500
SCBPL,24-Oct-2014,24.00,24.20,23.90,24.00,68500
SCBPL,27-Oct-2014,23.65,23.99,23.65,23.80,7500
SCBPL,28-Oct-2014,24.01,24.28,24.00,24.28,2500
SCBPL,29-Oct-2014,24.00,24.25,24.00,24.00,29000
SCBPL,30-Oct-2014,24.00,24.05,23.60,24.00,46000
SCBPL,31-Oct-2014,24.00,24.00,23.75,23.94,20500
SCBPL,05-Nov-2014,23.95,23.99,23.60,23.80,20000
SCBPL,06-Nov-2014,24.00,24.00,23.60,23.63,68500
SCBPL,07-Nov-2014,23.80,23.90,23.50,23.60,56000
SCBPL,10-Nov-2014,23.60,23.61,23.50,23.60,46500
SCBPL,11-Nov-2014,23.31,23.45,23.17,23.31,17000
SCBPL,12-Nov-2014,23.90,24.10,23.52,24.00,392000
SCBPL,13-Nov-2014,23.61,24.10,23.61,23.94,7000
SCBPL,14-Nov-2014,23.65,24.00,23.65,24.00,29500
SCBPL,17-Nov-2014,23.75,24.10,23.75,24.10,16000
SCBPL,18-Nov-2014,23.41,23.99,23.41,23.99,5000
SCBPL,19-Nov-2014,23.75,23.75,23.75,23.75,12500
SCBPL,20-Nov-2014,23.50,23.50,23.40,23.40,2500
SCBPL,21-Nov-2014,23.75,23.75,23.75,23.75,2000
SCBPL,24-Nov-2014,23.30,23.80,22.90,23.70,56000
SCBPL,25-Nov-2014,23.19,23.75,23.19,23.75,11500
SCBPL,26-Nov-2014,23.74,23.94,23.50,23.75,38000
SCBPL,27-Nov-2014,23.51,23.72,23.30,23.30,23500
SCBPL,28-Nov-2014,23.70,23.70,23.01,23.38,6500
SCBPL,01-Dec-2014,23.84,23.84,23.40,23.40,8500
SCBPL,02-Dec-2014,23.75,23.85,23.30,23.80,34500
SCBPL,03-Dec-2014,23.80,23.80,23.75,23.75,5000
SCBPL,04-Dec-2014,23.60,23.80,23.60,23.72,15500
SCBPL,05-Dec-2014,23.80,24.49,23.80,23.86,18500
SCBPL,08-Dec-2014,23.81,23.95,23.80,23.95,5500
SCBPL,09-Dec-2014,23.99,24.00,23.80,23.85,3500
SCBPL,10-Dec-2014,24.00,24.00,24.00,24.00,74500
SCBPL,11-Dec-2014,24.24,24.24,24.00,24.00,8500
SCBPL,12-Dec-2014,23.60,23.60,23.51,23.56,1000
SCBPL,15-Dec-2014,23.99,24.00,23.99,24.00,55500
SCBPL,16-Dec-2014,23.55,23.99,23.55,23.55,51500
