Symbol,Date,Open,High,Low,Close,Volume
SCLL,01-Jan-2014,7.00,8.00,7.00,8.00,95500
SCLL,02-Jan-2014,8.50,9.00,7.70,7.72,108500
SCLL,03-Jan-2014,7.95,8.39,7.85,8.33,38500
SCLL,06-Jan-2014,8.26,8.26,8.26,8.26,10000
SCLL,08-Jan-2014,7.61,7.61,7.61,7.61,5000
SCLL,09-Jan-2014,8.19,8.25,8.19,8.25,10500
SCLL,16-Jan-2014,7.31,8.00,7.31,8.00,3000
SCLL,20-Jan-2014,7.60,7.60,7.60,8.00,9000
SCLL,22-Jan-2014,7.70,8.00,7.70,8.00,4500
SCLL,28-Jan-2014,8.50,8.50,8.39,8.39,2000
SCLL,30-Jan-2014,7.50,8.16,7.50,8.02,13000
SCLL,06-Feb-2014,7.80,8.40,7.80,7.87,10000
SCLL,11-Feb-2014,7.88,7.88,7.81,7.81,2000
SCLL,12-Feb-2014,7.75,7.75,7.75,7.75,500
SCLL,13-Feb-2014,7.80,8.25,7.50,8.25,19000
SCLL,14-Feb-2014,7.75,7.75,7.75,7.75,500
SCLL,17-Feb-2014,7.75,8.00,7.75,8.00,1500
SCLL,21-Feb-2014,7.80,7.80,7.80,7.80,500
SCLL,24-Feb-2014,8.00,8.00,8.00,8.00,10000
SCLL,25-Feb-2014,8.00,8.00,8.00,8.00,5000
SCLL,26-Feb-2014,7.60,7.60,7.60,7.60,2000
SCLL,03-Mar-2014,7.75,7.75,7.75,7.75,8500
SCLL,04-Mar-2014,7.80,7.80,7.70,7.70,2000
SCLL,05-Mar-2014,8.00,8.00,7.60,8.00,39000
SCLL,06-Mar-2014,8.00,8.25,8.00,8.19,9500
SCLL,07-Mar-2014,8.11,8.25,8.11,8.25,3000
SCLL,10-Mar-2014,8.00,8.00,8.00,8.00,1000
SCLL,11-Mar-2014,8.00,8.15,8.00,8.00,16000
SCLL,12-Mar-2014,8.00,8.00,8.00,8.00,4000
SCLL,13-Mar-2014,8.00,8.05,8.00,8.05,5000
SCLL,14-Mar-2014,8.05,8.05,8.05,8.05,5000
SCLL,18-Mar-2014,7.70,7.70,7.70,7.70,500
SCLL,19-Mar-2014,7.81,7.85,7.75,7.85,21500
SCLL,25-Mar-2014,7.98,8.00,7.98,8.00,51500
SCLL,26-Mar-2014,7.98,7.98,7.98,7.98,500
SCLL,31-Mar-2014,7.98,7.98,7.98,7.98,500
