Symbol,Date,Open,High,Low,Close,Volume
SCL,03-Jan-2014,157.02,157.02,157.02,149.55,100
SCL,07-Jan-2014,157.02,157.02,157.02,157.02,200
SCL,09-Jan-2014,165.00,165.00,165.00,158.00,200
SCL,10-Jan-2014,165.90,165.90,165.90,158.00,100
SCL,13-Jan-2014,165.00,165.00,165.00,165.00,1500
SCL,15-Jan-2014,173.24,173.24,173.24,173.24,500
SCL,16-Jan-2014,181.90,181.90,181.90,181.90,1200
SCL,17-Jan-2014,190.99,190.99,190.99,190.99,1200
SCL,20-Jan-2014,195.00,195.00,195.00,195.00,700
SCL,23-Jan-2014,185.25,185.25,185.25,185.25,600
SCL,24-Jan-2014,185.25,185.25,175.99,176.00,1100
SCL,27-Jan-2014,167.25,167.25,167.20,167.23,200
SCL,28-Jan-2014,168.00,175.59,168.00,175.59,1600
SCL,29-Jan-2014,184.32,184.36,184.32,184.36,1900
SCL,30-Jan-2014,193.49,193.57,180.00,193.57,2500
SCL,31-Jan-2014,200.88,203.24,200.88,203.24,700
SCL,03-Feb-2014,213.29,213.29,213.29,203.24,100
SCL,07-Feb-2014,204.00,205.00,204.00,204.23,1300
SCL,11-Feb-2014,200.00,200.00,200.00,200.00,700
SCL,12-Feb-2014,200.00,210.00,200.00,210.00,2000
SCL,14-Feb-2014,204.00,205.00,204.00,204.50,200
SCL,18-Feb-2014,194.28,194.28,194.28,194.28,1600
SCL,26-Feb-2014,184.57,184.57,184.57,194.28,100
SCL,28-Feb-2014,194.28,203.99,194.28,203.99,600
SCL,03-Mar-2014,214.00,214.00,214.00,203.99,100
SCL,04-Mar-2014,206.00,206.00,203.00,205.25,400
SCL,10-Mar-2014,195.00,203.00,195.00,200.50,900
SCL,11-Mar-2014,200.00,200.00,200.00,200.50,100
SCL,12-Mar-2014,200.50,200.50,200.50,200.50,100
SCL,13-Mar-2014,200.00,200.00,197.00,200.50,300
SCL,19-Mar-2014,200.00,200.00,200.00,200.00,600
SCL,31-Mar-2014,200.00,200.00,200.00,200.00,100
SCL,01-Apr-2014,200.00,200.00,200.00,200.00,100
SCL,03-Apr-2014,210.00,210.00,210.00,210.00,400
SCL,09-Apr-2014,200.00,219.00,200.00,202.87,2400
SCL,10-Apr-2014,202.87,202.87,202.87,202.87,2100
SCL,28-Apr-2014,222.18,222.18,222.18,222.18,200
SCL,29-Apr-2014,233.28,233.28,222.18,233.01,1700
SCL,30-Apr-2014,244.66,244.66,242.55,242.55,100
SCL,02-May-2014,254.67,254.67,254.67,254.67,500
SCL,05-May-2014,267.40,267.40,267.40,267.40,600
SCL,06-May-2014,280.77,280.77,272.00,280.00,800
SCL,07-May-2014,270.00,270.00,270.00,270.00,100
SCL,08-May-2014,280.00,280.00,280.00,280.00,100
SCL,09-May-2014,290.00,294.00,290.00,292.20,1800
SCL,14-May-2014,295.00,295.00,295.00,295.00,100
SCL,28-May-2014,309.75,309.75,309.75,309.75,100
SCL,29-May-2014,309.00,309.00,309.00,309.00,100
SCL,09-Sep-2014,250.73,250.73,250.73,250.73,300
SCL,10-Sep-2014,262.00,263.26,238.20,247.36,1700
SCL,18-Sep-2014,254.00,254.00,254.00,254.00,300
SCL,19-Sep-2014,256.00,256.00,250.00,250.00,1000
SCL,22-Sep-2014,250.00,260.00,250.00,260.00,600
SCL,23-Sep-2014,255.00,255.00,255.00,255.00,100
SCL,25-Sep-2014,255.00,255.00,255.00,255.00,3300
SCL,29-Sep-2014,255.00,255.00,242.25,255.00,10100
SCL,22-Oct-2014,265.99,266.17,265.99,266.17,600
SCL,23-Oct-2014,279.47,279.47,279.47,279.47,100
SCL,24-Oct-2014,293.44,293.44,293.44,293.44,100
SCL,27-Oct-2014,305.00,308.11,305.00,308.11,900
SCL,28-Oct-2014,320.00,320.00,320.00,320.00,100
SCL,29-Oct-2014,334.89,334.89,334.89,334.89,100
SCL,30-Oct-2014,343.00,343.00,343.00,343.00,100
SCL,31-Oct-2014,357.00,357.00,357.00,357.00,100
SCL,05-Nov-2014,340.00,340.00,340.00,340.00,100
SCL,11-Nov-2014,340.00,340.00,340.00,340.00,100
SCL,14-Nov-2014,312.90,312.90,312.90,312.90,700
SCL,17-Nov-2014,297.26,297.26,297.26,297.26,100
SCL,18-Nov-2014,282.40,282.40,282.40,282.40,100
SCL,03-Dec-2014,291.00,291.00,291.00,291.00,1100
SCL,09-Jan-2015,299.98,299.98,299.98,299.98,300
SCL,15-Jan-2015,290.00,290.00,284.99,284.99,1000
SCL,19-Jan-2015,270.75,270.75,270.75,270.75,500
SCL,22-Jan-2015,257.22,257.22,257.22,257.22,100
SCL,26-Jan-2015,257.22,257.22,257.22,257.22,100
SCL,03-Feb-2015,244.15,244.15,244.15,244.15,400
SCL,11-Feb-2015,244.15,244.15,244.15,244.15,100
SCL,03-Mar-2015,231.95,231.95,231.95,231.95,400
SCL,04-Mar-2015,220.37,220.37,220.36,220.37,300
SCL,16-Mar-2015,220.00,220.00,209.36,209.36,700
SCL,16-Apr-2015,219.82,219.82,219.82,219.82,200
SCL,17-Apr-2015,230.80,230.80,230.80,230.80,200
SCL,21-Apr-2015,230.80,230.80,230.80,230.80,100
SCL,28-Apr-2015,230.80,230.80,230.80,230.80,100
SCL,29-Apr-2015,242.34,242.34,231.17,231.17,100
SCL,06-May-2015,233.63,233.63,233.63,233.63,100
SCL,11-May-2015,240.00,249.00,233.05,238.88,700
SCL,13-May-2015,238.88,238.88,238.88,238.88,100
SCL,14-May-2015,250.82,250.82,250.82,250.82,200
SCL,15-May-2015,263.00,263.36,263.00,263.25,500
SCL,11-Jun-2015,250.00,250.00,250.00,250.00,500
SCL,12-Jun-2015,255.48,255.48,255.00,255.00,200
SCL,18-Jun-2015,242.25,242.29,242.25,242.27,700
SCL,24-Jun-2015,246.00,246.00,245.00,245.50,200
SCL,25-Jun-2015,245.50,245.50,245.50,245.50,100
SCL,06-Jul-2015,245.00,245.00,245.00,245.00,200
SCL,07-Jul-2015,250.00,250.00,250.00,250.00,100
SCL,28-Jul-2015,250.00,250.00,250.00,250.00,500
SCL,04-Aug-2015,259.00,262.50,259.00,262.50,3500
SCL,05-Aug-2015,255.00,255.00,255.00,255.00,200
SCL,06-Aug-2015,267.00,267.00,267.00,267.00,100
SCL,17-Aug-2015,253.65,267.50,253.65,267.50,300
SCL,21-Aug-2015,280.87,280.87,280.87,280.87,100
SCL,28-Aug-2015,286.00,286.00,286.00,286.00,100
SCL,02-Sep-2015,293.60,293.90,293.60,293.90,200
SCL,03-Sep-2015,288.00,288.00,285.00,285.00,200
SCL,02-Oct-2015,267.24,289.90,267.24,289.90,300
SCL,05-Oct-2015,275.41,275.41,275.41,275.41,200
SCL,06-Oct-2015,261.64,261.64,261.64,261.64,200
SCL,14-Oct-2015,248.55,269.99,248.55,269.99,300
SCL,02-Nov-2015,261.00,278.00,261.00,278.00,800
SCL,03-Nov-2015,264.10,280.50,264.10,278.83,1300
SCL,05-Nov-2015,265.00,265.00,265.00,265.00,200
SCL,09-Nov-2015,270.00,270.00,270.00,270.00,200
SCL,10-Nov-2015,272.00,272.00,272.00,272.00,300
