Symbol,Date,Open,High,Low,Close,Volume
SEARL,01-Jan-2014,125.00,129.73,125.00,128.75,334800
SEARL,02-Jan-2014,129.50,135.18,129.50,132.27,536400
SEARL,03-Jan-2014,132.10,135.00,131.00,133.35,537400
SEARL,06-Jan-2014,134.95,134.95,132.00,132.85,295700
SEARL,07-Jan-2014,134.00,135.50,132.00,134.08,603400
SEARL,08-Jan-2014,134.00,140.78,132.50,137.86,694900
SEARL,09-Jan-2014,139.50,142.30,136.60,137.76,487900
SEARL,10-Jan-2014,136.00,140.00,135.00,135.34,100000
SEARL,13-Jan-2014,133.42,135.10,133.10,133.47,48300
SEARL,15-Jan-2014,138.00,138.00,133.50,135.57,267100
SEARL,16-Jan-2014,135.95,141.74,135.90,138.01,623900
SEARL,17-Jan-2014,139.00,144.91,139.00,144.91,648100
SEARL,20-Jan-2014,150.48,152.15,149.25,152.15,614200
SEARL,21-Jan-2014,158.00,159.75,155.51,158.32,744800
SEARL,22-Jan-2014,158.92,166.23,154.46,162.74,757900
SEARL,23-Jan-2014,164.99,170.00,162.10,164.17,221700
SEARL,24-Jan-2014,164.50,164.50,156.50,158.58,144800
SEARL,27-Jan-2014,156.56,156.56,151.05,151.43,71300
SEARL,28-Jan-2014,152.00,158.00,152.00,153.33,77700
SEARL,29-Jan-2014,154.02,154.02,147.20,150.82,82900
SEARL,30-Jan-2014,150.01,156.80,149.00,152.00,78500
SEARL,31-Jan-2014,153.74,153.98,151.00,151.50,33300
SEARL,03-Feb-2014,153.50,159.07,153.01,159.07,326700
SEARL,04-Feb-2014,161.99,165.50,157.00,159.06,387000
SEARL,06-Feb-2014,159.40,164.85,159.40,161.66,377700
SEARL,07-Feb-2014,162.26,163.40,157.80,158.06,63800
SEARL,10-Feb-2014,156.10,158.00,150.16,150.16,69200
SEARL,11-Feb-2014,149.00,153.00,143.00,149.18,115300
SEARL,12-Feb-2014,152.99,154.90,150.81,153.00,68300
SEARL,13-Feb-2014,153.00,153.00,145.35,145.55,376600
SEARL,14-Feb-2014,141.51,143.48,138.28,138.62,78400
SEARL,17-Feb-2014,136.50,139.72,131.69,132.61,119400
SEARL,18-Feb-2014,128.15,132.80,125.98,130.10,172000
SEARL,19-Feb-2014,130.49,131.00,127.00,128.00,33400
SEARL,20-Feb-2014,128.90,134.40,126.00,132.19,39300
SEARL,21-Feb-2014,132.00,137.65,132.00,135.58,111400
SEARL,24-Feb-2014,135.60,139.90,135.50,138.19,56200
SEARL,25-Feb-2014,137.60,137.60,132.10,133.36,34200
SEARL,26-Feb-2014,133.50,134.00,131.90,132.10,16300
SEARL,27-Feb-2014,133.00,134.24,133.00,133.75,3300
SEARL,28-Feb-2014,131.70,139.85,131.70,137.23,31100
SEARL,03-Mar-2014,139.70,142.90,137.30,142.24,86700
SEARL,04-Mar-2014,140.00,144.99,139.25,143.22,32300
SEARL,05-Mar-2014,144.00,147.90,143.00,145.54,32900
SEARL,06-Mar-2014,147.98,149.00,145.10,146.93,28600
SEARL,07-Mar-2014,147.10,148.85,143.00,145.40,90700
SEARL,10-Mar-2014,143.50,147.45,143.50,146.27,241900
SEARL,11-Mar-2014,147.00,153.40,147.00,151.87,193000
SEARL,12-Mar-2014,153.00,159.46,152.50,158.24,539000
SEARL,13-Mar-2014,159.84,162.85,151.00,151.86,231700
SEARL,14-Mar-2014,152.50,155.50,152.50,154.22,44300
