Symbol,Date,Open,High,Low,Close,Volume
SEPCO,01-Jan-2014,2.85,2.85,2.60,2.64,943000
SEPCO,02-Jan-2014,2.79,3.04,2.64,2.89,3690500
SEPCO,03-Jan-2014,2.91,3.10,2.82,2.87,2569000
SEPCO,06-Jan-2014,2.90,2.95,2.80,2.84,1032000
SEPCO,07-Jan-2014,2.89,2.95,2.72,2.78,1298500
SEPCO,08-Jan-2014,2.85,2.85,2.70,2.72,750000
SEPCO,09-Jan-2014,2.65,2.90,2.65,2.72,951500
SEPCO,10-Jan-2014,2.68,2.81,2.63,2.71,800000
SEPCO,13-Jan-2014,2.71,2.82,2.68,2.74,624000
SEPCO,15-Jan-2014,2.82,2.82,2.70,2.77,555500
SEPCO,16-Jan-2014,2.84,2.84,2.71,2.72,498000
SEPCO,17-Jan-2014,2.80,2.84,2.65,2.69,257500
SEPCO,20-Jan-2014,2.72,2.77,2.66,2.67,244000
SEPCO,21-Jan-2014,2.67,2.72,2.66,2.71,299000
SEPCO,22-Jan-2014,2.70,2.71,2.60,2.63,797000
SEPCO,23-Jan-2014,2.65,2.70,2.56,2.60,789500
SEPCO,24-Jan-2014,2.62,2.65,2.54,2.57,624000
SEPCO,27-Jan-2014,2.54,2.75,2.50,2.55,475500
SEPCO,28-Jan-2014,2.60,2.62,2.50,2.54,436000
SEPCO,29-Jan-2014,2.52,2.58,2.49,2.51,351500
SEPCO,30-Jan-2014,2.50,2.63,2.44,2.55,666000
SEPCO,31-Jan-2014,2.59,2.59,2.42,2.51,293500
SEPCO,03-Feb-2014,2.50,2.58,2.45,2.47,581000
SEPCO,04-Feb-2014,2.50,2.79,2.46,2.57,841500
SEPCO,06-Feb-2014,2.57,2.80,2.57,2.67,796500
SEPCO,07-Feb-2014,2.75,2.78,2.59,2.61,436000
SEPCO,10-Feb-2014,2.60,2.62,2.46,2.54,547500
SEPCO,11-Feb-2014,2.60,2.60,2.48,2.50,327500
SEPCO,12-Feb-2014,2.60,2.60,2.48,2.54,256500
SEPCO,13-Feb-2014,2.53,2.98,2.53,2.77,7979500
SEPCO,14-Feb-2014,2.70,2.80,2.55,2.57,930500
SEPCO,17-Feb-2014,2.55,2.69,2.55,2.63,1106500
SEPCO,18-Feb-2014,2.55,2.65,2.52,2.54,301000
SEPCO,19-Feb-2014,2.55,2.67,2.51,2.53,440500
SEPCO,20-Feb-2014,2.42,2.66,2.41,2.62,767500
SEPCO,21-Feb-2014,2.59,2.78,2.59,2.64,1373500
SEPCO,24-Feb-2014,2.69,2.69,2.55,2.60,581000
SEPCO,25-Feb-2014,2.64,2.64,2.53,2.56,280500
SEPCO,26-Feb-2014,2.53,2.54,2.45,2.46,431500
SEPCO,27-Feb-2014,2.46,2.49,2.39,2.44,313000
SEPCO,28-Feb-2014,2.48,2.57,2.42,2.45,422000
SEPCO,03-Mar-2014,2.46,3.05,2.40,2.73,6709500
SEPCO,04-Mar-2014,2.82,2.93,2.70,2.74,2246000
SEPCO,05-Mar-2014,2.79,2.80,2.56,2.59,781500
SEPCO,06-Mar-2014,2.68,2.83,2.60,2.62,1124000
SEPCO,07-Mar-2014,2.64,2.69,2.52,2.56,441500
SEPCO,10-Mar-2014,2.54,2.65,2.54,2.58,375500
SEPCO,11-Mar-2014,2.60,2.80,2.60,2.64,443500
SEPCO,12-Mar-2014,2.61,2.73,2.53,2.57,674000
SEPCO,13-Mar-2014,2.55,2.70,2.50,2.65,1994500
SEPCO,14-Mar-2014,2.69,2.82,2.65,2.70,1574000
SEPCO,17-Mar-2014,2.71,2.84,2.61,2.62,711000
SEPCO,18-Mar-2014,2.62,2.65,2.56,2.58,335000
SEPCO,19-Mar-2014,2.67,2.68,2.55,2.58,400000
SEPCO,20-Mar-2014,2.63,2.63,2.50,2.54,738000
SEPCO,21-Mar-2014,2.52,2.61,2.51,2.57,249500
SEPCO,24-Mar-2014,2.57,2.58,2.51,2.56,154000
SEPCO,25-Mar-2014,2.60,2.64,2.53,2.58,266500
