Symbol,Date,Open,High,Low,Close,Volume
SEPL,01-Jan-2014,68.50,69.94,68.50,69.00,5000
SEPL,02-Jan-2014,67.50,67.99,66.65,67.99,13500
SEPL,03-Jan-2014,67.89,70.50,67.00,68.50,11500
SEPL,06-Jan-2014,71.25,71.25,67.65,69.56,11000
SEPL,07-Jan-2014,69.00,70.49,69.00,70.49,31000
SEPL,08-Jan-2014,69.50,69.50,69.30,69.40,4500
SEPL,09-Jan-2014,69.00,70.00,68.10,68.90,8000
SEPL,10-Jan-2014,67.01,70.00,66.80,69.81,42000
SEPL,13-Jan-2014,70.40,70.40,69.81,70.29,18000
SEPL,15-Jan-2014,70.50,71.00,70.00,70.95,70000
SEPL,16-Jan-2014,71.50,73.35,71.00,71.60,103000
SEPL,17-Jan-2014,71.80,71.99,70.80,71.13,22000
SEPL,20-Jan-2014,69.60,70.49,68.50,69.58,56500
SEPL,21-Jan-2014,71.39,73.00,70.75,71.51,102000
SEPL,22-Jan-2014,72.25,75.08,71.25,75.07,150000
SEPL,23-Jan-2014,77.50,78.82,75.60,76.18,160000
SEPL,24-Jan-2014,77.30,79.30,75.50,76.76,55000
SEPL,27-Jan-2014,76.50,76.64,76.00,76.50,8000
SEPL,28-Jan-2014,77.00,78.25,76.50,76.62,39000
SEPL,29-Jan-2014,76.25,79.00,76.25,77.88,59000
SEPL,30-Jan-2014,79.50,79.89,77.00,77.00,51500
SEPL,31-Jan-2014,78.99,78.99,73.15,73.51,87000
SEPL,03-Feb-2014,70.10,70.85,69.84,69.84,66000
SEPL,04-Feb-2014,68.00,69.00,67.76,68.15,22000
SEPL,06-Feb-2014,69.80,70.90,68.20,70.00,24000
SEPL,07-Feb-2014,71.25,71.50,69.00,69.24,20500
SEPL,10-Feb-2014,69.24,69.50,67.00,67.75,19000
SEPL,11-Feb-2014,68.00,68.00,66.11,66.41,8000
SEPL,12-Feb-2014,67.99,68.00,67.00,67.02,5000
SEPL,14-Feb-2014,68.00,69.00,68.00,68.25,5500
SEPL,18-Feb-2014,69.00,69.25,64.84,66.78,22000
SEPL,19-Feb-2014,66.00,66.00,65.00,65.00,3500
SEPL,20-Feb-2014,63.26,65.00,63.25,64.88,14000
SEPL,21-Feb-2014,64.10,64.20,64.10,64.15,6500
SEPL,24-Feb-2014,64.00,64.00,63.10,64.00,1500
SEPL,25-Feb-2014,64.00,64.00,63.00,63.68,3500
SEPL,26-Feb-2014,63.80,63.89,60.50,60.55,18500
SEPL,27-Feb-2014,61.25,61.33,59.95,59.95,5500
SEPL,28-Feb-2014,61.34,61.34,59.00,61.29,10500
SEPL,03-Mar-2014,61.00,61.23,60.81,60.81,2500
SEPL,04-Mar-2014,61.00,61.00,61.00,61.00,1500
SEPL,05-Mar-2014,61.01,61.51,61.01,61.50,2500
SEPL,06-Mar-2014,62.50,63.40,61.50,63.26,18000
SEPL,07-Mar-2014,62.15,64.29,62.15,64.24,5000
SEPL,10-Mar-2014,65.74,65.74,65.74,65.74,500
SEPL,11-Mar-2014,63.40,65.00,63.40,65.00,3000
SEPL,12-Mar-2014,64.99,65.20,63.05,65.20,12000
SEPL,13-Mar-2014,66.50,66.50,64.60,66.39,9500
SEPL,14-Mar-2014,66.35,66.50,66.35,66.50,6000
SEPL,17-Mar-2014,67.00,67.00,67.00,67.00,2000
SEPL,18-Mar-2014,66.90,67.00,66.90,67.00,6000
SEPL,19-Mar-2014,67.00,67.00,66.75,67.00,11000
SEPL,21-Mar-2014,67.85,67.85,67.85,67.85,500
SEPL,25-Mar-2014,66.00,66.00,64.46,64.64,11500
SEPL,26-Mar-2014,64.40,65.40,64.00,65.00,19500
SEPL,27-Mar-2014,64.40,64.40,64.30,64.35,1000
SEPL,28-Mar-2014,64.00,67.56,64.00,67.00,53500
SEPL,31-Mar-2014,66.85,68.00,66.60,66.60,26500
SEPL,01-Apr-2014,66.75,67.30,66.16,66.16,11500
SEPL,02-Apr-2014,67.50,69.46,66.14,69.46,60000
SEPL,03-Apr-2014,71.49,72.93,71.00,72.93,74000
SEPL,04-Apr-2014,73.00,76.57,73.00,76.57,58000
SEPL,07-Apr-2014,77.00,78.99,73.00,77.25,220000
SEPL,08-Apr-2014,77.99,79.97,76.40,78.62,114500
SEPL,09-Apr-2014,80.00,80.40,76.00,77.50,357000
SEPL,10-Apr-2014,77.50,77.50,75.50,75.56,16000
SEPL,11-Apr-2014,76.00,77.50,75.75,76.65,35000
SEPL,14-Apr-2014,76.01,77.44,75.50,77.44,11000
