Symbol,Date,Open,High,Low,Close,Volume
SERT,04-Sep-2014,2.61,2.61,2.61,2.61,10000
SERT,05-Sep-2014,3.61,3.61,3.61,3.61,500
SERT,09-Sep-2014,5.31,5.31,5.31,5.31,3000
SERT,10-Sep-2014,6.31,6.31,6.30,6.31,31000
SERT,11-Sep-2014,7.31,7.31,7.31,7.31,2000
SERT,12-Sep-2014,8.31,8.31,8.31,8.31,500
SERT,15-Sep-2014,9.31,9.31,8.32,9.31,28000
SERT,16-Sep-2014,10.31,10.31,10.31,10.31,13000
SERT,17-Sep-2014,11.31,11.31,11.31,11.31,500
SERT,18-Sep-2014,12.31,12.31,12.31,12.31,500
SERT,19-Sep-2014,13.31,13.31,13.31,13.31,500
SERT,22-Sep-2014,14.30,14.31,13.70,14.31,4500
SERT,23-Sep-2014,15.31,15.31,15.31,15.31,1000
SERT,24-Sep-2014,16.31,16.31,16.31,16.31,500
SERT,25-Sep-2014,17.31,17.31,17.31,17.31,4500
SERT,26-Sep-2014,18.31,18.31,18.31,18.31,500
SERT,29-Sep-2014,19.31,19.31,19.31,19.31,3000
SERT,30-Sep-2014,20.31,20.31,20.31,20.31,1000
SERT,01-Oct-2014,21.32,21.32,21.32,21.32,1000
SERT,02-Oct-2014,22.38,22.38,21.75,21.84,46000
SERT,03-Oct-2014,22.00,22.00,20.75,20.75,11000
SERT,09-Oct-2014,19.72,19.72,19.72,19.72,2500
SERT,10-Oct-2014,18.72,20.00,18.72,18.72,11000
SERT,13-Oct-2014,17.72,17.72,17.72,17.72,4000
SERT,14-Oct-2014,17.03,17.03,16.72,16.72,5500
SERT,15-Oct-2014,15.72,17.25,15.72,15.87,18000
SERT,16-Oct-2014,14.87,15.50,14.87,14.90,37000
SERT,17-Oct-2014,15.00,15.00,14.99,15.00,7000
SERT,21-Oct-2014,14.90,15.93,14.50,15.91,3000
SERT,22-Oct-2014,15.10,15.10,15.10,15.10,1000
SERT,23-Oct-2014,15.00,15.50,14.20,15.50,8000
SERT,24-Oct-2014,15.49,15.50,15.49,15.50,18000
SERT,27-Oct-2014,15.10,15.34,14.50,15.34,10000
SERT,28-Oct-2014,15.00,15.00,15.00,15.00,8000
SERT,30-Oct-2014,15.20,15.20,14.90,14.97,18000
SERT,31-Oct-2014,15.97,15.97,15.50,15.97,41000
SERT,05-Nov-2014,16.97,16.97,16.96,16.97,20000
SERT,06-Nov-2014,17.97,17.97,17.97,17.97,500
SERT,07-Nov-2014,18.97,18.97,18.00,18.97,64500
SERT,10-Nov-2014,19.65,19.90,18.20,18.30,40500
SERT,11-Nov-2014,17.31,17.31,17.30,17.30,2000
