Symbol,Date,Open,High,Low,Close,Volume
SFLL,01-Jan-2014,42.00,42.00,42.00,42.00,500
SFLL,28-Jan-2014,42.00,42.00,42.00,42.00,1000
SFLL,30-Jan-2014,41.00,41.00,41.00,41.00,1000
SFLL,07-Feb-2014,40.90,40.90,40.90,40.90,1000
SFLL,10-Feb-2014,40.90,40.90,40.90,40.90,1000
SFLL,25-Feb-2014,40.90,40.90,40.90,40.90,5500
SFLL,07-Mar-2014,42.90,42.90,42.90,42.90,500
SFLL,10-Mar-2014,45.04,45.04,45.04,45.04,1000
SFLL,11-Mar-2014,47.29,47.29,47.29,47.29,500
SFLL,14-Mar-2014,52.13,52.13,52.13,52.13,1000
SFLL,17-Mar-2014,54.00,54.73,54.00,54.73,1000
SFLL,18-Mar-2014,57.46,57.46,57.46,57.46,500
SFLL,19-Mar-2014,60.33,60.33,60.33,60.33,500
SFLL,26-Mar-2014,60.00,60.00,60.00,60.00,1000
SFLL,27-Mar-2014,60.00,60.00,60.00,60.00,1000
SFLL,07-Apr-2014,58.00,58.00,58.00,58.00,500
SFLL,11-Apr-2014,58.00,58.00,58.00,58.00,2000
SFLL,21-Apr-2014,60.86,60.86,60.86,60.86,500
SFLL,22-Apr-2014,62.85,62.85,62.85,62.85,2500
SFLL,24-Apr-2014,65.95,65.95,65.95,65.95,500
SFLL,25-Apr-2014,63.00,63.00,62.75,62.75,1000
SFLL,29-Apr-2014,62.00,62.00,62.00,62.00,500
SFLL,29-May-2014,65.10,65.10,65.10,65.10,1000
SFLL,11-Jun-2014,65.00,65.00,65.00,65.00,500
SFLL,02-Jul-2014,67.12,67.12,67.12,67.12,500
SFLL,10-Feb-2015,68.25,68.25,68.00,68.00,2500
SFLL,11-Feb-2015,68.00,71.40,68.00,71.40,1000
SFLL,12-Feb-2015,74.97,74.97,74.97,74.97,500
SFLL,13-Feb-2015,78.71,78.71,78.71,78.71,500
SFLL,16-Feb-2015,82.64,82.64,82.64,82.64,500
SFLL,27-Apr-2015,67.00,70.00,67.00,70.00,48500
SFLL,28-Apr-2015,70.85,70.85,70.85,70.85,500
SFLL,17-Jun-2015,66.03,66.03,66.03,66.03,2000
SFLL,18-Jun-2015,65.50,65.50,65.50,65.50,1000
SFLL,23-Jun-2015,66.00,68.70,66.00,66.00,2000
SFLL,24-Jun-2015,66.00,66.00,66.00,66.00,1000
SFLL,25-Jun-2015,65.00,66.00,65.00,65.00,5500
SFLL,29-Jun-2015,62.00,62.00,62.00,62.00,500
SFLL,17-Aug-2015,65.00,65.10,65.00,65.00,1500
SFLL,26-Aug-2015,79.00,80.00,79.00,80.00,1000
SFLL,02-Sep-2015,90.95,90.95,90.95,90.95,500
SFLL,04-Sep-2015,100.26,100.26,100.26,100.26,1000
SFLL,07-Sep-2015,105.27,105.27,105.27,105.27,1000
SFLL,29-Sep-2015,100.01,100.06,100.01,100.01,9500
SFLL,08-Oct-2015,105.00,105.01,105.00,105.01,1000
SFLL,13-Oct-2015,110.00,110.00,110.00,110.00,500
SFLL,15-Oct-2015,120.66,120.66,120.66,120.66,500
SFLL,19-Oct-2015,124.06,124.06,124.06,124.06,500
SFLL,22-Oct-2015,130.26,130.26,130.26,130.26,2500
SFLL,26-Oct-2015,136.75,136.75,136.75,136.75,500
SFLL,18-Jan-2016,135.00,135.00,135.00,135.00,100
SFLL,19-Jan-2016,128.25,128.25,128.25,128.25,500
SFLL,20-Jan-2016,121.84,121.84,121.84,121.84,500
SFLL,21-Jan-2016,115.75,115.75,115.75,115.75,600
SFLL,22-Jan-2016,115.00,115.00,110.00,110.00,1200
SFLL,25-Jan-2016,104.50,104.50,104.50,104.50,300
SFLL,28-Jan-2016,104.50,104.50,104.00,104.00,1400
SFLL,29-Jan-2016,104.00,104.00,104.00,104.00,300
SFLL,02-Feb-2016,102.00,102.00,102.00,102.00,500
SFLL,16-Feb-2016,102.00,102.00,102.00,102.00,100
SFLL,26-Feb-2016,102.00,102.00,102.00,102.00,200
SFLL,03-Mar-2016,100.00,100.00,100.00,100.00,500
SFLL,04-Mar-2016,100.00,100.00,100.00,100.00,500
SFLL,09-Aug-2016,105.00,105.00,105.00,105.00,1000
