Symbol,Date,Open,High,Low,Close,Volume
SFTM,20-Jan-2014,8.05,8.05,6.25,6.25,1000
SFTM,04-Feb-2014,6.19,6.19,6.19,6.19,500
SFTM,21-Feb-2014,8.27,8.27,8.27,8.27,500
SFTM,05-Mar-2014,9.26,9.26,7.35,7.55,3500
SFTM,06-Mar-2014,6.65,6.65,6.65,6.65,1000
SFTM,10-Mar-2014,5.65,5.65,5.65,5.65,500
SFTM,13-Mar-2014,6.67,6.67,6.67,6.67,500
SFTM,27-Mar-2014,6.25,6.25,6.25,6.25,500
SFTM,31-Mar-2014,6.22,6.22,6.22,6.22,500
SFTM,22-Apr-2014,6.35,6.35,6.35,6.35,500
SFTM,24-Apr-2014,5.35,5.35,5.35,5.35,500
SFTM,12-May-2014,7.35,7.35,7.35,7.35,500
SFTM,16-May-2014,10.29,10.29,10.29,10.29,500
SFTM,20-May-2014,9.29,9.30,9.29,9.29,1500
SFTM,21-May-2014,9.00,9.00,9.00,9.00,1000
SFTM,22-May-2014,10.00,10.00,10.00,10.00,6000
SFTM,23-May-2014,11.00,11.00,11.00,11.00,500
SFTM,28-May-2014,12.00,12.00,12.00,12.00,1000
SFTM,29-May-2014,13.00,13.00,13.00,13.00,500
SFTM,02-Jun-2014,14.00,14.00,14.00,14.00,500
SFTM,03-Jun-2014,15.00,15.00,15.00,15.00,500
SFTM,05-Jun-2014,16.00,16.00,16.00,16.00,500
SFTM,09-Jun-2014,17.00,17.00,17.00,17.00,500
SFTM,04-Sep-2014,16.00,16.00,16.00,16.00,500
SFTM,05-Sep-2014,15.00,15.00,15.00,15.00,1500
SFTM,08-Sep-2014,14.00,14.00,14.00,14.00,500
SFTM,09-Sep-2014,13.00,13.00,13.00,13.00,500
SFTM,25-Sep-2014,14.00,14.00,14.00,14.00,500
SFTM,31-Oct-2014,13.00,13.00,13.00,13.00,500
SFTM,12-Nov-2014,10.29,10.29,10.29,10.29,500
SFTM,14-Nov-2014,10.29,10.29,10.29,10.29,11000
SFTM,17-Nov-2014,10.30,10.30,10.29,10.29,5000
SFTM,13-Jan-2015,10.29,10.29,10.29,10.29,500
SFTM,27-Feb-2015,10.29,10.29,10.29,10.29,500
SFTM,03-Mar-2015,10.29,10.29,10.29,10.29,40000
SFTM,04-Mar-2015,10.29,10.29,10.29,10.29,500
SFTM,27-Mar-2015,10.29,10.29,10.29,10.29,16500
SFTM,03-Apr-2015,10.29,10.29,10.29,10.29,12500
SFTM,06-Apr-2015,10.29,10.29,10.29,10.29,12500
SFTM,22-Apr-2015,10.29,10.29,10.29,10.29,1500
