Symbol,Date,Open,High,Low,Close,Volume
SGF,28-Apr-2021,57.19,57.19,53.20,55.12,10409000
SGF,29-Apr-2021,54.91,54.99,53.35,53.98,1408000
SGF,30-Apr-2021,53.45,54.10,52.11,52.64,1054500
SGF,03-May-2021,52.15,53.97,51.25,53.39,2268000
SGF,04-May-2021,53.80,54.99,53.30,54.22,1979000
SGF,05-May-2021,54.35,54.75,53.70,54.06,562500
SGF,06-May-2021,54.45,54.50,53.75,54.05,674000
SGF,17-May-2021,54.55,54.99,53.20,53.29,389000
SGF,18-May-2021,53.31,53.98,52.60,52.85,865500
SGF,19-May-2021,52.77,52.77,51.60,51.70,550500
SGF,20-May-2021,51.65,53.30,51.65,53.18,1672000
SGF,21-May-2021,53.48,55.00,53.20,53.76,2916500
SGF,24-May-2021,53.51,54.40,53.00,53.05,706500
SGF,25-May-2021,53.01,53.40,52.40,52.61,296500
SGF,26-May-2021,52.85,52.85,52.00,52.15,595000
SGF,27-May-2021,52.07,52.99,51.60,52.18,655000
SGF,28-May-2021,51.90,52.50,51.85,52.41,178500
SGF,31-May-2021,52.98,53.80,52.90,53.36,1018500
SGF,01-Jun-2021,53.25,55.70,53.21,54.85,3036000
SGF,02-Jun-2021,55.10,58.70,54.99,56.53,3551500
SGF,03-Jun-2021,56.51,56.99,55.35,55.53,612500
SGF,04-Jun-2021,55.50,56.00,54.75,54.96,457500
SGF,07-Jun-2021,54.70,56.20,54.70,55.05,900000
SGF,08-Jun-2021,55.50,56.91,55.01,55.75,2032500
SGF,09-Jun-2021,56.00,56.00,54.35,54.54,959500
SGF,10-Jun-2021,54.54,55.48,54.32,54.80,305000
SGF,11-Jun-2021,55.41,55.99,54.78,54.94,632000
SGF,14-Jun-2021,56.05,59.06,55.60,59.03,6417000
SGF,15-Jun-2021,59.01,59.98,57.60,57.96,751500
SGF,16-Jun-2021,58.70,62.15,57.67,61.67,4474500
SGF,17-Jun-2021,62.00,62.30,60.70,61.87,1627500
SGF,18-Jun-2021,62.00,65.25,62.00,63.82,2426500
SGF,21-Jun-2021,64.25,64.38,62.01,62.61,397000
SGF,22-Jun-2021,62.41,62.80,60.99,61.16,762000
SGF,23-Jun-2021,61.00,62.39,60.26,60.70,1561500
SGF,24-Jun-2021,61.00,61.74,60.35,60.67,420000
SGF,25-Jun-2021,61.41,61.41,60.00,60.25,321500
SGF,28-Jun-2021,60.30,60.30,56.90,57.12,873500
SGF,29-Jun-2021,57.90,58.80,57.30,58.01,352500
SGF,30-Jun-2021,58.90,59.00,57.60,57.83,400500
SGF,01-Jul-2021,58.77,59.70,58.40,58.68,450500
SGF,02-Jul-2021,59.65,59.80,58.50,58.86,265500
SGF,05-Jul-2021,59.01,59.75,58.50,59.35,701000
SGF,06-Jul-2021,59.42,61.00,58.56,58.96,549500
SGF,07-Jul-2021,58.05,59.44,58.00,58.59,188500
SGF,08-Jul-2021,58.25,60.00,58.25,59.10,484500
SGF,09-Jul-2021,58.70,59.44,58.55,58.72,395000
SGF,12-Jul-2021,59.00,59.00,57.80,58.14,211500
SGF,13-Jul-2021,58.50,58.98,57.63,57.85,180000
SGF,14-Jul-2021,57.80,57.97,57.01,57.17,65500
SGF,15-Jul-2021,57.02,57.68,56.52,57.07,175000
SGF,16-Jul-2021,57.01,57.46,56.67,57.05,82000
SGF,19-Jul-2021,56.72,57.69,56.72,57.44,154000
SGF,23-Jul-2021,57.40,57.99,57.00,57.35,183000
SGF,26-Jul-2021,57.80,57.90,57.31,57.66,137500
SGF,27-Jul-2021,57.85,61.98,57.85,61.98,2588000
SGF,28-Jul-2021,62.50,63.70,60.30,60.85,968000
SGF,29-Jul-2021,60.51,61.00,59.51,60.38,343500
SGF,30-Jul-2021,60.77,61.50,58.91,59.55,419000
SGF,02-Aug-2021,60.10,60.78,58.90,59.58,283000
SGF,03-Aug-2021,59.25,61.00,59.25,59.78,372500
SGF,04-Aug-2021,59.80,61.60,59.80,60.24,790500
SGF,05-Aug-2021,60.50,60.90,59.70,59.76,309500
SGF,06-Aug-2021,59.55,59.71,58.51,58.80,87500
SGF,09-Aug-2021,59.49,59.49,57.08,57.25,255000
SGF,10-Aug-2021,57.10,58.00,56.25,57.30,201500
SGF,11-Aug-2021,58.35,58.44,56.66,56.92,182000
SGF,12-Aug-2021,56.64,57.00,56.00,56.51,231500
SGF,13-Aug-2021,56.25,56.85,56.15,56.62,28500
SGF,16-Aug-2021,55.45,56.62,54.55,55.07,234500
SGF,17-Aug-2021,55.25,58.00,54.65,57.57,600000
SGF,20-Aug-2021,58.00,59.40,57.01,58.68,229500
SGF,23-Aug-2021,59.00,59.50,58.50,58.81,285500
SGF,24-Aug-2021,58.95,59.50,58.20,58.43,195000
SGF,25-Aug-2021,58.25,58.30,56.60,56.86,196500
SGF,26-Aug-2021,53.90,53.90,52.60,52.60,944000
SGF,27-Aug-2021,51.05,51.50,48.66,49.56,1188500
SGF,30-Aug-2021,49.25,50.44,49.00,49.39,446000
